nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ENG,MF,22-030,2003,0.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,ENG-Premier League,2024,defense
NED,DF,23-112,2001,21.7,31,18,19,8,4,14,23,60.9,9,45,31,14,18,49,100,2,ENG-Premier League,2024,defense
BRA,FW,23-289,2001,1.5,2,2,1,0,1,0,1,0.0,1,0,0,0,2,4,2,1,ENG-Premier League,2024,defense
GER,MF,26-336,1998,24.2,36,20,14,13,9,20,35,57.1,15,31,8,23,27,63,51,1,ENG-Premier League,2024,defense
UKR,MF,21-041,2004,10.5,31,20,12,13,6,19,40,47.5,21,23,6,17,9,40,25,0,ENG-Premier League,2024,defense
COD,FW,28-220,1996,25.4,16,7,6,3,7,8,17,47.1,9,25,5,20,7,23,18,3,ENG-Premier League,2024,defense
TUR,"FW,MF",19-091,2006,0.3,4,4,0,4,0,1,2,50.0,1,0,0,0,0,4,0,0,ENG-Premier League,2024,defense
ENG,DF,30-097,1995,6.9,8,5,4,3,1,5,11,45.5,6,12,9,3,14,22,28,1,ENG-Premier League,2024,defense
NED,GK,22-236,2002,29.0,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,22,4,ENG-Premier League,2024,defense
SCO,MF,23-304,2001,1.1,3,3,2,1,0,3,4,75.0,1,1,0,1,0,3,1,0,ENG-Premier League,2024,defense
GER,"FW,MF",20-315,2004,5.4,13,5,5,5,3,7,14,50.0,7,8,0,8,2,15,4,0,ENG-Premier League,2024,defense
CMR,MF,21-098,2004,22.9,61,32,19,29,13,38,62,61.3,24,35,6,29,39,100,27,1,ENG-Premier League,2024,defense
ENG,FW,34-136,1990,17.7,18,11,5,11,2,4,13,30.8,9,14,1,13,5,23,9,0,ENG-Premier League,2024,defense
PAR,MF,22-015,2003,4.4,16,10,8,7,1,9,18,50.0,9,9,0,9,6,22,9,1,ENG-Premier League,2024,defense
IRL,DF,23-153,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,ENG-Premier League,2024,defense
IRL,FW,20-174,2004,2.7,4,3,0,3,1,2,5,40.0,3,3,1,2,0,4,4,0,ENG-Premier League,2024,defense
TUR,"DF,MF",25-186,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0,ENG-Premier League,2024,defense
FRA,"MF,FW",22-356,2002,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2,ENG-Premier League,2024,defense
BRA,DF,27-063,1998,10.0,4,4,2,1,1,4,10,40.0,6,23,14,9,4,8,39,1,ENG-Premier League,2024,defense
ENG,"DF,MF",20-000,2005,15.7,23,16,7,9,7,9,21,42.9,12,6,3,3,14,37,32,1,ENG-Premier League,2024,defense
POL,MF,26-004,1999,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0,ENG-Premier League,2024,defense
ENG,MF,39-097,1986,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1,ENG-Premier League,2024,defense
NED,DF,24-307,2000,27.9,38,25,19,18,1,19,36,52.8,17,32,19,13,22,60,123,2,ENG-Premier League,2024,defense
ENG,GK,34-236,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ENG-Premier League,2024,defense
ECU,MF,22-299,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2024,defense
BRA,"FW,MF",23-197,2001,20.0,15,11,5,6,4,3,10,30.0,7,12,0,12,7,22,10,0,ENG-Premier League,2024,defense
NED,DF,33-086,1992,18.3,42,28,23,16,3,30,51,58.8,21,22,7,15,18,60,66,0,ENG-Premier League,2024,defense
