nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
ISL,GK,23-180,2001,2,1,145,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,DF,18-287,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,"DF,FW",24-048,2001,31,29,2549,28.3,1,2,3,1,0,0,5,0,2.6,2.6,2.5,5.1,88,85,132,0.04,0.07,0.11,0.04,0.11,0.09,0.09,0.18,0.09,0.18,ENG-Premier League,2024,standard
GER,FW,23-135,2001,31,19,1755,19.5,7,2,9,7,0,0,2,0,5.9,5.9,3.2,9.0,54,32,134,0.36,0.1,0.46,0.36,0.46,0.3,0.16,0.46,0.3,0.46,ENG-Premier League,2024,standard
KOR,DF,20-108,2004,3,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
NOR,DF,26-359,1998,18,16,1295,14.4,0,0,0,0,0,0,4,0,0.7,0.7,1.2,1.9,26,49,39,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.13,0.05,0.13,ENG-Premier League,2024,standard
DEN,DF,25-291,1999,19,11,1101,12.2,0,2,2,0,0,0,2,0,0.2,0.2,3.0,3.2,17,51,54,0.0,0.16,0.16,0.0,0.16,0.02,0.24,0.26,0.02,0.26,ENG-Premier League,2024,standard
NED,GK,31-302,1993,30,30,2645,29.4,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01,ENG-Premier League,2024,standard
DEN,MF,29-100,1996,17,8,744,8.3,0,1,1,0,0,0,1,0,0.2,0.2,1.5,1.7,6,53,25,0.0,0.12,0.12,0.0,0.12,0.03,0.18,0.21,0.03,0.21,ENG-Premier League,2024,standard
ITA,DF,20-275,2004,5,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33,ENG-Premier League,2024,standard
DEN,"MF,FW",24-282,2000,31,27,2330,25.9,2,10,12,2,0,0,2,0,2.6,2.6,7.3,9.9,59,195,110,0.08,0.39,0.46,0.08,0.46,0.1,0.28,0.38,0.1,0.38,ENG-Premier League,2024,standard
IRL,DF,23-346,2001,31,31,2790,31.0,2,1,3,2,0,0,4,0,2.3,2.3,1.4,3.7,24,106,17,0.06,0.03,0.1,0.06,0.1,0.07,0.04,0.12,0.07,0.12,ENG-Premier League,2024,standard
ENG,DF,27-277,1997,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
ENG,MF,22-030,2003,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ENG-Premier League,2024,standard
NED,DF,23-112,2001,24,22,1956,21.7,0,0,0,0,0,0,2,0,1.3,1.3,0.2,1.5,7,58,26,0.0,0.0,0.0,0.0,0.0,0.06,0.01,0.07,0.06,0.07,ENG-Premier League,2024,standard
BRA,FW,23-289,2001,4,1,132,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,2,4,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.11,0.07,0.11,ENG-Premier League,2024,standard
GER,MF,26-336,1998,30,26,2182,24.2,1,3,4,1,0,0,3,0,0.8,0.8,2.2,3.0,17,79,36,0.04,0.12,0.16,0.04,0.16,0.03,0.09,0.12,0.03,0.12,ENG-Premier League,2024,standard
