nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
UKR,DF,19,2002,3.3,0,0,0,1,2,0,0,3,2,0,0,0,18,1,3,25.0,ENG-Premier League,2022,misc
ENG,DF,26,1996,3.3,2,0,0,4,0,1,10,5,4,0,0,0,15,5,3,62.5,ENG-Premier League,2022,misc
ENG,DF,28,1994,13.0,3,0,0,8,2,0,2,16,11,0,0,0,66,16,19,45.7,ENG-Premier League,2022,misc
ENG,"MF,FW",22,1999,14.0,2,0,0,9,12,5,43,10,17,0,0,0,80,10,12,45.5,ENG-Premier League,2022,misc
JAM,"MF,FW",28,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ENG-Premier League,2022,misc
COL,MF,27,1994,36.1,7,0,0,37,33,2,11,47,30,0,2,1,260,62,40,60.8,ENG-Premier League,2022,misc
ENG,MF,27,1995,11.3,1,0,0,17,3,0,26,9,13,0,0,0,56,1,3,25.0,ENG-Premier League,2022,misc
ZIM,DF,22,1999,16.2,1,0,0,17,14,0,18,16,24,0,1,0,78,7,11,38.9,ENG-Premier League,2022,misc
ENG,MF,32,1989,0.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,ENG-Premier League,2022,misc
WAL,FW,29,1992,14.2,1,0,0,26,30,1,7,1,11,0,0,0,26,68,60,53.1,ENG-Premier League,2022,misc
ENG,MF,25,1997,19.1,4,0,0,15,10,0,45,23,22,0,0,0,129,7,10,41.2,ENG-Premier League,2022,misc
ENG,DF,23,1998,22.7,3,0,0,17,5,0,14,26,18,0,1,0,131,36,20,64.3,ENG-Premier League,2022,misc
ARG,DF,25,1997,27.7,7,0,0,29,13,0,8,43,35,0,2,0,168,26,22,54.2,ENG-Premier League,2022,misc
ENG,"MF,FW",23,1999,19.4,1,0,0,21,28,4,93,9,22,0,0,0,124,17,32,34.7,ENG-Premier League,2022,misc
IRL,GK,23,1999,11.5,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,100.0,ENG-Premier League,2022,misc
URU,DF,24,1997,5.1,1,0,0,7,11,0,4,4,11,0,0,0,28,4,7,36.4,ENG-Premier League,2022,misc
BRA,GK,33,1989,26.5,4,0,0,0,4,0,0,0,1,0,0,0,21,4,3,57.1,ENG-Premier League,2022,misc
WAL,DF,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,ENG-Premier League,2022,misc
DEN,"MF,FW",26,1996,30.7,5,0,0,30,35,3,38,31,36,0,0,0,146,52,35,59.8,ENG-Premier League,2022,misc
SCO,"MF,FW",27,1995,20.4,2,0,0,36,45,1,32,26,22,0,0,0,132,16,23,41.0,ENG-Premier League,2022,misc
ENG,DF,29,1992,5.9,1,0,0,3,1,0,15,1,2,0,0,0,13,5,10,33.3,ENG-Premier League,2022,misc
CIV,"FW,MF",25,1996,1.2,0,0,0,1,2,0,3,1,1,0,0,0,9,0,4,0.0,ENG-Premier League,2022,misc
SCO,DF,20,2002,21.3,7,0,0,20,35,1,27,17,26,0,1,0,111,14,22,38.9,ENG-Premier League,2022,misc
ENG,DF,32,1989,36.3,2,0,0,14,15,1,7,48,24,0,0,0,199,131,98,57.2,ENG-Premier League,2022,misc
CMR,FW,22,1999,32.3,5,0,0,27,23,6,156,13,18,0,0,0,135,35,63,35.7,ENG-Premier League,2022,misc
DEN,MF,28,1994,19.6,6,0,0,35,20,0,11,34,30,1,0,0,165,18,20,47.4,ENG-Premier League,2022,misc
ESP,GK,26,1995,38.0,1,0,0,0,6,0,0,1,0,0,0,1,47,12,2,85.7,ENG-Premier League,2022,misc
JAM,DF,29,1993,30.0,0,0,0,6,10,0,10,35,28,0,0,1,123,105,52,66.9,ENG-Premier League,2022,misc
NGA,MF,24,1998,9.4,0,0,0,15,26,2,2,10,14,0,0,0,50,7,15,31.8,ENG-Premier League,2022,misc
TUR,MF,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ENG-Premier League,2022,misc
ENG,FW,26,1996,32.8,9,0,0,52,74,27,34,14,13,3,0,0,103,109,117,48.2,ENG-Premier League,2022,misc
ENG,MF,23,1998,15.4,1,0,0,14,23,0,33,5,9,0,0,0,66,6,8,42.9,ENG-Premier League,2022,misc
ENG,"FW,MF",21,2001,3.6,0,0,0,1,4,1,8,0,0,0,0,0,20,4,4,50.0,ENG-Premier League,2022,misc
GER,FW,20,2001,8.1,2,0,0,13,8,6,15,4,8,1,0,0,33,30,24,55.6,ENG-Premier League,2022,misc
NOR,DF,24,1998,8.5,0,0,0,5,8,0,6,7,8,0,1,0,36,15,11,57.7,ENG-Premier League,2022,misc
DEN,"DF,MF",23,1999,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,ENG-Premier League,2022,misc
DEN,DF,23,1999,12.3,0,0,0,4,3,0,20,9,12,0,0,0,48,8,12,40.0,ENG-Premier League,2022,misc
DEN,MF,26,1996,31.1,5,0,0,32,25,1,158,32,36,0,0,0,175,11,17,39.3,ENG-Premier League,2022,misc
DEN,DF,32,1990,12.3,2,0,0,9,4,2,3,16,8,0,0,1,53,17,15,53.1,ENG-Premier League,2022,misc
DEN,"MF,FW",22,2000,11.0,4,0,0,13,11,0,29,10,21,0,0,0,70,10,9,52.6,ENG-Premier League,2022,misc
SWE,DF,31,1991,8.0,0,0,0,2,1,1,0,9,3,0,0,0,25,24,12,66.7,ENG-Premier League,2022,misc
ENG,DF,25,1997,36.0,4,0,0,32,38,2,87,30,31,1,0,0,197,40,55,42.1,ENG-Premier League,2022,misc
IRN,"MF,FW",28,1993,1.5,0,0,0,3,3,0,7,4,1,0,0,0,24,5,4,55.6,ENG-Premier League,2022,misc
ESP,"FW,DF",25,1997,0.9,0,0,0,3,3,0,3,0,0,0,0,0,6,0,1,0.0,ENG-Premier League,2022,misc
GRN,MF,24,1998,6.9,3,1,1,11,12,1,11,7,9,0,0,0,45,6,7,46.2,ENG-Premier League,2022,misc
GER,"MF,DF",24,1998,24.5,3,0,0,22,21,2,22,29,27,0,0,0,159,32,23,58.2,ENG-Premier League,2022,misc
COD,FW,25,1996,17.8,3,0,0,21,26,19,12,6,12,1,0,0,69,24,26,48.0,ENG-Premier League,2022,misc
ENG,"MF,FW",34,1988,8.0,0,0,0,2,7,0,3,2,4,0,0,0,25,8,9,47.1,ENG-Premier League,2022,misc
ENG,DF,27,1995,22.1,2,0,0,10,6,1,2,19,12,0,0,1,143,60,27,69.0,ENG-Premier League,2022,misc
ARG,MF,23,1998,32.1,8,0,0,35,57,0,29,22,39,0,0,1,213,25,16,61.0,ENG-Premier League,2022,misc
IRL,FW,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ENG-Premier League,2022,misc
SCO,MF,21,2001,5.6,1,0,0,8,3,0,2,6,2,0,0,0,35,5,5,50.0,ENG-Premier League,2022,misc
AUS,MF,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,ENG-Premier League,2022,misc
ENG,FW,31,1990,20.6,0,0,0,25,18,5,0,5,7,1,0,0,37,32,27,54.2,ENG-Premier League,2022,misc
GER,"FW,MF",26,1996,7.0,2,0,0,15,4,7,1,0,4,0,0,1,21,5,7,41.7,ENG-Premier League,2022,misc
ZAM,"FW,MF",24,1998,2.4,0,0,0,2,1,2,3,1,5,0,0,0,9,0,7,0.0,ENG-Premier League,2022,misc
IRL,FW,17,2004,10.6,1,0,0,9,11,5,2,2,3,0,0,0,25,9,14,39.1,ENG-Premier League,2022,misc
ARG,"FW,MF",17,2004,6.3,2,0,0,9,7,3,7,4,1,0,0,0,25,2,4,33.3,ENG-Premier League,2022,misc
ENG,FW,17,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ENG-Premier League,2022,misc
NED,DF,22,2000,3.3,2,0,0,7,4,0,0,6,6,0,0,0,15,6,15,28.6,ENG-Premier League,2022,misc
ENG,GK,31,1990,15.0,1,0,0,1,1,0,0,0,0,0,0,1,22,1,0,100.0,ENG-Premier League,2022,misc
ECU,MF,20,2002,2.0,1,0,0,4,4,0,3,1,3,0,0,0,4,0,4,0.0,ENG-Premier League,2022,misc
NED,DF,30,1992,24.3,6,0,0,27,38,0,23,19,32,0,1,0,125,26,18,59.1,ENG-Premier League,2022,misc
PAR,"FW,MF",18,2004,9.0,1,0,0,13,15,3,12,4,4,0,0,0,36,6,8,42.9,ENG-Premier League,2022,misc
JPN,"FW,MF",25,1997,25.8,0,0,0,29,27,6,41,17,27,1,0,0,120,18,19,48.6,ENG-Premier League,2022,misc
BEL,"FW,MF",27,1994,14.6,1,0,0,10,13,4,35,6,6,1,0,0,65,6,11,35.3,ENG-Premier League,2022,misc
ENG,DF,19,2003,13.6,1,0,0,8,10,0,1,15,7,0,0,0,74,45,18,71.4,ENG-Premier League,2022,misc
ENG,DF,30,1991,36.0,4,0,0,18,27,1,2,34,19,0,4,1,253,68,47,59.1,ENG-Premier League,2022,misc
ECU,MF,20,2001,34.9,10,0,0,65,54,0,17,56,50,0,0,0,248,37,20,64.9,ENG-Premier League,2022,misc
ENG,DF,19,2002,0.3,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0.0,ENG-Premier League,2022,misc
GER,"MF,DF",31,1991,36.0,6,0,0,35,18,10,224,13,38,0,1,1,140,10,36,21.7,ENG-Premier League,2022,misc
ECU,DF,24,1998,29.7,4,0,0,42,26,11,101,37,31,1,1,0,191,36,28,56.3,ENG-Premier League,2022,misc
ESP,GK,24,1997,23.0,2,0,0,1,0,0,0,3,0,0,1,0,25,7,0,100.0,ENG-Premier League,2022,misc
ENG,"FW,DF",28,1994,30.2,2,0,0,46,39,12,155,24,31,0,0,0,125,29,38,43.3,ENG-Premier League,2022,misc
GHA,DF,21,2000,5.0,1,0,0,6,14,0,31,7,6,0,0,0,31,2,7,22.2,ENG-Premier League,2022,misc
SWE,MF,18,2003,0.7,0,0,0,0,3,0,0,0,2,0,0,0,3,0,1,0.0,ENG-Premier League,2022,misc
ALB,FW,20,2001,3.3,0,0,0,2,6,3,0,1,1,1,0,0,15,9,21,30.0,ENG-Premier League,2022,misc
ENG,"DF,MF",25,1996,15.6,3,0,0,13,23,3,92,18,17,1,0,0,68,25,20,55.6,ENG-Premier League,2022,misc
FRA,DF,21,2001,10.1,2,0,0,9,6,0,2,16,8,0,0,0,76,35,14,71.4,ENG-Premier League,2022,misc
ENG,"MF,FW",18,2003,3.9,0,0,0,2,5,1,3,6,7,0,0,0,22,1,6,14.3,ENG-Premier League,2022,misc
USA,"FW,DF",23,1998,9.1,1,0,0,10,15,0,18,4,6,0,0,0,31,5,18,21.7,ENG-Premier League,2022,misc
ENG,MF,22,2000,18.0,11,1,1,35,35,2,49,23,33,0,0,0,93,19,28,40.4,ENG-Premier League,2022,misc
ESP,DF,32,1989,17.0,3,0,0,27,7,2,26,19,25,0,0,1,59,29,19,60.4,ENG-Premier League,2022,misc
CIV,FW,19,2002,0.8,0,0,0,3,3,1,1,0,1,0,0,0,6,0,0,,ENG-Premier League,2022,misc
SUI,MF,25,1996,4.6,0,0,0,5,2,0,1,3,5,0,0,0,21,0,2,0.0,ENG-Premier League,2022,misc
SEN,GK,30,1992,9.5,1,0,0,0,2,0,0,0,0,0,0,0,15,3,0,100.0,ENG-Premier League,2022,misc
ARG,MF,21,2001,17.2,3,0,0,11,22,1,14,16,27,0,0,0,118,7,10,41.2,ENG-Premier League,2022,misc
MAR,"FW,MF",29,1993,7.3,1,0,0,12,14,3,66,5,12,0,0,0,46,0,5,0.0,ENG-Premier League,2022,misc
ITA,MF,30,1991,14.2,4,0,0,12,23,0,2,21,23,0,0,0,119,8,11,42.1,ENG-Premier League,2022,misc
POR,"FW,MF",22,1999,10.5,1,1,0,15,29,7,19,1,7,0,0,0,23,3,14,17.6,ENG-Premier League,2022,misc
GER,"FW,MF",23,1999,28.5,5,0,0,60,25,28,14,7,16,0,0,0,81,79,59,57.2,ENG-Premier League,2022,misc
