Saison,Équipe,Nom,Valeur marchande,Valeur marchande (euros)
2020/2021,manchester-united,Ethan Galbraith,900 K €,
"2020/2021,manchester-united,Bruno Fernandes,""90,00 mio. €"","
"2020/2021,manchester-united,Jesse Lingard,""22,00 mio. €"","
"2020/2021,manchester-united,Juan Mata,""4,00 mio. €"","
"2020/2021,manchester-united,Hannibal,""3,00 mio. €"","
"2020/2021,manchester-united,Marcus Rashford,""85,00 mio. €"","
"2020/2021,manchester-united,Shola Shoretire,""3,00 mio. €"","
"2020/2021,manchester-united,Mason Greenwood,""50,00 mio. €"","
"2020/2021,manchester-united,Amad Diallo,""18,00 mio. €"","
"2020/2021,manchester-united,Daniel James,""18,00 mio. €"","
"2020/2021,manchester-united,Facundo Pellistri,""6,00 mio. €"","
2020/2021,manchester-united,Anthony Elanga,800 K €,
"2020/2021,manchester-united,Anthony Martial,""45,00 mio. €"","
"2020/2021,manchester-united,Edinson Cavani,""6,00 mio. €"","
"2020/2021,manchester-united,Odion Ighalo,""3,50 mio. €"","
"2020/2021,tottenham-hotspur,Hugo Lloris,""9,00 mio. €"","
"2020/2021,tottenham-hotspur,Paulo Gazzaniga,""3,00 mio. €"","
"2020/2021,tottenham-hotspur,Joe Hart,""2,00 mio. €"","
"2020/2021,tottenham-hotspur,Alfie Whiteman,""1,00 mio. €"","
2020/2021,tottenham-hotspur,Brandon Austin,250 K €,
"2020/2021,tottenham-hotspur,Davinson Sánchez,""32,00 mio. €"","
"2020/2021,tottenham-hotspur,Eric Dier,""22,00 mio. €"","
"2020/2021,tottenham-hotspur,Ben Davies,""16,00 mio. €"","
"2020/2021,tottenham-hotspur,Toby Alderweireld,""11,00 mio. €"","
"2020/2021,tottenham-hotspur,Joe Rodon,""10,00 mio. €"","
"2020/2021,tottenham-hotspur,Japhet Tanganga,""8,00 mio. €"","
"2020/2021,tottenham-hotspur,Cameron Carter-Vickers,""2,00 mio. €"","
"2020/2021,tottenham-hotspur,Sergio Reguilón,""25,00 mio. €"","
"2020/2021,tottenham-hotspur,Ryan Sessegnon,""18,00 mio. €"","
"2020/2021,tottenham-hotspur,Danny Rose,""3,00 mio. €"","
2020/2021,tottenham-hotspur,Dennis Cirkin,-,
"2020/2021,tottenham-hotspur,Serge Aurier,""20,00 mio. €"","
"2020/2021,tottenham-hotspur,Matt Doherty,""16,00 mio. €"","
2020/2021,tottenham-hotspur,Marcel Lavinier,200 K €,
"2020/2021,tottenham-hotspur,Pierre-Emile Højbjerg,""35,00 mio. €"","
"2020/2021,tottenham-hotspur,Harry Winks,""20,00 mio. €"","
"2020/2021,tottenham-hotspur,Oliver Skipp,""10,00 mio. €"","
