league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ENG-Premier League,2021,Southampton,Jannik Vestergaard,DEN,DF,27,1992,28.6,1476,1775,83.2,26623,11504,639,706,90.5,679,767,88.5,143,257,55.6,0,0.5,0.8,-0.5,7,90,12,1,82,passing
ENG-Premier League,2021,Southampton,Kayne Ramsey,ENG,DF,19,2000,1.0,17,23,73.9,242,81,9,10,90.0,7,10,70.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ENG-Premier League,2021,Southampton,Kyle Walker-Peters,ENG,DF,23,1997,29.4,1321,1669,79.1,19144,6069,744,835,89.1,462,591,78.2,53,115,46.1,2,1.2,1.2,0.8,16,67,18,1,89,passing
ENG-Premier League,2021,Southampton,Michael Obafemi,IRL,FW,20,2000,0.7,12,13,92.3,126,22,7,8,87.5,2,2,100.0,1,1,100.0,0,0.1,0.0,-0.1,1,1,0,0,1,passing
ENG-Premier League,2021,Southampton,Mohammed Salisu,GHA,DF,21,1999,9.4,304,383,79.4,4301,1511,181,203,89.2,96,122,78.7,11,25,44.0,0,0.4,0.0,-0.4,2,21,0,0,13,passing
ENG-Premier League,2021,Southampton,Moussa Djenepo,MLI,MF,22,1998,13.8,290,407,71.3,4030,1102,163,193,84.5,94,124,75.8,12,26,46.2,0,0.4,0.6,-0.4,6,13,11,1,32,passing
ENG-Premier League,2021,Southampton,Nathan Redmond,ENG,"MF,FW",26,1994,19.3,570,765,74.5,8403,2031,311,377,82.5,198,250,79.2,33,57,57.9,3,3.2,2.1,-0.2,29,32,30,4,75,passing
ENG-Premier League,2021,Southampton,Nathan Tella,NGA,"FW,MF",21,1999,8.3,99,142,69.7,1373,226,63,76,82.9,22,31,71.0,8,12,66.7,1,0.8,0.5,0.2,6,4,7,1,9,passing
ENG-Premier League,2021,Southampton,Oriol Romeu,ESP,MF,28,1991,19.6,1056,1287,82.1,15539,3730,594,671,88.5,362,431,84.0,51,97,52.6,1,1.4,1.0,-0.4,14,75,16,2,91,passing
ENG-Premier League,2021,Southampton,Ryan Bertrand,ENG,DF,30,1989,28.9,1186,1569,75.6,17245,6420,675,773,87.3,417,537,77.7,45,141,31.9,1,1.3,2.0,-0.3,14,64,22,6,101,passing
