league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2023,Bochum,Tim Oermann,GER,DF,19.0,2003.0,7.9,0,5,0,0.0,0.63,0.0,0.0,,27.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting
GER-Bundesliga,2023,Darmstadt 98,Aaron Seydel,GER,FW,27.0,1996.0,6.9,1,14,6,42.9,2.04,0.87,0.07,0.17,16.8,0,0,0,1.0,1.0,0.07,0.0,0.0,shooting
GER-Bundesliga,2023,Darmstadt 98,Alexander Brunst,GER,GK,28.0,1995.0,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Darmstadt 98,Andreas Müller,GER,MF,23.0,2000.0,3.9,0,3,1,33.3,0.77,0.26,0.0,0.0,30.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
GER-Bundesliga,2023,Darmstadt 98,Asaf Arania,ISR,MF,17.0,2005.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Darmstadt 98,Bartol Franjić,CRO,MF,23.0,2000.0,13.7,0,4,0,0.0,0.29,0.0,0.0,,18.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
GER-Bundesliga,2023,Darmstadt 98,Braydon Manu,GHA,MF,26.0,1997.0,1.9,0,5,1,20.0,2.63,0.53,0.0,0.0,14.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,shooting
GER-Bundesliga,2023,Darmstadt 98,Christoph Klarer,AUT,DF,23.0,2000.0,26.2,2,9,2,22.2,0.34,0.08,0.22,1.0,9.3,0,0,0,1.2,1.2,0.13,0.8,0.8,shooting
GER-Bundesliga,2023,Darmstadt 98,Christoph Zimmermann,GER,DF,30.0,1993.0,13.6,0,4,1,25.0,0.3,0.07,0.0,0.0,13.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
GER-Bundesliga,2023,Darmstadt 98,Clemens Riedel,GER,DF,20.0,2003.0,8.4,0,8,3,37.5,0.95,0.36,0.0,0.0,21.6,1,0,0,0.3,0.3,0.03,-0.3,-0.3,shooting
GER-Bundesliga,2023,Darmstadt 98,Emir Karic,AUT,DF,26.0,1997.0,19.8,0,12,3,25.0,0.61,0.15,0.0,0.0,23.4,0,0,0,0.4,0.4,0.03,-0.4,-0.4,shooting
GER-Bundesliga,2023,Darmstadt 98,Fabian Holland,GER,"MF,DF",33.0,1990.0,20.4,0,11,3,27.3,0.54,0.15,0.0,0.0,24.7,1,0,0,0.6,0.6,0.06,-0.6,-0.6,shooting
GER-Bundesliga,2023,Darmstadt 98,Fabian Nürnberger,BUL,"DF,MF",24.0,1999.0,16.8,1,19,6,31.6,1.13,0.36,0.05,0.17,22.0,4,0,0,0.9,0.9,0.05,0.1,0.1,shooting
GER-Bundesliga,2023,Darmstadt 98,Fabian Schnellhardt,GER,MF,29.0,1994.0,2.6,0,5,2,40.0,1.91,0.77,0.0,0.0,27.1,1,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
GER-Bundesliga,2023,Darmstadt 98,Fabio Torsiello,ITA,"FW,DF",18.0,2005.0,1.7,0,4,0,0.0,2.31,0.0,0.0,,16.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
GER-Bundesliga,2023,Darmstadt 98,Filip Stojilković,SUI,"FW,MF",23.0,2000.0,1.7,0,4,1,25.0,2.34,0.58,0.0,0.0,20.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,shooting
GER-Bundesliga,2023,Darmstadt 98,Frank Ronstadt,GER,"DF,MF",26.0,1997.0,0.8,0,3,0,0.0,3.55,0.0,0.0,,24.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
GER-Bundesliga,2023,Darmstadt 98,Fraser Hornby,SCO,"FW,MF",23.0,1999.0,2.4,0,10,2,20.0,4.15,0.83,0.0,0.0,13.1,0,0,0,0.7,0.7,0.07,-0.7,-0.7,shooting
GER-Bundesliga,2023,Darmstadt 98,Gerrit Holtmann,PHI,"MF,FW",28.0,1995.0,4.4,0,14,5,35.7,3.21,1.15,0.0,0.0,23.6,0,0,0,0.6,0.6,0.04,-0.6,-0.6,shooting
GER-Bundesliga,2023,Darmstadt 98,Jannik Müller,GER,"DF,MF",29.0,1994.0,12.6,0,3,0,0.0,0.24,0.0,0.0,,13.4,0,0,0,0.2,0.2,0.07,-0.2,-0.2,shooting
GER-Bundesliga,2023,Darmstadt 98,Julian Justvan,GER,"MF,FW",25.0,1998.0,11.4,2,17,4,23.5,1.5,0.35,0.12,0.5,21.4,0,0,0,0.9,0.9,0.05,1.1,1.1,shooting
GER-Bundesliga,2023,Darmstadt 98,Klaus Gjasula,ALB,"DF,MF",33.0,1989.0,15.1,0,9,1,11.1,0.59,0.07,0.0,0.0,14.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting
GER-Bundesliga,2023,Darmstadt 98,Luca Pfeiffer,GER,"FW,MF",26.0,1996.0,18.0,1,48,18,37.5,2.67,1.0,0.02,0.06,15.7,0,0,0,4.6,4.6,0.1,-3.6,-3.6,shooting
GER-Bundesliga,2023,Darmstadt 98,Marcel Schuhen,GER,GK,30.0,1993.0,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2023,Darmstadt 98,Marvin Mehlem,GER,MF,25.0,1997.0,16.5,3,23,8,34.8,1.4,0.49,0.13,0.38,17.5,0,0,0,3.8,3.8,0.17,-0.8,-0.8,shooting
GER-Bundesliga,2023,Darmstadt 98,Matej Maglica,CRO,DF,24.0,1998.0,18.9,1,10,2,20.0,0.53,0.11,0.1,0.5,20.8,1,0,0,0.6,0.6,0.06,0.4,0.4,shooting
GER-Bundesliga,2023,Darmstadt 98,Mathias Honsak,AUT,"FW,MF",26.0,1996.0,11.3,1,23,6,26.1,2.03,0.53,0.04,0.17,17.4,0,0,0,1.8,1.8,0.08,-0.8,-0.8,shooting
