league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ESP-La Liga,2024,Real Madrid,Federico Valverde,URU,"MF,DF",26-263,1998.0,25.7,1958,73,397,1142,433,27,1958,21,12,57.1,7,33.3,1122,6257,3113,50,45,3,30,1,1453,52,possession
ESP-La Liga,2024,Real Madrid,Ferland Mendy,FRA,DF,29-307,1995.0,11.2,739,30,188,408,149,4,739,6,3,50.0,3,50.0,447,1626,717,12,10,1,10,9,535,40,possession
ESP-La Liga,2024,Real Madrid,Fran,ESP,GK,19-291,2005.0,1.0,22,20,22,0,0,0,22,0,0,,0,,12,40,23,0,0,0,0,0,13,0,possession
ESP-La Liga,2024,Real Madrid,Fran Garcia,ESP,DF,25-240,1999.0,17.4,1287,51,375,519,404,25,1287,15,6,40.0,9,60.0,701,3132,1814,52,36,12,15,6,823,120,possession
ESP-La Liga,2024,Real Madrid,Jesús Vallejo,ESP,DF,28-096,1997.0,0.1,16,3,7,9,0,0,16,0,0,,0,,13,38,16,0,0,0,0,0,13,0,possession
ESP-La Liga,2024,Real Madrid,Jude Bellingham,ENG,MF,21-286,2003.0,22.0,1509,25,201,736,586,85,1507,59,35,59.3,20,33.9,969,4691,2220,58,45,11,43,28,1244,113,possession
ESP-La Liga,2024,Real Madrid,Kylian Mbappé,FRA,FW,26-112,1998.0,26.9,1304,1,31,383,905,256,1297,159,70,44.0,78,49.1,879,5847,3132,121,76,79,68,42,1127,322,possession
ESP-La Liga,2024,Real Madrid,Lorenzo Aguado,ESP,DF,22-204,2002.0,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,possession
ESP-La Liga,2024,Real Madrid,Lucas Vázquez,ESP,DF,33-284,1991.0,19.3,1525,50,378,663,493,50,1525,32,17,53.1,13,40.6,855,3442,1715,32,8,14,30,9,1110,170,possession
ESP-La Liga,2024,Real Madrid,Luka Modrić,CRO,MF,39-214,1985.0,15.8,1602,34,273,899,448,16,1602,16,9,56.3,7,43.8,1040,5395,2607,43,41,6,17,9,1228,40,possession
ESP-La Liga,2024,Real Madrid,Raúl Asencio,ESP,DF,22-057,2003.0,12.2,810,109,462,330,25,8,810,9,6,66.7,0,0.0,520,2669,1431,4,4,1,3,5,586,4,possession
ESP-La Liga,2024,Real Madrid,Rodrygo,BRA,"FW,MF",24-092,2001.0,19.7,1243,12,83,430,750,117,1243,96,41,42.7,40,41.7,822,5423,3125,103,80,46,40,12,1002,234,possession
ESP-La Liga,2024,Real Madrid,Thibaut Courtois,BEL,GK,32-335,1992.0,24.0,892,783,889,3,0,0,892,1,0,0.0,1,100.0,540,2573,1648,0,0,0,0,0,561,0,possession
ESP-La Liga,2024,Real Madrid,Vinicius Júnior,BRA,FW,24-273,2000.0,20.5,1016,3,56,300,680,169,1013,154,66,42.9,77,50.0,775,6296,3701,139,66,91,57,43,869,223,possession
ESP-La Liga,2024,Real Madrid,Éder Militão,BRA,DF,27-083,1998.0,10.4,819,92,395,395,33,13,819,8,5,62.5,3,37.5,533,2738,1593,7,7,0,6,3,603,1,possession
ESP-La Liga,2024,Real Sociedad,Aihen Muñoz,ESP,DF,27-238,1997.0,7.6,465,37,163,215,91,1,465,9,4,44.4,4,44.4,186,923,391,14,9,2,3,2,198,9,possession
ESP-La Liga,2024,Real Sociedad,Ander Barrenetxea,ESP,"MF,FW",23-105,2001.0,11.4,623,9,92,223,321,54,623,55,22,40.0,32,58.2,401,2533,1053,37,22,17,42,22,441,123,possession
ESP-La Liga,2024,Real Sociedad,Aritz Elustondo,ESP,DF,31-014,1994.0,10.9,713,66,314,365,37,10,713,7,3,42.9,3,42.9,387,2159,1213,12,3,1,10,5,446,3,possession
ESP-La Liga,2024,Real Sociedad,Arkaitz Mariezkurrena,ESP,"MF,FW",20-006,2005.0,0.9,37,2,10,15,13,2,37,1,1,100.0,0,0.0,22,69,28,1,1,0,5,2,22,2,possession
