league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ESP-La Liga,2024,Valencia,Domingos André Ribeiro Almeida,POR,"MF,FW",24-316,2000.0,27,18,1543,17.1,0,3,3,0,0,0,1,0,0.7,0.7,2.2,2.9,35,108,59,0.0,0.17,0.17,0.0,0.17,0.04,0.13,0.17,0.04,0.17,standard,POR,"MF,FW",24-316,2000.0,17.1,885,12,111,452,333,34,885,39,18,46.2,14,35.9,512,2730,1385,35,34,8,27,33,635,59,possession,POR,"MF,FW",24-316,2000.0,17.1,1,0,0,22,23,2,48,8,25,0,0,0,69,3,14,17.6,misc,POR,"MF,FW",24-316,2000.0,17.1,41,25,15,18,8,12,27,44.4,15,14,1,13,8,49,11,1,defense,POR,"MF,FW",24-316,2000.0,17.1,611,719,85.0,9814,2617,319,340,93.8,214,246,87.0,53,86,61.6,3,2.2,3.6,0.8,33,74,16,3,108,passing,POR,"MF,FW",24-316,2000.0,17.1,0,15,4,26.7,0.87,0.23,0.0,0.0,23.1,2,0,0,0.7,0.7,0.05,-0.7,-0.7,shooting
ESP-La Liga,2024,Getafe,Domingos Duarte,POR,DF,30-032,1995.0,15,14,1261,14.0,1,0,1,1,0,0,3,1,0.2,0.2,0.1,0.2,3,34,3,0.07,0.0,0.07,0.07,0.07,0.01,0.0,0.02,0.01,0.02,standard,POR,DF,30-032,1995.0,14.0,629,82,318,303,15,5,629,0,0,,0,,267,1158,503,3,1,0,2,1,301,3,possession,POR,DF,30-032,1995.0,14.0,3,1,1,17,9,0,0,10,8,0,1,0,37,23,10,69.7,misc,POR,DF,30-032,1995.0,14.0,17,8,13,3,1,9,11,81.8,2,18,9,9,10,27,106,1,defense,POR,DF,30-032,1995.0,14.0,362,464,78.0,8029,2650,85,105,81.0,211,238,88.7,63,115,54.8,0,0.1,0.1,-0.1,2,33,0,0,34,passing,POR,DF,30-032,1995.0,14.0,1,2,1,50.0,0.14,0.07,0.5,1.0,10.9,0,0,0,0.2,0.2,0.08,0.8,0.8,shooting
ESP-La Liga,2024,Mallorca,Dominik Greif,SVK,GK,28-005,1997.0,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,SVK,GK,28-005,1997.0,25.0,890,725,880,10,0,0,890,2,2,100.0,0,0.0,523,2534,1416,0,0,0,1,0,434,0,possession,SVK,GK,28-005,1997.0,25.0,1,0,0,0,3,0,0,0,0,0,0,0,33,6,2,75.0,misc,SVK,GK,28-005,1997.0,25.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,7,1,defense,SVK,GK,28-005,1997.0,25.0,600,855,70.2,18461,14537,107,107,100.0,272,273,99.6,221,469,47.1,0,0.0,0.1,0.0,0,13,1,0,0,passing,SVK,GK,28-005,1997.0,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Girona,Donny van de Beek,NED,MF,27-358,1997.0,23,16,1381,15.3,2,2,4,2,0,0,5,0,1.5,1.4,3.2,4.7,16,44,83,0.13,0.13,0.26,0.13,0.26,0.1,0.21,0.31,0.09,0.31,standard,NED,MF,27-358,1997.0,15.3,562,14,109,238,223,59,562,13,6,46.2,7,53.8,272,1364,544,16,14,2,12,14,375,83,possession,NED,MF,27-358,1997.0,15.3,5,0,0,22,8,3,11,10,17,0,0,0,47,9,8,52.9,misc,NED,MF,27-358,1997.0,15.3,28,17,16,7,5,13,25,52.0,12,19,3,16,10,38,12,0,defense,NED,MF,27-358,1997.0,15.3,358,432,82.9,5106,1013,212,235,90.2,119,144,82.6,14,21,66.7,2,3.2,3.6,-1.2,18,20,11,0,44,passing,NED,MF,27-358,1997.0,15.3,2,17,5,29.4,1.11,0.33,0.12,0.4,14.2,0,0,0,1.5,1.4,0.09,0.5,0.6,shooting
ESP-La Liga,2024,Leganés,Duk,CPV,"MF,FW",25-054,2000.0,5,0,55,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.6,7,1,14,0.0,0.0,0.0,0.0,0.0,0.03,1.04,1.07,0.03,1.07,standard,CPV,"MF,FW",25-054,2000.0,0.6,47,1,5,10,33,8,47,14,8,57.1,6,42.9,37,235,152,7,2,4,4,2,33,14,possession,CPV,"MF,FW",25-054,2000.0,0.6,1,0,0,1,6,0,4,0,3,0,0,0,6,0,0,,misc,CPV,"MF,FW",25-054,2000.0,0.6,4,3,1,2,1,1,1,100.0,0,2,0,2,0,4,0,0,defense,CPV,"MF,FW",25-054,2000.0,0.6,19,29,65.5,278,93,12,14,85.7,6,8,75.0,0,2,0.0,0,0.6,0.4,-0.6,4,0,2,1,1,passing,CPV,"MF,FW",25-054,2000.0,0.6,0,1,1,100.0,1.64,1.64,0.0,0.0,30.3,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ESP-La Liga,2024,Espanyol,Edu Expósito,ESP,"MF,FW",28-253,1996.0,10,3,336,3.7,0,1,1,0,0,0,2,0,0.2,0.2,1.3,1.5,7,22,10,0.0,0.27,0.27,0.0,0.27,0.07,0.35,0.41,0.07,0.41,standard,ESP,"MF,FW",28-253,1996.0,3.7,189,6,29,98,69,6,189,9,4,44.4,5,55.6,93,538,328,7,6,1,7,6,109,10,possession,ESP,"MF,FW",28-253,1996.0,3.7,2,0,0,7,7,0,24,5,4,0,0,0,21,3,7,30.0,misc,ESP,"MF,FW",28-253,1996.0,3.7,8,4,4,4,0,4,11,36.4,7,1,0,1,5,13,5,1,defense,ESP,"MF,FW",28-253,1996.0,3.7,85,146,58.2,1612,605,35,42,83.3,38,60,63.3,11,35,31.4,1,1.3,0.7,-0.3,7,15,4,0,22,passing,ESP,"MF,FW",28-253,1996.0,3.7,0,6,0,0.0,1.61,0.0,0.0,,20.7,1,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
ESP-La Liga,2024,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",22-152,2002.0,16,9,877,9.7,0,2,2,0,0,0,1,0,0.1,0.1,0.5,0.6,18,54,18,0.0,0.21,0.21,0.0,0.21,0.01,0.05,0.07,0.01,0.07,standard,FRA,"MF,DF",22-152,2002.0,9.7,787,43,230,399,168,11,787,18,7,38.9,7,38.9,460,2317,1242,18,20,4,6,8,533,18,possession,FRA,"MF,DF",22-152,2002.0,9.7,1,0,0,17,25,1,1,14,21,0,1,0,73,15,15,50.0,misc,FRA,"MF,DF",22-152,2002.0,9.7,36,21,21,12,3,17,28,60.7,11,19,7,12,14,50,19,0,defense,FRA,"MF,DF",22-152,2002.0,9.7,586,660,88.8,9750,2590,278,297,93.6,259,277,93.5,37,57,64.9,2,0.5,0.5,1.5,8,52,3,0,54,passing,FRA,"MF,DF",22-152,2002.0,9.7,0,4,0,0.0,0.41,0.0,0.0,,19.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ESP-La Liga,2024,Athletic Club,Endika Buján,ESP,FW,22-085,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ESP,FW,22-085,2003.0,0.1,7,0,0,0,7,2,7,2,1,50.0,1,50.0,5,26,13,1,0,0,0,0,5,0,possession,ESP,FW,22-085,2003.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,misc,ESP,FW,22-085,2003.0,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,ESP,FW,22-085,2003.0,0.1,4,5,80.0,41,12,4,4,100.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ESP,FW,22-085,2003.0,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Real Madrid,Endrick,BRA,FW,18-264,2006.0,17,0,130,1.4,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,7,5,18,0.69,0.0,0.69,0.69,0.69,0.77,0.21,0.97,0.77,0.97,standard,BRA,FW,18-264,2006.0,1.4,70,1,6,25,39,13,70,7,3,42.9,3,42.9,44,335,186,7,4,6,4,1,56,18,possession,BRA,FW,18-264,2006.0,1.4,1,0,0,7,6,1,0,3,1,1,0,0,3,4,4,50.0,misc,BRA,FW,18-264,2006.0,1.4,1,1,1,0,0,1,3,33.3,2,0,0,0,3,4,1,0,defense,BRA,FW,18-264,2006.0,1.4,32,42,76.2,516,80,14,18,77.8,13,16,81.3,2,2,100.0,0,0.3,0.1,-0.3,2,1,1,0,5,passing,BRA,FW,18-264,2006.0,1.4,1,15,4,26.7,10.38,2.77,0.07,0.25,16.9,0,0,0,1.1,1.1,0.08,-0.1,-0.1,shooting
ESP-La Liga,2024,Leganés,Enric Franquesa,ESP,"DF,FW",28-044,1997.0,12,7,616,6.8,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,11,12,30,0.15,0.0,0.15,0.15,0.15,0.04,0.02,0.06,0.04,0.06,standard,ESP,"DF,FW",28-044,1997.0,6.8,306,12,89,157,68,6,306,21,9,42.9,7,33.3,133,793,337,11,10,2,21,2,151,30,possession,ESP,"DF,FW",28-044,1997.0,6.8,1,0,0,8,6,0,16,5,9,0,0,0,29,5,5,50.0,misc,ESP,"DF,FW",28-044,1997.0,6.8,17,9,9,6,2,9,13,69.2,4,7,1,6,5,22,12,0,defense,ESP,"DF,FW",28-044,1997.0,6.8,158,225,70.2,2513,1004,71,88,80.7,69,93,74.2,11,26,42.3,0,0.1,0.1,-0.1,2,5,2,2,12,passing,ESP,"DF,FW",28-044,1997.0,6.8,1,3,1,33.3,0.44,0.15,0.33,1.0,16.8,0,0,0,0.3,0.3,0.1,0.7,0.7,shooting
ESP-La Liga,2024,Valencia,Enzo Barrenechea,ARG,MF,23-324,2001.0,23,20,1663,18.5,1,2,3,1,0,0,6,0,1.1,1.1,0.8,1.9,18,92,12,0.05,0.11,0.16,0.05,0.16,0.06,0.04,0.1,0.06,0.1,standard,ARG,MF,23-324,2001.0,18.5,1160,54,275,749,147,12,1160,23,11,47.8,10,43.5,528,2315,1092,18,11,0,16,16,754,12,possession,ARG,MF,23-324,2001.0,18.5,6,0,0,19,28,0,3,21,27,1,0,0,88,31,20,60.8,misc,ARG,MF,23-324,2001.0,18.5,47,27,19,22,6,27,37,73.0,10,23,7,16,21,68,40,1,defense,ARG,MF,23-324,2001.0,18.5,834,977,85.4,14535,4037,383,429,89.3,360,398,90.5,77,109,70.6,2,0.8,0.9,1.2,12,106,6,0,92,passing,ARG,MF,23-324,2001.0,18.5,1,11,2,18.2,0.6,0.11,0.09,0.5,17.4,0,0,0,1.1,1.1,0.1,-0.1,-0.1,shooting
ESP-La Liga,2024,Osasuna,Enzo Boyomo,CMR,DF,23-186,2001.0,26,25,2267,25.2,2,0,2,2,0,0,5,0,1.3,1.3,0.8,2.1,11,86,4,0.08,0.0,0.08,0.08,0.08,0.05,0.03,0.08,0.05,0.08,standard,CMR,DF,23-186,2001.0,25.2,1302,152,642,632,42,16,1302,12,7,58.3,4,33.3,720,3484,1983,11,4,0,17,9,789,4,possession,CMR,DF,23-186,2001.0,25.2,5,0,0,37,7,0,1,32,34,0,0,0,95,21,29,42.0,misc,CMR,DF,23-186,2001.0,25.2,53,34,36,14,3,21,27,77.8,6,30,17,13,32,85,96,3,defense,CMR,DF,23-186,2001.0,25.2,917,1058,86.7,17621,6934,318,346,91.9,503,544,92.5,89,147,60.5,0,0.8,0.5,-0.8,3,61,4,0,86,passing,CMR,DF,23-186,2001.0,25.2,2,8,3,37.5,0.32,0.12,0.25,0.67,12.3,0,0,0,1.3,1.3,0.16,0.7,0.7,shooting
ESP-La Liga,2024,Valladolid,Enzo Boyomo,CMR,DF,23-186,2001.0,3,3,270,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,CMR,DF,23-186,2001.0,3.0,215,23,131,79,6,4,215,1,1,100.0,0,0.0,128,563,282,1,0,0,0,0,159,0,possession,CMR,DF,23-186,2001.0,3.0,0,0,0,3,0,0,0,1,2,0,0,0,11,3,5,37.5,misc,CMR,DF,23-186,2001.0,3.0,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0,defense,CMR,DF,23-186,2001.0,3.0,174,190,91.6,3007,1118,75,77,97.4,87,93,93.5,11,19,57.9,0,0.0,0.0,0.0,0,2,0,0,7,passing,CMR,DF,23-186,2001.0,3.0,0,2,0,0.0,0.67,0.0,0.0,,11.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2024,Las Palmas,Enzo Loiodice,FRA,MF,24-135,2000.0,15,5,504,5.6,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,2,20,3,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,standard,FRA,MF,24-135,2000.0,5.6,380,13,74,257,50,3,380,8,3,37.5,4,50.0,212,701,303,2,4,0,9,12,274,3,possession,FRA,MF,24-135,2000.0,5.6,3,0,0,9,5,1,9,5,4,0,0,0,20,6,4,60.0,misc,FRA,MF,24-135,2000.0,5.6,11,4,6,5,0,3,9,33.3,6,4,1,3,5,16,7,2,defense,FRA,MF,24-135,2000.0,5.6,266,317,83.9,4467,1005,131,149,87.9,108,126,85.7,20,28,71.4,0,0.1,0.1,-0.1,3,22,1,0,20,passing,FRA,MF,24-135,2000.0,5.6,0,4,2,50.0,0.71,0.36,0.0,0.0,25.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ESP-La Liga,2024,Valladolid,Eray Cömert,SUI,"DF,MF",27-066,1998.0,20,16,1338,14.9,0,0,0,0,0,0,6,0,0.5,0.5,0.0,0.5,7,37,4,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard,SUI,"DF,MF",27-066,1998.0,14.9,875,84,466,381,30,6,875,3,3,100.0,0,0.0,482,2471,1266,7,3,0,10,2,590,4,possession,SUI,"DF,MF",27-066,1998.0,14.9,6,0,0,16,11,0,0,16,11,0,0,0,38,16,16,50.0,misc,SUI,"DF,MF",27-066,1998.0,14.9,18,11,10,8,0,8,14,57.1,6,22,14,8,16,34,46,1,defense,SUI,"DF,MF",27-066,1998.0,14.9,641,735,87.2,13087,4185,180,206,87.4,388,410,94.6,67,104,64.4,0,0.0,0.1,0.0,0,38,1,0,37,passing,SUI,"DF,MF",27-066,1998.0,14.9,0,8,0,0.0,0.54,0.0,0.0,,23.7,1,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting
ESP-La Liga,2024,Villarreal,Eric Bailly,CIV,DF,30-364,1994.0,10,7,580,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,1,18,0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,standard,CIV,DF,30-364,1994.0,6.4,370,49,179,179,13,5,370,3,3,100.0,0,0.0,185,1004,501,1,4,0,6,1,236,0,possession,CIV,DF,30-364,1994.0,6.4,2,0,0,6,1,0,0,6,3,0,1,0,17,11,7,61.1,misc,CIV,DF,30-364,1994.0,6.4,11,3,5,6,0,2,3,66.7,1,11,6,5,6,17,26,0,defense,CIV,DF,30-364,1994.0,6.4,262,300,87.3,4684,1808,98,103,95.1,139,153,90.8,22,40,55.0,0,0.0,0.0,0.0,0,18,0,0,18,passing,CIV,DF,30-364,1994.0,6.4,0,4,0,0.0,0.62,0.0,0.0,,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting
ESP-La Liga,2024,Barcelona,Eric García,ESP,"MF,DF",24-092,2001.0,21,8,1051,11.7,1,1,2,1,0,0,3,0,1.6,1.6,0.4,2.1,12,75,7,0.09,0.09,0.17,0.09,0.17,0.14,0.04,0.18,0.14,0.18,standard,ESP,"MF,DF",24-092,2001.0,11.7,1011,51,264,623,127,16,1011,8,4,50.0,2,25.0,570,2584,1390,12,10,1,12,5,750,7,possession,ESP,"MF,DF",24-092,2001.0,11.7,3,0,0,16,5,0,1,10,12,0,0,0,40,25,20,55.6,misc,ESP,"MF,DF",24-092,2001.0,11.7,22,12,5,15,2,11,15,73.3,4,17,7,10,10,32,30,0,defense,ESP,"MF,DF",24-092,2001.0,11.7,817,883,92.5,14168,4986,310,343,90.4,440,457,96.3,45,52,86.5,1,0.4,0.8,0.6,4,98,6,0,75,passing,ESP,"MF,DF",24-092,2001.0,11.7,1,10,5,50.0,0.86,0.43,0.1,0.2,10.8,0,0,0,1.6,1.6,0.16,-0.6,-0.6,shooting
ESP-La Liga,2024,Rayo Vallecano,Etienne Eto'o,CMR,FW,22-236,2002.0,2,0,40,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CMR,FW,22-236,2002.0,0.4,13,1,1,5,7,2,13,2,0,0.0,2,100.0,4,9,0,0,0,0,2,0,9,1,possession,CMR,FW,22-236,2002.0,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,75.0,misc,CMR,FW,22-236,2002.0,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,defense,CMR,FW,22-236,2002.0,0.4,1,5,20.0,10,3,1,2,50.0,0,1,0.0,0,0,,0,0.0,0.1,0.0,0,0,0,0,0,passing,CMR,FW,22-236,2002.0,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Betis,Ezequiel Ávila,ARG,FW,31-064,1994.0,19,6,677,7.5,2,0,2,2,0,0,5,1,1.5,1.5,1.0,2.5,12,18,48,0.27,0.0,0.27,0.27,0.27,0.2,0.14,0.34,0.2,0.34,standard,ARG,FW,31-064,1994.0,7.5,323,7,34,131,163,34,323,11,5,45.5,5,45.5,173,767,334,12,7,4,23,7,216,48,possession,ARG,FW,31-064,1994.0,7.5,5,1,0,13,18,5,29,2,3,0,0,0,28,6,8,42.9,misc,ARG,FW,31-064,1994.0,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0,defense,ARG,FW,31-064,1994.0,7.5,166,238,69.7,2762,614,89,110,80.9,56,78,71.8,16,30,53.3,0,1.0,1.0,-1.0,15,1,11,6,18,passing,ARG,FW,31-064,1994.0,7.5,2,20,10,50.0,2.66,1.33,0.1,0.2,17.9,0,0,0,1.5,1.5,0.08,0.5,0.5,shooting
ESP-La Liga,2024,Las Palmas,Fabio González,ESP,MF,28-058,1997.0,2,0,53,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,6,0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,standard,ESP,MF,28-058,1997.0,0.6,57,1,5,41,11,2,57,0,0,,0,,37,178,85,0,0,0,1,0,42,0,possession,ESP,MF,28-058,1997.0,0.6,0,0,0,1,0,0,1,0,0,0,0,0,3,1,0,100.0,misc,ESP,MF,28-058,1997.0,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense,ESP,MF,28-058,1997.0,0.6,43,53,81.1,756,181,20,24,83.3,18,20,90.0,4,5,80.0,0,0.0,0.0,0.0,0,5,0,0,6,passing,ESP,MF,28-058,1997.0,0.6,0,2,0,0.0,3.4,0.0,0.0,,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ESP-La Liga,2024,Alavés,Facundo Garcés,ARG,DF,25-218,1999.0,3,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ARG,DF,25-218,1999.0,0.5,11,6,8,3,0,0,11,0,0,,0,,0,0,0,0,0,0,0,0,0,0,possession,ARG,DF,25-218,1999.0,0.5,0,0,0,1,0,0,0,0,0,0,1,0,0,3,2,60.0,misc,ARG,DF,25-218,1999.0,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,defense,ARG,DF,25-218,1999.0,0.5,2,3,66.7,52,39,1,1,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,passing,ARG,DF,25-218,1999.0,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Real Madrid,Federico Valverde,URU,"MF,DF",26-263,1998.0,28,26,2313,25.7,5,3,8,5,0,0,3,0,1.9,1.9,2.5,4.5,50,172,52,0.19,0.12,0.31,0.19,0.31,0.07,0.1,0.17,0.07,0.17,standard,URU,"MF,DF",26-263,1998.0,25.7,1958,73,397,1142,433,27,1958,21,12,57.1,7,33.3,1122,6257,3113,50,45,3,30,1,1453,52,possession,URU,"MF,DF",26-263,1998.0,25.7,3,0,0,9,14,1,20,50,24,0,0,0,133,21,12,63.6,misc,URU,"MF,DF",26-263,1998.0,25.7,39,24,15,19,5,23,34,67.6,11,31,4,27,50,89,38,1,defense,URU,"MF,DF",26-263,1998.0,25.7,1537,1718,89.5,27159,7937,718,770,93.2,620,657,94.4,159,209,76.1,3,2.5,2.6,0.5,31,175,24,1,172,passing,URU,"MF,DF",26-263,1998.0,25.7,5,35,16,45.7,1.36,0.62,0.14,0.31,28.2,5,0,0,1.9,1.9,0.05,3.1,3.1,shooting
ESP-La Liga,2024,Celta Vigo,Fer López,,"FW,MF",,,10,3,322,3.6,1,0,1,1,0,0,2,0,0.6,0.6,1.2,1.8,13,25,27,0.28,0.0,0.28,0.28,0.28,0.16,0.34,0.5,0.16,0.5,standard,,"FW,MF",,,3.6,191,5,15,89,92,11,191,17,9,52.9,7,41.2,131,906,449,13,10,3,18,12,153,27,possession,,"FW,MF",,,3.6,2,0,0,11,3,0,2,1,3,0,0,0,12,1,3,25.0,misc,,"FW,MF",,,3.6,6,3,1,3,2,0,5,0.0,5,6,0,6,1,7,6,0,defense,,"FW,MF",,,3.6,108,130,83.1,1729,438,54,60,90.0,45,54,83.3,6,10,60.0,0,1.2,1.1,-1.2,6,9,9,0,25,passing,,"FW,MF",,,3.6,1,9,2,22.2,2.52,0.56,0.11,0.5,20.5,0,0,0,0.6,0.6,0.06,0.4,0.4,shooting
ESP-La Liga,2024,Real Madrid,Ferland Mendy,FRA,DF,29-307,1995.0,14,12,1005,11.2,0,1,1,0,0,0,1,1,0.0,0.0,0.5,0.5,12,36,40,0.0,0.09,0.09,0.0,0.09,0.0,0.05,0.05,0.0,0.05,standard,FRA,DF,29-307,1995.0,11.2,739,30,188,408,149,4,739,6,3,50.0,3,50.0,447,1626,717,12,10,1,10,9,535,40,possession,FRA,DF,29-307,1995.0,11.2,1,1,0,5,7,0,1,9,14,0,0,0,36,4,2,66.7,misc,FRA,DF,29-307,1995.0,11.2,17,14,7,6,4,9,12,75.0,3,11,4,7,9,26,8,1,defense,FRA,DF,29-307,1995.0,11.2,630,671,93.9,9091,2431,387,399,97.0,199,212,93.9,32,38,84.2,1,0.5,0.7,0.5,3,44,1,0,36,passing,FRA,DF,29-307,1995.0,11.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2024,Barcelona,Fermin López,ESP,"MF,FW",21-335,2003.0,20,7,789,8.8,3,4,7,3,0,0,3,1,3.5,3.5,2.2,5.6,21,47,65,0.34,0.46,0.8,0.34,0.8,0.4,0.25,0.64,0.4,0.64,standard,ESP,"MF,FW",21-335,2003.0,8.8,535,5,41,238,262,36,535,39,17,43.6,19,48.7,304,1607,715,21,14,6,22,7,406,65,possession,ESP,"MF,FW",21-335,2003.0,8.8,3,1,0,17,15,3,21,4,13,0,0,0,42,7,17,29.2,misc,ESP,"MF,FW",21-335,2003.0,8.8,15,13,3,6,6,6,22,27.3,16,7,0,7,4,19,3,0,defense,ESP,"MF,FW",21-335,2003.0,8.8,347,417,83.2,5179,1272,194,217,89.4,109,127,85.8,21,34,61.8,4,2.2,3.1,1.8,14,37,14,4,47,passing,ESP,"MF,FW",21-335,2003.0,8.8,3,23,7,30.4,2.62,0.8,0.13,0.43,18.2,0,0,0,3.5,3.5,0.15,-0.5,-0.5,shooting
ESP-La Liga,2024,Espanyol,Fernando Calero,ESP,"DF,MF",29-209,1995.0,14,3,436,4.8,1,0,1,1,0,0,0,0,0.3,0.3,0.0,0.3,0,7,1,0.21,0.0,0.21,0.21,0.21,0.06,0.0,0.06,0.06,0.06,standard,ESP,"DF,MF",29-209,1995.0,4.8,256,40,159,86,12,2,256,0,0,,0,,106,446,239,0,2,0,4,0,137,1,possession,ESP,"DF,MF",29-209,1995.0,4.8,0,0,0,4,5,0,0,12,4,0,0,0,14,6,8,42.9,misc,ESP,"DF,MF",29-209,1995.0,4.8,9,4,7,2,0,4,5,80.0,1,9,6,3,12,21,29,0,defense,ESP,"DF,MF",29-209,1995.0,4.8,156,187,83.4,3211,1255,50,52,96.2,77,88,87.5,26,39,66.7,0,0.0,0.0,0.0,1,8,0,0,7,passing,ESP,"DF,MF",29-209,1995.0,4.8,1,2,1,50.0,0.41,0.21,0.5,1.0,9.1,0,0,0,0.3,0.3,0.14,0.7,0.7,shooting
