league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
FRA-Ligue 1,2022,Brest,Pierre Lees-Melou,FRA,MF,29,1993,30.7,10,1,0,43,47,1,41,52,55,0,2,0,278,18,10,64.3,misc
FRA-Ligue 1,2022,Brest,Romain Del Castillo,FRA,"MF,FW",26,1996,15.8,2,0,0,19,24,1,101,11,24,1,0,0,86,18,24,42.9,misc
FRA-Ligue 1,2022,Brest,Steve Mounié,BEN,FW,27,1994,18.4,2,0,0,37,25,10,9,3,5,0,0,0,49,150,105,58.8,misc
FRA-Ligue 1,2022,Brest,Taïryk Arconte,FRA,FW,18,2003,1.4,0,0,0,1,2,1,1,0,1,0,0,0,3,3,3,50.0,misc
FRA-Ligue 1,2022,Brest,Youcef Belaïli,ALG,"FW,MF",30,1992,4.0,3,0,0,11,8,2,21,1,2,0,0,0,19,2,1,66.7,misc
FRA-Ligue 1,2022,Clermont Foot,Alidu Seidu,GHA,DF,22,2000,27.3,10,1,0,33,70,1,22,52,31,0,1,0,203,26,9,74.3,misc
FRA-Ligue 1,2022,Clermont Foot,Arial Mendy,SEN,DF,27,1994,2.5,0,0,0,1,7,1,10,4,2,0,1,0,14,5,4,55.6,misc
FRA-Ligue 1,2022,Clermont Foot,Aïman Maurer,MAR,MF,17,2004,5.6,0,0,0,5,15,2,19,3,1,0,0,0,21,3,7,30.0,misc
FRA-Ligue 1,2022,Clermont Foot,Baila Diallo,FRA,"DF,MF",21,2001,1.0,0,0,0,3,1,0,5,0,0,0,0,0,3,4,4,50.0,misc
FRA-Ligue 1,2022,Clermont Foot,Brandon Baiye,BEL,MF,21,2000,0.6,0,0,0,0,0,0,0,1,2,0,0,0,2,0,1,0.0,misc
FRA-Ligue 1,2022,Clermont Foot,Cheick Konaté,MLI,DF,18,2004,6.4,2,0,0,9,4,0,4,13,12,0,0,0,42,3,5,37.5,misc
FRA-Ligue 1,2022,Clermont Foot,Elba Rashani,KVX,"MF,FW",29,1993,24.0,3,0,0,36,29,4,58,21,26,1,0,0,101,16,42,27.6,misc
FRA-Ligue 1,2022,Clermont Foot,Florent Ogier,FRA,DF,33,1989,18.9,4,0,0,15,9,0,3,18,16,0,1,0,87,28,27,50.9,misc
FRA-Ligue 1,2022,Clermont Foot,Grejohn Kyei,FRA,FW,26,1995,24.8,3,0,0,58,42,15,7,6,7,1,0,0,51,48,65,42.5,misc
FRA-Ligue 1,2022,Clermont Foot,Jason Berthomier,FRA,MF,32,1990,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,misc
FRA-Ligue 1,2022,Clermont Foot,Jean-Claude Billong,CMR,MF,28,1993,0.3,0,0,0,0,0,0,1,1,0,0,0,0,3,2,2,50.0,misc
FRA-Ligue 1,2022,Clermont Foot,Jim Allevinah,GAB,"DF,FW",27,1995,24.9,2,0,0,22,53,1,65,24,24,0,0,0,153,12,17,41.4,misc
FRA-Ligue 1,2022,Clermont Foot,Jodel Dossou,BEN,"MF,DF",30,1992,2.9,0,0,0,3,3,3,10,1,4,0,0,0,7,1,4,20.0,misc
FRA-Ligue 1,2022,Clermont Foot,Johan Gastien,FRA,MF,34,1988,28.9,7,0,0,19,33,0,67,36,34,0,1,0,224,10,10,50.0,misc
FRA-Ligue 1,2022,Clermont Foot,Jérémie Bela,ANG,"DF,MF",29,1993,8.3,0,0,0,7,17,0,34,9,4,0,0,0,29,2,0,100.0,misc
FRA-Ligue 1,2022,Clermont Foot,Komnen Andrić,SRB,FW,27,1995,16.1,4,0,0,16,41,7,1,8,5,1,1,0,37,45,59,43.3,misc
