league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2023,Cagliari,Alessandro Di Pardo,ITA,"DF,MF",24,1999,4.0,0,0,0,3,2,1,18,5,1,0,2,0,26,4,2,66.7,misc
ITA-Serie A,2023,Cagliari,Andrea Petagna,ITA,FW,28,1995,11.1,2,0,0,18,22,2,2,1,2,0,1,0,25,26,30,46.4,misc
ITA-Serie A,2023,Cagliari,Antoine Makoumbou,CGO,MF,25,1998,30.0,5,2,1,28,28,1,11,16,24,0,0,0,159,11,20,35.5,misc
ITA-Serie A,2023,Cagliari,Boris Radunović,SRB,GK,27,1996,7.0,0,0,0,0,2,0,0,1,0,0,0,0,6,1,1,50.0,misc
ITA-Serie A,2023,Cagliari,Edoardo Goldaniga,ITA,DF,29,1993,11.2,3,0,0,14,10,3,10,15,7,0,0,0,37,18,18,50.0,misc
ITA-Serie A,2023,Cagliari,Eldor Shomurodov,UZB,"FW,MF",28,1995,10.4,1,0,0,11,11,2,7,4,4,0,0,0,38,21,44,32.3,misc
ITA-Serie A,2023,Cagliari,Gabriele Zappa,ITA,DF,23,1999,28.5,2,0,0,21,15,0,77,20,31,0,0,0,109,19,32,37.3,misc
ITA-Serie A,2023,Cagliari,Gaetano Oristanio,ITA,"FW,MF",20,2002,12.3,1,0,0,37,28,2,32,9,10,0,0,0,67,17,22,43.6,misc
ITA-Serie A,2023,Cagliari,Gianluca Gaetano,ITA,"FW,MF",23,2000,8.3,1,1,0,10,12,3,15,3,4,0,0,0,41,4,24,14.3,misc
ITA-Serie A,2023,Cagliari,Gianluca Lapadula,PER,FW,33,1990,13.4,3,0,0,22,18,15,7,2,1,1,0,0,27,21,31,40.4,misc
ITA-Serie A,2023,Cagliari,Ibrahim Sulemana,GHA,MF,20,2003,14.9,4,0,0,18,11,1,13,7,14,0,0,0,85,13,19,40.6,misc
ITA-Serie A,2023,Cagliari,Jakub Jankto,CZE,"MF,FW",27,1996,9.7,0,0,0,9,8,1,26,5,9,0,0,0,33,3,8,27.3,misc
ITA-Serie A,2023,Cagliari,Kingstone Mutandwa,ZAM,"FW,MF",20,2003,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,50.0,misc
ITA-Serie A,2023,Cagliari,Leonardo Pavoletti,ITA,FW,34,1988,7.0,4,0,0,19,7,1,1,0,1,1,0,0,12,57,41,58.2,misc
ITA-Serie A,2023,Cagliari,Marco Mancosu,ITA,"MF,FW",34,1988,1.7,0,0,0,3,1,2,4,0,0,0,0,0,8,0,4,0.0,misc
ITA-Serie A,2023,Cagliari,Mateusz Wieteska,POL,DF,26,1997,10.7,5,1,1,12,6,0,4,14,11,0,0,0,47,27,18,60.0,misc
ITA-Serie A,2023,Cagliari,Matteo Prati,ITA,MF,19,2003,21.9,4,0,0,19,6,0,15,15,25,0,0,0,115,9,13,40.9,misc
ITA-Serie A,2023,Cagliari,Nahitan Nández,URU,"MF,DF",27,1995,26.0,7,0,0,52,32,9,154,19,40,0,0,0,135,37,46,44.6,misc
ITA-Serie A,2023,Cagliari,Nicolas Viola,ITA,"MF,FW",33,1989,13.4,3,0,0,16,25,2,134,2,9,0,1,0,49,18,32,36.0,misc
ITA-Serie A,2023,Cagliari,Pantelis Hatzidiakos,GRE,DF,26,1997,9.5,1,0,0,7,4,0,6,13,10,0,0,0,50,5,9,35.7,misc
ITA-Serie A,2023,Cagliari,Paulo Azzi,BRA,"DF,MF",29,1994,10.6,1,0,0,5,4,4,48,16,11,0,0,0,59,13,11,54.2,misc
ITA-Serie A,2023,Cagliari,Simone Aresti,ITA,GK,37,1986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2023,Cagliari,Simone Scuffet,ITA,GK,27,1996,31.0,3,0,0,0,4,0,0,1,0,0,0,0,38,4,0,100.0,misc
ITA-Serie A,2023,Cagliari,Tommaso Augello,ITA,DF,28,1994,26.9,5,0,0,15,14,1,153,17,19,0,0,0,147,34,28,54.8,misc
ITA-Serie A,2023,Cagliari,Yerry Mina,COL,DF,28,1994,13.5,4,0,0,17,18,0,2,4,13,0,1,0,57,35,14,71.4,misc
ITA-Serie A,2023,Cagliari,Zito Luvumbo,ANG,"FW,MF",21,2002,21.6,5,0,0,31,67,14,82,1,6,1,0,0,71,4,27,12.9,misc
ITA-Serie A,2023,Empoli,Alberto Cerri,ITA,FW,27,1996,6.1,2,0,0,15,9,6,1,3,3,0,0,0,18,41,30,57.7,misc
ITA-Serie A,2023,Empoli,Alberto Grassi,ITA,MF,28,1995,20.1,6,1,1,22,33,0,5,41,18,0,0,1,124,28,30,48.3,misc
ITA-Serie A,2023,Empoli,Andrea Sodero,ITA,MF,18,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2023,Empoli,Ardian Ismajli,ALB,DF,26,1996,22.7,2,0,0,18,16,0,4,23,16,0,1,0,72,52,39,57.1,misc
ITA-Serie A,2023,Empoli,Bartosz Bereszyński,POL,DF,31,1992,19.6,3,0,0,23,15,0,16,21,25,0,0,0,81,23,16,59.0,misc
ITA-Serie A,2023,Empoli,Daniel Maldini,ITA,"FW,MF",21,2001,2.9,1,0,0,8,5,0,5,2,2,0,0,0,6,7,5,58.3,misc
ITA-Serie A,2023,Empoli,Elia Caprile,ITA,GK,21,2001,23.0,0,0,0,1,7,0,0,0,0,0,0,0,18,10,2,83.3,misc
ITA-Serie A,2023,Empoli,Emmanuel Ekong,SWE,FW,21,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2023,Empoli,Emmanuel Gyasi,GHA,"DF,FW",29,1994,20.9,8,0,0,40,21,6,23,5,17,0,0,0,90,17,37,31.5,misc
ITA-Serie A,2023,Empoli,Etrit Berisha,ALB,GK,34,1989,14.0,0,0,0,0,2,0,0,0,0,0,0,0,26,7,0,100.0,misc
