league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_shooting,pos_shooting,age_shooting,born_shooting,90s,Standard Gls,Standard Sh,Standard SoT,Standard Sh/90,Standard SoT/90,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Tkld,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_defense,pos_defense,age_defense,born_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense
ITA-Serie A,2021,Sassuolo,Manuel Locatelli,ITA,MF,22,1998,34,32,2883,32.0,4,2,6,2,2,2,9,0,3.7,2.1,2.8,4.9,48,315,77,0.12,0.06,0.19,0.06,0.12,0.11,0.09,0.2,0.07,0.15,standard,ITA,MF,22,1998,32.0,4,39,7,1.22,0.22,6,2,2,3.7,2.1,0.3,-0.1,shooting,ITA,MF,22,1998,9,0,0,52,48,1,41,51,47,1,1,0,239,48,45,misc,ITA,MF,22,1998,3164,150,697,1972,519,49,3162,36,27,9,1795,7719,3982,48,52,7,45,33,2467,77,possession,ITA,MF,22,1998,32.0,2440,2802,87.1,41731,14137,1213,1295,93.7,931,1035,90.0,249,365,2,2.8,3.4,-0.8,38,325,35,5,315,passing,ITA,MF,22,1998,81,47,43,28,10,29,56,27,35,15,20,51,132,65,1,defense
ITA-Serie A,2021,Roma,Marash Kumbulla,ALB,DF,20,2000,21,14,1363,15.1,1,0,1,1,0,0,8,0,0.9,0.9,0.5,1.4,9,43,3,0.07,0.0,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09,standard,ALB,DF,20,2000,15.1,1,6,2,0.4,0.13,0,0,0,0.9,0.9,0.1,0.1,shooting,ALB,DF,20,2000,8,0,0,26,14,0,1,24,11,0,0,0,52,26,19,misc,ALB,DF,20,2000,907,68,373,500,37,9,907,4,4,0,537,2447,1328,9,8,0,7,3,664,3,possession,ALB,DF,20,2000,15.1,701,791,88.6,12503,3644,295,323,91.3,353,371,95.1,48,77,0,0.5,0.2,-0.5,4,26,0,0,43,passing,ALB,DF,20,2000,16,11,8,7,1,5,17,12,12,5,7,24,40,38,1,defense
ITA-Serie A,2021,Juventus,Merih Demiral,TUR,DF,22,1998,15,10,940,10.4,0,1,1,0,0,0,1,0,0.5,0.5,0.5,1.0,2,22,2,0.0,0.1,0.1,0.0,0.1,0.04,0.05,0.1,0.04,0.1,standard,TUR,DF,22,1998,10.4,0,6,2,0.57,0.19,0,0,0,0.5,0.5,-0.5,-0.5,shooting,TUR,DF,22,1998,1,0,0,11,1,2,1,21,9,0,1,0,32,22,11,misc,TUR,DF,22,1998,735,95,388,326,25,10,735,4,2,2,378,1960,792,2,3,0,3,2,535,2,possession,TUR,DF,22,1998,10.4,587,625,93.9,10490,3345,209,219,95.4,333,343,97.1,38,52,1,0.5,0.1,0.5,4,20,0,0,22,passing,TUR,DF,22,1998,12,9,8,4,0,5,13,8,16,9,7,21,33,40,0,defense
ITA-Serie A,2021,Sassuolo,Mert Müldür,TUR,DF,21,1999,28,18,1672,18.6,0,0,0,0,0,0,2,0,0.8,0.8,0.6,1.4,49,81,123,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.07,0.04,0.07,standard,TUR,DF,21,1999,18.6,0,15,1,0.81,0.05,0,0,0,0.8,0.8,-0.8,-0.8,shooting,TUR,DF,21,1999,2,0,0,20,15,0,48,36,20,0,0,0,86,19,21,misc,TUR,DF,21,1999,1241,64,377,512,365,41,1241,39,20,19,654,3065,1809,49,21,6,27,10,769,123,possession,TUR,DF,21,1999,18.6,813,1027,79.2,12826,3819,441,504,87.5,301,373,80.7,54,87,0,0.6,1.0,-0.6,9,57,15,3,81,passing,TUR,DF,21,1999,43,20,26,9,8,27,53,26,17,1,16,36,79,41,0,defense
ITA-Serie A,2021,Hellas Verona,Miguel Veloso,POR,MF,34,1986,21,15,1316,14.6,2,2,4,0,2,2,1,0,1.9,0.4,0.7,1.1,19,85,11,0.14,0.14,0.27,0.0,0.14,0.14,0.05,0.19,0.03,0.08,standard,POR,MF,34,1986,14.6,2,10,2,0.68,0.14,2,2,2,1.9,0.4,0.1,-0.4,shooting,POR,MF,34,1986,1,0,0,19,10,0,37,12,17,0,0,0,98,24,22,misc,POR,MF,34,1986,928,33,180,607,150,4,926,12,9,3,470,2385,1242,19,7,0,18,1,555,11,possession,POR,MF,34,1986,14.6,606,798,75.9,11245,3313,229,273,83.9,289,345,83.8,70,127,2,0.7,1.1,1.3,11,83,9,3,85,passing,POR,MF,34,1986,24,17,10,10,4,12,34,22,12,1,11,12,36,25,0,defense
ITA-Serie A,2021,Genoa,Miha Zajc,SVN,MF,26,1994,31,22,1863,20.7,1,3,4,1,0,0,4,0,1.8,1.8,2.1,3.9,42,96,42,0.05,0.14,0.19,0.05,0.19,0.08,0.1,0.19,0.08,0.19,standard,SVN,MF,26,1994,20.7,1,19,4,0.92,0.19,3,0,0,1.8,1.8,-0.8,-0.8,shooting,SVN,MF,26,1994,4,0,0,27,27,3,77,27,14,0,0,0,107,18,26,misc,SVN,MF,26,1994,1300,24,219,735,365,34,1300,46,27,19,772,4106,1921,42,31,7,49,20,892,42,possession,SVN,MF,26,1994,20.7,851,1071,79.5,13795,2984,425,464,91.6,297,367,80.9,77,140,3,2.1,2.2,0.9,19,63,17,2,96,passing,SVN,MF,26,1994,22,14,9,10,3,13,39,26,30,4,26,27,49,19,0,defense
ITA-Serie A,2021,Milan,Léo Duarte,BRA,DF,24,1996,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,BRA,DF,24,1996,0.2,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,BRA,DF,24,1996,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,misc,BRA,DF,24,1996,14,1,12,2,0,0,14,0,0,0,8,31,11,0,1,0,0,0,11,0,possession,BRA,DF,24,1996,0.2,12,12,100.0,237,54,2,2,100.0,10,10,100.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,passing,BRA,DF,24,1996,1,1,0,1,0,0,0,0,0,0,0,1,2,0,0,defense
ITA-Serie A,2021,Spezia,Léo Sena,BRA,MF,24,1995,16,8,885,9.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,30,92,12,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,standard,BRA,MF,24,1995,9.8,0,2,0,0.2,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,BRA,MF,24,1995,0,0,0,7,61,0,12,11,12,0,0,0,77,4,11,misc,BRA,MF,24,1995,722,12,114,486,140,2,722,43,36,7,512,3957,2322,30,34,2,10,11,536,12,possession,BRA,MF,24,1995,9.8,543,624,87.0,11724,3219,174,193,90.2,236,261,90.4,121,144,0,0.1,0.5,-0.1,2,113,5,1,92,passing,BRA,MF,24,1995,22,12,7,10,5,12,26,14,19,4,15,11,33,5,0,defense
ITA-Serie A,2021,Spezia,M'Bala Nzola,ANG,FW,23,1996,25,21,1896,21.1,11,3,14,7,4,4,5,0,9.3,6.2,2.1,8.3,26,25,119,0.52,0.14,0.66,0.33,0.47,0.44,0.1,0.54,0.29,0.39,standard,ANG,FW,23,1996,21.1,11,41,14,1.95,0.66,0,4,4,9.3,6.2,1.7,0.8,shooting,ANG,FW,23,1996,5,0,0,55,27,26,2,3,5,0,1,0,54,41,84,misc,ANG,FW,23,1996,728,21,41,337,359,95,724,43,27,16,415,2208,780,26,23,13,83,41,536,119,possession,ANG,FW,23,1996,21.1,388,464,83.6,5607,516,225,262,85.9,112,125,89.6,24,26,3,2.1,1.4,0.9,22,15,5,0,25,passing,ANG,FW,23,1996,12,5,2,6,4,4,7,3,15,1,14,3,15,20,0,defense
ITA-Serie A,2021,Udinese,Mamadou Coulibaly,SEN,MF,21,1999,3,2,184,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,12,22,0.0,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.04,0.1,standard,SEN,MF,21,1999,2.0,0,2,0,0.98,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,SEN,MF,21,1999,0,0,0,3,1,1,3,1,8,0,0,0,13,0,7,misc,SEN,MF,21,1999,110,1,11,63,36,2,110,3,2,1,51,237,68,1,0,0,6,4,63,22,possession,SEN,MF,21,1999,2.0,59,80,73.8,943,252,28,37,75.7,19,23,82.6,7,8,0,0.1,0.2,-0.1,2,9,3,1,12,passing,SEN,MF,21,1999,10,8,5,5,0,0,0,0,2,0,2,1,11,0,0,defense
ITA-Serie A,2021,Cagliari,Mattéo Tramoni,FRA,"MF,FW",20,2000,6,0,74,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,standard,FRA,"MF,FW",20,2000,0.8,0,1,0,1.22,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,FRA,"MF,FW",20,2000,1,0,0,1,1,0,0,1,2,0,0,0,4,0,2,misc,FRA,"MF,FW",20,2000,34,1,10,13,11,0,34,2,0,2,13,50,14,0,1,0,2,1,14,3,possession,FRA,"MF,FW",20,2000,0.8,11,16,68.8,128,54,9,11,81.8,2,2,100.0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,passing,FRA,"MF,FW",20,2000,4,2,2,1,1,1,2,1,5,0,5,1,5,2,0,defense
ITA-Serie A,2021,Inter,Matías Vecino,URU,MF,28,1991,8,3,283,3.1,1,1,2,1,0,0,0,0,0.8,0.8,0.6,1.4,3,11,6,0.32,0.32,0.64,0.32,0.64,0.25,0.19,0.45,0.25,0.45,standard,URU,MF,28,1991,3.1,1,6,3,1.91,0.95,0,0,0,0.8,0.8,0.2,0.2,shooting,URU,MF,28,1991,0,0,0,3,2,0,2,4,1,0,0,0,7,3,4,misc,URU,MF,28,1991,151,6,38,83,30,6,151,2,1,1,85,361,190,3,3,1,0,1,115,6,possession,URU,MF,28,1991,3.1,103,126,81.7,1494,523,54,61,88.5,33,41,80.5,8,9,1,0.6,0.2,0.4,4,10,1,0,11,passing,URU,MF,28,1991,1,1,0,0,1,0,5,5,7,1,6,4,5,3,0,defense
ITA-Serie A,2021,Parma,Maxime Busi,BEL,DF,20,1999,24,11,1195,13.3,0,1,1,0,0,0,3,0,0.5,0.5,1.2,1.6,28,66,63,0.0,0.08,0.08,0.0,0.08,0.04,0.09,0.12,0.04,0.12,standard,BEL,DF,20,1999,13.3,0,8,2,0.6,0.15,0,0,0,0.5,0.5,-0.5,-0.5,shooting,BEL,DF,20,1999,3,0,0,23,8,1,32,16,13,0,2,0,74,9,25,misc,BEL,DF,20,1999,937,48,293,470,183,11,937,28,12,16,538,2527,1488,28,13,4,21,5,602,63,possession,BEL,DF,20,1999,13.3,652,786,83.0,11221,3823,322,347,92.8,245,286,85.7,65,110,1,1.2,0.9,-0.2,7,56,14,8,66,passing,BEL,DF,20,1999,23,13,19,3,1,11,28,17,14,1,13,16,39,32,0,defense
ITA-Serie A,2021,Sassuolo,Maxime Lopez,FRA,MF,22,1997,29,22,1864,20.7,2,0,2,2,0,0,7,0,1.2,1.2,1.4,2.6,45,150,42,0.1,0.0,0.1,0.1,0.1,0.06,0.07,0.13,0.06,0.13,standard,FRA,MF,22,1997,20.7,2,10,4,0.48,0.19,0,0,0,1.2,1.2,0.8,0.8,shooting,FRA,MF,22,1997,7,0,0,24,22,0,38,16,13,0,0,0,100,3,10,misc,FRA,MF,22,1997,1817,39,259,1160,408,18,1817,25,18,7,1129,5335,2645,45,40,7,16,11,1525,42,possession,FRA,MF,22,1997,20.7,1567,1699,92.2,22138,5489,930,971,95.8,509,545,93.4,68,97,0,1.4,1.9,-1.4,20,161,24,0,150,passing,FRA,MF,22,1997,24,13,15,6,3,14,41,27,9,0,9,16,40,10,1,defense
ITA-Serie A,2021,Fiorentina,Maximiliano Olivera,URU,DF,28,1992,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,URU,DF,28,1992,1.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,URU,DF,28,1992,0,0,0,1,1,0,0,0,0,0,0,0,2,1,2,misc,URU,DF,28,1992,44,6,14,28,2,0,44,0,0,0,16,57,19,0,0,0,1,0,24,0,possession,URU,DF,28,1992,1.0,26,29,89.7,604,218,5,5,100.0,14,16,87.5,7,7,0,0.0,0.0,0.0,0,4,0,0,1,passing,URU,DF,28,1992,2,0,1,1,0,1,1,0,3,1,2,0,2,8,0,defense
ITA-Serie A,2021,Sampdoria,Maya Yoshida,JPN,DF,31,1988,32,25,2274,25.3,1,2,3,1,0,0,5,0,1.8,1.8,0.8,2.6,6,55,3,0.04,0.08,0.12,0.04,0.12,0.07,0.03,0.1,0.07,0.1,standard,JPN,DF,31,1988,25.3,1,11,1,0.44,0.04,0,0,0,1.8,1.8,-0.8,-0.8,shooting,JPN,DF,31,1988,5,0,0,16,20,0,0,57,4,0,0,0,136,46,25,misc,JPN,DF,31,1988,1471,246,834,597,46,24,1471,6,5,1,750,3400,1626,6,8,1,12,0,864,3,possession,JPN,DF,31,1988,25.3,1035,1219,84.9,21877,7569,298,339,87.9,583,623,93.6,147,236,2,0.8,0.9,1.2,7,53,1,0,55,passing,JPN,DF,31,1988,17,4,10,7,0,7,13,6,45,34,11,57,74,93,1,defense
ITA-Serie A,2021,Sassuolo,Mehdi Bourabia,MAR,MF,28,1991,15,4,528,5.9,1,0,1,1,0,0,2,0,0.5,0.5,0.1,0.6,5,13,5,0.17,0.0,0.17,0.17,0.17,0.09,0.02,0.1,0.09,0.1,standard,MAR,MF,28,1991,5.9,1,9,3,1.53,0.51,3,0,0,0.5,0.5,0.5,0.5,shooting,MAR,MF,28,1991,2,0,0,15,6,0,5,12,5,0,1,0,43,14,5,misc,MAR,MF,28,1991,444,27,113,257,77,4,444,15,8,7,225,977,483,5,11,0,9,4,308,5,possession,MAR,MF,28,1991,5.9,302,363,83.2,4356,951,180,197,91.4,95,118,80.5,16,25,0,0.1,0.2,-0.1,2,27,2,0,13,passing,MAR,MF,28,1991,6,5,1,4,1,2,7,5,14,6,8,12,18,8,0,defense
ITA-Serie A,2021,Sampdoria,Mehdi Léris,ALG,"DF,MF",22,1998,20,3,386,4.3,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,17,19,36,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.1,0.02,0.1,standard,ALG,"DF,MF",22,1998,4.3,0,2,1,0.47,0.23,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ALG,"DF,MF",22,1998,1,0,0,13,3,0,17,12,5,0,0,0,43,7,8,misc,ALG,"DF,MF",22,1998,305,22,77,126,111,10,305,14,6,8,162,1047,566,17,9,4,9,4,179,36,possession,ALG,"DF,MF",22,1998,4.3,174,233,74.7,2680,771,102,120,85.0,49,64,76.6,16,29,0,0.4,0.3,-0.4,8,12,6,1,19,passing,ALG,"DF,MF",22,1998,11,5,6,4,1,6,16,10,12,2,10,12,23,15,0,defense
ITA-Serie A,2021,Benevento,Luca Caldirola,ITA,DF,29,1991,25,17,1572,17.5,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.1,18,48,6,0.11,0.0,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,standard,ITA,DF,29,1991,17.5,2,7,3,0.4,0.17,0,0,0,0.9,0.9,1.1,1.1,shooting,ITA,DF,29,1991,6,1,1,20,25,1,3,20,13,0,0,0,60,26,25,misc,ITA,DF,29,1991,956,120,496,424,39,14,956,0,0,0,508,3327,2305,18,7,0,3,3,592,6,possession,ITA,DF,29,1991,17.5,681,806,84.5,13020,5025,250,274,91.2,347,387,89.7,72,127,0,0.2,0.2,-0.2,4,46,4,1,48,passing,ITA,DF,29,1991,21,13,13,6,2,10,22,12,20,15,5,20,41,56,0,defense
ITA-Serie A,2021,Cagliari,Luca Ceppitelli,ITA,DF,30,1989,19,16,1465,16.3,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,10,51,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard,ITA,DF,30,1989,16.3,0,7,1,0.43,0.06,0,0,0,0.5,0.5,-0.5,-0.5,shooting,ITA,DF,30,1989,3,0,0,15,13,1,11,25,19,0,0,0,77,46,29,misc,ITA,DF,30,1989,989,119,462,472,61,14,989,2,2,0,512,2183,1297,10,3,0,9,2,641,4,possession,ITA,DF,30,1989,16.3,703,846,83.1,13465,4685,259,297,87.2,355,386,92.0,78,135,0,0.1,0.2,-0.1,2,53,5,1,51,passing,ITA,DF,30,1989,25,19,13,10,2,14,26,12,23,12,11,25,50,58,1,defense
ITA-Serie A,2021,Crotone,Luca Cigarini,ITA,MF,34,1986,14,13,929,10.3,0,0,0,0,0,0,5,1,0.6,0.6,1.7,2.3,14,90,8,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,standard,ITA,MF,34,1986,10.3,0,15,2,1.45,0.19,3,0,0,0.6,0.6,-0.6,-0.6,shooting,ITA,MF,34,1986,5,1,1,27,18,0,24,12,14,1,0,0,65,9,9,misc,ITA,MF,34,1986,858,31,194,529,141,4,858,12,8,4,443,1865,1016,14,7,2,10,10,618,8,possession,ITA,MF,34,1986,10.3,628,757,83.0,11941,4614,269,289,93.1,253,295,85.8,93,135,0,1.7,1.0,-1.7,16,89,11,2,90,passing,ITA,MF,34,1986,26,14,11,12,3,12,28,16,10,1,9,12,38,9,0,defense
ITA-Serie A,2021,Crotone,Luca Marrone,ITA,DF,30,1990,21,18,1588,17.6,0,0,0,0,0,0,8,0,0.4,0.4,0.0,0.4,4,33,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,ITA,DF,30,1990,17.6,0,4,2,0.23,0.11,0,0,0,0.4,0.4,-0.4,-0.4,shooting,ITA,DF,30,1990,8,0,0,36,10,0,0,26,18,0,1,1,105,20,22,misc,ITA,DF,30,1990,1169,215,717,443,11,5,1169,2,1,1,707,3139,1509,4,2,0,5,1,780,0,possession,ITA,DF,30,1990,17.6,891,1018,87.5,17532,6431,276,295,93.6,524,564,92.9,86,146,0,0.0,0.1,0.0,0,20,1,0,33,passing,ITA,DF,30,1990,25,18,16,9,0,13,21,8,22,11,11,26,51,56,1,defense
ITA-Serie A,2021,Spezia,Luca Mora,ITA,MF,32,1988,4,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,4,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,ITA,MF,32,1988,1.3,0,1,1,0.8,0.8,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,MF,32,1988,0,0,0,2,2,0,1,0,1,0,0,0,5,5,1,misc,ITA,MF,32,1988,76,4,15,41,20,2,76,1,1,0,40,166,79,0,3,0,4,3,56,4,possession,ITA,MF,32,1988,1.3,38,59,64.4,584,149,21,26,80.8,16,23,69.6,1,7,0,0.0,0.0,0.0,0,4,0,0,2,passing,ITA,MF,32,1988,3,1,1,2,0,2,4,2,2,1,1,0,3,2,0,defense
ITA-Serie A,2021,Genoa,Luca Pellegrini,ITA,"DF,MF",21,1999,11,7,639,7.1,0,1,1,0,0,0,2,0,0.1,0.1,1.6,1.7,23,13,47,0.0,0.14,0.14,0.0,0.14,0.02,0.23,0.25,0.02,0.25,standard,ITA,"DF,MF",21,1999,7.1,0,5,0,0.7,0.0,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,"DF,MF",21,1999,2,0,0,10,16,0,29,8,6,0,0,1,50,4,13,misc,ITA,"DF,MF",21,1999,411,19,126,167,122,11,411,30,18,12,250,1506,688,23,16,6,22,16,267,47,possession,ITA,"DF,MF",21,1999,7.1,218,313,69.6,3437,1207,112,126,88.9,83,114,72.8,13,44,1,1.6,1.1,-0.6,8,5,7,4,13,passing,ITA,"DF,MF",21,1999,9,6,6,2,1,4,10,6,11,2,9,8,17,13,1,defense
ITA-Serie A,2021,Crotone,Luca Siligardi,ITA,"MF,FW",32,1988,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,4,6,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,standard,ITA,"MF,FW",32,1988,0.5,0,2,1,3.67,1.84,0,0,0,0.1,0.1,-0.1,-0.1,shooting,ITA,"MF,FW",32,1988,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,misc,ITA,"MF,FW",32,1988,30,0,0,13,19,2,30,2,2,0,17,68,29,0,2,0,2,2,22,6,possession,ITA,"MF,FW",32,1988,0.5,15,20,75.0,261,68,6,8,75.0,7,8,87.5,1,2,0,0.1,0.0,-0.1,2,3,1,0,4,passing,ITA,"MF,FW",32,1988,4,2,0,3,1,1,5,4,0,0,0,0,4,0,0,defense
ITA-Serie A,2021,Parma,Luca Siligardi,ITA,"FW,MF",32,1988,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,standard,ITA,"FW,MF",32,1988,0.4,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,"FW,MF",32,1988,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,misc,ITA,"FW,MF",32,1988,22,0,0,5,17,3,22,0,0,0,11,59,8,0,0,0,2,3,14,3,possession,ITA,"FW,MF",32,1988,0.4,11,19,57.9,153,38,8,9,88.9,3,3,100.0,0,2,0,0.2,0.2,-0.2,2,0,1,1,1,passing,ITA,"FW,MF",32,1988,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Milan,Lorenzo Colombo,ITA,FW,18,2002,4,1,94,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4,1,3,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,standard,ITA,FW,18,2002,1.0,0,4,1,3.83,0.96,0,0,0,0.6,0.6,-0.6,-0.6,shooting,ITA,FW,18,2002,0,0,0,1,0,3,1,0,1,0,0,0,7,2,4,misc,ITA,FW,18,2002,26,2,4,12,11,5,26,2,1,1,13,138,100,4,1,1,2,1,15,3,possession,ITA,FW,18,2002,1.0,7,13,53.8,73,25,4,6,66.7,2,3,66.7,0,0,0,0.0,0.1,0.0,0,0,2,1,1,passing,ITA,FW,18,2002,2,1,1,1,0,0,3,3,0,0,0,0,2,3,0,defense
ITA-Serie A,2021,Bologna,Lorenzo De Silvestri,ITA,DF,32,1988,29,25,2143,23.8,2,0,2,2,0,0,4,0,2.1,2.1,0.7,2.8,28,104,52,0.08,0.0,0.08,0.08,0.08,0.09,0.03,0.12,0.09,0.12,standard,ITA,DF,32,1988,23.8,2,11,6,0.46,0.25,0,0,0,2.1,2.1,-0.1,-0.1,shooting,ITA,DF,32,1988,4,0,0,42,18,1,43,30,24,0,0,0,97,49,35,misc,ITA,DF,32,1988,1506,90,507,725,285,25,1506,4,3,1,741,3529,1694,28,21,2,13,13,876,52,possession,ITA,DF,32,1988,23.8,954,1283,74.4,16287,7523,441,507,87.0,406,534,76.0,87,180,0,0.7,1.0,-0.7,13,94,18,9,104,passing,ITA,DF,32,1988,34,24,18,13,3,16,37,21,37,10,27,30,64,62,3,defense
ITA-Serie A,2021,Benevento,Lorenzo Del Pinto,ITA,MF,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,30,1990,0.1,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,MF,30,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,misc,ITA,MF,30,1990,8,0,3,5,0,0,8,0,0,0,3,16,0,0,0,0,0,1,8,0,possession,ITA,MF,30,1990,0.1,5,8,62.5,65,29,2,3,66.7,1,2,50.0,1,1,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,30,1990,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Napoli,Lorenzo Insigne,ITA,FW,29,1991,35,33,2865,31.8,19,8,27,12,7,8,2,1,15.6,9.3,8.5,17.7,138,192,270,0.6,0.25,0.85,0.38,0.63,0.49,0.27,0.76,0.29,0.56,standard,ITA,FW,29,1991,31.8,19,136,40,4.27,1.26,13,7,8,15.6,9.3,3.4,2.7,shooting,ITA,FW,29,1991,2,1,0,9,39,11,113,37,18,0,0,0,199,2,5,misc,ITA,FW,29,1991,2280,22,250,1028,1040,143,2272,105,65,40,1469,9303,4826,138,95,54,63,34,1710,270,possession,ITA,FW,29,1991,31.8,1486,1872,79.4,24219,6030,824,906,90.9,437,555,78.7,161,265,8,8.5,7.6,-0.5,63,115,84,11,192,passing,ITA,FW,29,1991,26,18,8,12,6,13,72,59,30,1,29,37,63,6,1,defense
ITA-Serie A,2021,Benevento,Lorenzo Montipò,ITA,GK,24,1996,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,24,1996,37.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,shooting,ITA,GK,24,1996,3,0,0,3,6,0,0,0,0,0,2,1,31,9,2,misc,ITA,GK,24,1996,1338,1090,1334,4,0,0,1338,0,0,0,607,3296,1790,0,0,0,1,0,523,0,possession,ITA,GK,24,1996,37.0,803,1242,64.7,24351,17210,141,142,99.3,294,307,95.8,362,780,0,0.0,0.0,0.0,0,7,0,0,1,passing,ITA,GK,24,1996,0,0,0,0,0,0,0,0,1,0,1,0,0,16,3,defense
