league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
FRA-Ligue 1,2023,Clermont Foot,Mohamed Bouchenna,FRA,"MF,FW",17,2006,0.3,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,,misc
FRA-Ligue 1,2023,Clermont Foot,Mory Diaw,SEN,GK,30,1993,30.0,3,0,0,0,3,0,0,1,1,0,0,0,41,11,1,91.7,misc
FRA-Ligue 1,2023,Clermont Foot,Muhammed Cham,AUT,"MF,FW",22,2000,28.4,4,0,0,22,56,3,118,8,14,0,0,0,144,7,23,23.3,misc
FRA-Ligue 1,2023,Clermont Foot,Neto Borges,BRA,DF,26,1996,28.0,3,1,0,21,24,8,79,57,24,2,0,0,156,37,45,45.1,misc
FRA-Ligue 1,2023,Clermont Foot,Shamar Nicholson,JAM,FW,26,1997,16.5,2,0,0,20,26,14,6,0,2,2,0,0,36,47,60,43.9,misc
FRA-Ligue 1,2023,Clermont Foot,Yohann Magnin,FRA,MF,26,1997,18.7,2,0,0,37,23,1,14,19,31,0,0,0,97,31,30,50.8,misc
FRA-Ligue 1,2023,Clermont Foot,Yoël Armougom,FRA,"DF,MF",25,1998,2.6,1,0,0,1,3,0,14,1,3,0,0,0,6,2,3,40.0,misc
FRA-Ligue 1,2023,Le Havre,Abdoulaye Touré,GUI,MF,29,1994,25.4,4,0,0,27,32,0,4,25,28,0,0,0,173,42,40,51.2,misc
FRA-Ligue 1,2023,Le Havre,Alois Confais,FRA,"MF,FW",26,1996,0.1,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,,misc
FRA-Ligue 1,2023,Le Havre,André Ayew,GHA,FW,33,1989,12.3,2,1,0,15,26,4,4,2,11,0,0,0,40,44,62,41.5,misc
FRA-Ligue 1,2023,Le Havre,Antoine Joujou,FRA,"FW,MF",20,2003,8.7,1,0,0,17,10,0,18,7,12,0,0,0,42,10,24,29.4,misc
FRA-Ligue 1,2023,Le Havre,Arouna Sangante,SEN,DF,21,2002,29.9,8,0,0,54,36,0,15,66,33,0,1,1,151,50,42,54.3,misc
FRA-Ligue 1,2023,Le Havre,Arthur Desmas,FRA,GK,29,1994,33.0,2,0,0,0,9,0,0,0,0,0,0,0,25,7,0,100.0,misc
FRA-Ligue 1,2023,Le Havre,Christopher Operi,CIV,DF,26,1997,27.2,6,0,0,20,18,0,190,35,36,1,1,0,150,32,13,71.1,misc
FRA-Ligue 1,2023,Le Havre,Daler Kuzyaev,RUS,MF,30,1993,23.2,1,0,0,30,26,4,27,22,19,0,0,0,110,26,20,56.5,misc
FRA-Ligue 1,2023,Le Havre,Elysée Logbo,FRA,FW,19,2004,2.8,0,0,0,12,0,1,1,0,0,0,0,0,11,4,9,30.8,misc
FRA-Ligue 1,2023,Le Havre,Emmanuel Sabbi,USA,"FW,MF",25,1997,17.6,5,0,0,26,37,2,20,19,19,2,0,0,69,12,33,26.7,misc
FRA-Ligue 1,2023,Le Havre,Etienne Youte Kinkoue,FRA,DF,21,2002,21.6,1,0,0,11,5,2,0,44,9,0,0,0,76,30,12,71.4,misc
FRA-Ligue 1,2023,Le Havre,Gautier Lloris,FRA,DF,28,1995,30.9,2,0,0,35,7,1,3,32,28,0,2,0,147,75,36,67.6,misc
FRA-Ligue 1,2023,Le Havre,Issa Soumaré,SEN,"FW,MF",22,2000,2.6,0,0,0,6,8,4,2,0,0,0,0,0,8,19,13,59.4,misc
FRA-Ligue 1,2023,Le Havre,Josué Casimir,FRA,"FW,DF",21,2001,22.4,6,0,0,25,28,7,52,13,18,1,0,0,107,21,25,45.7,misc
FRA-Ligue 1,2023,Le Havre,Loïc Nego,HUN,"DF,MF",32,1991,17.3,3,0,0,22,17,3,44,16,26,2,0,0,95,8,7,53.3,misc
FRA-Ligue 1,2023,Le Havre,Mathieu Gorgelin,FRA,GK,32,1990,1.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,misc
FRA-Ligue 1,2023,Le Havre,Mohamed Lamine Bayo,GUI,FW,25,1998,15.4,4,0,0,14,13,7,8,2,5,0,0,0,30,36,42,46.2,misc
FRA-Ligue 1,2023,Le Havre,Nabil Alioui,FRA,"MF,FW",24,1999,11.2,1,0,0,10,20,5,54,3,2,0,0,0,36,10,10,50.0,misc
FRA-Ligue 1,2023,Le Havre,Nolan Mbemba,CGO,MF,28,1995,0.2,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,,misc
FRA-Ligue 1,2023,Le Havre,Oualid El Hajjam,MAR,"DF,MF",32,1991,4.4,1,0,0,13,4,1,10,6,7,1,0,0,26,3,5,37.5,misc
FRA-Ligue 1,2023,Le Havre,Oussama Targhalline,MAR,MF,21,2002,11.4,4,1,1,13,21,0,8,20,11,0,0,0,68,7,13,35.0,misc
FRA-Ligue 1,2023,Le Havre,Rassoul Ndiaye,SEN,"MF,FW",21,2001,5.8,4,2,1,11,4,1,8,4,17,0,0,0,34,5,8,38.5,misc
FRA-Ligue 1,2023,Le Havre,Samuel Grandsir,FRA,"MF,FW",26,1996,6.7,4,2,1,18,5,5,44,3,12,0,0,0,25,1,6,14.3,misc
FRA-Ligue 1,2023,Le Havre,Simon Ebonog,CMR,MF,18,2004,0.2,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,100.0,misc
FRA-Ligue 1,2023,Le Havre,Steve Ngoura,FRA,"FW,MF",18,2005,2.5,0,0,0,6,1,2,1,0,1,0,0,0,12,3,10,23.1,misc
FRA-Ligue 1,2023,Le Havre,Yassine Kechta,MAR,MF,21,2002,20.5,4,0,0,30,31,0,19,23,24,0,0,0,115,9,31,22.5,misc
FRA-Ligue 1,2023,Le Havre,Yoann Salmier,GUF,DF,30,1992,17.4,3,0,0,18,9,3,9,21,10,0,0,1,82,29,21,58.0,misc
FRA-Ligue 1,2023,Lens,Abdukodir Khusanov,UZB,DF,19,2004,9.0,5,0,0,9,7,0,2,13,12,0,1,0,41,6,5,54.5,misc
FRA-Ligue 1,2023,Lens,Adrien Thomasson,FRA,MF,29,1993,13.3,2,1,0,16,16,5,47,9,14,1,0,0,89,13,23,36.1,misc
FRA-Ligue 1,2023,Lens,Andy Diouf,FRA,MF,20,2003,14.6,2,0,0,12,15,0,47,3,19,0,0,0,94,10,14,41.7,misc
FRA-Ligue 1,2023,Lens,Angelo Fulgini,FRA,MF,26,1996,15.3,1,0,0,8,25,1,114,8,14,0,0,0,79,33,30,52.4,misc
FRA-Ligue 1,2023,Lens,Ayanda Sishuba,BEL,"MF,FW",18,2005,0.7,0,0,0,3,4,0,0,0,1,0,0,0,3,0,0,,misc
FRA-Ligue 1,2023,Lens,Brice Samba,FRA,GK,29,1994,33.0,3,0,0,1,3,0,0,0,1,0,1,1,38,4,0,100.0,misc
FRA-Ligue 1,2023,Lens,David Costa,POR,MF,22,2001,16.6,3,0,0,12,23,0,77,16,10,1,0,0,75,6,9,40.0,misc
FRA-Ligue 1,2023,Lens,Deiver Machado,COL,DF,29,1993,12.5,4,0,0,30,27,2,29,7,18,0,0,0,61,12,10,54.5,misc
FRA-Ligue 1,2023,Lens,Elye Wahi,FRA,FW,20,2003,18.8,10,1,1,20,16,25,10,3,4,1,0,0,34,11,27,28.9,misc
FRA-Ligue 1,2023,Lens,Facundo Medina,ARG,DF,24,1999,30.2,11,0,0,51,19,2,20,24,38,0,0,0,229,37,22,62.7,misc
FRA-Ligue 1,2023,Lens,Faitout Maouassa,FRA,"MF,DF",25,1998,0.8,0,0,0,2,1,0,3,0,1,0,0,0,1,2,1,66.7,misc
FRA-Ligue 1,2023,Lens,Florian Sotoca,FRA,"MF,FW",32,1990,28.9,4,1,0,28,40,13,95,20,22,0,0,0,98,92,42,68.7,misc
FRA-Ligue 1,2023,Lens,Jean-Louis Leca,FRA,GK,37,1985,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,misc
FRA-Ligue 1,2023,Lens,Jhoanner Chávez,ECU,DF,21,2002,5.3,1,0,0,10,4,3,13,5,5,0,0,0,20,7,6,53.8,misc
FRA-Ligue 1,2023,Lens,Jonathan Gradit,FRA,DF,30,1992,23.5,9,1,0,31,26,0,17,37,20,0,1,0,118,55,51,51.9,misc
FRA-Ligue 1,2023,Lens,Julien Le Cardinal,FRA,DF,25,1997,0.6,0,0,0,2,1,0,4,0,2,0,0,0,6,1,0,100.0,misc
FRA-Ligue 1,2023,Lens,Kevin Danso,AUT,DF,24,1998,29.5,6,0,0,23,48,2,3,23,14,0,0,0,216,55,27,67.1,misc
