league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2024,Brest,Massadio Haïdara,MLI,DF,32-130,1992.0,13.7,16,11,10,6,0,7,17,41.2,10,9,1,8,17,33,60,0,defense
FRA-Ligue 1,2024,Brest,Mathias Pereira Lage,POR,"FW,MF",28-132,1996.0,12.2,28,18,13,9,6,13,28,46.4,15,13,1,12,15,43,16,2,defense
FRA-Ligue 1,2024,Brest,Pierre Lees-Melou,FRA,MF,31-321,1993.0,12.1,34,23,14,13,7,19,33,57.6,14,8,2,6,8,42,18,0,defense
FRA-Ligue 1,2024,Brest,Romain Del Castillo,FRA,FW,29-013,1996.0,11.8,27,19,9,10,8,17,29,58.6,12,15,0,15,6,33,3,0,defense
FRA-Ligue 1,2024,Brest,Romain Faivre,FRA,"MF,FW",26-271,1998.0,9.9,13,10,4,5,4,5,10,50.0,5,8,0,8,4,17,3,1,defense
FRA-Ligue 1,2024,Brest,Soumaïla Coulibaly,FRA,DF,21-179,2003.0,4.9,4,2,2,2,0,1,1,100.0,0,7,2,5,5,9,26,0,defense
FRA-Ligue 1,2024,Brest,Sérigné Diop,SEN,FW,19-334,2005.0,0.0,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,defense
FRA-Ligue 1,2024,Le Havre,Abdoulaye Touré,GUI,MF,31-039,1994.0,19.8,54,29,30,17,7,30,48,62.5,18,26,15,11,26,80,33,3,defense
FRA-Ligue 1,2024,Le Havre,Alois Confais,FRA,MF,28-216,1996.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Le Havre,André Ayew,GHA,FW,35-115,1989.0,12.7,15,9,3,6,6,7,11,63.6,4,8,2,6,2,17,19,1,defense
FRA-Ligue 1,2024,Le Havre,Antoine Joujou,FRA,"MF,FW",22-030,2003.0,10.3,16,11,10,4,2,9,15,60.0,6,15,3,12,8,24,19,0,defense
FRA-Ligue 1,2024,Le Havre,Arouna Sangante,SEN,DF,22-364,2002.0,10.4,18,13,10,8,0,9,13,69.2,4,10,5,5,18,36,48,1,defense
FRA-Ligue 1,2024,Le Havre,Arthur Desmas,FRA,GK,31-004,1994.0,18.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,9,1,defense
FRA-Ligue 1,2024,Le Havre,Christopher Operi,CIV,"DF,FW",27-347,1997.0,13.0,13,9,6,2,5,7,12,58.3,5,20,6,14,14,27,30,0,defense
FRA-Ligue 1,2024,Le Havre,Daler Kuzyaev,RUS,MF,32-086,1993.0,6.3,13,8,7,4,2,2,9,22.2,7,7,4,3,9,22,8,0,defense
FRA-Ligue 1,2024,Le Havre,Elysée Logbo,FRA,FW,20-340,2004.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2024,Le Havre,Emmanuel Sabbi,USA,"FW,MF",27-108,1997.0,7.3,14,7,7,4,3,5,8,62.5,3,2,0,2,3,17,4,0,defense
FRA-Ligue 1,2024,Le Havre,Etienne Youte Kinkoue,FRA,DF,23-087,2002.0,20.9,18,9,10,7,1,12,17,70.6,5,31,19,12,23,41,132,2,defense
