league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ESP-La Liga,2022,Atlético Madrid,Reinildo Mandava,MOZ,DF,28,1994,20.6,4,0,0,32,30,0,16,30,43,0,0,0,129,29,20,59.2,misc
ESP-La Liga,2022,Atlético Madrid,Rodrigo De Paul,ARG,MF,28,1994,21.4,5,0,0,33,49,0,47,8,21,0,0,0,127,6,8,42.9,misc
ESP-La Liga,2022,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",27,1994,12.2,8,0,0,34,5,2,15,15,27,0,1,0,51,41,27,60.3,misc
ESP-La Liga,2022,Atlético Madrid,Sergio Reguilón,ESP,DF,25,1996,3.4,3,1,1,4,6,1,9,2,5,0,0,0,15,8,5,61.5,misc
ESP-La Liga,2022,Atlético Madrid,Stefan Savić,MNE,DF,31,1991,21.6,4,2,0,31,8,1,0,33,26,0,0,0,104,56,30,65.1,misc
ESP-La Liga,2022,Atlético Madrid,Thomas Lemar,FRA,MF,26,1995,13.9,1,0,0,7,17,2,44,7,18,0,0,0,75,5,7,41.7,misc
ESP-La Liga,2022,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",28,1993,25.7,2,0,0,24,21,6,107,12,14,0,0,0,134,5,9,35.7,misc
ESP-La Liga,2022,Atlético Madrid,Álvaro Morata,ESP,FW,29,1992,21.1,4,0,0,39,56,26,4,0,11,0,0,0,57,53,38,58.2,misc
ESP-La Liga,2022,Atlético Madrid,Ángel Correa,ARG,"FW,MF",27,1995,16.2,3,1,0,19,20,14,22,10,6,0,0,0,63,5,16,23.8,misc
ESP-La Liga,2022,Barcelona,Aleix Garrido,ESP,FW,18,2004,0.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,,misc
ESP-La Liga,2022,Barcelona,Alejandro Balde,ESP,DF,18,2003,27.5,4,0,0,27,29,5,67,12,30,0,0,0,145,19,18,51.4,misc
ESP-La Liga,2022,Barcelona,Andreas Christensen,DEN,DF,26,1996,19.6,2,0,0,18,7,0,1,21,15,0,0,1,107,42,19,68.9,misc
ESP-La Liga,2022,Barcelona,Ansu Fati,ESP,FW,19,2002,15.5,3,0,0,18,13,10,9,5,9,0,0,0,65,7,14,33.3,misc
ESP-La Liga,2022,Barcelona,Chadi Riad,MAR,MF,19,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
