nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ESP,DF,23,1997,23.4,1,12,5,41.7,0.51,0.21,0.08,0.2,11.1,0,0,0,1.8,1.8,0.15,-0.8,-0.8,ESP-La Liga,2020,shooting
ESP,GK,23,1997,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,MF,19,2000,18.9,0,9,0,0.0,0.48,0.0,0.0,,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ESP-La Liga,2020,shooting
ESP,DF,25,1995,21.6,1,10,1,10.0,0.46,0.05,0.1,1.0,14.4,0,0,0,0.6,0.6,0.06,0.4,0.4,ESP-La Liga,2020,shooting
ESP,DF,30,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19.5,0,0,0,0.9,0.9,0.06,0.1,0.1,ESP-La Liga,2020,shooting
ESP,"MF,FW",25,1995,25.3,8,48,15,31.3,1.9,0.59,0.17,0.53,17.4,4,0,0,6.2,6.2,0.13,1.8,1.8,ESP-La Liga,2020,shooting
ESP,"DF,MF",31,1989,16.9,1,6,5,83.3,0.36,0.3,0.17,0.2,12.4,0,0,0,1.8,1.8,0.31,-0.8,-0.8,ESP-La Liga,2020,shooting
ESP,FW,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.5,13.4,0,1,1,1.4,0.6,0.15,0.6,0.4,ESP-La Liga,2020,shooting
BRA,DF,31,1989,22.9,0,12,2,16.7,0.53,0.09,0.0,0.0,9.8,0,0,0,1.5,1.5,0.12,-1.5,-1.5,ESP-La Liga,2020,shooting
CTA,MF,27,1993,6.8,0,5,2,40.0,0.74,0.29,0.0,0.0,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,ESP-La Liga,2020,shooting
MEX,MF,30,1990,7.6,0,7,1,14.3,0.92,0.13,0.0,0.0,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,ESP-La Liga,2020,shooting
SVN,GK,27,1993,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
URU,DF,25,1995,19.6,0,14,5,35.7,0.71,0.25,0.0,0.0,13.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,ESP-La Liga,2020,shooting
POR,"FW,MF",20,1999,17.5,7,37,15,40.5,2.12,0.86,0.16,0.4,19.4,2,1,2,5.5,3.9,0.1,1.5,2.1,ESP-La Liga,2020,shooting
ENG,DF,29,1990,27.5,0,3,1,33.3,0.11,0.04,0.0,0.0,18.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,MF,28,1992,33.6,1,17,7,41.2,0.51,0.21,0.06,0.14,20.7,0,0,0,2.0,2.0,0.12,-1.0,-1.0,ESP-La Liga,2020,shooting
URU,MF,24,1996,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,33.1,0,0,0,0.1,0.1,0.04,0.9,0.9,ESP-La Liga,2020,shooting
URU,FW,33,1987,27.9,21,101,40,39.6,3.62,1.44,0.18,0.45,16.0,7,3,3,16.2,13.9,0.14,4.8,4.1,ESP-La Liga,2020,shooting
ESP,DF,19,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"MF,FW",25,1995,32.8,12,49,22,44.9,1.49,0.67,0.24,0.55,18.6,0,0,0,3.4,3.4,0.07,8.6,8.6,ESP-La Liga,2020,shooting
ESP,DF,25,1995,28.6,1,18,4,22.2,0.63,0.14,0.06,0.25,20.6,0,0,0,1.1,1.1,0.06,-0.1,-0.1,ESP-La Liga,2020,shooting
FRA,FW,24,1996,1.1,0,6,2,33.3,5.4,1.8,0.0,0.0,10.5,0,0,0,1.0,1.0,0.17,-1.0,-1.0,ESP-La Liga,2020,shooting
BRA,"DF,FW",22,1998,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,18.6,0,0,0,0.8,0.8,0.07,0.2,0.2,ESP-La Liga,2020,shooting
ESP,DF,20,2000,0.3,0,1,0,0.0,3.0,0.0,0.0,,17.3,0,0,0,0.0,0.0,0.04,0.0,0.0,ESP-La Liga,2020,shooting
ESP,"MF,DF",25,1994,22.6,2,32,12,37.5,1.42,0.53,0.06,0.17,17.0,0,0,1,2.8,1.9,0.06,-0.8,0.1,ESP-La Liga,2020,shooting
MNE,DF,29,1991,32.8,1,7,2,28.6,0.21,0.06,0.14,0.5,5.7,0,0,0,0.8,0.8,0.12,0.2,0.2,ESP-La Liga,2020,shooting
FRA,MF,24,1995,15.2,1,23,10,43.5,1.52,0.66,0.04,0.1,21.9,2,0,0,1.6,1.6,0.07,-0.6,-0.6,ESP-La Liga,2020,shooting
GHA,MF,27,1993,2.2,0,5,0,0.0,2.25,0.0,0.0,,33.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,ESP-La Liga,2020,shooting
ESP,"MF,FW",30,1989,3.3,0,2,0,0.0,0.6,0.0,0.0,,11.4,0,0,0,0.4,0.4,0.22,-0.4,-0.4,ESP-La Liga,2020,shooting
BEL,"DF,MF",26,1993,24.2,6,43,24,55.8,1.78,0.99,0.14,0.25,17.2,1,0,0,5.2,5.2,0.12,0.8,0.8,ESP-La Liga,2020,shooting
ARG,"FW,MF",25,1995,26.6,9,52,23,44.2,1.96,0.87,0.17,0.39,17.4,0,0,0,7.8,7.7,0.15,1.2,1.3,ESP-La Liga,2020,shooting
CRO,"FW,DF",28,1992,5.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
ESP,FW,17,2002,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.5,0,0,0,1.8,1.8,0.13,2.2,2.2,ESP-La Liga,2020,shooting
FRA,"FW,MF",29,1991,28.9,13,69,32,46.4,2.38,1.11,0.17,0.38,14.7,0,1,2,12.1,10.5,0.15,0.9,1.5,ESP-La Liga,2020,shooting
ESP,MF,22,1998,0.5,0,1,0,0.0,1.87,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,ESP-La Liga,2020,shooting
FRA,DF,25,1995,27.5,1,11,5,45.5,0.4,0.18,0.09,0.2,12.0,0,0,0,1.8,1.8,0.17,-0.8,-0.8,ESP-La Liga,2020,shooting
POR,"FW,MF",20,1999,7.8,3,23,12,52.2,2.93,1.53,0.13,0.25,17.3,0,0,0,2.6,2.6,0.11,0.4,0.4,ESP-La Liga,2020,shooting
NED,"MF,DF",23,1997,35.0,3,17,6,35.3,0.49,0.17,0.18,0.5,11.4,0,0,0,4.8,4.8,0.3,-1.8,-1.8,ESP-La Liga,2020,shooting
ESP,DF,33,1987,16.5,0,9,2,22.2,0.55,0.12,0.0,0.0,10.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8,ESP-La Liga,2020,shooting
GUI,MF,17,2003,6.0,1,13,3,23.1,2.16,0.5,0.08,0.33,14.7,0,0,0,0.8,0.8,0.06,0.2,0.2,ESP-La Liga,2020,shooting
ESP,"DF,FW",31,1989,33.6,3,27,10,37.0,0.8,0.3,0.11,0.3,20.2,1,0,0,1.9,1.9,0.07,1.1,1.1,ESP-La Liga,2020,shooting
DOM,"DF,MF",23,1996,3.2,1,1,1,100.0,0.31,0.31,1.0,1.0,3.6,0,0,0,0.7,0.7,0.68,0.3,0.3,ESP-La Liga,2020,shooting
ARG,"FW,MF",33,1987,33.6,30,191,85,44.5,5.69,2.53,0.14,0.32,19.7,40,3,5,22.1,17.8,0.1,7.9,9.2,ESP-La Liga,2020,shooting
GER,GK,28,1992,31.0,0,1,0,0.0,0.03,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,ESP-La Liga,2020,shooting
DEN,FW,29,1991,13.1,2,22,7,31.8,1.69,0.54,0.09,0.29,12.5,0,0,1,5.4,4.6,0.24,-3.4,-2.6,ESP-La Liga,2020,shooting
BIH,MF,30,1990,7.0,0,16,3,18.8,2.3,0.43,0.0,0.0,22.5,2,0,0,1.0,1.0,0.06,-1.0,-1.0,ESP-La Liga,2020,shooting
BRA,GK,31,1989,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ESP-La Liga,2020,shooting
FRA,FW,23,1997,19.7,6,55,21,38.2,2.79,1.07,0.11,0.29,17.1,0,0,0,5.6,5.6,0.1,0.4,0.4,ESP-La Liga,2020,shooting
ESP,MF,17,2002,26.8,3,25,8,32.0,0.93,0.3,0.12,0.38,15.9,0,0,0,4.6,4.4,0.18,-1.6,-1.4,ESP-La Liga,2020,shooting
BRA,"MF,FW",28,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.3,0,0,0,4.0,4.0,0.14,-2.0,-2.0,ESP-La Liga,2020,shooting
