league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
GER-Bundesliga,2024,Bayern Munich,Gabriel Vidovic,CRO,MF,21-131,2003,0.0,1,1,100.0,9,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
GER-Bundesliga,2024,Bayern Munich,Harry Kane,ENG,FW,31-257,1993,22.5,426,542,78.6,7603,1839,200,241,83.0,171,199,85.9,47,68,69.1,8,4.3,4.7,3.7,29,48,31,2,77,passing
GER-Bundesliga,2024,Bayern Munich,Hiroki Ito,JPN,DF,25-334,1999,2.8,183,211,86.7,2740,750,96,103,93.2,74,80,92.5,7,18,38.9,0,0.4,0.6,-0.4,3,14,3,1,18,passing
GER-Bundesliga,2024,Bayern Munich,Jamal Musiala,GER,MF,22-044,2003,20.0,778,942,82.6,10803,2645,480,551,87.1,235,276,85.1,32,39,82.1,2,4.5,5.9,-2.5,41,75,24,0,107,passing
GER-Bundesliga,2024,Bayern Munich,Jonas Urbig,GER,GK,21-246,2003,4.0,133,155,85.8,3369,2287,30,30,100.0,69,71,97.2,34,54,63.0,0,0.0,0.1,0.0,0,6,1,0,3,passing
GER-Bundesliga,2024,Bayern Munich,Joshua Kimmich,GER,MF,30-062,1995,25.6,2688,3007,89.4,48363,13749,1204,1257,95.8,1181,1289,91.6,280,399,70.2,6,6.2,8.6,-0.2,69,355,39,7,294,passing
GER-Bundesliga,2024,Bayern Munich,Josip Stanišić,CRO,DF,25-009,2000,4.1,274,308,89.0,4529,1445,142,150,94.7,117,130,90.0,14,23,60.9,1,0.8,0.9,0.2,10,28,9,2,33,passing
GER-Bundesliga,2024,Bayern Munich,João Palhinha,POR,MF,29-276,1995,7.3,488,529,92.2,7851,1626,253,262,96.6,199,212,93.9,30,43,69.8,0,0.2,0.5,-0.2,4,45,2,0,31,passing
GER-Bundesliga,2024,Bayern Munich,Kim Min-jae,KOR,DF,28-147,1996,24.3,2259,2444,92.4,37637,14774,1016,1069,95.0,1108,1169,94.8,110,156,70.5,0,0.3,0.9,-0.3,5,233,2,0,178,passing
GER-Bundesliga,2024,Bayern Munich,Kingsley Coman,FRA,FW,28-302,1996,11.5,512,601,85.2,8025,1354,277,306,90.5,205,233,88.0,24,42,57.1,4,3.2,4.0,0.8,30,25,25,5,41,passing
GER-Bundesliga,2024,Bayern Munich,Konrad Laimer,AUT,DF,27-319,1997,13.6,758,862,87.9,10522,2540,455,493,92.3,275,311,88.4,11,18,61.1,1,2.2,2.5,-1.2,11,72,16,4,91,passing
GER-Bundesliga,2024,Bayern Munich,Leon Goretzka,GER,MF,30-064,1995,12.4,932,1040,89.6,14581,3744,499,530,94.2,385,416,92.5,38,58,65.5,1,1.4,1.4,-0.4,9,118,13,0,104,passing
GER-Bundesliga,2024,Bayern Munich,Leroy Sané,GER,FW,29-090,1996,14.6,602,729,82.6,8439,1462,351,395,88.9,197,231,85.3,25,37,67.6,4,4.4,4.9,-0.4,28,17,26,6,45,passing
GER-Bundesliga,2024,Bayern Munich,Manuel Neuer,GER,GK,39-015,1986,20.0,740,859,86.1,18495,12093,148,148,100.0,380,388,97.9,207,316,65.5,0,0.5,0.0,-0.5,1,21,0,0,10,passing
GER-Bundesliga,2024,Bayern Munich,Mathys Tel,FRA,"FW,MF",19-349,2005,2.8,108,128,84.4,1721,329,58,66,87.9,39,43,90.7,8,14,57.1,1,0.3,0.6,0.7,1,5,4,1,9,passing
GER-Bundesliga,2024,Bayern Munich,Michael Olise,FRA,"FW,MF",23-120,2001,20.1,1038,1276,81.3,15093,4483,660,717,92.1,313,372,84.1,51,119,42.9,10,9.3,10.5,0.7,64,71,95,13,152,passing
GER-Bundesliga,2024,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",31-110,1993,14.5,997,1127,88.5,13525,3341,656,697,94.1,297,333,89.2,18,36,50.0,2,2.5,4.2,-0.5,25,61,19,1,67,passing
GER-Bundesliga,2024,Bayern Munich,Sacha Boey,FRA,DF,24-210,2000,4.7,354,386,91.7,4805,1174,231,242,95.5,103,115,89.6,7,12,58.3,1,1.0,0.9,0.0,2,35,4,2,28,passing
GER-Bundesliga,2024,Bayern Munich,Serge Gnabry,GER,"FW,MF",29-271,1995,9.7,387,468,82.7,5643,1065,242,275,88.0,127,153,83.0,10,17,58.8,3,4.1,3.4,-1.1,16,15,18,2,37,passing
GER-Bundesliga,2024,Bayern Munich,Sven Ulreich,GER,GK,36-251,1988,1.0,25,30,83.3,551,414,10,10,100.0,10,10,100.0,5,10,50.0,0,0.0,0.0,0.0,0,1,0,0,0,passing
