nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
CIV,DF,22-176,2002,25.2,1,17,6,35.3,0.68,0.24,0.06,0.17,13.8,0,0,0,0.8,0.8,0.05,0.2,0.2,FRA-Ligue 1,2024,shooting
FRA,"FW,DF",19-171,2005,4.2,1,4,1,25.0,0.94,0.24,0.25,1.0,18.8,0,0,0,0.3,0.3,0.08,0.7,0.7,FRA-Ligue 1,2024,shooting
SEN,"MF,FW",21-098,2004,22.0,4,22,10,45.5,1.0,0.45,0.09,0.2,20.2,0,2,2,3.0,1.4,0.06,1.0,0.6,FRA-Ligue 1,2024,shooting
FRA,"DF,MF",21-261,2003,23.8,1,2,1,50.0,0.08,0.04,0.5,1.0,13.8,0,0,0,0.5,0.5,0.24,0.5,0.5,FRA-Ligue 1,2024,shooting
FRA,MF,21-335,2003,3.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
MTQ,"FW,MF",21-362,2003,2.1,0,6,2,33.3,2.84,0.95,0.0,0.0,15.6,0,0,0,0.7,0.7,0.12,-0.7,-0.7,FRA-Ligue 1,2024,shooting
SWE,GK,35-073,1990,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
POL,MF,26-302,1998,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
FRA,DF,19-225,2005,21.5,0,4,0,0.0,0.19,0.0,0.0,,7.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,FRA-Ligue 1,2024,shooting
TOG,DF,24-073,2001,2.5,0,1,0,0.0,0.4,0.0,0.0,,22.5,0,0,0,0.0,0.0,0.01,0.0,0.0,FRA-Ligue 1,2024,shooting
SRB,"FW,MF",19-144,2005,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,FRA-Ligue 1,2024,shooting
