nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ESP,MF,25-110,1999,0.1,9,9,100.0,126,55,6,6,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,ESP-La Liga,2024,passing
ESP,DF,25-283,1999,26.3,857,1208,70.9,14279,6267,431,483,89.2,332,471,70.5,75,170,44.1,2,1.9,1.9,0.1,21,74,42,25,83,ESP-La Liga,2024,passing
ESP,MF,26-333,1998,21.8,687,924,74.4,12645,4125,294,337,87.2,281,359,78.3,93,176,52.8,0,3.5,4.3,-3.5,28,71,22,11,98,ESP-La Liga,2024,passing
ESP,DF,24-042,2001,11.2,428,509,84.1,7968,2833,135,148,91.2,261,285,91.6,27,63,42.9,0,0.0,0.1,0.0,0,22,0,0,28,ESP-La Liga,2024,passing
ESP,"MF,FW",29-361,1995,1.3,37,59,62.7,506,149,21,25,84.0,7,13,53.8,4,13,30.8,0,0.1,0.3,-0.1,2,2,3,2,3,ESP-La Liga,2024,passing
ESP,DF,32-257,1992,12.7,375,493,76.1,5943,2678,188,214,87.9,159,210,75.7,18,47,38.3,0,0.0,0.2,0.0,2,40,0,0,38,ESP-La Liga,2024,passing
ESP,"FW,MF",28-010,1997,2.7,52,84,61.9,888,211,24,31,77.4,20,29,69.0,5,11,45.5,0,0.5,0.5,-0.5,5,1,4,4,2,ESP-La Liga,2024,passing
ESP,MF,30-266,1994,25.5,831,1100,75.5,13958,4165,392,499,78.6,346,421,82.2,66,127,52.0,0,0.8,1.3,-0.8,7,95,3,0,89,ESP-La Liga,2024,passing
ESP,"MF,FW",30-292,1994,8.1,346,436,79.4,5653,1515,184,207,88.9,123,148,83.1,29,52,55.8,0,0.8,1.0,-0.8,11,35,12,8,44,ESP-La Liga,2024,passing
ESP,DF,30-077,1995,1.4,37,49,75.5,613,304,21,23,91.3,8,11,72.7,7,11,63.6,0,0.0,0.0,0.0,0,1,0,0,1,ESP-La Liga,2024,passing
