nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
GER,GK,23,1999,5.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
GER,MF,26,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
SRB,MF,26,1996,2.3,1,5,2,40.0,2.18,0.87,0.2,0.5,18.4,0,0,1,1.4,0.6,0.11,-0.4,0.4,GER-Bundesliga,2022,shooting
NOR,MF,26,1996,9.3,1,9,3,33.3,0.97,0.32,0.11,0.33,13.7,0,0,0,0.8,0.8,0.09,0.2,0.2,GER-Bundesliga,2022,shooting
GER,DF,30,1991,14.5,0,20,3,15.0,1.38,0.21,0.0,0.0,20.2,2,0,0,1.1,1.1,0.06,-1.1,-1.1,GER-Bundesliga,2022,shooting
GER,DF,24,1998,13.3,1,2,2,100.0,0.15,0.15,0.5,0.5,11.3,0,0,0,0.1,0.1,0.07,0.9,0.9,GER-Bundesliga,2022,shooting
GER,MF,27,1995,7.7,1,15,4,26.7,1.95,0.52,0.07,0.25,23.1,0,0,0,1.2,1.2,0.08,-0.2,-0.2,GER-Bundesliga,2022,shooting
GER,MF,28,1994,32.0,2,24,3,12.5,0.75,0.09,0.08,0.67,22.1,0,0,0,1.7,1.7,0.07,0.3,0.3,GER-Bundesliga,2022,shooting
GER,DF,30,1992,31.9,2,8,1,12.5,0.25,0.03,0.13,1.0,16.0,0,1,2,2.4,0.8,0.1,-0.4,0.2,GER-Bundesliga,2022,shooting
SUR,FW,27,1995,28.4,11,67,26,38.8,2.36,0.92,0.16,0.42,18.3,0,0,0,6.5,6.5,0.1,4.5,4.5,GER-Bundesliga,2022,shooting
GER,"FW,MF",32,1990,5.5,3,15,2,13.3,2.73,0.36,0.13,1.0,24.2,0,1,1,1.7,0.9,0.06,1.3,1.1,GER-Bundesliga,2022,shooting
GER,"DF,MF",25,1996,0.6,0,4,2,50.0,6.79,3.4,0.0,0.0,22.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,GER-Bundesliga,2022,shooting
GER,DF,26,1996,6.2,0,4,2,50.0,0.64,0.32,0.0,0.0,11.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,GER-Bundesliga,2022,shooting
POL,DF,23,1999,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
GER,DF,24,1998,21.7,2,11,4,36.4,0.51,0.18,0.18,0.5,13.0,0,0,0,0.7,0.7,0.07,1.3,1.3,GER-Bundesliga,2022,shooting
GER,"DF,FW",30,1991,29.1,2,17,6,35.3,0.58,0.21,0.12,0.33,17.0,0,0,0,1.3,1.3,0.08,0.7,0.7,GER-Bundesliga,2022,shooting
GER,MF,33,1989,21.0,1,5,1,20.0,0.24,0.05,0.2,1.0,26.0,0,0,0,0.2,0.2,0.03,0.8,0.8,GER-Bundesliga,2022,shooting
TOG,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
GER,"FW,MF",20,2001,2.6,0,6,0,0.0,2.34,0.0,0.0,,15.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,GER-Bundesliga,2022,shooting
ITA,DF,17,2005,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
GER,"DF,FW",22,1999,0.5,0,1,0,0.0,1.84,0.0,0.0,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,GER-Bundesliga,2022,shooting
BUL,MF,22,2000,17.6,0,6,1,16.7,0.34,0.06,0.0,0.0,22.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,GER-Bundesliga,2022,shooting
GER,MF,22,2000,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
DEN,MF,25,1996,20.6,3,19,7,36.8,0.92,0.34,0.16,0.43,12.5,0,0,0,3.1,3.1,0.16,-0.1,-0.1,GER-Bundesliga,2022,shooting
CZE,GK,30,1992,32.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
ENG,"DF,FW",21,2001,5.2,1,5,1,20.0,0.95,0.19,0.2,1.0,22.1,0,0,0,0.3,0.3,0.06,0.7,0.7,GER-Bundesliga,2022,shooting
GER,"MF,DF",28,1993,18.1,3,25,9,36.0,1.38,0.5,0.12,0.33,22.3,2,0,0,1.4,1.4,0.05,1.6,1.6,GER-Bundesliga,2022,shooting
AUT,DF,24,1998,28.8,0,6,1,16.7,0.21,0.03,0.0,0.0,20.8,0,0,0,0.5,0.5,0.09,-0.5,-0.5,GER-Bundesliga,2022,shooting
GER,FW,28,1994,31.7,12,94,43,45.7,2.97,1.36,0.13,0.28,19.1,14,0,1,11.3,10.5,0.11,0.7,1.5,GER-Bundesliga,2022,shooting
GER,"FW,MF",28,1994,4.9,1,11,3,27.3,2.24,0.61,0.09,0.33,16.0,0,0,0,2.0,2.0,0.18,-1.0,-1.0,GER-Bundesliga,2022,shooting
GER,GK,27,1995,1.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,GER-Bundesliga,2022,shooting
SRB,DF,26,1995,25.2,1,4,2,50.0,0.16,0.08,0.25,0.5,8.7,0,0,0,0.5,0.5,0.12,0.5,0.5,GER-Bundesliga,2022,shooting
GER,"DF,FW",28,1994,28.0,2,28,8,28.6,1.0,0.29,0.07,0.25,17.9,0,0,0,2.6,2.6,0.09,-0.6,-0.6,GER-Bundesliga,2022,shooting
GER,FW,29,1993,27.5,16,74,32,43.2,2.69,1.16,0.15,0.34,16.0,0,5,5,12.8,8.6,0.12,3.2,2.4,GER-Bundesliga,2022,shooting
GER,"MF,DF",25,1996,0.8,0,1,0,0.0,1.27,0.0,0.0,,12.3,0,0,0,0.1,0.1,0.08,-0.1,-0.1,GER-Bundesliga,2022,shooting
GER,MF,24,1998,12.1,3,21,9,42.9,1.74,0.75,0.14,0.33,21.3,2,0,0,1.6,1.6,0.08,1.4,1.4,GER-Bundesliga,2022,shooting
GER,DF,27,1995,23.1,0,3,1,33.3,0.13,0.04,0.0,0.0,10.1,0,0,0,0.2,0.2,0.07,-0.2,-0.2,GER-Bundesliga,2022,shooting
SCO,"FW,MF",25,1997,3.0,2,8,5,62.5,2.69,1.68,0.25,0.4,14.0,0,0,0,1.0,1.0,0.13,1.0,1.0,GER-Bundesliga,2022,shooting
