league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
FRA-Ligue 1,2024,Monaco,Vanderson,BRA,DF,23-294,2001,19.1,1,17,5,29.4,0.89,0.26,0.06,0.2,17.9,0,0,0,1.9,1.9,0.11,-0.9,-0.9,shooting
FRA-Ligue 1,2024,Monaco,Wilfried Singo,CIV,DF,24-107,2000,17.3,1,14,4,28.6,0.81,0.23,0.07,0.25,12.0,0,0,0,1.5,1.5,0.1,-0.5,-0.5,shooting
FRA-Ligue 1,2024,Montpellier,Akor Adams,NGA,FW,25-072,2000,11.9,3,26,12,46.2,2.18,1.0,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,shooting
FRA-Ligue 1,2024,Montpellier,Andy Delort,ALG,FW,33-184,1991,5.7,0,16,6,37.5,2.79,1.04,0.0,0.0,15.7,0,0,0,1.3,1.3,0.08,-1.3,-1.3,shooting
FRA-Ligue 1,2024,Montpellier,Arnaud Nordin,FRA,FW,26-298,1998,13.0,4,26,11,42.3,2.01,0.85,0.12,0.27,18.2,0,1,2,4.1,2.5,0.1,-0.1,0.5,shooting
FRA-Ligue 1,2024,Montpellier,Axel Gueguin,FRA,FW,20-018,2005,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Bamo Meïté,CIV,DF,23-129,2001,4.5,0,1,0,0.0,0.22,0.0,0.0,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Becir Omeragic,SUI,"DF,MF",23-081,2002,14.0,0,6,3,50.0,0.43,0.21,0.0,0.0,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,shooting
FRA-Ligue 1,2024,Montpellier,Benjamin Lecomte,FRA,GK,33-350,1991,24.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Birama Touré,MLI,"MF,DF",32-309,1992,3.3,0,3,1,33.3,0.9,0.3,0.0,0.0,26.6,0,0,0,0.0,0.0,0.01,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Boubakar Kouyaté,MLI,DF,27-361,1997,6.4,0,7,0,0.0,1.09,0.0,0.0,,12.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting
FRA-Ligue 1,2024,Montpellier,Dimitry Bertaud,COD,GK,26-309,1998,3.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Enzo Tchato,CMR,DF,22-139,2002,19.6,0,3,1,33.3,0.15,0.05,0.0,0.0,28.5,0,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting
FRA-Ligue 1,2024,Montpellier,Falaye Sacko,MLI,DF,29-345,1995,12.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Gabriel Bares,SUI,"MF,DF",24-225,2000,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
FRA-Ligue 1,2024,Montpellier,Issiaga Sylla,GUI,DF,31-100,1994,12.1,1,11,2,18.2,0.91,0.16,0.09,0.5,13.2,0,0,0,1.8,1.8,0.17,-0.8,-0.8,shooting
