league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ITA-Serie A,2020,Bologna,Edoardo Vergani,ITA,FW,19,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Bologna,Emanuel Vignato,ITA,"FW,MF",19,2000,13.4,4,0,0,13,12,2,61,10,9,0,0,0,83,3,15,16.7,misc
ITA-Serie A,2020,Bologna,Federico Ravaglia,ITA,GK,20,1999,4.0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,,misc
ITA-Serie A,2020,Bologna,Federico Santander,PAR,FW,29,1991,0.4,0,0,0,2,2,0,0,0,0,0,0,0,1,4,3,57.1,misc
ITA-Serie A,2020,Bologna,Gary Medel,CHI,"DF,MF",32,1987,5.7,1,0,0,5,10,0,0,7,9,0,0,0,43,7,6,53.8,misc
ITA-Serie A,2020,Bologna,Ibrahima Mbaye,SEN,DF,25,1994,4.8,2,0,0,3,5,1,2,1,5,0,0,0,26,12,11,52.2,misc
ITA-Serie A,2020,Bologna,Jerdy Schouten,NED,MF,23,1997,27.9,8,1,0,48,24,1,9,79,25,0,1,0,249,34,30,53.1,misc
ITA-Serie A,2020,Bologna,Kacper Urbanski,POL,FW,15,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Bologna,Lorenzo De Silvestri,ITA,DF,32,1988,23.8,4,0,0,42,18,1,43,30,24,0,0,0,97,49,35,58.3,misc
ITA-Serie A,2020,Bologna,Mattia Pagliuca,ITA,MF,18,2002,0.1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,misc
ITA-Serie A,2020,Bologna,Mattias Svanberg,SWE,MF,21,1999,20.6,8,1,1,46,44,0,6,30,17,0,0,0,109,20,16,55.6,misc
ITA-Serie A,2020,Bologna,Mitchell Dijks,NED,DF,27,1993,16.5,7,1,1,32,15,1,37,17,14,0,1,0,85,13,14,48.1,misc
ITA-Serie A,2020,Bologna,Musa Barrow,GAM,"FW,MF",21,1998,32.5,0,0,0,17,32,11,138,11,10,0,0,0,110,23,73,24.0,misc
ITA-Serie A,2020,Bologna,Musa Juwara,GAM,"MF,DF",18,2001,0.5,1,0,0,1,2,0,5,0,2,0,0,0,2,0,0,,misc
ITA-Serie A,2020,Bologna,Nehuén Paz,ARG,DF,27,1993,4.0,0,0,0,3,2,0,0,11,4,0,0,0,21,21,3,87.5,misc
ITA-Serie A,2020,Bologna,Nicola Sansone,ITA,"FW,MF",28,1991,13.0,2,0,0,23,40,3,49,9,11,0,0,0,68,5,24,17.2,misc
ITA-Serie A,2020,Bologna,Nicolás Domínguez,ARG,MF,22,1998,13.9,8,0,0,23,15,1,11,24,28,0,1,0,113,20,22,47.6,misc
ITA-Serie A,2020,Bologna,Omar Khailoti,ITA,DF,18,2001,0.3,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,misc
ITA-Serie A,2020,Bologna,Paolo Faragò,ITA,DF,27,1993,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Bologna,Riccardo Orsolini,ITA,"FW,MF",23,1997,19.5,0,0,0,21,44,7,100,10,18,0,1,0,83,25,25,50.0,misc
ITA-Serie A,2020,Bologna,Roberto Soriano,ITA,MF,29,1991,36.1,5,0,0,75,49,3,34,18,26,2,0,0,184,34,58,37.0,misc
ITA-Serie A,2020,Bologna,Rodrigo Palacio,ARG,FW,38,1982,27.8,5,0,0,39,72,35,72,7,6,1,0,0,85,33,66,33.3,misc
ITA-Serie A,2020,Bologna,Simone Rabbi,ITA,"FW,DF",18,2001,0.4,0,0,0,3,1,1,1,0,0,0,0,0,2,0,3,0.0,misc
ITA-Serie A,2020,Bologna,Stefano Denswil,SUR,DF,27,1993,1.3,0,0,0,0,2,0,0,1,1,0,0,0,6,3,1,75.0,misc
ITA-Serie A,2020,Bologna,Takehiro Tomiyasu,JPN,DF,21,1998,30.2,4,0,0,31,13,2,23,54,31,0,0,1,155,91,64,58.7,misc
ITA-Serie A,2020,Bologna,Valentin Antov,BUL,DF,19,2000,2.6,1,0,0,2,2,0,0,4,2,0,0,0,11,3,5,37.5,misc
ITA-Serie A,2020,Bologna,Wisdom Amey,ITA,DF,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ITA-Serie A,2020,Bologna,Łukasz Skorupski,POL,GK,29,1991,28.0,1,0,0,0,1,0,0,0,1,0,0,0,37,6,1,85.7,misc
ITA-Serie A,2020,Cagliari,Adam Ounas,ALG,"MF,FW",23,1996,3.4,0,0,0,3,9,1,10,3,2,0,0,0,17,3,4,42.9,misc
ITA-Serie A,2020,Cagliari,Alberto Cerri,ITA,FW,24,1996,4.1,1,0,0,18,15,1,3,2,2,0,0,0,12,34,23,59.6,misc
ITA-Serie A,2020,Cagliari,Alessandro Deiola,ITA,MF,24,1995,6.8,2,0,0,12,3,0,7,11,5,0,0,0,44,7,3,70.0,misc
ITA-Serie A,2020,Cagliari,Alessandro Tripaldelli,ITA,DF,21,1999,3.3,1,0,0,9,4,0,9,3,6,0,0,0,14,7,10,41.2,misc
ITA-Serie A,2020,Cagliari,Alessio Cragno,ITA,GK,26,1994,34.0,1,0,0,2,5,0,0,1,0,0,2,0,36,8,0,100.0,misc
ITA-Serie A,2020,Cagliari,Alfred Duncan,GHA,MF,27,1993,11.9,2,0,0,16,12,0,12,16,10,0,0,0,77,8,12,40.0,misc
ITA-Serie A,2020,Cagliari,Andrea Carboni,ITA,DF,19,2001,12.1,2,0,0,11,6,0,22,14,23,0,0,0,46,16,20,44.4,misc
ITA-Serie A,2020,Cagliari,Arturo Calabresi,ITA,DF,24,1996,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0,misc
ITA-Serie A,2020,Cagliari,Charalambos Lykogiannis,GRE,DF,26,1993,26.9,10,2,2,29,24,2,118,32,21,0,1,0,121,57,33,63.3,misc
ITA-Serie A,2020,Cagliari,Christian Oliva,URU,MF,24,1996,4.3,2,0,0,7,5,0,2,8,4,0,0,0,20,5,4,55.6,misc
ITA-Serie A,2020,Cagliari,Daniele Rugani,ITA,DF,26,1994,11.1,2,0,0,15,4,0,5,15,11,0,0,0,49,33,16,67.3,misc
ITA-Serie A,2020,Cagliari,Diego Godín,URU,DF,34,1986,27.9,3,0,0,31,28,2,2,56,32,0,0,0,154,68,42,61.8,misc
ITA-Serie A,2020,Cagliari,Fabio Pisacane,ITA,DF,34,1986,2.5,1,0,0,2,0,0,2,1,2,0,0,0,10,3,1,75.0,misc
ITA-Serie A,2020,Cagliari,Fabrizio Caligara,ITA,"MF,FW",20,2000,2.0,2,0,0,10,2,0,6,3,4,0,1,0,9,2,0,100.0,misc
ITA-Serie A,2020,Cagliari,Gabriele Zappa,ITA,DF,20,1999,26.6,3,0,0,25,11,1,69,24,17,0,0,0,126,10,24,29.4,misc
ITA-Serie A,2020,Cagliari,Gastón Pereiro,URU,"MF,DF",25,1995,3.0,0,0,0,2,3,0,10,1,1,0,0,0,13,10,6,62.5,misc
ITA-Serie A,2020,Cagliari,Giovanni Simeone,ARG,FW,25,1995,19.3,1,0,0,24,25,18,8,10,11,0,0,0,55,29,66,30.5,misc
ITA-Serie A,2020,Cagliari,Guglielmo Vicario,ITA,GK,23,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,misc
ITA-Serie A,2020,Cagliari,João Pedro,ITA,"FW,MF",28,1992,36.1,4,0,0,46,98,11,25,13,6,3,0,0,97,65,87,42.8,misc
