nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
ENG,MF,27,1995,3.2,162,8,56,90,17,0,162,1,0,0.0,0,0.0,72,242,103,2,0,0,6,0,100,4,ENG-Premier League,2022,possession
WAL,DF,24,1997,24.4,1336,285,852,455,36,14,1336,7,3,42.9,3,42.9,650,3099,1628,2,6,2,4,3,788,1,ENG-Premier League,2022,possession
BFA,"MF,FW",20,2002,13.8,566,42,136,210,234,64,566,74,31,41.9,37,50.0,301,2219,1083,39,23,17,39,14,336,87,ENG-Premier League,2022,possession
WAL,"FW,MF",25,1997,1.9,93,8,19,35,39,9,93,9,2,22.2,7,77.8,61,270,120,5,2,2,4,4,65,10,ENG-Premier League,2022,possession
ENG,"FW,MF",24,1997,31.8,1012,54,157,423,454,159,1012,110,45,40.9,54,49.1,638,4488,1731,70,41,36,134,74,730,167,ENG-Premier League,2022,possession
DEN,MF,27,1995,0.1,3,1,1,2,0,0,3,1,0,0.0,0,0.0,2,11,7,0,0,0,0,0,2,0,ENG-Premier League,2022,possession
CIV,"FW,MF",22,2000,4.7,246,2,29,109,116,11,246,25,16,64.0,8,32.0,143,881,437,19,13,1,15,13,142,21,ENG-Premier League,2022,possession
UKR,DF,19,2002,3.3,234,37,159,74,2,0,234,2,1,50.0,0,0.0,166,1013,654,1,1,0,3,2,174,0,ENG-Premier League,2022,possession
ENG,DF,26,1996,3.3,174,17,67,62,47,2,174,8,3,37.5,5,62.5,74,462,221,9,4,1,3,4,78,15,ENG-Premier League,2022,possession
ENG,DF,28,1994,13.0,665,125,364,275,28,7,665,3,3,100.0,0,0.0,368,1674,863,7,3,0,5,1,398,3,ENG-Premier League,2022,possession
ENG,"MF,FW",22,1999,14.0,717,23,150,271,304,33,717,47,15,31.9,30,63.8,423,2449,1032,31,25,13,25,27,464,72,ENG-Premier League,2022,possession
JAM,"MF,FW",28,1994,0.1,4,0,0,3,1,0,4,0,0,,0,,2,7,1,0,0,0,0,0,3,0,ENG-Premier League,2022,possession
COL,MF,27,1994,36.1,1934,165,587,1030,338,44,1934,24,14,58.3,9,37.5,947,3764,1861,22,32,1,24,17,1162,30,ENG-Premier League,2022,possession
ENG,MF,27,1995,11.3,538,19,131,309,105,5,538,23,16,69.6,7,30.4,285,1640,790,12,12,2,8,4,319,12,ENG-Premier League,2022,possession
ZIM,DF,22,1999,16.2,808,46,302,297,222,31,808,43,21,48.8,18,41.9,375,2345,1235,39,29,10,35,16,409,48,ENG-Premier League,2022,possession
ENG,MF,32,1989,0.7,34,0,3,15,16,3,34,0,0,,0,,18,92,13,0,1,0,1,1,27,5,ENG-Premier League,2022,possession
WAL,FW,29,1992,14.2,522,36,59,286,178,49,522,13,2,15.4,7,53.8,252,940,302,10,8,2,42,31,396,56,ENG-Premier League,2022,possession
ENG,MF,25,1997,19.1,935,67,290,472,184,9,935,20,8,40.0,10,50.0,427,2210,819,9,18,1,15,16,517,10,ENG-Premier League,2022,possession
ENG,DF,23,1998,22.7,1394,185,752,526,124,9,1394,7,1,14.3,5,71.4,705,3316,1879,14,4,0,16,4,806,10,ENG-Premier League,2022,possession
ARG,DF,25,1997,27.7,1647,340,1037,568,57,16,1647,13,8,61.5,4,30.8,929,4383,2386,9,12,1,15,4,983,3,ENG-Premier League,2022,possession
ENG,"MF,FW",23,1999,19.4,1008,37,200,390,450,59,1008,97,46,47.4,45,46.4,592,4060,2028,67,43,21,46,40,636,137,ENG-Premier League,2022,possession
IRL,GK,23,1999,11.5,402,373,401,1,0,0,402,0,0,,0,,182,884,457,0,0,0,0,0,145,0,ENG-Premier League,2022,possession
URU,DF,24,1997,5.1,289,27,114,105,74,11,289,24,10,41.7,11,45.8,122,686,434,10,6,5,11,6,136,19,ENG-Premier League,2022,possession
BRA,GK,33,1989,26.5,895,768,890,6,0,0,895,1,1,100.0,0,0.0,446,2814,2029,0,0,0,1,0,271,0,ENG-Premier League,2022,possession
WAL,DF,18,2003,0.1,3,0,3,0,0,0,3,0,0,,0,,1,0,0,0,0,0,0,0,1,0,ENG-Premier League,2022,possession
DEN,"MF,FW",26,1996,30.7,1410,76,334,666,428,71,1410,49,28,57.1,15,30.6,728,3709,1694,37,31,6,42,35,900,101,ENG-Premier League,2022,possession
SCO,"MF,FW",27,1995,20.4,940,39,187,421,350,61,940,86,37,43.0,42,48.8,559,3396,1462,39,34,13,49,33,592,71,ENG-Premier League,2022,possession
ENG,DF,29,1992,5.9,279,33,88,109,84,7,279,10,3,30.0,5,50.0,120,725,395,13,9,2,4,3,152,28,ENG-Premier League,2022,possession
CIV,"FW,MF",25,1996,1.2,71,1,10,30,33,3,71,10,6,60.0,3,30.0,47,311,160,5,2,1,9,5,50,11,ENG-Premier League,2022,possession
SCO,DF,20,2002,21.3,1028,47,328,499,211,21,1028,45,17,37.8,18,40.0,616,3295,1802,41,17,3,16,13,624,47,ENG-Premier League,2022,possession
ENG,DF,32,1989,36.3,2122,272,1089,887,156,71,2122,13,12,92.3,1,7.7,1146,4790,2581,8,11,3,18,2,1179,14,ENG-Premier League,2022,possession
CMR,FW,22,1999,32.3,1335,24,177,425,755,125,1334,88,45,51.1,37,42.0,776,4292,1862,66,33,26,72,54,862,235,ENG-Premier League,2022,possession
DEN,MF,28,1994,19.6,1050,78,338,554,165,42,1050,19,8,42.1,10,52.6,454,1518,671,4,11,2,14,10,526,8,ENG-Premier League,2022,possession
ESP,GK,26,1995,38.0,1722,1257,1616,108,1,1,1722,1,1,100.0,0,0.0,1030,5891,3795,0,0,0,0,0,808,0,ENG-Premier League,2022,possession
JAM,DF,29,1993,30.0,1554,327,927,497,134,55,1554,6,2,33.3,1,16.7,650,2705,1499,2,2,0,6,7,745,16,ENG-Premier League,2022,possession
NGA,MF,24,1998,9.4,373,26,93,176,109,20,373,26,11,42.3,11,42.3,198,852,368,9,8,3,11,10,205,21,ENG-Premier League,2022,possession
TUR,MF,22,1999,0.1,1,0,0,0,1,0,1,0,0,,0,,2,13,0,0,0,1,0,1,2,0,ENG-Premier League,2022,possession
ENG,FW,26,1996,32.8,1219,50,141,529,557,156,1212,54,16,29.6,29,53.7,625,2463,724,14,21,8,100,47,889,165,ENG-Premier League,2022,possession
ENG,MF,23,1998,15.4,770,17,144,342,298,32,770,56,32,57.1,15,26.8,536,3392,1631,60,43,9,28,29,562,69,ENG-Premier League,2022,possession
ENG,"FW,MF",21,2001,3.6,138,4,24,48,69,18,138,14,4,28.6,10,71.4,93,652,336,8,6,3,11,8,91,39,ENG-Premier League,2022,possession
GER,FW,20,2001,8.1,291,7,38,94,165,48,291,35,12,34.3,18,51.4,147,1199,501,24,12,15,25,9,186,57,ENG-Premier League,2022,possession
NOR,DF,24,1998,8.5,412,45,184,167,64,9,412,9,3,33.3,4,44.4,213,1123,613,10,5,0,3,8,231,12,ENG-Premier League,2022,possession
DEN,"DF,MF",23,1999,0.2,14,1,4,8,2,0,14,0,0,,0,,2,3,0,0,0,0,0,0,5,0,ENG-Premier League,2022,possession
DEN,DF,23,1999,12.3,426,50,178,140,109,13,426,7,3,42.9,3,42.9,186,817,278,8,7,2,14,9,210,36,ENG-Premier League,2022,possession
DEN,MF,26,1996,31.1,1889,43,368,869,669,29,1889,62,25,40.3,28,45.2,901,3514,1386,21,25,1,54,32,1011,77,ENG-Premier League,2022,possession
DEN,DF,32,1990,12.3,612,87,291,281,42,12,612,1,0,0.0,1,100.0,295,1062,616,1,2,0,3,1,321,1,ENG-Premier League,2022,possession
DEN,"MF,FW",22,2000,11.0,529,9,104,268,166,27,529,23,9,39.1,9,39.1,279,1075,574,9,9,1,15,6,307,45,ENG-Premier League,2022,possession
SWE,DF,31,1991,8.0,393,73,243,137,13,8,393,2,2,100.0,0,0.0,192,734,310,1,1,0,2,1,217,0,ENG-Premier League,2022,possession
ENG,DF,25,1997,36.0,1582,115,478,647,482,30,1582,50,26,52.0,17,34.0,782,3790,1832,55,41,9,50,44,813,111,ENG-Premier League,2022,possession
IRN,"MF,FW",28,1993,1.5,98,7,23,38,40,3,98,2,0,0.0,2,100.0,42,164,92,1,2,0,3,1,44,6,ENG-Premier League,2022,possession
ESP,"FW,DF",25,1997,0.9,57,1,13,25,20,2,57,6,4,66.7,2,33.3,29,206,111,4,2,0,0,0,36,7,ENG-Premier League,2022,possession
GRN,MF,24,1998,6.9,373,12,87,196,97,7,373,13,6,46.2,3,23.1,240,1097,507,8,12,3,16,8,247,23,ENG-Premier League,2022,possession
GER,"MF,DF",24,1998,24.5,1244,66,335,675,242,36,1244,24,9,37.5,14,58.3,663,2798,1246,14,18,2,18,11,737,28,ENG-Premier League,2022,possession
COD,FW,25,1996,17.8,517,14,67,193,268,62,517,44,20,45.5,15,34.1,312,1573,658,24,12,11,41,25,345,104,ENG-Premier League,2022,possession
ENG,"MF,FW",34,1988,8.0,373,6,43,180,151,33,373,6,3,50.0,3,50.0,206,839,420,10,4,4,15,11,295,43,ENG-Premier League,2022,possession
ENG,DF,27,1995,22.1,1888,170,819,969,108,27,1888,8,3,37.5,4,50.0,1228,6306,3739,19,18,0,11,5,1369,9,ENG-Premier League,2022,possession
ARG,MF,23,1998,32.1,2182,48,367,1194,644,63,2176,72,42,58.3,21,29.2,1319,6135,3072,69,74,8,47,36,1644,77,ENG-Premier League,2022,possession
IRL,FW,18,2003,0.1,6,0,0,5,1,0,6,0,0,,0,,3,2,1,0,0,0,2,0,3,1,ENG-Premier League,2022,possession
SCO,MF,21,2001,5.6,453,15,112,276,71,4,453,6,2,33.3,2,33.3,248,1157,583,5,8,1,6,5,350,4,ENG-Premier League,2022,possession
AUS,MF,19,2002,0.1,6,0,0,3,3,1,6,0,0,,0,,3,8,0,0,0,0,1,0,5,2,ENG-Premier League,2022,possession
ENG,FW,31,1990,20.6,693,23,44,281,376,117,693,45,22,48.9,18,40.0,407,1859,878,31,18,10,60,23,519,134,ENG-Premier League,2022,possession
GER,"FW,MF",26,1996,7.0,231,4,19,97,116,42,231,6,4,66.7,2,33.3,120,518,350,12,6,4,13,8,179,40,ENG-Premier League,2022,possession
ZAM,"FW,MF",24,1998,2.4,116,1,12,54,53,7,116,5,1,20.0,4,80.0,58,318,141,5,2,1,10,5,80,17,ENG-Premier League,2022,possession
IRL,FW,17,2004,10.6,344,10,27,165,155,39,344,14,8,57.1,5,35.7,203,884,309,11,4,8,29,20,256,58,ENG-Premier League,2022,possession
ARG,"FW,MF",17,2004,6.3,258,8,33,114,115,19,258,19,7,36.8,9,47.4,182,1018,424,9,5,2,10,2,202,42,ENG-Premier League,2022,possession
ENG,FW,17,2005,0.0,5,0,2,2,1,1,5,0,0,,0,,2,2,2,0,0,0,0,0,3,1,ENG-Premier League,2022,possession
NED,DF,22,2000,3.3,288,27,120,155,13,2,288,0,0,,0,,187,1104,635,3,5,0,1,0,213,0,ENG-Premier League,2022,possession
ENG,GK,31,1990,15.0,574,469,570,4,0,0,574,1,1,100.0,0,0.0,377,1675,868,0,0,0,0,0,354,0,ENG-Premier League,2022,possession
ECU,MF,20,2002,2.0,100,0,13,39,48,10,100,11,6,54.5,4,36.4,69,386,129,5,3,1,6,7,77,20,ENG-Premier League,2022,possession
NED,DF,30,1992,24.3,1740,92,563,895,293,23,1740,20,5,25.0,8,40.0,952,4436,2233,43,32,2,20,10,1065,49,ENG-Premier League,2022,possession
