league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ITA-Serie A,2024,Roma,Nicola Zalewski,POL,"DF,FW",23-078,2002,5.9,0,5,0,0.0,0.84,0.0,0.0,,21.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,shooting
ITA-Serie A,2024,Roma,Obite N'Dicka,CIV,DF,25-234,1999,31.0,0,15,5,33.3,0.48,0.16,0.0,0.0,11.4,0,0,0,0.9,0.9,0.06,-0.9,-0.9,shooting
ITA-Serie A,2024,Roma,Paulo Dybala,ARG,"FW,MF",31-147,1993,15.7,6,47,15,31.9,2.99,0.95,0.06,0.2,21.1,6,3,3,6.4,4.0,0.09,-0.4,-1.0,shooting
ITA-Serie A,2024,Roma,Samuel Dahl,SWE,"DF,MF",25-038,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Roma,Saud Abdulhamid,KSA,DF,25-267,1999,2.3,0,1,0,0.0,0.44,0.0,0.0,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ITA-Serie A,2024,Roma,Stephan El Shaarawy,ITA,"DF,MF",32-166,1992,11.5,3,27,11,40.7,2.35,0.96,0.11,0.27,19.1,1,0,0,2.4,2.4,0.09,0.6,0.6,shooting
ITA-Serie A,2024,Roma,Tammy Abraham,ENG,FW,27-191,1997,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2024,Roma,Tommaso Baldanzi,ITA,"MF,FW",22-019,2003,7.7,1,17,3,17.6,2.22,0.39,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,shooting
ITA-Serie A,2024,Roma,Victor Nelsson,DEN,DF,26-179,1998,2.1,0,1,0,0.0,0.48,0.0,0.0,,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ITA-Serie A,2024,Roma,Zeki Çelik,TUR,DF,28-053,1997,18.2,0,10,1,10.0,0.55,0.05,0.0,0.0,15.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,shooting
