league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2022,Bologna,Emanuel Vignato,ITA,"MF,FW",21,2000,8,2,242,2.7,0,1,1,0,0,0,1,0,0.1,0.1,0.4,0.5,3,9,4,0.0,0.37,0.37,0.0,0.37,0.03,0.14,0.17,0.03,0.17,standard,ITA,"MF,FW",21,2000,2.7,4,4,2,2,0,2,4,50.0,2,2,0,2,3,7,0,0,defense,ITA,"MF,FW",21,2000,2.7,79,99,79.8,1201,338,40,48,83.3,29,34,85.3,5,8,62.5,1,0.4,0.6,0.6,3,9,2,1,9,passing,ITA,"MF,FW",21,2000,2.7,1,0,0,3,1,0,2,3,4,0,0,0,10,2,2,50.0,misc,ITA,"MF,FW",21,2000,2.7,116,0,23,57,37,2,116,2,1,50.0,0,0.0,76,374,119,3,3,0,2,4,89,4,possession,ITA,"MF,FW",21,2000,2.7,0,1,1,100.0,0.37,0.37,0.0,0.0,14.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,shooting
ITA-Serie A,2022,Empoli,Emanuel Vignato,ITA,"MF,FW",21,2000,5,0,57,0.6,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,1,7,5,1.58,0.0,1.58,1.58,1.58,0.3,0.19,0.49,0.3,0.49,standard,ITA,"MF,FW",21,2000,0.6,2,0,2,0,0,0,0,,0,0,0,0,0,2,1,0,defense,ITA,"MF,FW",21,2000,0.6,43,54,79.6,717,115,21,25,84.0,17,19,89.5,3,6,50.0,0,0.1,0.2,-0.1,1,4,2,0,7,passing,ITA,"MF,FW",21,2000,0.6,0,0,0,1,0,0,2,0,0,0,0,0,3,2,1,66.7,misc,ITA,"MF,FW",21,2000,0.6,60,1,9,28,23,3,60,1,1,100.0,0,0.0,33,258,42,1,1,1,2,0,43,5,possession,ITA,"MF,FW",21,2000,0.6,1,2,1,50.0,3.16,1.58,0.5,1.0,19.7,0,0,0,0.2,0.2,0.1,0.8,0.8,shooting
ITA-Serie A,2022,Cremonese,Emanuele Valeri,ITA,DF,23,1998,37,31,2785,30.9,2,3,5,2,0,0,3,0,2.2,2.2,4.6,6.8,111,90,158,0.06,0.1,0.16,0.06,0.16,0.07,0.15,0.22,0.07,0.22,standard,ITA,DF,23,1998,30.9,54,27,29,21,4,29,69,42.0,40,17,3,14,22,76,44,1,defense,ITA,DF,23,1998,30.9,753,1258,59.9,13771,6184,330,407,81.1,303,492,61.6,96,258,37.2,3,4.6,3.8,-1.6,53,66,52,32,90,passing,ITA,DF,23,1998,30.9,3,0,0,27,37,5,147,22,27,0,0,0,190,13,26,33.3,misc,ITA,DF,23,1998,30.9,1610,64,418,642,584,56,1610,71,18,25.4,40,56.3,805,5645,3186,111,58,20,64,26,838,158,possession,ITA,DF,23,1998,30.9,2,40,6,15.0,1.29,0.19,0.05,0.33,21.5,3,0,0,2.2,2.2,0.05,-0.2,-0.2,shooting
ITA-Serie A,2022,Sampdoria,Emil Audero,IDN,GK,25,1997,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,IDN,GK,25,1997,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,1,defense,IDN,GK,25,1997,25.0,617,919,67.1,19319,14234,91,91,100.0,246,248,99.2,279,572,48.8,0,0.0,0.1,0.0,0,16,0,0,0,passing,IDN,GK,25,1997,25.0,1,0,0,0,2,0,0,0,0,0,0,1,41,6,0,100.0,misc,IDN,GK,25,1997,25.0,982,811,968,17,0,0,982,0,0,,0,,548,2997,1827,0,0,0,1,0,414,0,possession,IDN,GK,25,1997,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2022,Salernitana,Emil Bohinen,NOR,MF,23,1999,24,9,832,9.2,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,12,31,16,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,standard,NOR,MF,23,1999,9.2,25,13,15,8,2,12,23,52.2,11,25,7,18,17,42,21,0,defense,NOR,MF,23,1999,9.2,404,479,84.3,5591,1452,238,262,90.8,127,146,87.0,16,28,57.1,0,0.7,0.3,-0.7,12,25,5,1,31,passing,NOR,MF,23,1999,9.2,0,0,0,15,13,1,3,17,13,0,1,0,78,12,15,44.4,misc,NOR,MF,23,1999,9.2,610,36,172,335,110,6,610,18,8,44.4,7,38.9,320,1702,868,12,12,0,10,9,355,16,possession,NOR,MF,23,1999,9.2,0,4,0,0.0,0.43,0.0,0.0,,25.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ITA-Serie A,2022,Sassuolo,Emil Ceide,NOR,FW,20,2001,19,5,515,5.7,0,1,1,0,0,0,0,0,0.8,0.8,1.3,2.1,37,19,47,0.0,0.17,0.17,0.0,0.17,0.15,0.23,0.38,0.15,0.38,standard,NOR,FW,20,2001,5.7,5,2,5,0,0,3,5,60.0,2,3,1,2,1,6,0,0,defense,NOR,FW,20,2001,5.7,123,169,72.8,1571,499,89,103,86.4,24,36,66.7,4,7,57.1,1,1.3,0.9,-0.3,8,7,9,1,19,passing,NOR,FW,20,2001,5.7,0,0,0,4,7,1,6,1,2,1,0,0,18,1,3,25.0,misc,NOR,FW,20,2001,5.7,233,1,30,80,124,39,233,25,8,32.0,14,56.0,160,1103,709,37,13,23,15,8,182,47,possession,NOR,FW,20,2001,5.7,0,10,3,30.0,1.75,0.52,0.0,0.0,15.7,0,0,0,0.8,0.8,0.08,-0.8,-0.8,shooting
ITA-Serie A,2022,Spezia,Emil Holm,SWE,DF,22,2000,20,17,1393,15.5,1,1,2,1,0,0,4,0,1.2,1.2,1.3,2.5,41,40,82,0.06,0.06,0.13,0.06,0.13,0.08,0.08,0.16,0.08,0.16,standard,SWE,DF,22,2000,15.5,26,15,13,8,5,16,31,51.6,15,21,6,15,9,35,41,0,defense,SWE,DF,22,2000,15.5,342,573,59.7,5181,1707,178,246,72.4,127,204,62.3,17,63,27.0,1,1.3,1.1,-0.3,13,30,12,5,40,passing,SWE,DF,22,2000,15.5,4,0,0,22,16,2,50,9,15,0,0,0,81,65,62,51.2,misc,SWE,DF,22,2000,15.5,804,42,179,318,318,40,804,44,18,40.9,21,47.7,338,2509,1128,41,24,10,47,22,430,82,possession,SWE,DF,22,2000,15.5,1,15,5,33.3,0.97,0.32,0.07,0.2,14.9,0,0,0,1.2,1.2,0.08,-0.2,-0.2,shooting
ITA-Serie A,2022,Sampdoria,Emirhan İlkhan,TUR,MF,18,2004,8,0,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,5,8,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.08,0.02,0.08,standard,TUR,MF,18,2004,1.3,6,3,2,2,2,2,3,66.7,1,5,1,4,0,6,3,0,defense,TUR,MF,18,2004,1.3,53,63,84.1,885,283,30,35,85.7,15,15,100.0,6,8,75.0,0,0.1,0.1,-0.1,1,7,1,0,5,passing,TUR,MF,18,2004,1.3,0,0,0,0,2,0,4,0,3,0,0,0,5,1,6,14.3,misc,TUR,MF,18,2004,1.3,90,6,16,53,21,1,90,3,1,33.3,2,66.7,50,216,74,1,1,0,5,0,58,8,possession,TUR,MF,18,2004,1.3,0,1,0,0.0,0.8,0.0,0.0,,27.3,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ITA-Serie A,2022,Torino,Emirhan İlkhan,TUR,MF,18,2004,4,1,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,8,3,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.14,0.05,0.14,standard,TUR,MF,18,2004,1.0,1,1,0,1,0,1,1,100.0,0,3,1,2,2,3,2,0,defense,TUR,MF,18,2004,1.0,36,43,83.7,671,140,16,19,84.2,12,13,92.3,7,9,77.8,0,0.1,0.0,-0.1,1,6,2,0,8,passing,TUR,MF,18,2004,1.0,1,0,0,5,0,0,0,2,1,0,0,0,7,1,2,33.3,misc,TUR,MF,18,2004,1.0,58,4,12,34,12,0,58,2,1,50.0,1,50.0,39,240,86,2,4,0,2,2,38,3,possession,TUR,MF,18,2004,1.0,0,2,0,0.0,2.07,0.0,0.0,,31.8,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting
ITA-Serie A,2022,Empoli,Emmanuel Ekong,SWE,"FW,MF",20,2002,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,standard,SWE,"FW,MF",20,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense,SWE,"FW,MF",20,2002,0.2,3,4,75.0,54,0,2,3,66.7,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,SWE,"FW,MF",20,2002,0.2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0.0,misc,SWE,"FW,MF",20,2002,0.2,6,0,1,4,2,0,6,1,0,0.0,1,100.0,3,56,43,1,1,0,0,0,3,1,possession,SWE,"FW,MF",20,2002,0.2,0,1,0,0.0,4.5,0.0,0.0,,28.2,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
ITA-Serie A,2022,Spezia,Emmanuel Gyasi,GHA,"FW,DF",28,1994,35,35,2810,31.2,2,0,2,2,0,0,10,0,4.0,4.0,1.9,5.9,35,52,154,0.06,0.0,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,standard,GHA,"FW,DF",28,1994,31.2,24,15,11,10,3,9,36,25.0,27,24,6,18,8,32,26,0,defense,GHA,"FW,DF",28,1994,31.2,646,802,80.5,8305,1651,417,475,87.8,181,226,80.1,14,26,53.8,0,1.9,1.7,-1.9,22,16,18,2,52,passing,GHA,"FW,DF",28,1994,31.2,10,0,0,47,37,23,22,8,15,0,0,0,120,18,53,25.4,misc,GHA,"FW,DF",28,1994,31.2,1103,39,196,444,472,92,1103,39,7,17.9,29,74.4,627,3276,1210,35,33,15,72,42,746,154,possession,GHA,"FW,DF",28,1994,31.2,2,34,13,38.2,1.09,0.42,0.06,0.15,13.7,0,0,0,4.0,4.0,0.12,-2.0,-2.0,shooting
ITA-Serie A,2022,Juventus,Enzo Barrenechea,ARG,MF,21,2001,3,3,158,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,5,2,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,standard,ARG,MF,21,2001,1.8,8,3,3,4,1,3,5,60.0,2,3,0,3,2,10,3,0,defense,ARG,MF,21,2001,1.8,98,115,85.2,1544,361,49,52,94.2,42,45,93.3,6,11,54.5,0,0.0,0.0,0.0,1,6,0,0,5,passing,ARG,MF,21,2001,1.8,0,0,0,3,1,0,0,2,3,0,0,0,9,1,1,50.0,misc,ARG,MF,21,2001,1.8,138,3,36,90,13,2,138,1,0,0.0,1,100.0,79,343,171,1,1,0,1,1,93,2,possession,ARG,MF,21,2001,1.8,0,2,0,0.0,1.14,0.0,0.0,,11.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2022,Udinese,Enzo Ebosse,CMR,DF,23,1999,20,9,930,10.3,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11,51,20,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,standard,CMR,DF,23,1999,10.3,15,9,11,4,0,9,13,69.2,4,27,6,21,11,26,29,0,defense,CMR,DF,23,1999,10.3,453,557,81.3,8801,3202,179,201,89.1,203,240,84.6,65,102,63.7,0,0.0,0.1,0.0,1,43,4,1,51,passing,CMR,DF,23,1999,10.3,3,0,0,9,4,1,15,11,9,0,0,0,48,15,14,51.7,misc,CMR,DF,23,1999,10.3,667,51,292,306,72,0,667,7,4,57.1,1,14.3,338,1593,868,11,7,1,8,3,383,20,possession,CMR,DF,23,1999,10.3,0,3,0,0.0,0.29,0.0,0.0,,26.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2022,Salernitana,Erik Botheim,NOR,"MF,FW",22,2000,28,9,866,9.6,1,3,4,1,0,0,2,0,0.6,0.6,1.8,2.3,11,21,61,0.1,0.31,0.42,0.1,0.42,0.06,0.18,0.24,0.06,0.24,standard,NOR,"MF,FW",22,2000,9.6,11,7,3,4,4,6,13,46.2,7,3,0,3,0,11,4,0,defense,NOR,"MF,FW",22,2000,9.6,165,231,71.4,2038,460,99,126,78.6,42,59,71.2,5,7,71.4,3,1.8,0.7,1.2,9,10,4,0,21,passing,NOR,"MF,FW",22,2000,9.6,2,0,0,12,11,3,5,0,7,0,0,0,32,20,28,41.7,misc,NOR,"MF,FW",22,2000,9.6,300,7,38,146,118,23,300,7,2,28.6,4,57.1,166,647,259,11,5,3,19,12,230,61,possession,NOR,"MF,FW",22,2000,9.6,1,7,1,14.3,0.73,0.1,0.14,1.0,13.5,0,0,0,0.6,0.6,0.08,0.4,0.4,shooting
ITA-Serie A,2022,Spezia,Ethan Ampadu,WAL,"DF,MF",21,2000,31,31,2639,29.3,0,1,1,0,0,0,10,1,1.1,1.1,1.1,2.2,28,125,10,0.0,0.03,0.03,0.0,0.03,0.04,0.04,0.07,0.04,0.07,standard,WAL,"DF,MF",21,2000,29.3,66,37,33,28,5,17,41,41.5,24,48,23,25,36,102,98,0,defense,WAL,"DF,MF",21,2000,29.3,1254,1548,81.0,23855,9527,474,538,88.1,631,707,89.3,134,253,53.0,1,1.1,0.9,-0.1,13,106,14,4,125,passing,WAL,"DF,MF",21,2000,29.3,10,1,1,44,20,1,11,36,37,0,2,0,203,61,40,60.4,misc,WAL,"DF,MF",21,2000,29.3,1889,229,930,841,140,19,1889,12,9,75.0,1,8.3,1007,5907,3014,28,21,0,18,7,1090,10,possession,WAL,"DF,MF",21,2000,29.3,0,16,5,31.3,0.55,0.17,0.0,0.0,18.1,0,0,0,1.1,1.1,0.07,-1.1,-1.1,shooting
ITA-Serie A,2022,Empoli,Fabiano Parisi,ITA,DF,21,2000,33,33,2830,31.4,2,0,2,2,0,0,10,1,1.8,1.8,2.0,3.8,102,154,68,0.06,0.0,0.06,0.06,0.06,0.06,0.06,0.12,0.06,0.12,standard,ITA,DF,21,2000,31.4,65,35,37,21,7,30,72,41.7,42,51,16,35,41,106,91,0,defense,ITA,DF,21,2000,31.4,1263,1646,76.7,20129,9462,684,768,89.1,457,589,77.6,95,184,51.6,0,2.0,1.5,-2.0,21,99,35,11,154,passing,ITA,DF,21,2000,31.4,10,1,0,34,74,0,59,41,35,1,1,0,233,30,13,69.8,misc,ITA,DF,21,2000,31.4,2094,159,727,930,483,26,2094,129,64,49.6,47,36.4,1105,7030,4064,102,75,13,55,39,1113,68,possession,ITA,DF,21,2000,31.4,2,21,2,9.5,0.67,0.06,0.1,1.0,21.9,0,0,0,1.8,1.8,0.09,0.2,0.2,shooting
ITA-Serie A,2022,Hellas Verona,Fabio Depaoli,ITA,DF,25,1997,31,24,2173,24.1,2,2,4,2,0,0,7,0,1.7,1.7,1.2,2.9,28,66,76,0.08,0.08,0.17,0.08,0.17,0.07,0.05,0.12,0.07,0.12,standard,ITA,DF,25,1997,24.1,48,28,25,16,7,25,44,56.8,19,32,6,26,18,66,33,3,defense,ITA,DF,25,1997,24.1,440,685,64.2,8131,4636,178,231,77.1,203,293,69.3,51,116,44.0,2,1.2,1.3,0.8,16,40,22,13,66,passing,ITA,DF,25,1997,24.1,7,0,0,43,31,4,60,18,28,0,0,0,113,24,39,38.1,misc,ITA,DF,25,1997,24.1,953,51,238,411,317,35,953,46,11,23.9,27,58.7,408,1989,972,28,14,4,38,18,422,76,possession,ITA,DF,25,1997,24.1,2,19,4,21.1,0.79,0.17,0.11,0.5,16.0,0,0,0,1.7,1.7,0.09,0.3,0.3,shooting
ITA-Serie A,2022,Sampdoria,Fabio Depaoli,ITA,"DF,MF",25,1997,3,1,136,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,2,10,6,0.0,0.0,0.0,0.0,0.0,0.12,0.26,0.38,0.12,0.38,standard,ITA,"DF,MF",25,1997,1.5,5,3,2,3,0,3,4,75.0,1,1,0,1,1,6,4,0,defense,ITA,"DF,MF",25,1997,1.5,74,95,77.9,1373,584,31,36,86.1,31,36,86.1,11,21,52.4,0,0.4,0.3,-0.4,4,6,4,4,10,passing,ITA,"DF,MF",25,1997,1.5,1,0,0,1,7,0,8,1,3,0,0,0,6,0,2,0.0,misc,ITA,"DF,MF",25,1997,1.5,117,6,28,56,34,3,117,7,3,42.9,2,28.6,73,347,184,2,3,0,2,1,70,6,possession,ITA,"DF,MF",25,1997,1.5,0,2,0,0.0,1.32,0.0,0.0,,13.6,0,0,0,0.2,0.2,0.09,-0.2,-0.2,shooting
ITA-Serie A,2022,Juventus,Fabio Miretti,ITA,"MF,FW",18,2003,27,14,1234,13.7,0,2,2,0,0,0,2,0,2.4,2.4,1.3,3.8,33,60,85,0.0,0.15,0.15,0.0,0.15,0.18,0.1,0.27,0.18,0.27,standard,ITA,"MF,FW",18,2003,13.7,24,11,15,6,3,12,29,41.4,17,20,1,19,4,28,11,0,defense,ITA,"MF,FW",18,2003,13.7,364,511,71.2,5842,1673,192,236,81.4,135,170,79.4,25,60,41.7,2,1.3,1.3,0.7,16,39,17,4,60,passing,ITA,"MF,FW",18,2003,13.7,2,0,0,24,27,4,28,4,11,1,0,0,74,10,20,33.3,misc,ITA,"MF,FW",18,2003,13.7,694,15,109,346,249,45,694,43,19,44.2,18,41.9,408,2017,1075,33,21,6,41,26,476,85,possession,ITA,"MF,FW",18,2003,13.7,0,20,5,25.0,1.46,0.36,0.0,0.0,17.0,0,0,0,2.4,2.4,0.12,-2.4,-2.4,shooting
ITA-Serie A,2022,Sampdoria,Fabio Quagliarella,ITA,FW,39,1983,23,7,800,8.9,1,1,2,1,0,0,2,0,2.8,2.8,0.7,3.5,5,25,72,0.11,0.11,0.23,0.11,0.23,0.31,0.08,0.4,0.31,0.4,standard,ITA,FW,39,1983,8.9,2,1,1,1,0,1,7,14.3,6,5,1,4,0,2,9,0,defense,ITA,FW,39,1983,8.9,159,245,64.9,2528,609,78,100,78.0,49,72,68.1,18,37,48.6,1,0.7,0.7,0.3,7,15,7,1,25,passing,ITA,FW,39,1983,8.9,2,0,0,4,19,6,14,0,1,0,0,0,29,9,28,24.3,misc,ITA,FW,39,1983,8.9,340,10,34,142,166,46,340,9,4,44.4,3,33.3,210,755,206,5,4,3,23,5,257,72,possession,ITA,FW,39,1983,8.9,1,36,6,16.7,4.05,0.68,0.03,0.17,16.5,0,0,0,2.8,2.8,0.08,-1.8,-1.8,shooting
ITA-Serie A,2022,Lecce,Federico Baschirotto,ITA,DF,25,1996,37,37,3330,37.0,3,0,3,3,0,0,6,0,1.9,1.9,0.7,2.6,12,107,12,0.08,0.0,0.08,0.08,0.08,0.05,0.02,0.07,0.05,0.07,standard,ITA,DF,25,1996,37.0,40,30,35,5,0,22,36,61.1,14,45,29,16,36,76,192,0,defense,ITA,DF,25,1996,37.0,1049,1432,73.3,22612,8666,280,331,84.6,588,706,83.3,170,350,48.6,0,0.7,0.8,-0.7,8,86,7,3,107,passing,ITA,DF,25,1996,37.0,6,0,0,37,11,0,14,36,30,0,1,0,204,91,64,58.7,misc,ITA,DF,25,1996,37.0,1823,238,968,771,96,36,1823,5,3,60.0,1,20.0,849,4481,2352,12,4,0,10,2,918,12,possession,ITA,DF,25,1996,37.0,3,21,6,28.6,0.57,0.16,0.14,0.5,11.8,0,0,0,1.9,1.9,0.09,1.1,1.1,shooting
ITA-Serie A,2022,Salernitana,Federico Bonazzoli,ITA,"FW,MF",25,1997,24,12,1119,12.4,2,1,3,2,0,0,1,0,2.4,2.4,1.1,3.5,11,43,67,0.16,0.08,0.24,0.16,0.24,0.19,0.09,0.28,0.19,0.28,standard,ITA,"FW,MF",25,1997,12.4,5,3,0,3,2,0,9,0.0,9,9,1,8,3,8,0,0,defense,ITA,"FW,MF",25,1997,12.4,264,354,74.6,4654,966,135,162,83.3,84,104,80.8,37,53,69.8,1,1.1,0.7,-0.1,8,30,6,0,43,passing,ITA,"FW,MF",25,1997,12.4,1,0,0,18,32,7,4,3,3,0,0,0,37,6,15,28.6,misc,ITA,"FW,MF",25,1997,12.4,487,0,33,269,191,31,487,23,12,52.2,9,39.1,304,1138,435,11,10,3,42,12,378,67,possession,ITA,"FW,MF",25,1997,12.4,2,32,7,21.9,2.57,0.56,0.06,0.29,18.9,1,0,0,2.4,2.4,0.07,-0.4,-0.4,shooting
ITA-Serie A,2022,Hellas Verona,Federico Ceccherini,ITA,DF,30,1992,22,18,1417,15.7,2,0,2,2,0,0,9,1,0.8,0.8,0.2,1.0,25,53,20,0.13,0.0,0.13,0.13,0.13,0.05,0.01,0.06,0.05,0.06,standard,ITA,DF,30,1992,15.7,25,19,15,9,1,13,23,56.5,10,17,10,7,19,44,55,0,defense,ITA,DF,30,1992,15.7,479,623,76.9,8667,3491,199,225,88.4,219,261,83.9,52,98,53.1,0,0.2,0.3,-0.2,5,43,7,2,53,passing,ITA,DF,30,1992,15.7,9,1,0,31,19,0,6,19,19,0,0,0,102,30,17,63.8,misc,ITA,DF,30,1992,15.7,780,86,308,386,96,15,780,3,2,66.7,1,33.3,368,1928,1123,25,14,2,13,8,409,20,possession,ITA,DF,30,1992,15.7,2,7,2,28.6,0.44,0.13,0.29,1.0,15.0,0,0,0,0.8,0.8,0.11,1.2,1.2,shooting
ITA-Serie A,2022,Juventus,Federico Chiesa,ITA,"DF,MF",24,1997,21,6,852,9.5,2,5,7,2,0,0,2,0,1.5,1.5,2.6,4.1,46,34,88,0.21,0.53,0.74,0.21,0.74,0.15,0.27,0.43,0.15,0.43,standard,ITA,"DF,MF",24,1997,9.5,22,11,6,6,10,5,14,35.7,9,13,1,12,0,22,1,0,defense,ITA,"DF,MF",24,1997,9.5,246,338,72.8,3806,1114,135,163,82.8,87,119,73.1,14,26,53.8,5,2.6,1.7,2.4,20,25,15,6,34,passing,ITA,"DF,MF",24,1997,9.5,2,0,0,13,12,2,43,0,11,0,0,0,41,1,5,16.7,misc,ITA,"DF,MF",24,1997,9.5,476,4,56,166,265,49,476,45,24,53.3,19,42.2,293,2176,1193,46,28,16,26,19,331,88,possession,ITA,"DF,MF",24,1997,9.5,2,26,3,11.5,2.75,0.32,0.08,0.67,18.9,1,0,0,1.5,1.5,0.06,0.5,0.5,shooting
ITA-Serie A,2022,Lecce,Federico Di Francesco,ITA,"FW,MF",28,1994,36,23,2031,22.6,2,2,4,2,0,0,5,0,3.2,3.2,2.7,6.0,50,60,177,0.09,0.09,0.18,0.09,0.18,0.14,0.12,0.27,0.14,0.27,standard,ITA,"FW,MF",28,1994,22.6,28,16,7,11,10,9,19,47.4,10,16,0,16,8,36,14,0,defense,ITA,"FW,MF",28,1994,22.6,340,511,66.5,4915,1626,191,230,83.0,105,156,67.3,22,63,34.9,2,2.7,2.2,-0.7,25,29,18,3,60,passing,ITA,"FW,MF",28,1994,22.6,5,0,0,43,32,13,45,8,16,1,0,0,86,7,21,25.0,misc,ITA,"FW,MF",28,1994,22.6,745,14,88,288,383,82,745,49,17,34.7,27,55.1,447,2745,1387,50,27,18,56,28,500,177,possession,ITA,"FW,MF",28,1994,22.6,2,39,16,41.0,1.73,0.71,0.05,0.13,17.4,1,0,0,3.2,3.2,0.08,-1.2,-1.2,shooting
ITA-Serie A,2022,Inter,Federico Dimarco,ITA,DF,24,1997,33,26,2069,23.0,4,3,7,4,0,0,0,0,3.1,3.1,6.9,9.9,45,88,189,0.17,0.13,0.3,0.17,0.3,0.13,0.3,0.43,0.13,0.43,standard,ITA,DF,24,1997,23.0,31,25,6,18,7,9,19,47.4,10,15,4,11,18,49,20,0,defense,ITA,DF,24,1997,23.0,925,1257,73.6,17591,5969,392,448,87.5,377,472,79.9,129,268,48.1,3,6.9,5.5,-3.9,59,67,42,28,88,passing,ITA,DF,24,1997,23.0,0,0,0,12,30,5,207,18,25,0,1,0,122,5,12,29.4,misc,ITA,DF,24,1997,23.0,1451,40,312,552,600,72,1451,20,5,25.0,13,65.0,776,3457,1846,45,29,6,18,11,955,189,possession,ITA,DF,24,1997,23.0,4,49,15,30.6,2.13,0.65,0.08,0.27,20.7,7,0,0,3.1,3.1,0.06,0.9,0.9,shooting
ITA-Serie A,2022,Salernitana,Federico Fazio,ARG,DF,35,1987,14,12,1074,11.9,1,0,1,1,0,0,2,1,0.7,0.7,0.1,0.8,13,40,4,0.08,0.0,0.08,0.08,0.08,0.06,0.01,0.07,0.06,0.07,standard,ARG,DF,35,1987,11.9,15,12,8,7,0,4,11,36.4,7,9,4,5,28,43,61,0,defense,ARG,DF,35,1987,11.9,410,536,76.5,7740,3216,139,170,81.8,214,250,85.6,47,94,50.0,0,0.1,0.1,-0.1,3,24,3,0,40,passing,ARG,DF,35,1987,11.9,2,1,0,11,6,0,4,28,12,0,3,0,74,36,13,73.5,misc,ARG,DF,35,1987,11.9,679,84,318,309,58,17,679,8,4,50.0,4,50.0,347,1507,877,13,11,1,11,5,358,4,possession,ARG,DF,35,1987,11.9,1,11,2,18.2,0.92,0.17,0.09,0.5,10.7,0,0,0,0.7,0.7,0.06,0.3,0.3,shooting
