nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
CHI,DF,30-340,1994,19.0,864,991,87.2,17524,6127,219,255,85.9,555,588,94.4,86,132,65.2,1,0.6,0.7,0.4,4,53,4,0,72,ITA-Serie A,2024,passing
LTU,MF,20-361,2004,11.3,305,410,74.4,4969,1468,158,186,84.9,112,132,84.8,25,59,42.4,1,1.8,1.9,-0.8,19,25,6,2,28,ITA-Serie A,2024,passing
SRB,MF,24-025,2001,8.2,357,429,83.2,5815,1501,174,200,87.0,153,175,87.4,23,34,67.6,0,0.6,0.7,-0.6,6,32,13,2,33,ITA-Serie A,2024,passing
POL,MF,30-068,1995,14.3,409,485,84.3,7091,1736,199,218,91.3,157,182,86.3,44,61,72.1,0,0.2,0.4,-0.2,6,39,8,1,42,ITA-Serie A,2024,passing
NOR,DF,24-269,2000,13.2,307,427,71.9,4697,1163,170,202,84.2,110,139,79.1,19,40,47.5,0,0.4,0.3,-0.4,6,12,5,5,14,ITA-Serie A,2024,passing
KVX,DF,30-069,1995,12.3,662,792,83.6,12050,3725,270,303,89.1,314,354,88.7,69,108,63.9,0,0.4,0.9,-0.4,11,47,16,9,64,ITA-Serie A,2024,passing
CRO,"MF,FW",27-189,1997,19.4,507,643,78.8,7297,1930,287,333,86.2,178,223,79.8,19,31,61.3,4,2.0,1.8,2.0,22,42,21,3,81,ITA-Serie A,2024,passing
ITA,DF,24-329,2000,1.0,31,43,72.1,541,130,15,17,88.2,13,18,72.2,3,6,50.0,0,0.1,0.0,-0.1,1,1,0,0,0,ITA-Serie A,2024,passing
GEO,DF,23-069,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ITA-Serie A,2024,passing
ITA,MF,23-233,2001,28.3,1040,1186,87.7,18124,3750,445,490,90.8,503,553,91.0,74,107,69.2,1,0.5,1.0,0.5,11,87,11,0,99,ITA-Serie A,2024,passing
EQG,DF,26-061,1999,29.0,1248,1417,88.1,22944,6722,449,488,92.0,690,741,93.1,95,155,61.3,0,0.0,0.2,0.0,1,69,1,0,66,ITA-Serie A,2024,passing
POL,DF,25-006,2000,16.5,671,832,80.6,11427,3916,314,356,88.2,290,352,82.4,57,93,61.3,0,0.3,0.5,-0.3,3,69,12,4,74,ITA-Serie A,2024,passing
AUT,"DF,FW",29-018,1996,22.6,773,1034,74.8,12792,3676,390,446,87.4,310,393,78.9,61,150,40.7,6,3.1,3.1,2.9,27,43,20,13,64,ITA-Serie A,2024,passing
SRB,GK,28-050,1997,30.0,901,1341,67.2,27028,19016,128,131,97.7,463,470,98.5,309,731,42.3,0,0.1,0.2,-0.1,3,46,6,0,0,ITA-Serie A,2024,passing
FRA,"MF,FW",26-277,1998,10.8,175,262,66.8,2518,549,108,139,77.7,46,63,73.0,11,21,52.4,1,0.9,1.0,0.1,9,8,7,1,25,ITA-Serie A,2024,passing
CHI,FW,36-113,1988,3.9,103,129,79.8,1604,437,55,60,91.7,29,43,67.4,13,14,92.9,0,0.1,0.1,-0.1,2,10,5,0,16,ITA-Serie A,2024,passing
FRA,MF,22-087,2003,8.3,306,389,78.7,4896,1109,160,187,85.6,111,128,86.7,23,42,54.8,1,1.2,0.9,-0.2,11,25,4,1,35,ITA-Serie A,2024,passing
BRA,"MF,FW",25-085,2000,4.3,87,114,76.3,1480,357,43,47,91.5,31,38,81.6,12,21,57.1,2,0.5,0.1,1.5,5,5,1,1,7,ITA-Serie A,2024,passing
BEL,DF,34-046,1991,10.2,431,504,85.5,8358,2898,148,161,91.9,211,236,89.4,63,90,70.0,0,0.2,0.5,-0.2,5,40,1,0,40,ITA-Serie A,2024,passing
ITA,GK,39-168,1985,1.0,15,20,75.0,344,255,4,4,100.0,8,8,100.0,3,8,37.5,0,0.0,0.0,0.0,0,0,0,0,0,ITA-Serie A,2024,passing
CMR,DF,26-031,1999,1.0,48,55,87.3,897,201,16,20,80.0,26,28,92.9,5,6,83.3,0,0.0,0.0,0.0,1,7,0,0,5,ITA-Serie A,2024,passing
FRA,"FW,MF",32-075,1993,21.7,544,819,66.4,9660,3359,240,289,83.0,183,276,66.3,84,169,49.7,3,3.8,4.7,-0.8,39,58,43,20,90,ITA-Serie A,2024,passing
CIV,DF,31-037,1994,17.2,608,784,77.6,10942,3275,293,328,89.3,229,278,82.4,80,147,54.4,3,1.7,1.9,1.3,20,38,25,19,50,ITA-Serie A,2024,passing
ESP,"FW,MF",20-088,2005,6.0,120,151,79.5,1771,342,66,76,86.8,37,45,82.2,8,14,57.1,1,0.4,0.3,0.6,6,7,5,0,14,ITA-Serie A,2024,passing
SVN,DF,26-065,1999,29.0,1232,1479,83.3,26344,9169,304,354,85.9,748,811,92.2,173,285,60.7,0,0.5,0.6,-0.5,10,90,4,1,81,ITA-Serie A,2024,passing
IRL,"DF,MF",21-085,2004,1.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,ITA-Serie A,2024,passing
SWE,MF,29-294,1995,28.4,1064,1282,83.0,18713,5964,451,503,89.7,493,562,87.7,94,161,58.4,2,0.8,1.1,1.2,13,111,15,3,105,ITA-Serie A,2024,passing
