nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,league,season,stat_type
,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,,,
ESP,"MF,FW",27,1992,28,23,1943,21.6,5,3,8,5,0,0,1,0,4.5,4.5,3.4,7.9,72,164,133,0.23,0.14,0.37,0.23,0.37,0.21,0.16,0.37,0.21,0.37,ESP-La Liga,2021,standard
GHA,FW,26,1994,38,27,2387,26.5,6,6,12,5,1,1,1,0,6.2,5.4,5.1,10.5,73,34,233,0.23,0.23,0.45,0.19,0.41,0.23,0.19,0.43,0.2,0.4,ESP-La Liga,2021,standard
ESP,"FW,MF",23,1997,3,1,95,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,7,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,ESP-La Liga,2021,standard
ESP,DF,27,1993,18,5,644,7.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.4,23,27,33,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,ESP-La Liga,2021,standard
ESP,DF,29,1991,28,28,2519,28.0,1,0,1,1,0,0,9,1,1.1,1.1,0.5,1.7,31,125,7,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06,ESP-La Liga,2021,standard
ESP,"FW,MF",22,1998,3,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,10,8,0.0,0.0,0.0,0.0,0.0,0.05,0.38,0.43,0.05,0.43,ESP-La Liga,2021,standard
ESP,GK,23,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ESP-La Liga,2021,standard
ESP,"MF,FW",21,1998,30,16,1363,15.1,2,2,4,2,0,0,3,0,1.2,1.2,2.6,3.9,54,51,142,0.13,0.13,0.26,0.13,0.26,0.08,0.17,0.26,0.08,0.26,ESP-La Liga,2021,standard
BIH,"FW,MF",26,1993,3,0,44,0.5,1,0,1,0,1,1,1,0,0.8,0.0,0.0,0.0,1,1,2,2.05,0.0,2.05,0.0,0.0,1.66,0.0,1.66,0.05,0.05,ESP-La Liga,2021,standard
ESP,DF,32,1988,23,17,1689,18.8,0,1,1,0,0,0,0,0,0.1,0.1,0.8,0.9,28,52,48,0.0,0.05,0.05,0.0,0.05,0.0,0.04,0.05,0.0,0.05,ESP-La Liga,2021,standard
