nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
GER,MF,28,1995,24.9,3,0,0,23,14,2,10,31,23,0,0,0,171,36,29,55.4,GER-Bundesliga,2023,misc
GER,FW,27,1996,23.7,4,0,0,26,21,10,86,7,8,0,0,0,97,3,2,60.0,GER-Bundesliga,2023,misc
CRO,"FW,MF",18,2005,1.8,0,0,0,3,0,1,1,0,0,0,0,0,6,2,5,28.6,GER-Bundesliga,2023,misc
GER,GK,37,1986,22.8,1,0,0,1,2,0,0,0,1,0,1,0,31,6,3,66.7,GER-Bundesliga,2023,misc
FRA,"FW,MF",18,2005,11.7,2,0,0,18,15,3,18,6,2,0,0,0,42,14,13,51.9,GER-Bundesliga,2023,misc
SWE,FW,17,2005,0.2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,,GER-Bundesliga,2023,misc
NED,DF,23,1999,15.4,5,0,0,12,8,0,2,19,12,0,0,0,73,41,28,59.4,GER-Bundesliga,2023,misc
MAR,DF,25,1997,13.3,3,0,0,10,11,0,19,20,21,0,0,0,63,19,21,47.5,GER-Bundesliga,2023,misc
POR,"DF,MF",29,1993,13.2,2,0,0,3,7,0,42,15,16,0,0,0,59,2,5,28.6,GER-Bundesliga,2023,misc
NED,FW,21,2002,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
FRA,DF,22,2000,1.2,1,0,0,6,3,0,0,1,0,0,0,0,6,1,2,33.3,GER-Bundesliga,2023,misc
GER,"FW,MF",28,1995,4.8,0,0,0,6,3,1,10,3,5,1,0,0,26,3,2,60.0,GER-Bundesliga,2023,misc
GER,GK,34,1988,11.0,1,0,0,0,0,0,0,0,0,0,0,0,17,1,0,100.0,GER-Bundesliga,2023,misc
GER,"MF,FW",33,1989,18.4,0,0,0,12,21,15,55,3,16,1,1,0,55,30,25,54.5,GER-Bundesliga,2023,misc
GER,GK,36,1987,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,GER-Bundesliga,2023,misc
FRA,MF,37,1986,28.6,10,0,0,38,22,5,6,25,37,0,0,0,136,82,54,60.3,GER-Bundesliga,2023,misc
BRA,DF,28,1995,32.5,9,0,0,54,28,2,30,55,58,0,2,0,197,145,81,64.2,GER-Bundesliga,2023,misc
GHA,"FW,MF",29,1994,13.5,5,0,0,13,17,18,55,2,12,0,0,0,53,11,22,33.3,GER-Bundesliga,2023,misc
CRC,DF,33,1989,13.2,6,0,0,14,6,0,23,15,18,0,1,0,74,12,9,57.1,GER-Bundesliga,2023,misc
BRA,DF,31,1991,3.9,0,0,0,5,5,0,3,7,6,0,0,0,35,4,7,36.4,GER-Bundesliga,2023,misc
SRB,"DF,MF",24,1998,24.7,7,0,0,22,15,0,5,25,40,0,0,1,117,35,53,39.8,GER-Bundesliga,2023,misc
GER,DF,25,1998,10.7,2,1,0,14,13,2,40,10,14,0,0,0,51,6,8,42.9,GER-Bundesliga,2023,misc
POR,"FW,MF",28,1994,7.2,3,0,0,9,22,2,10,0,4,0,0,0,29,20,34,37.0,GER-Bundesliga,2023,misc
UKR,DF,31,1992,20.9,4,0,0,29,20,3,1,31,14,1,4,1,89,133,55,70.7,GER-Bundesliga,2023,misc
GER,DF,26,1997,24.3,9,0,0,36,32,0,12,33,22,2,2,2,144,112,70,61.5,GER-Bundesliga,2023,misc
AUT,MF,29,1993,29.6,8,0,0,36,63,1,258,19,30,0,0,0,210,8,33,19.5,GER-Bundesliga,2023,misc
GER,"MF,FW",24,1998,6.0,2,0,0,4,9,0,20,2,4,0,0,0,24,5,12,29.4,GER-Bundesliga,2023,misc
GER,GK,34,1988,33.0,5,0,0,2,4,0,4,1,1,0,2,0,81,14,3,82.4,GER-Bundesliga,2023,misc
SVK,"MF,FW",27,1995,18.5,6,0,0,38,20,5,16,12,22,1,0,0,97,12,37,24.5,GER-Bundesliga,2023,misc
GER,"DF,FW",27,1995,11.9,4,0,0,20,26,2,51,18,17,0,0,0,69,15,26,36.6,GER-Bundesliga,2023,misc
GER,FW,22,2000,13.9,4,0,0,32,13,11,12,0,7,0,0,0,40,34,102,25.0,GER-Bundesliga,2023,misc
GHA,FW,25,1998,3.1,1,1,0,5,5,2,5,2,0,0,0,0,18,0,8,0.0,GER-Bundesliga,2023,misc
SUI,DF,26,1997,3.8,1,0,0,4,0,0,2,7,7,0,0,0,27,5,7,41.7,GER-Bundesliga,2023,misc
GER,MF,23,2000,20.7,5,0,0,21,24,3,20,27,26,0,0,0,142,26,30,46.4,GER-Bundesliga,2023,misc
GER,"MF,FW",28,1995,4.3,1,0,0,6,9,0,28,7,5,0,0,0,27,2,7,22.2,GER-Bundesliga,2023,misc
GER,FW,30,1993,17.5,1,0,0,20,26,4,3,4,5,0,0,0,44,111,94,54.1,GER-Bundesliga,2023,misc
GER,"FW,MF",32,1991,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,GER-Bundesliga,2023,misc
JPN,"FW,MF",28,1994,22.1,2,0,0,15,22,23,37,4,6,0,0,0,74,15,52,22.4,GER-Bundesliga,2023,misc
GER,DF,19,2003,7.9,2,0,0,8,8,0,8,2,11,0,0,0,27,7,12,36.8,GER-Bundesliga,2023,misc
GER,FW,27,1996,6.9,1,0,0,9,7,2,1,1,2,0,0,0,14,45,31,59.2,GER-Bundesliga,2023,misc
GER,GK,28,1995,3.0,2,0,0,0,2,0,0,0,0,0,0,0,7,0,0,,GER-Bundesliga,2023,misc
GER,MF,23,2000,3.9,3,0,0,5,4,0,2,4,9,0,0,0,20,3,1,75.0,GER-Bundesliga,2023,misc
ISR,MF,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,GER-Bundesliga,2023,misc
CRO,MF,23,2000,13.7,5,0,0,20,2,0,4,30,12,0,0,0,63,17,19,47.2,GER-Bundesliga,2023,misc
GHA,MF,26,1997,1.9,1,0,0,4,1,0,4,0,0,0,0,0,7,0,3,0.0,GER-Bundesliga,2023,misc
AUT,DF,23,2000,26.2,9,0,0,29,13,4,8,21,22,0,0,0,87,42,38,52.5,GER-Bundesliga,2023,misc
GER,DF,30,1993,13.6,5,0,0,13,10,1,0,21,21,0,0,1,53,29,21,58.0,GER-Bundesliga,2023,misc
GER,DF,20,2003,8.4,2,0,0,10,4,0,8,11,13,0,0,0,57,11,14,44.0,GER-Bundesliga,2023,misc
AUT,DF,26,1997,19.8,4,0,0,17,7,5,52,13,27,0,0,0,76,21,16,56.8,GER-Bundesliga,2023,misc
GER,"MF,DF",33,1990,20.4,4,1,0,34,33,1,26,24,26,0,0,0,103,9,24,27.3,GER-Bundesliga,2023,misc
BUL,"DF,MF",24,1999,16.8,2,0,0,18,16,0,64,17,22,1,0,0,78,13,9,59.1,GER-Bundesliga,2023,misc
GER,MF,29,1994,2.6,1,0,0,2,3,0,4,4,1,0,0,0,25,1,3,25.0,GER-Bundesliga,2023,misc
ITA,"FW,DF",18,2005,1.7,0,0,0,4,0,0,2,1,0,0,0,0,4,0,3,0.0,GER-Bundesliga,2023,misc
SUI,"FW,MF",23,2000,1.7,1,0,0,3,1,2,3,0,1,0,0,0,4,0,2,0.0,GER-Bundesliga,2023,misc
GER,"DF,MF",26,1997,0.8,0,0,0,0,2,0,2,1,0,0,0,0,2,1,0,100.0,GER-Bundesliga,2023,misc
SCO,"FW,MF",23,1999,2.4,1,0,0,5,1,1,4,0,0,0,0,0,8,11,13,45.8,GER-Bundesliga,2023,misc
PHI,"MF,FW",28,1995,4.4,1,0,0,8,2,0,12,2,5,0,0,0,31,5,7,41.7,GER-Bundesliga,2023,misc
GER,"DF,MF",29,1994,12.6,5,0,0,19,7,0,7,17,16,0,0,0,66,21,17,55.3,GER-Bundesliga,2023,misc
GER,"MF,FW",25,1998,11.4,1,0,0,2,5,0,41,11,4,0,0,0,52,1,15,6.3,GER-Bundesliga,2023,misc
ALB,"DF,MF",33,1989,15.1,7,1,0,23,11,0,7,19,22,0,1,0,69,34,27,55.7,GER-Bundesliga,2023,misc
GER,"FW,MF",26,1996,18.0,3,0,0,28,27,1,5,2,6,0,0,0,67,54,55,49.5,GER-Bundesliga,2023,misc
GER,GK,30,1993,31.0,2,0,0,0,8,0,0,2,0,0,0,0,53,8,2,80.0,GER-Bundesliga,2023,misc
GER,MF,25,1997,16.5,3,0,0,20,34,8,18,33,21,0,0,0,82,13,13,50.0,GER-Bundesliga,2023,misc
CRO,DF,24,1998,18.9,7,2,0,31,7,1,7,22,21,0,1,0,85,51,24,68.0,GER-Bundesliga,2023,misc
AUT,"FW,MF",26,1996,11.3,1,0,0,14,12,3,11,8,7,0,0,0,32,15,24,38.5,GER-Bundesliga,2023,misc
GER,"DF,MF",26,1997,20.0,1,0,0,17,41,1,32,25,25,0,0,0,121,11,17,39.3,GER-Bundesliga,2023,misc
SWE,"FW,MF",19,2003,15.3,2,0,0,32,27,7,10,3,6,0,0,0,22,42,81,34.1,GER-Bundesliga,2023,misc
GER,FW,32,1991,5.0,0,0,0,9,10,2,4,0,0,0,0,0,7,20,14,58.8,GER-Bundesliga,2023,misc
SWE,DF,25,1998,7.1,1,0,0,8,3,1,1,10,5,0,0,1,17,8,6,57.1,GER-Bundesliga,2023,misc
GER,"FW,DF",26,1996,26.7,7,0,0,31,40,17,94,6,16,0,0,0,125,11,50,18.0,GER-Bundesliga,2023,misc
GER,MF,34,1989,15.0,1,0,0,14,11,0,81,9,13,1,0,0,65,13,20,39.4,GER-Bundesliga,2023,misc
GER,GK,32,1991,7.7,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,,GER-Bundesliga,2023,misc
GER,DF,23,1999,1.3,0,0,0,1,1,0,0,2,3,0,0,0,7,5,4,55.6,GER-Bundesliga,2023,misc
NED,"FW,MF",24,1999,19.8,5,0,0,11,24,3,39,2,7,1,0,0,71,7,19,26.9,GER-Bundesliga,2023,misc
GER,"MF,DF",29,1994,21.7,5,0,0,27,23,0,2,22,45,0,0,0,156,29,21,58.0,GER-Bundesliga,2023,misc
GER,MF,22,2000,11.3,3,0,0,9,27,1,3,11,13,0,0,0,47,20,8,71.4,GER-Bundesliga,2023,misc
USA,"MF,FW",20,2002,3.1,1,0,0,2,5,1,4,2,6,0,0,0,19,4,5,44.4,GER-Bundesliga,2023,misc
SUI,GK,25,1997,26.3,1,0,0,2,3,0,0,0,0,0,2,0,41,5,0,100.0,GER-Bundesliga,2023,misc
GER,DF,18,2004,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0,GER-Bundesliga,2023,misc
NED,DF,21,2002,14.0,5,0,0,19,9,0,26,13,22,0,0,0,79,2,9,18.2,GER-Bundesliga,2023,misc
ENG,"FW,MF",23,2000,10.5,1,0,0,3,10,3,29,4,4,1,0,0,40,1,1,50.0,GER-Bundesliga,2023,misc
ENG,"FW,MF",18,2004,11.8,1,0,0,12,25,0,13,4,7,2,0,0,37,4,10,28.6,GER-Bundesliga,2023,misc
GER,"MF,FW",27,1996,24.7,2,0,0,8,15,5,165,8,14,0,0,0,117,9,28,24.3,GER-Bundesliga,2023,misc
NOR,DF,25,1997,19.6,3,0,0,18,25,0,40,10,23,0,0,0,121,8,12,40.0,GER-Bundesliga,2023,misc
BEL,"FW,MF",17,2006,0.1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,100.0,GER-Bundesliga,2023,misc
GER,"FW,MF",21,2002,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9,GER-Bundesliga,2023,misc
GER,"MF,FW",17,2006,1.2,0,0,0,1,1,0,0,0,2,0,0,0,9,0,1,0.0,GER-Bundesliga,2023,misc
AUT,MF,29,1994,21.8,3,1,0,15,28,1,30,12,24,0,0,0,89,6,20,23.1,GER-Bundesliga,2023,misc
GER,"MF,FW",34,1989,17.8,2,0,0,21,21,4,32,5,25,0,0,0,58,13,18,41.9,GER-Bundesliga,2023,misc
GER,DF,28,1995,13.0,2,0,0,12,7,1,45,8,12,0,1,0,79,6,8,42.9,GER-Bundesliga,2023,misc
ESP,DF,23,2000,1.2,0,0,0,3,5,1,1,1,2,0,0,0,7,2,2,50.0,GER-Bundesliga,2023,misc
GER,DF,34,1988,17.6,4,1,0,12,9,0,3,33,34,0,2,0,99,38,24,61.3,GER-Bundesliga,2023,misc
GER,FW,30,1993,24.6,1,0,0,26,37,11,5,2,2,0,0,0,39,67,104,39.2,GER-Bundesliga,2023,misc
GER,DF,23,1999,31.8,4,0,0,17,32,0,8,45,50,1,0,1,245,58,41,58.6,GER-Bundesliga,2023,misc
GER,DF,27,1995,16.8,0,0,0,9,1,0,2,25,10,0,0,0,83,21,14,60.0,GER-Bundesliga,2023,misc
