nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
ENG,FW,27-162,1997,3.3,91,128,71.1,1357,331,54,62,87.1,27,37,73.0,6,17,35.3,2,2.0,1.9,0.0,8,2,8,2,12,ENG-Premier League,2024,passing
POL,DF,27-247,1997,16.4,523,670,78.1,8602,2612,258,288,89.6,223,283,78.8,31,65,47.7,1,1.1,1.1,-0.1,10,32,5,4,32,ENG-Premier League,2024,passing
ENG,"FW,MF",22-259,2002,27.9,545,746,73.1,7833,2724,311,387,80.4,160,210,76.2,38,49,77.6,6,6.1,3.8,-0.1,41,62,45,2,101,ENG-Premier League,2024,passing
ENG,FW,29-102,1995,23.8,255,349,73.1,3183,514,161,206,78.2,67,82,81.7,8,11,72.7,6,2.7,1.6,3.3,20,10,7,0,22,ENG-Premier League,2024,passing
ESP,DF,28-085,1997,18.2,990,1122,88.2,17143,6468,425,450,94.4,496,532,93.2,57,117,48.7,0,0.0,0.3,0.0,1,92,7,0,72,ENG-Premier League,2024,passing
SWE,GK,35-093,1990,2.0,54,76,71.1,1466,983,10,10,100.0,31,31,100.0,13,35,37.1,0,0.0,0.0,0.0,0,2,0,0,0,ENG-Premier League,2024,passing
ENG,MF,31-127,1993,6.2,317,367,86.4,4962,1155,164,186,88.2,134,145,92.4,13,18,72.2,1,0.6,0.4,0.4,8,29,6,0,32,ENG-Premier League,2024,passing
ENG,DF,32-029,1993,9.7,501,570,87.9,8948,2863,199,217,91.7,267,284,94.0,30,56,53.6,0,0.2,0.2,-0.2,2,40,5,0,35,ENG-Premier League,2024,passing
BEL,MF,27-339,1997,29.4,1463,1784,82.0,24920,8877,684,763,89.6,637,729,87.4,117,222,52.7,5,6.2,5.1,-1.2,52,190,30,4,198,ENG-Premier League,2024,passing
ENG,DF,33-347,1991,12.7,344,456,75.4,5606,1917,164,190,86.3,150,188,79.8,20,59,33.9,0,0.2,0.1,-0.2,5,33,5,2,33,ENG-Premier League,2024,passing
ENG,MF,21-233,2003,5.6,207,242,85.5,3362,1064,104,116,89.7,85,93,91.4,14,21,66.7,0,0.3,0.5,-0.3,7,33,4,0,46,ENG-Premier League,2024,passing
