nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ITA,DF,24,1998,33.1,2,24,6,25.0,0.73,0.18,0.08,0.33,11.3,0,0,0,2.2,2.2,0.09,-0.2,-0.2,ITA-Serie A,2023,shooting
ITA,MF,27,1995,17.9,1,25,6,24.0,1.4,0.34,0.04,0.17,17.2,2,0,0,2.5,2.5,0.1,-1.5,-1.5,ITA-Serie A,2023,shooting
ITA,"DF,MF",24,1999,4.0,0,3,0,0.0,0.75,0.0,0.0,,24.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ITA-Serie A,2023,shooting
ITA,FW,28,1995,11.1,1,20,8,40.0,1.81,0.72,0.05,0.13,13.7,0,0,0,1.6,1.6,0.08,-0.6,-0.6,ITA-Serie A,2023,shooting
CGO,MF,25,1998,30.0,1,8,2,25.0,0.27,0.07,0.13,0.5,21.4,0,0,0,0.7,0.7,0.09,0.3,0.3,ITA-Serie A,2023,shooting
SRB,GK,27,1996,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,DF,29,1993,11.2,0,4,3,75.0,0.36,0.27,0.0,0.0,7.9,0,0,0,0.5,0.5,0.14,-0.5,-0.5,ITA-Serie A,2023,shooting
UZB,"FW,MF",28,1995,10.4,3,21,7,33.3,2.02,0.67,0.14,0.43,11.9,0,0,0,3.5,3.5,0.19,-0.5,-0.5,ITA-Serie A,2023,shooting
ITA,DF,23,1999,28.5,1,19,5,26.3,0.67,0.18,0.05,0.2,18.7,0,0,0,1.5,1.5,0.08,-0.5,-0.5,ITA-Serie A,2023,shooting
ITA,"FW,MF",20,2002,12.3,2,23,5,21.7,1.87,0.41,0.09,0.4,18.9,1,0,0,1.8,1.8,0.08,0.2,0.2,ITA-Serie A,2023,shooting
ITA,"FW,MF",23,2000,8.3,4,13,5,38.5,1.57,0.6,0.23,0.6,22.5,0,1,1,1.3,0.5,0.04,2.7,2.5,ITA-Serie A,2023,shooting
PER,FW,33,1990,13.4,3,34,10,29.4,2.54,0.75,0.06,0.2,14.2,2,1,1,4.8,4.1,0.12,-1.8,-2.1,ITA-Serie A,2023,shooting
GHA,MF,20,2003,14.9,2,13,3,23.1,0.87,0.2,0.15,0.67,23.2,0,0,0,0.8,0.8,0.06,1.2,1.2,ITA-Serie A,2023,shooting
CZE,"MF,FW",27,1996,9.7,1,12,5,41.7,1.24,0.52,0.08,0.2,13.4,0,0,0,1.5,1.5,0.12,-0.5,-0.5,ITA-Serie A,2023,shooting
ZAM,"FW,MF",20,2003,0.4,1,2,1,50.0,4.62,2.31,0.5,1.0,19.1,0,0,0,0.1,0.1,0.04,0.9,0.9,ITA-Serie A,2023,shooting
ITA,FW,34,1988,7.0,4,25,9,36.0,3.58,1.29,0.16,0.44,11.3,0,0,0,2.6,2.6,0.1,1.4,1.4,ITA-Serie A,2023,shooting
ITA,"MF,FW",34,1988,1.7,0,6,0,0.0,3.46,0.0,0.0,,29.7,1,0,1,1.2,0.5,0.08,-1.2,-0.5,ITA-Serie A,2023,shooting
POL,DF,26,1997,10.7,0,4,0,0.0,0.37,0.0,0.0,,9.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,ITA-Serie A,2023,shooting
ITA,MF,19,2003,21.9,1,36,10,27.8,1.64,0.46,0.03,0.1,22.6,2,0,0,2.0,2.0,0.06,-1.0,-1.0,ITA-Serie A,2023,shooting
