league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
ENG-Premier League,2024,Bournemouth,David Brooks,WAL,"FW,MF",27-277,1997,8.8,3,0,0,8,14,0,43,5,4,0,0,0,44,6,9,40.0,misc
ENG-Premier League,2024,Bournemouth,Dean Huijsen,ESP,DF,19-362,2005,20.8,7,0,0,24,9,1,11,45,21,0,0,0,87,57,37,60.6,misc
ENG-Premier League,2024,Bournemouth,Enes Ünal,TUR,"FW,MF",27-336,1997,3.8,2,0,0,6,9,1,4,0,0,0,0,0,16,24,22,52.2,misc
ENG-Premier League,2024,Bournemouth,Evanilson,BRA,FW,25-187,1999,19.1,0,0,0,26,40,14,0,0,6,5,0,0,52,32,52,38.1,misc
ENG-Premier League,2024,Bournemouth,Illia Zabarnyi,UKR,DF,22-222,2002,28.1,3,1,0,17,5,0,5,32,30,0,0,0,136,63,35,64.3,misc
ENG-Premier League,2024,Bournemouth,James Hill,ENG,DF,23-091,2002,5.0,1,0,0,7,5,0,10,9,8,0,0,0,13,14,12,53.8,misc
ENG-Premier League,2024,Bournemouth,Julian Araujo,MEX,DF,23-241,2001,3.9,1,0,0,4,1,0,4,4,3,0,0,0,24,2,6,25.0,misc
ENG-Premier League,2024,Bournemouth,Justin Kluivert,NED,"MF,FW",25-341,1999,21.5,6,0,0,38,25,5,71,13,9,1,0,0,66,7,22,24.1,misc
ENG-Premier League,2024,Bournemouth,Kepa Arrizabalaga,ESP,GK,30-190,1994,24.0,3,0,0,2,4,0,0,0,0,0,2,0,44,5,1,83.3,misc
ENG-Premier League,2024,Bournemouth,Lewis Cook,ENG,"MF,DF",28-067,1997,28.6,7,0,0,45,9,3,119,39,39,0,1,0,170,37,32,53.6,misc
ENG-Premier League,2024,Bournemouth,Luis Sinisterra,COL,"FW,MF",25-298,1999,2.6,0,0,0,4,2,1,7,1,2,0,0,0,17,3,7,30.0,misc
ENG-Premier League,2024,Bournemouth,Marcos Senesi,ARG,DF,27-336,1997,10.7,4,0,0,17,7,0,9,11,21,0,0,0,64,23,26,46.9,misc
ENG-Premier League,2024,Bournemouth,Marcus Tavernier,ENG,"FW,MF",26-020,1999,16.7,5,0,0,23,20,4,88,4,23,0,0,0,92,21,29,42.0,misc
ENG-Premier League,2024,Bournemouth,Mark Travers,IRL,GK,25-328,1999,5.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,misc
ENG-Premier League,2024,Bournemouth,Max Aarons,ENG,DF,25-097,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,misc
ENG-Premier League,2024,Bournemouth,Milos Kerkez,HUN,DF,21-155,2003,30.2,4,0,0,27,41,1,102,38,25,0,0,0,142,20,42,32.3,misc
ENG-Premier League,2024,Bournemouth,Neto,BRA,GK,35-266,1989,2.0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,,misc
ENG-Premier League,2024,Bournemouth,Philip Billing,DEN,MF,28-304,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,misc
ENG-Premier League,2024,Bournemouth,Remy Rees-Dottin,ENG,FW,19-036,2006,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ENG-Premier League,2024,Bournemouth,Ryan Christie,SCO,MF,30-048,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,misc
ENG-Premier League,2024,Bournemouth,Tyler Adams,USA,MF,26-056,1999,15.3,4,0,0,34,17,0,3,29,43,0,1,0,82,24,15,61.5,misc
ENG-Premier League,2024,Bournemouth,Zain Silcott-Duberry,MSR,FW,19-276,2005,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,misc
ENG-Premier League,2024,Brentford,Ben Mee,ENG,DF,35-202,1989,2.0,2,0,0,5,0,0,0,4,2,0,0,0,11,5,5,50.0,misc
