league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
FRA-Ligue 1,2023,Lens,Florian Sotoca,FRA,"MF,FW",32,1990,28.9,33,22,9,21,3,17,38,44.7,21,41,4,37,20,53,34,0,defense
FRA-Ligue 1,2023,Lens,Jean-Louis Leca,FRA,GK,37,1985,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
FRA-Ligue 1,2023,Lens,Jhoanner Chávez,ECU,DF,21,2002,5.3,6,5,2,2,2,3,9,33.3,6,2,0,2,5,11,11,0,defense
FRA-Ligue 1,2023,Lens,Jonathan Gradit,FRA,DF,30,1992,23.5,32,20,15,14,3,19,35,54.3,16,30,17,13,37,69,61,0,defense
FRA-Ligue 1,2023,Lens,Julien Le Cardinal,FRA,DF,25,1997,0.6,6,2,4,2,0,4,9,44.4,5,2,1,1,0,6,0,0,defense
FRA-Ligue 1,2023,Lens,Kevin Danso,AUT,DF,24,1998,29.5,24,14,12,11,1,15,30,50.0,15,43,30,13,23,47,115,1,defense
FRA-Ligue 1,2023,Lens,Massadio Haïdara,MLI,DF,30,1992,8.2,9,8,5,3,1,4,6,66.7,2,7,2,5,11,20,32,3,defense
FRA-Ligue 1,2023,Lens,Morgan Guilavogui,GUI,"FW,MF",25,1998,6.3,21,10,4,12,5,5,11,45.5,6,11,2,9,4,25,7,0,defense
FRA-Ligue 1,2023,Lens,Nampalys Mendy,SEN,MF,31,1992,11.7,29,18,10,13,6,16,20,80.0,4,11,4,7,14,43,14,1,defense
FRA-Ligue 1,2023,Lens,Neil El Aynaoui,FRA,MF,22,2001,17.4,37,20,13,20,4,20,46,43.5,26,20,6,14,32,69,21,1,defense
FRA-Ligue 1,2023,Lens,Oscar Cortés,COL,"FW,MF",19,2003,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,defense
FRA-Ligue 1,2023,Lens,Przemysław Frankowski,POL,DF,28,1995,24.4,60,39,25,26,9,31,74,41.9,43,30,7,23,25,85,36,0,defense
FRA-Ligue 1,2023,Lens,Ruben Aguilar,FRA,DF,30,1993,21.4,53,31,27,23,3,27,45,60.0,18,35,5,30,26,79,46,0,defense
FRA-Ligue 1,2023,Lens,Salis Abdul Samed,GHA,MF,23,2000,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0,defense
FRA-Ligue 1,2023,Lens,Stijn Spierings,NED,MF,27,1996,1.3,1,0,0,1,0,1,1,100.0,0,2,1,1,2,3,1,0,defense
FRA-Ligue 1,2023,Lens,Wesley Saïd,FRA,"FW,MF",28,1995,11.3,8,4,1,2,5,2,9,22.2,7,4,0,4,4,12,3,0,defense
FRA-Ligue 1,2023,Lille,Aaron Malouda,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lille,Adam Ounas,ALG,FW,26,1996,4.6,4,3,2,2,0,2,7,28.6,5,2,0,2,6,10,1,0,defense
FRA-Ligue 1,2023,Lille,Alan Virginius,FRA,FW,20,2003,0.8,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,defense
FRA-Ligue 1,2023,Lille,Alexsandro Ribeiro,BRA,DF,23,1999,24.7,32,22,24,8,0,16,31,51.6,15,25,15,10,35,67,116,5,defense
FRA-Ligue 1,2023,Lille,Andrej Ilic,SRB,FW,23,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lille,Angel Gomes,ENG,MF,22,2000,28.6,26,13,4,15,7,14,32,43.8,18,23,6,17,18,44,28,1,defense
FRA-Ligue 1,2023,Lille,Ayyoub Bouaddi,FRA,MF,15,2007,1.5,6,2,6,0,0,2,5,40.0,3,2,0,2,1,7,3,0,defense
FRA-Ligue 1,2023,Lille,Bafodé Diakité,FRA,DF,22,2001,18.8,29,20,12,15,2,24,32,75.0,8,16,8,8,21,50,49,1,defense
FRA-Ligue 1,2023,Lille,Benjamin André,FRA,MF,32,1990,28.6,89,49,39,45,5,43,81,53.1,38,34,5,29,35,124,60,0,defense
FRA-Ligue 1,2023,Lille,Carlos Baleba,CMR,MF,19,2004,0.7,6,2,1,4,1,3,4,75.0,1,0,0,0,2,8,0,0,defense
FRA-Ligue 1,2023,Lille,Edon Zhegrova,KVX,FW,24,1999,25.4,32,18,9,15,8,14,36,38.9,22,17,1,16,8,40,8,0,defense
FRA-Ligue 1,2023,Lille,Gabriel Gudmundsson,SWE,"DF,FW",24,1999,14.1,22,16,7,13,2,12,20,60.0,8,14,3,11,15,37,25,0,defense
FRA-Ligue 1,2023,Lille,Hákon Arnar Haraldsson,ISL,"FW,MF",20,2003,14.3,12,8,4,7,1,5,21,23.8,16,7,2,5,3,15,5,0,defense
FRA-Ligue 1,2023,Lille,Ichem Ferrah,FRA,FW,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lille,Ignacio Miramon,ARG,MF,20,2003,0.4,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,defense
FRA-Ligue 1,2023,Lille,Ismaily,BRA,DF,33,1990,27.4,72,47,34,25,13,31,60,51.7,29,33,6,27,32,104,77,0,defense
FRA-Ligue 1,2023,Lille,Ivan Cavaleiro,POR,FW,29,1993,8.6,10,6,3,4,3,7,20,35.0,13,9,2,7,5,15,6,0,defense
FRA-Ligue 1,2023,Lille,Jonathan David,CAN,FW,23,2000,29.2,26,15,6,13,7,8,26,30.8,18,16,0,16,9,35,4,0,defense
FRA-Ligue 1,2023,Lille,Leny Yoro,FRA,DF,17,2005,29.7,36,25,27,7,2,17,31,54.8,14,20,14,6,36,72,97,1,defense
FRA-Ligue 1,2023,Lille,Lucas Chevalier,FRA,GK,21,2001,33.0,3,0,3,0,0,3,4,75.0,1,1,0,1,0,3,11,2,defense
FRA-Ligue 1,2023,Lille,Nabil Bentaleb,ALG,MF,28,1994,21.9,49,32,29,18,2,22,43,51.2,21,33,12,21,37,86,33,0,defense
FRA-Ligue 1,2023,Lille,Rémy Cabella,FRA,"FW,MF",33,1990,16.4,54,36,19,20,15,20,54,37.0,34,32,0,32,5,59,5,0,defense
FRA-Ligue 1,2023,Lille,Samuel Umtiti,FRA,DF,29,1993,2.1,1,1,0,1,0,1,4,25.0,3,0,0,0,2,3,4,0,defense
FRA-Ligue 1,2023,Lille,Tiago Fonseca Morais,POR,FW,19,2003,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,0,0,defense
FRA-Ligue 1,2023,Lille,Tiago Santos,POR,DF,21,2002,26.3,63,42,31,19,13,30,52,57.7,22,24,5,19,15,78,37,0,defense
FRA-Ligue 1,2023,Lille,Trévis Dago,CIV,"FW,MF",18,2005,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
FRA-Ligue 1,2023,Lille,Vito Mannone,ITA,GK,35,1988,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lille,Yusuf Yazıcı,TUR,"MF,FW",26,1997,14.6,19,11,6,9,4,4,15,26.7,11,10,1,9,5,24,5,0,defense
FRA-Ligue 1,2023,Lorient,Adrian Grbić,AUT,FW,26,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2023,Lorient,Aurélien Pelon,FRA,DF,19,2004,1.0,1,0,1,0,0,0,2,0.0,2,2,2,0,0,1,7,0,defense
FRA-Ligue 1,2023,Lorient,Ayman Kari,FRA,MF,18,2004,9.9,18,14,9,9,0,12,19,63.2,7,19,2,17,6,24,9,1,defense
FRA-Ligue 1,2023,Lorient,Badredine Bouanani,ALG,MF,18,2004,4.9,4,2,1,1,2,2,4,50.0,2,3,0,3,2,6,3,0,defense
FRA-Ligue 1,2023,Lorient,Bamba Dieng,SEN,FW,23,2000,6.1,3,3,0,3,0,1,3,33.3,2,3,0,3,0,3,7,0,defense
FRA-Ligue 1,2023,Lorient,Bamo Meïté,CIV,DF,21,2001,1.6,2,1,2,0,0,0,1,0.0,1,3,2,1,3,5,9,0,defense
FRA-Ligue 1,2023,Lorient,Bassirou Ndiaye,SEN,FW,21,2002,1.7,5,2,2,2,1,3,5,60.0,2,1,1,0,1,6,0,0,defense
FRA-Ligue 1,2023,Lorient,Benjamin Mendy,FRA,DF,29,1994,7.9,3,1,2,1,0,1,5,20.0,4,8,2,6,7,10,20,0,defense
FRA-Ligue 1,2023,Lorient,Bonke Innocent,NGA,MF,27,1996,2.3,6,4,2,2,2,2,9,22.2,7,2,1,1,4,10,2,0,defense
FRA-Ligue 1,2023,Lorient,Darlin Yongwa,CMR,DF,22,2000,12.9,30,23,17,11,2,14,25,56.0,11,14,2,12,15,45,36,0,defense
FRA-Ligue 1,2023,Lorient,Dembo Sylla,GUI,DF,20,2002,0.5,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,defense
