nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ALG,FW,26,1996,4.6,0,0,0,3,12,1,22,6,3,1,0,0,27,6,6,50.0,FRA-Ligue 1,2023,misc
FRA,FW,20,2003,0.8,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0.0,FRA-Ligue 1,2023,misc
BRA,DF,23,1999,24.7,6,1,0,27,37,1,2,35,22,0,0,1,124,39,17,69.6,FRA-Ligue 1,2023,misc
SRB,FW,23,2000,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,FRA-Ligue 1,2023,misc
ENG,MF,22,2000,28.6,5,0,0,31,36,0,45,18,13,0,0,0,125,7,13,35.0,FRA-Ligue 1,2023,misc
FRA,MF,15,2007,1.5,3,1,1,8,0,0,2,1,2,0,0,0,17,1,2,33.3,FRA-Ligue 1,2023,misc
FRA,DF,22,2001,18.8,4,0,0,16,12,2,3,21,20,0,1,0,83,32,19,62.7,FRA-Ligue 1,2023,misc
FRA,MF,32,1990,28.6,8,0,0,51,43,1,19,35,49,0,0,0,195,78,56,58.2,FRA-Ligue 1,2023,misc
CMR,MF,19,2004,0.7,0,0,0,2,2,0,0,2,2,0,0,0,2,0,0,,FRA-Ligue 1,2023,misc
KVX,FW,24,1999,25.4,3,1,0,23,31,11,174,8,18,0,0,0,101,6,11,35.3,FRA-Ligue 1,2023,misc
SWE,"DF,FW",24,1999,14.1,2,0,0,21,19,4,36,15,16,0,0,0,65,9,14,39.1,FRA-Ligue 1,2023,misc
ISL,"FW,MF",20,2003,14.3,5,0,0,15,28,1,7,3,8,0,0,0,48,1,8,11.1,FRA-Ligue 1,2023,misc
FRA,FW,17,2005,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,FRA-Ligue 1,2023,misc
ARG,MF,20,2003,0.4,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,,FRA-Ligue 1,2023,misc
BRA,DF,33,1990,27.4,1,0,0,15,23,3,29,32,47,0,0,0,126,42,16,72.4,FRA-Ligue 1,2023,misc
POR,FW,29,1993,8.6,1,0,0,10,7,2,29,5,6,0,0,0,31,15,22,40.5,FRA-Ligue 1,2023,misc
CAN,FW,23,2000,29.2,4,0,0,29,56,13,2,9,15,2,0,0,83,21,67,23.9,FRA-Ligue 1,2023,misc
FRA,DF,17,2005,29.7,5,0,0,20,16,0,1,36,25,0,1,1,124,44,25,63.8,FRA-Ligue 1,2023,misc
FRA,GK,21,2001,33.0,1,0,0,1,7,0,0,0,0,0,1,0,54,4,0,100.0,FRA-Ligue 1,2023,misc
ALG,MF,28,1994,21.9,7,0,0,23,18,0,6,37,32,0,1,0,142,24,13,64.9,FRA-Ligue 1,2023,misc
FRA,"FW,MF",33,1990,16.4,0,0,0,16,38,3,51,5,36,0,0,0,87,7,17,29.2,FRA-Ligue 1,2023,misc
FRA,DF,29,1993,2.1,0,0,0,3,1,0,0,2,1,0,0,0,9,1,1,50.0,FRA-Ligue 1,2023,misc
POR,FW,19,2003,0.5,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,,FRA-Ligue 1,2023,misc
POR,DF,21,2002,26.3,6,0,0,38,87,0,83,15,42,0,1,0,127,12,23,34.3,FRA-Ligue 1,2023,misc
CIV,"FW,MF",18,2005,0.3,1,0,0,2,1,0,1,1,0,0,0,0,1,1,1,50.0,FRA-Ligue 1,2023,misc
ITA,GK,35,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,FRA-Ligue 1,2023,misc
TUR,"MF,FW",26,1997,14.6,5,0,0,19,14,4,19,5,11,0,0,0,56,5,14,26.3,FRA-Ligue 1,2023,misc
AUT,FW,26,1996,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,66.7,FRA-Ligue 1,2023,misc
FRA,DF,19,2004,1.0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0,FRA-Ligue 1,2023,misc
FRA,MF,18,2004,9.9,1,0,0,10,28,0,1,6,14,0,0,0,50,2,7,22.2,FRA-Ligue 1,2023,misc
ALG,MF,18,2004,4.9,0,0,0,1,10,0,10,2,2,0,0,0,18,0,3,0.0,FRA-Ligue 1,2023,misc
SEN,FW,23,2000,6.1,3,0,0,7,19,6,5,0,3,0,0,0,12,17,19,47.2,FRA-Ligue 1,2023,misc
CIV,DF,21,2001,1.6,0,0,0,0,1,0,0,3,1,0,0,0,6,1,2,33.3,FRA-Ligue 1,2023,misc
SEN,FW,21,2002,1.7,0,0,0,5,5,0,1,1,2,0,0,0,9,3,5,37.5,FRA-Ligue 1,2023,misc
FRA,DF,29,1994,7.9,3,0,0,12,4,4,96,7,1,0,0,0,31,4,7,36.4,FRA-Ligue 1,2023,misc
NGA,MF,27,1996,2.3,1,0,0,5,4,0,0,4,4,0,0,0,11,3,2,60.0,FRA-Ligue 1,2023,misc
CMR,DF,22,2000,12.9,3,0,0,21,32,3,76,15,23,0,1,0,88,11,11,50.0,FRA-Ligue 1,2023,misc
GUI,DF,20,2002,0.5,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,,FRA-Ligue 1,2023,misc
FRA,"FW,MF",17,2006,12.0,1,0,0,16,8,8,14,10,4,0,0,0,35,8,21,27.6,FRA-Ligue 1,2023,misc
SEN,DF,22,2001,14.0,6,0,0,16,11,0,13,20,19,0,2,1,90,43,15,74.1,FRA-Ligue 1,2023,misc
COD,DF,25,1997,10.8,0,0,0,18,7,0,21,5,17,0,0,0,60,10,11,47.6,FRA-Ligue 1,2023,misc
FRA,MF,19,2004,0.1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,FRA-Ligue 1,2023,misc
MLI,FW,24,1999,0.4,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,75.0,FRA-Ligue 1,2023,misc
BRA,"DF,MF",26,1996,2.9,2,0,0,7,4,0,10,3,6,0,2,0,18,4,5,44.4,FRA-Ligue 1,2023,misc
MAR,MF,24,1999,9.6,1,0,0,16,15,0,53,9,7,0,0,0,57,9,8,52.9,FRA-Ligue 1,2023,misc
FRA,"MF,FW",25,1998,5.3,0,0,0,7,7,0,5,8,4,0,0,0,29,2,2,50.0,FRA-Ligue 1,2023,misc
NOR,"DF,FW",20,2002,2.2,1,0,0,1,5,1,12,2,3,0,0,0,11,0,2,0.0,FRA-Ligue 1,2023,misc
FRA,DF,29,1993,20.2,4,0,0,20,9,1,1,11,14,0,1,0,73,38,34,52.8,FRA-Ligue 1,2023,misc
FRA,MF,22,2000,24.9,5,0,0,30,34,5,49,19,15,0,0,0,145,10,28,26.3,FRA-Ligue 1,2023,misc
FRA,MF,30,1993,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7,FRA-Ligue 1,2023,misc
FRA,DF,22,2001,1.0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,1,0.0,FRA-Ligue 1,2023,misc
CIV,FW,21,2001,12.6,3,0,0,22,14,11,2,2,9,0,0,0,35,23,29,44.2,FRA-Ligue 1,2023,misc
TUN,DF,25,1998,24.5,2,0,0,18,8,1,3,32,22,0,0,0,116,51,37,58.0,FRA-Ligue 1,2023,misc
GHA,DF,20,2002,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7,FRA-Ligue 1,2023,misc
FRA,MF,20,2002,1.8,1,0,0,4,4,0,2,3,6,0,0,0,6,2,2,50.0,FRA-Ligue 1,2023,misc
