league,season,team,player,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,stat_type
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
ESP-La Liga,2024,Athletic Club,Óscar de Marcos,ESP,DF,35-362,1989,14.3,0,6,2,33.3,0.42,0.14,0.0,0.0,19.3,0,0,0,0.8,0.8,0.14,-0.8,-0.8,shooting
ESP-La Liga,2024,Atlético Madrid,Adrian Niño,ESP,FW,20-296,2004,0.1,0,2,0,0.0,15.0,0.0,0.0,,13.9,0,0,0,0.2,0.2,0.1,-0.2,-0.2,shooting
ESP-La Liga,2024,Atlético Madrid,Alexander Sørloth,NOR,FW,29-127,1995,12.6,11,47,20,42.6,3.74,1.59,0.21,0.5,12.8,0,1,1,9.6,8.8,0.19,1.4,1.2,shooting
ESP-La Liga,2024,Atlético Madrid,Antoine Griezmann,FRA,"FW,MF",34-021,1991,24.0,8,39,14,35.9,1.62,0.58,0.18,0.5,18.0,5,1,2,6.2,4.7,0.12,1.8,2.3,shooting
ESP-La Liga,2024,Atlético Madrid,Axel Witsel,BEL,DF,36-089,1989,8.5,0,1,0,0.0,0.12,0.0,0.0,,10.1,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,Clément Lenglet,FRA,DF,29-298,1995,17.3,1,8,2,25.0,0.46,0.12,0.13,0.5,17.0,1,0,0,1.5,1.5,0.19,-0.5,-0.5,shooting
ESP-La Liga,2024,Atlético Madrid,Conor Gallagher,ENG,MF,25-064,2000,14.2,2,13,2,15.4,0.92,0.14,0.15,1.0,19.7,0,0,0,2.0,2.0,0.15,0.0,0.0,shooting
ESP-La Liga,2024,Atlético Madrid,César Azpilicueta,ESP,DF,35-226,1989,7.8,1,5,2,40.0,0.64,0.26,0.2,0.5,17.8,0,0,0,0.2,0.2,0.05,0.8,0.8,shooting
ESP-La Liga,2024,Atlético Madrid,Giuliano Simeone,ARG,"MF,DF",22-114,2002,15.8,1,16,6,37.5,1.02,0.38,0.06,0.17,14.2,0,0,0,1.9,1.9,0.12,-0.9,-0.9,shooting
ESP-La Liga,2024,Atlético Madrid,Jan Oblak,SVN,GK,32-094,1993,29.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
