league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
FRA-Ligue 1,2024,Marseille,Geoffrey Kondogbia,CTA,"DF,MF",32-055,1993.0,18.4,1700,111,530,972,203,12,1700,14,9,64.3,4,28.6,1112,4875,2614,19,33,0,12,12,1321,11,possession
FRA-Ligue 1,2024,Marseille,Gerónimo Rulli,ARG,GK,32-326,1992.0,28.0,1085,840,1073,12,0,0,1085,0,0,,0,,650,2713,1415,0,0,0,1,0,631,0,possession
FRA-Ligue 1,2024,Marseille,Ismaël Bennacer,ALG,MF,27-131,1997.0,5.1,667,2,70,434,167,1,667,6,5,83.3,1,16.7,409,1844,871,11,19,1,5,11,550,6,possession
FRA-Ligue 1,2024,Marseille,Ismaël Koné,CAN,"MF,FW",22-309,2002.0,4.0,221,6,43,115,65,5,221,8,2,25.0,6,75.0,131,659,237,2,5,2,4,6,170,10,possession
FRA-Ligue 1,2024,Marseille,Jon Rowe,ENG,"FW,MF",21-346,2003.0,6.3,327,1,18,102,210,43,327,34,14,41.2,18,52.9,227,1279,643,23,11,7,28,12,265,74,possession
FRA-Ligue 1,2024,Marseille,Keyliane Abdallah,FRA,FW,19-006,2006.0,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,possession
FRA-Ligue 1,2024,Marseille,Leonardo Balerdi,ARG,DF,26-075,1999.0,21.4,2458,174,927,1481,67,14,2458,22,15,68.2,7,31.8,1550,7031,4495,11,15,2,16,13,1950,4,possession
FRA-Ligue 1,2024,Marseille,Lilian Brassier,FRA,DF,25-160,1999.0,8.7,732,59,303,382,48,11,732,9,1,11.1,6,66.7,447,2283,1109,11,8,0,9,4,532,8,possession
FRA-Ligue 1,2024,Marseille,Luis Henrique,BRA,"DF,FW",23-118,2001.0,24.8,1393,28,216,532,662,72,1393,73,42,57.5,30,41.1,856,4686,2588,74,51,27,25,13,1085,238,possession
FRA-Ligue 1,2024,Marseille,Luiz Felipe,ITA,DF,28-020,1997.0,0.8,43,6,20,22,1,0,43,1,0,0.0,1,100.0,19,63,22,0,0,0,0,0,25,0,possession
FRA-Ligue 1,2024,Marseille,Mason Greenwood,ENG,"FW,MF",23-192,2001.0,25.3,1446,4,90,607,764,122,1440,112,50,44.6,53,47.3,997,5827,3025,104,62,58,44,35,1202,236,possession
FRA-Ligue 1,2024,Marseille,Michael Amir Murillo,PAN,DF,29-059,1996.0,21.1,1701,62,463,983,263,26,1701,22,9,40.9,13,59.1,943,3916,2022,32,26,6,18,7,1187,75,possession
FRA-Ligue 1,2024,Marseille,Neal Maupay,FRA,FW,28-240,1996.0,11.5,379,2,20,194,171,48,379,14,6,42.9,7,50.0,197,970,380,11,13,7,34,19,293,79,possession
FRA-Ligue 1,2024,Marseille,Pierre Højbjerg,DEN,MF,29-249,1995.0,23.9,2632,71,500,1729,421,42,2632,22,6,27.3,15,68.2,1596,6888,3432,34,31,5,28,18,2152,43,possession
FRA-Ligue 1,2024,Marseille,Pol Lirola,ESP,DF,27-241,1997.0,6.8,416,17,108,187,124,13,416,2,1,50.0,1,50.0,224,956,476,11,6,4,5,4,277,40,possession
FRA-Ligue 1,2024,Marseille,Quentin Merlin,FRA,DF,22-330,2002.0,15.0,1110,16,179,491,450,44,1110,18,4,22.2,12,66.7,628,2918,1335,34,25,8,18,8,803,143,possession
FRA-Ligue 1,2024,Marseille,Robinio Vaz,FRA,FW,18-053,2007.0,0.8,20,1,2,1,17,9,20,1,0,0.0,1,100.0,12,79,34,3,0,2,1,1,14,6,possession
FRA-Ligue 1,2024,Marseille,Ulisses Garcia,SUI,DF,29-090,1996.0,5.9,399,7,75,185,142,15,399,9,4,44.4,5,55.6,195,867,344,12,4,1,10,8,246,71,possession
FRA-Ligue 1,2024,Marseille,Valentin Carboni,ARG,"MF,FW",20-037,2005.0,1.1,81,1,6,35,40,2,81,3,0,0.0,3,100.0,51,304,100,4,4,0,2,0,69,8,possession
FRA-Ligue 1,2024,Marseille,Valentin Rongier,FRA,"MF,DF",30-125,1994.0,13.4,1285,47,281,773,239,12,1285,11,7,63.6,4,36.4,713,2687,1472,24,24,4,18,14,984,24,possession
FRA-Ligue 1,2024,Monaco,Aleksandr Golovin,RUS,"MF,FW",28-316,1996.0,12.8,840,7,108,444,302,31,840,37,22,59.5,12,32.4,504,2977,1536,39,36,9,27,18,563,72,possession
FRA-Ligue 1,2024,Monaco,Almoatasem Al Musrati,LBY,MF,29-005,1996.0,3.5,295,5,45,186,65,6,295,2,0,0.0,2,100.0,178,682,362,1,5,0,3,1,210,5,possession
FRA-Ligue 1,2024,Monaco,Breel Embolo,SUI,"FW,MF",28-056,1997.0,15.9,516,6,40,213,269,106,516,38,12,31.6,23,60.5,327,1374,540,15,12,10,53,43,397,118,possession
FRA-Ligue 1,2024,Monaco,Caio Henrique Oliveira Silva,BRA,DF,27-254,1997.0,15.8,1191,36,251,549,410,28,1191,13,10,76.9,3,23.1,624,3162,1893,43,42,4,19,7,704,116,possession
FRA-Ligue 1,2024,Monaco,Christian Mawissa,FRA,DF,19-358,2005.0,13.6,895,64,322,527,61,6,895,26,9,34.6,15,57.7,553,2943,1390,13,11,1,15,9,591,9,possession
FRA-Ligue 1,2024,Monaco,Denis Zakaria,SUI,MF,28-142,1996.0,18.8,1147,50,225,752,185,26,1146,34,20,58.8,12,35.3,684,3126,1492,20,22,6,23,20,790,27,possession
FRA-Ligue 1,2024,Monaco,Eliesse Ben Seghir,MAR,"MF,FW",20-054,2005.0,17.3,1115,2,80,468,584,57,1113,87,30,34.5,51,58.6,769,5113,2779,80,81,23,54,33,890,160,possession
FRA-Ligue 1,2024,Monaco,Eliot Matazo,BEL,MF,23-055,2002.0,0.8,54,2,8,39,7,0,54,3,0,0.0,3,100.0,23,94,31,0,0,0,3,0,31,3,possession
FRA-Ligue 1,2024,Monaco,Folarin Balogun,USA,FW,23-282,2001.0,5.4,169,0,4,64,103,44,169,12,4,33.3,6,50.0,114,667,322,16,8,7,27,7,141,59,possession
FRA-Ligue 1,2024,Monaco,George Ilenikhena,FRA,FW,18-238,2006.0,7.1,165,0,8,59,99,35,165,16,3,18.8,11,68.8,105,445,182,8,4,5,9,14,144,52,possession
FRA-Ligue 1,2024,Monaco,Ismail Jakobs,SEN,DF,25-237,1999.0,2.0,121,6,25,50,46,1,121,0,0,,0,,67,503,228,9,7,1,0,0,77,17,possession
