league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ITA-Serie A,2022,Bologna,Stefan Posch,AUT,DF,25,1997,28.1,81,43,41,29,11,44,75,58.7,31,44,15,29,35,116,69,0,defense
ITA-Serie A,2022,Bologna,Łukasz Skorupski,POL,GK,31,1991,37.0,2,1,2,0,0,1,2,50.0,1,0,0,0,0,2,19,2,defense
ITA-Serie A,2022,Cremonese,Alberto Basso,ITA,MF,18,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Cremonese,Alex Ferrari,ITA,DF,28,1994,11.2,40,23,32,7,1,28,42,66.7,14,19,4,15,25,65,45,1,defense
ITA-Serie A,2022,Cremonese,Charles Pickel,COD,MF,25,1997,27.6,55,23,25,26,4,32,57,56.1,25,37,5,32,24,79,36,1,defense
ITA-Serie A,2022,Cremonese,Christian Acella,ITA,MF,20,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,defense
ITA-Serie A,2022,Cremonese,Cristian Buonaiuto,ITA,"MF,FW",29,1992,10.9,25,16,8,11,6,12,26,46.2,14,11,0,11,14,39,7,0,defense
ITA-Serie A,2022,Cremonese,Cyriel Dessers,NGA,FW,27,1994,17.6,11,4,4,4,3,2,6,33.3,4,14,2,12,3,14,5,0,defense
ITA-Serie A,2022,Cremonese,Daniel Ciofani,ITA,FW,37,1985,11.8,6,3,1,2,3,4,7,57.1,3,7,1,6,2,8,10,0,defense
ITA-Serie A,2022,Cremonese,David Okereke,NGA,"FW,MF",24,1997,25.2,12,8,4,5,3,3,16,18.8,13,23,3,20,10,22,12,0,defense
ITA-Serie A,2022,Cremonese,Emanuel Aiwum,AUT,DF,21,2000,18.4,55,34,36,17,2,33,47,70.2,14,28,16,12,25,80,52,3,defense
ITA-Serie A,2022,Cremonese,Emanuele Valeri,ITA,DF,23,1998,30.9,54,27,29,21,4,29,69,42.0,40,17,3,14,22,76,44,1,defense
ITA-Serie A,2022,Cremonese,Felix Afena-Gyan,GHA,"FW,MF",19,2003,9.1,7,3,4,1,2,2,10,20.0,8,5,1,4,1,8,6,0,defense
ITA-Serie A,2022,Cremonese,Frank Tsadjout,ITA,FW,23,1999,11.7,10,8,3,6,1,3,9,33.3,6,7,1,6,8,18,9,0,defense
ITA-Serie A,2022,Cremonese,Giacomo Quagliata,ITA,DF,22,2000,7.8,10,8,7,1,2,5,11,45.5,6,7,2,5,11,21,8,0,defense
ITA-Serie A,2022,Cremonese,Gonzalo Escalante,ARG,MF,29,1993,6.2,16,8,8,8,0,10,13,76.9,3,7,1,6,10,26,4,0,defense
