league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ITA-Serie A,2021,Benevento,Christian Pastina,ITA,DF,19,2001,1.3,56,67,83.6,1105,287,25,27,92.6,20,24,83.3,10,14,71.4,1,0.4,0.1,0.6,1,3,1,1,4,passing
ITA-Serie A,2021,Benevento,Daam Foulon,BEL,DF,21,1999,11.3,321,447,71.8,5175,2031,159,194,82.0,133,174,76.4,20,50,40.0,1,0.2,0.3,0.8,4,23,7,4,36,passing
ITA-Serie A,2021,Benevento,Fabio Depaoli,ITA,DF,23,1997,12.4,290,411,70.6,5133,2761,131,154,85.1,121,154,78.6,31,69,44.9,0,0.4,0.7,-0.4,8,21,13,7,34,passing
ITA-Serie A,2021,Benevento,Federico Barba,ITA,DF,26,1993,29.5,1095,1396,78.4,19174,7531,465,527,88.2,496,606,81.8,101,198,51.0,2,1.4,1.3,0.6,13,56,14,4,80,passing
ITA-Serie A,2021,Benevento,Gabriele Moncini,ITA,"FW,MF",24,1996,4.0,52,87,59.8,673,124,37,60,61.7,9,17,52.9,3,4,75.0,0,0.2,0.1,-0.2,3,4,0,0,5,passing
ITA-Serie A,2021,Benevento,Gaetano Letizia,ITA,DF,30,1990,17.4,670,890,75.3,11927,4614,301,338,89.1,270,343,78.7,79,154,51.3,1,1.2,2.3,-0.2,14,41,32,21,59,passing
ITA-Serie A,2021,Benevento,Gianluca Caprari,ITA,"MF,FW",27,1993,20.7,507,711,71.3,8148,2103,259,309,83.8,170,225,75.6,50,119,42.0,6,3.0,2.3,3.0,35,38,22,5,65,passing
ITA-Serie A,2021,Benevento,Gianluca Lapadula,PER,FW,30,1990,28.5,320,470,68.1,4204,895,194,256,75.8,88,123,71.5,13,19,68.4,2,3.7,1.9,-1.7,33,12,11,1,44,passing
ITA-Serie A,2021,Benevento,Giuseppe Di Serio,ITA,"FW,MF",19,2001,3.2,55,74,74.3,728,219,25,30,83.3,21,24,87.5,2,5,40.0,0,0.0,0.4,0.0,1,2,3,0,10,passing
ITA-Serie A,2021,Benevento,Iago Falque,ESP,"MF,FW",30,1990,4.0,159,212,75.0,2593,726,82,88,93.2,58,74,78.4,14,37,37.8,1,1.2,1.7,-0.2,13,15,15,3,26,passing
ITA-Serie A,2021,Benevento,Kamil Glik,POL,DF,32,1988,35.6,1148,1301,88.2,23627,7644,308,345,89.3,663,709,93.5,154,214,72.0,1,0.7,0.5,0.3,4,37,0,0,67,passing
ITA-Serie A,2021,Benevento,Lorenzo Del Pinto,ITA,MF,30,1990,0.1,5,8,62.5,65,29,2,3,66.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Benevento,Lorenzo Montipò,ITA,GK,24,1996,37.0,803,1242,64.7,24351,17210,141,142,99.3,294,307,95.8,362,780,46.4,0,0.0,0.0,0.0,0,7,0,0,1,passing
ITA-Serie A,2021,Benevento,Luca Caldirola,ITA,DF,29,1991,17.5,681,806,84.5,13020,5025,250,274,91.2,347,387,89.7,72,127,56.7,0,0.2,0.2,-0.2,4,46,4,1,48,passing
ITA-Serie A,2021,Benevento,Marco Sau,ITA,"MF,FW",32,1987,8.7,182,268,67.9,2719,611,94,121,77.7,65,90,72.2,14,36,38.9,2,1.8,1.3,0.2,19,9,6,1,17,passing
ITA-Serie A,2021,Benevento,Niccolò Manfredini,ITA,GK,32,1988,1.0,27,31,87.1,653,361,5,5,100.0,15,15,100.0,7,11,63.6,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Benevento,Nicolas Viola,ITA,MF,30,1989,11.5,333,500,66.6,6070,2329,152,179,84.9,115,161,71.4,47,123,38.2,2,1.7,1.2,0.3,19,30,12,1,41,passing
ITA-Serie A,2021,Benevento,Pasquale Schiattarella,ITA,MF,33,1987,25.0,1091,1353,80.6,19050,6549,471,524,89.9,461,544,84.7,108,186,58.1,1,2.2,1.4,-1.2,25,131,24,2,144,passing
ITA-Serie A,2021,Benevento,Përparim Hetemaj,FIN,MF,33,1986,24.6,656,869,75.5,10388,3115,338,402,84.1,248,306,81.0,45,96,46.9,2,1.4,1.6,0.6,14,46,20,6,88,passing
ITA-Serie A,2021,Benevento,Riccardo Improta,ITA,"DF,MF",26,1993,25.9,658,936,70.3,10025,4208,362,428,84.6,213,291,73.2,51,116,44.0,0,2.4,2.6,-2.4,21,66,33,18,81,passing
ITA-Serie A,2021,Benevento,Roberto Insigne,ITA,"MF,FW",26,1994,17.8,497,625,79.5,8037,1900,268,305,87.9,149,183,81.4,58,91,63.7,4,3.8,2.9,0.2,40,28,25,4,47,passing
ITA-Serie A,2021,Benevento,Siriki Sanogo,CIV,MF,18,2001,0.1,8,8,100.0,105,4,4,4,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Bologna,Aaron Hickey,SCO,DF,18,2002,8.4,337,397,84.9,5489,1742,160,174,92.0,142,165,86.1,21,34,61.8,0,0.1,0.2,-0.1,2,30,3,1,36,passing
ITA-Serie A,2021,Bologna,Adama Soumaoro,FRA,DF,28,1992,19.5,822,925,88.9,14538,4983,337,375,89.9,415,448,92.6,61,77,79.2,0,0.1,0.1,-0.1,3,21,0,0,51,passing
ITA-Serie A,2021,Bologna,Andrea Poli,ITA,MF,30,1989,4.3,191,213,89.7,2874,912,101,108,93.5,80,84,95.2,4,8,50.0,0,0.6,0.2,-0.6,6,29,2,1,25,passing
ITA-Serie A,2021,Bologna,Andreas Skov Olsen,DEN,"FW,DF",20,1999,13.1,407,546,74.5,5984,1534,231,263,87.8,127,172,73.8,25,61,41.0,3,2.0,1.9,1.0,20,12,10,5,29,passing
ITA-Serie A,2021,Bologna,Andri Fannar Baldursson,ISL,MF,18,2002,2.4,54,73,74.0,833,221,28,33,84.8,25,31,80.6,1,6,16.7,0,0.1,0.1,-0.1,1,5,2,0,6,passing
ITA-Serie A,2021,Bologna,Angelo da Costa Júnior,BRA,GK,36,1983,6.0,248,283,87.6,5919,3779,59,59,100.0,132,132,100.0,56,91,61.5,0,0.0,0.0,0.0,0,2,0,0,0,passing
ITA-Serie A,2021,Bologna,Antonio Raimondo,ITA,FW,16,2004,0.0,0,1,0.0,0,0,0,1,0.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Bologna,Arturo Calabresi,ITA,"DF,FW",24,1996,0.2,3,5,60.0,78,63,1,1,100.0,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,passing
ITA-Serie A,2021,Bologna,Danilo Larangeira,BRA,DF,36,1984,34.8,1414,1767,80.0,30988,13580,386,428,90.2,759,854,88.9,262,448,58.5,1,2.0,0.8,-1.0,9,86,6,0,108,passing
ITA-Serie A,2021,Bologna,Edoardo Vergani,ITA,FW,19,2001,0.1,2,2,100.0,16,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,passing
ITA-Serie A,2021,Bologna,Emanuel Vignato,ITA,"FW,MF",19,2000,13.4,526,713,73.8,8446,2958,279,324,86.1,177,241,73.4,51,86,59.3,4,3.6,2.8,0.4,26,56,19,3,79,passing
ITA-Serie A,2021,Bologna,Federico Ravaglia,ITA,GK,20,1999,4.0,116,137,84.7,2396,1828,36,36,100.0,55,56,98.2,20,40,50.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Bologna,Federico Santander,PAR,FW,29,1991,0.4,13,19,68.4,162,40,8,11,72.7,4,5,80.0,0,0,,1,0.4,0.3,0.6,1,2,0,0,1,passing
ITA-Serie A,2021,Bologna,Gary Medel,CHI,"DF,MF",32,1987,5.7,314,342,91.8,6206,2177,109,118,92.4,154,160,96.3,48,54,88.9,1,0.1,0.1,0.9,2,26,1,0,26,passing
ITA-Serie A,2021,Bologna,Ibrahima Mbaye,SEN,DF,25,1994,4.8,170,210,81.0,2544,1005,92,110,83.6,63,73,86.3,9,14,64.3,0,0.0,0.1,0.0,1,10,0,0,11,passing
ITA-Serie A,2021,Bologna,Jerdy Schouten,NED,MF,23,1997,27.9,1206,1395,86.5,20951,6375,528,592,89.2,515,577,89.3,121,148,81.8,1,1.9,1.6,-0.9,23,154,11,1,148,passing
ITA-Serie A,2021,Bologna,Kacper Urbanski,POL,FW,15,2004,0.0,6,7,85.7,117,24,2,2,100.0,3,3,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,3,passing
ITA-Serie A,2021,Bologna,Lorenzo De Silvestri,ITA,DF,32,1988,23.8,954,1283,74.4,16287,7523,441,507,87.0,406,534,76.0,87,180,48.3,0,0.7,1.0,-0.7,13,94,18,9,104,passing
ITA-Serie A,2021,Bologna,Mattia Pagliuca,ITA,MF,18,2002,0.1,1,3,33.3,12,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,passing
ITA-Serie A,2021,Bologna,Mattias Svanberg,SWE,MF,21,1999,20.6,512,653,78.4,8602,2821,245,293,83.6,212,248,85.5,40,59,67.8,2,2.5,1.8,-0.5,15,51,18,0,88,passing
ITA-Serie A,2021,Bologna,Mitchell Dijks,NED,DF,27,1993,16.5,602,794,75.8,8969,4150,332,385,86.2,223,290,76.9,26,65,40.0,0,0.2,0.2,-0.2,6,41,4,2,59,passing
ITA-Serie A,2021,Bologna,Musa Barrow,GAM,"FW,MF",21,1998,32.5,818,1165,70.2,13878,3584,433,530,81.7,247,331,74.6,103,213,48.4,8,6.0,4.1,2.0,60,83,31,12,103,passing
ITA-Serie A,2021,Bologna,Musa Juwara,GAM,"MF,DF",18,2001,0.5,21,31,67.7,340,108,12,12,100.0,8,12,66.7,1,4,25.0,0,0.0,0.0,0.0,0,3,0,0,2,passing
ITA-Serie A,2021,Bologna,Nehuén Paz,ARG,DF,27,1993,4.0,196,236,83.1,3733,1341,72,84,85.7,103,117,88.0,19,27,70.4,0,0.0,0.0,0.0,1,10,0,0,17,passing
ITA-Serie A,2021,Bologna,Nicola Sansone,ITA,"FW,MF",28,1991,13.0,412,533,77.3,6110,1942,246,285,86.3,121,154,78.6,26,51,51.0,2,2.9,1.9,-0.9,31,29,19,5,58,passing
ITA-Serie A,2021,Bologna,Nicolás Domínguez,ARG,MF,22,1998,13.9,614,716,85.8,10181,3198,303,340,89.1,240,275,87.3,48,64,75.0,0,1.7,1.6,-1.7,19,69,11,2,72,passing
ITA-Serie A,2021,Bologna,Omar Khailoti,ITA,DF,18,2001,0.3,17,20,85.0,211,44,12,13,92.3,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Bologna,Paolo Faragò,ITA,DF,27,1993,0.3,11,13,84.6,159,70,6,7,85.7,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,2,passing
ITA-Serie A,2021,Bologna,Riccardo Orsolini,ITA,"FW,MF",23,1997,19.5,458,724,63.3,7497,2458,247,313,78.9,139,218,63.8,49,115,42.6,3,2.4,2.1,0.6,30,34,19,5,45,passing
ITA-Serie A,2021,Bologna,Roberto Soriano,ITA,MF,29,1991,36.1,1222,1507,81.1,17944,6045,693,805,86.1,396,459,86.3,71,103,68.9,6,7.8,3.8,-1.8,52,155,46,3,199,passing
ITA-Serie A,2021,Bologna,Rodrigo Palacio,ARG,FW,38,1982,27.8,721,972,74.2,10312,2127,434,494,87.9,204,286,71.3,40,67,59.7,5,4.3,3.6,0.7,39,45,30,6,81,passing
ITA-Serie A,2021,Bologna,Simone Rabbi,ITA,"FW,DF",18,2001,0.4,5,9,55.6,72,22,3,3,100.0,2,4,50.0,0,0,,1,0.0,0.0,1.0,2,0,0,0,0,passing
ITA-Serie A,2021,Bologna,Stefano Denswil,SUR,DF,27,1993,1.3,64,82,78.0,1314,454,19,24,79.2,35,37,94.6,9,14,64.3,0,0.0,0.0,0.0,0,6,1,0,6,passing
ITA-Serie A,2021,Bologna,Takehiro Tomiyasu,JPN,DF,21,1998,30.2,1366,1677,81.5,24350,9450,591,671,88.1,614,727,84.5,138,221,62.4,0,0.4,0.9,-0.4,8,130,10,5,150,passing
ITA-Serie A,2021,Bologna,Valentin Antov,BUL,DF,19,2000,2.6,108,122,88.5,2181,851,41,42,97.6,51,55,92.7,16,25,64.0,0,0.0,0.0,0.0,1,4,0,0,6,passing
ITA-Serie A,2021,Bologna,Wisdom Amey,ITA,DF,14,2005,0.0,5,5,100.0,102,7,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,passing
ITA-Serie A,2021,Bologna,Łukasz Skorupski,POL,GK,29,1991,28.0,747,959,77.9,16949,11831,198,200,99.0,329,337,97.6,172,367,46.9,0,0.0,0.0,0.0,0,3,0,0,0,passing
ITA-Serie A,2021,Cagliari,Adam Ounas,ALG,"MF,FW",23,1996,3.4,83,122,68.0,1406,391,43,56,76.8,25,38,65.8,10,15,66.7,0,0.9,0.8,-0.9,7,8,8,2,15,passing
ITA-Serie A,2021,Cagliari,Alberto Cerri,ITA,FW,24,1996,4.1,88,146,60.3,1351,238,42,66,63.6,33,49,67.3,6,10,60.0,0,0.6,1.0,-0.6,7,4,4,0,9,passing
ITA-Serie A,2021,Cagliari,Alessandro Deiola,ITA,MF,24,1995,6.8,197,241,81.7,3340,872,104,121,86.0,67,77,87.0,23,32,71.9,0,0.8,0.2,-0.8,6,16,3,3,14,passing
ITA-Serie A,2021,Cagliari,Alessandro Tripaldelli,ITA,DF,21,1999,3.3,75,116,64.7,1284,667,34,43,79.1,31,53,58.5,7,9,77.8,0,0.1,0.0,-0.1,1,3,0,0,10,passing
ITA-Serie A,2021,Cagliari,Alessio Cragno,ITA,GK,26,1994,34.0,671,964,69.6,18986,15706,175,176,99.4,227,233,97.4,259,541,47.9,0,0.0,0.0,0.0,0,8,0,0,0,passing
ITA-Serie A,2021,Cagliari,Alfred Duncan,GHA,MF,27,1993,11.9,482,598,80.6,8737,2676,218,246,88.6,199,233,85.4,58,92,63.0,1,1.5,1.5,-0.5,10,68,14,0,73,passing
ITA-Serie A,2021,Cagliari,Andrea Carboni,ITA,DF,19,2001,12.1,470,610,77.0,8663,2885,175,200,87.5,239,291,82.1,48,99,48.5,1,1.1,1.1,-0.1,4,40,8,6,40,passing
ITA-Serie A,2021,Cagliari,Arturo Calabresi,ITA,DF,24,1996,0.2,15,20,75.0,238,71,8,11,72.7,7,7,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,passing
ITA-Serie A,2021,Cagliari,Charalambos Lykogiannis,GRE,DF,26,1993,26.9,809,1201,67.4,13966,6444,394,454,86.8,333,480,69.4,69,180,38.3,2,1.8,2.3,0.2,14,66,18,10,79,passing
ITA-Serie A,2021,Cagliari,Christian Oliva,URU,MF,24,1996,4.3,153,189,81.0,2358,846,76,91,83.5,63,69,91.3,9,19,47.4,1,0.1,0.1,0.9,2,13,2,0,18,passing
ITA-Serie A,2021,Cagliari,Daniele Rugani,ITA,DF,26,1994,11.1,402,508,79.1,7043,2474,171,198,86.4,189,220,85.9,33,70,47.1,1,0.5,0.5,0.5,3,23,2,0,36,passing
ITA-Serie A,2021,Cagliari,Diego Godín,URU,DF,34,1986,27.9,1296,1557,83.2,26885,11509,406,446,91.0,670,758,88.4,210,318,66.0,0,0.7,0.8,-0.7,7,83,4,1,91,passing
ITA-Serie A,2021,Cagliari,Fabio Pisacane,ITA,DF,34,1986,2.5,82,97,84.5,1275,551,43,48,89.6,35,41,85.4,3,5,60.0,0,0.0,0.0,0.0,0,5,0,0,4,passing
ITA-Serie A,2021,Cagliari,Fabrizio Caligara,ITA,"MF,FW",20,2000,2.0,43,58,74.1,765,234,21,25,84.0,15,19,78.9,6,10,60.0,0,0.3,0.2,-0.3,2,2,1,0,3,passing
ITA-Serie A,2021,Cagliari,Gabriele Zappa,ITA,DF,20,1999,26.6,1003,1313,76.4,15015,6281,563,642,87.7,360,465,77.4,52,132,39.4,4,4.3,3.2,-0.3,28,69,36,14,108,passing
ITA-Serie A,2021,Cagliari,Gastón Pereiro,URU,"MF,DF",25,1995,3.0,102,137,74.5,1713,438,47,56,83.9,38,52,73.1,11,18,61.1,2,1.2,1.4,0.8,8,11,8,1,25,passing
ITA-Serie A,2021,Cagliari,Giovanni Simeone,ARG,FW,25,1995,19.3,255,346,73.7,3452,361,153,194,78.9,79,99,79.8,5,12,41.7,2,1.3,0.7,0.7,12,7,3,1,13,passing
ITA-Serie A,2021,Cagliari,Guglielmo Vicario,ITA,GK,23,1996,4.0,73,106,68.9,2450,2008,12,12,100.0,24,25,96.0,36,68,52.9,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Cagliari,João Pedro,ITA,"FW,MF",28,1992,36.1,683,945,72.3,11025,2566,364,445,81.8,207,275,75.3,76,111,68.5,3,5.5,3.8,-2.5,38,48,29,2,94,passing
ITA-Serie A,2021,Cagliari,Kiril Despodov,BUL,FW,23,1996,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ITA-Serie A,2021,Cagliari,Kwadwo Asamoah,GHA,"DF,MF",31,1988,2.5,95,114,83.3,1746,456,43,48,89.6,38,43,88.4,12,17,70.6,0,0.0,0.1,0.0,0,10,2,0,6,passing
ITA-Serie A,2021,Cagliari,Leonardo Pavoletti,ITA,FW,31,1988,17.6,282,409,68.9,3571,476,177,246,72.0,63,84,75.0,13,21,61.9,3,1.1,0.6,1.9,12,19,6,0,21,passing
ITA-Serie A,2021,Cagliari,Luca Ceppitelli,ITA,DF,30,1989,16.3,703,846,83.1,13465,4685,259,297,87.2,355,386,92.0,78,135,57.8,0,0.1,0.2,-0.1,2,53,5,1,51,passing
ITA-Serie A,2021,Cagliari,Marko Rog,CRO,MF,25,1995,12.9,541,619,87.4,8565,2501,296,323,91.6,186,210,88.6,42,56,75.0,0,0.3,0.6,-0.3,8,55,7,2,53,passing
