league,season,team,player,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,stat_type
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
GER-Bundesliga,2023,Bochum,Anthony Losilla,FRA,MF,37,1986,28.6,10,0,0,38,22,5,6,25,37,0,0,0,136,82,54,60.3,misc
GER-Bundesliga,2023,Bochum,Bernardo,BRA,DF,28,1995,32.5,9,0,0,54,28,2,30,55,58,0,2,0,197,145,81,64.2,misc
GER-Bundesliga,2023,Bochum,Christopher Antwi-Adjei,GHA,"FW,MF",29,1994,13.5,5,0,0,13,17,18,55,2,12,0,0,0,53,11,22,33.3,misc
GER-Bundesliga,2023,Bochum,Cristian Gamboa,CRC,DF,33,1989,13.2,6,0,0,14,6,0,23,15,18,0,1,0,74,12,9,57.1,misc
GER-Bundesliga,2023,Bochum,Danilo Soares,BRA,DF,31,1991,3.9,0,0,0,5,5,0,3,7,6,0,0,0,35,4,7,36.4,misc
GER-Bundesliga,2023,Bochum,Erhan Mašović,SRB,"DF,MF",24,1998,24.7,7,0,0,22,15,0,5,25,40,0,0,1,117,35,53,39.8,misc
GER-Bundesliga,2023,Bochum,Felix Passlack,GER,DF,25,1998,10.7,2,1,0,14,13,2,40,10,14,0,0,0,51,6,8,42.9,misc
GER-Bundesliga,2023,Bochum,Gonçalo Paciência,POR,"FW,MF",28,1994,7.2,3,0,0,9,22,2,10,0,4,0,0,0,29,20,34,37.0,misc
GER-Bundesliga,2023,Bochum,Ivan Ordets,UKR,DF,31,1992,20.9,4,0,0,29,20,3,1,31,14,1,4,1,89,133,55,70.7,misc
GER-Bundesliga,2023,Bochum,Keven Schlotterbeck,GER,DF,26,1997,24.3,9,0,0,36,32,0,12,33,22,2,2,2,144,112,70,61.5,misc
GER-Bundesliga,2023,Bochum,Kevin Stöger,AUT,MF,29,1993,29.6,8,0,0,36,63,1,258,19,30,0,0,0,210,8,33,19.5,misc
