league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ITA-Serie A,2024,Bologna,Tommaso Pobega,ITA,MF,25-270,1999,10.3,6,2,1,23,10,0,4,11,16,1,0,0,34,10,14,41.7,misc
ITA-Serie A,2024,Bologna,Łukasz Skorupski,POL,GK,33-341,1991,22.3,1,0,0,1,4,0,0,0,0,0,1,0,40,2,0,100.0,misc
ITA-Serie A,2024,Cagliari,Adam Obert,SVK,DF,22-231,2002,10.4,4,0,0,18,7,0,9,18,17,0,0,0,52,24,19,55.8,misc
ITA-Serie A,2024,Cagliari,Alen Sherri,ALB,GK,27-117,1997,6.0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,,misc
ITA-Serie A,2024,Cagliari,Alessandro Deiola,ITA,MF,29-253,1995,12.6,4,0,0,25,10,0,14,11,16,0,0,0,51,29,26,52.7,misc
ITA-Serie A,2024,Cagliari,Antoine Makoumbou,CGO,MF,26-267,1998,18.9,3,1,1,23,14,0,6,12,18,0,1,0,89,3,15,16.7,misc
ITA-Serie A,2024,Cagliari,Elia Caprile,ITA,GK,23-229,2001,12.0,0,0,0,0,6,0,0,0,0,0,0,0,13,1,0,100.0,misc
ITA-Serie A,2024,Cagliari,Florinel Coman,ROU,"FW,MF",27-001,1998,1.8,1,0,0,6,5,0,0,1,3,0,0,0,10,3,2,60.0,misc
ITA-Serie A,2024,Cagliari,Gabriele Zappa,ITA,DF,25-110,1999,27.5,3,0,0,21,15,0,56,19,19,0,0,0,101,21,21,50.0,misc
ITA-Serie A,2024,Cagliari,Gianluca Gaetano,ITA,"MF,FW",24-341,2000,9.8,0,0,0,14,10,3,22,5,6,0,0,0,30,10,19,34.5,misc
ITA-Serie A,2024,Cagliari,Gianluca Lapadula,PER,"FW,MF",35-063,1990,3.4,1,0,0,9,1,1,3,0,0,0,0,0,5,11,8,57.9,misc
ITA-Serie A,2024,Cagliari,José Luis Palomino,ARG,DF,35-096,1990,7.1,2,0,0,4,1,0,0,12,7,0,1,0,31,6,9,40.0,misc
ITA-Serie A,2024,Cagliari,Kingstone Mutandwa,ZAM,"MF,FW",22-096,2003,0.9,0,0,0,4,1,0,1,0,0,0,0,0,4,1,2,33.3,misc
ITA-Serie A,2024,Cagliari,Leonardo Pavoletti,ITA,"FW,MF",36-136,1988,3.8,4,0,0,20,3,6,0,0,0,0,0,0,9,43,35,55.1,misc
ITA-Serie A,2024,Cagliari,Mateusz Wieteska,POL,DF,28-059,1997,2.0,1,0,0,4,0,0,0,7,0,0,1,0,11,2,7,22.2,misc
ITA-Serie A,2024,Cagliari,Matteo Prati,ITA,MF,21-104,2003,5.4,1,0,0,7,6,0,5,5,4,0,0,0,17,0,5,0.0,misc
ITA-Serie A,2024,Cagliari,Mattia Felici,ITA,"MF,FW",23-359,2001,9.7,1,0,0,18,17,4,22,7,12,0,1,0,47,7,10,41.2,misc
