league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_defense,pos_defense,age_defense,born_defense,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_possession,pos_possession,age_possession,born_possession,90s_possession,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc
ITA-Serie A,2023,Empoli,Emmanuel Gyasi,GHA,"DF,FW",29,1994,33,21,1879,20.9,1,2,3,1,0,0,8,0,3.5,3.5,1.5,5.0,15,41,60,0.05,0.1,0.14,0.05,0.14,0.17,0.07,0.24,0.17,0.24,standard,GHA,"DF,FW",29,1994,20.9,34,17,18,13,3,15,32,46.9,17,30,12,18,5,39,27,1,defense,GHA,"DF,FW",29,1994,20.9,412,550,74.9,5864,1972,244,292,83.6,138,177,78.0,12,29,41.4,2,1.5,1.0,0.5,10,22,14,3,41,passing,GHA,"DF,FW",29,1994,20.9,739,49,187,351,212,34,739,21,3,14.3,15,71.4,398,1793,639,15,14,4,25,21,432,60,possession,GHA,"DF,FW",29,1994,20.9,1,16,6,37.5,0.77,0.29,0.06,0.17,10.5,0,0,0,3.5,3.5,0.22,-2.5,-2.5,shooting,GHA,"DF,FW",29,1994,20.9,8,0,0,40,21,6,23,5,17,0,0,0,90,17,37,31.5,misc
ITA-Serie A,2023,Frosinone,Enzo Barrenechea,ARG,MF,22,2001,36,32,2811,31.2,0,1,1,0,0,0,10,0,0.6,0.6,1.7,2.3,10,155,24,0.0,0.03,0.03,0.0,0.03,0.02,0.05,0.07,0.02,0.07,standard,ARG,MF,22,2001,31.2,65,42,28,29,8,28,70,40.0,42,47,12,35,27,92,61,2,defense,ARG,MF,22,2001,31.2,1624,1903,85.3,26904,7782,779,857,90.9,679,775,87.6,126,193,65.3,1,1.7,1.1,-0.7,25,160,8,0,155,passing,ARG,MF,22,2001,31.2,2213,104,622,1408,205,13,2213,18,8,44.4,8,44.4,1005,4013,1526,10,12,0,20,16,1385,24,possession,ARG,MF,22,2001,31.2,0,20,3,15.0,0.64,0.1,0.0,0.0,22.8,2,0,0,0.6,0.6,0.03,-0.6,-0.6,shooting,ARG,MF,22,2001,31.2,10,0,0,32,52,0,1,27,42,0,0,0,231,51,43,54.3,misc
ITA-Serie A,2023,Udinese,Enzo Ebosse,CMR,DF,24,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,CMR,DF,24,1999,0.1,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,defense,CMR,DF,24,1999,0.1,12,15,80.0,222,57,4,4,100.0,7,9,77.8,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,CMR,DF,24,1999,0.1,17,5,9,8,0,0,17,0,0,,0,,12,38,21,0,0,0,0,0,12,0,possession,CMR,DF,24,1999,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,CMR,DF,24,1999,0.1,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,,misc
ITA-Serie A,2023,Salernitana,Erik Botheim,NOR,"FW,MF",23,2000,7,4,316,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,9,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,standard,NOR,"FW,MF",23,2000,3.5,2,0,2,0,0,0,1,0.0,1,3,0,3,0,2,2,0,defense,NOR,"FW,MF",23,2000,3.5,48,65,73.8,653,76,32,41,78.0,12,14,85.7,1,2,50.0,0,0.0,0.1,0.0,0,2,1,0,5,passing,NOR,"FW,MF",23,2000,3.5,86,2,11,49,27,7,86,4,1,25.0,2,50.0,47,189,52,3,1,2,3,0,57,9,possession,NOR,"FW,MF",23,2000,3.5,0,1,0,0.0,0.28,0.0,0.0,,15.8,0,0,0,0.1,0.1,0.11,-0.1,-0.1,shooting,NOR,"FW,MF",23,2000,3.5,1,0,0,2,11,0,1,0,0,0,0,0,7,2,17,10.5,misc
ITA-Serie A,2023,Empoli,Etrit Berisha,ALB,GK,34,1989,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ALB,GK,34,1989,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,1,defense,ALB,GK,34,1989,14.0,339,494,68.6,8491,5766,73,73,100.0,184,188,97.9,81,228,35.5,0,0.0,0.0,0.0,0,6,0,0,0,passing,ALB,GK,34,1989,14.0,532,456,530,2,0,0,532,0,0,,0,,314,1627,997,0,0,0,1,0,245,0,possession,ALB,GK,34,1989,14.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ALB,GK,34,1989,14.0,0,0,0,0,2,0,0,0,0,0,0,0,26,7,0,100.0,misc
ITA-Serie A,2023,Fiorentina,Fabiano Parisi,ITA,DF,22,2000,21,16,1454,16.2,0,1,1,0,0,0,4,0,0.9,0.9,2.4,3.3,50,78,64,0.0,0.06,0.06,0.0,0.06,0.06,0.15,0.2,0.06,0.2,standard,ITA,DF,22,2000,16.2,30,15,11,12,7,15,26,57.7,11,21,5,16,17,47,26,0,defense,ITA,DF,22,2000,16.2,830,1001,82.9,14051,4372,411,453,90.7,344,404,85.1,65,99,65.7,1,2.4,1.3,-1.4,16,56,20,5,78,passing,ITA,DF,22,2000,16.2,1171,51,327,551,313,25,1171,42,24,57.1,11,26.2,702,4605,2491,50,41,10,25,17,705,64,possession,ITA,DF,22,2000,16.2,0,12,2,16.7,0.74,0.12,0.0,0.0,19.4,0,0,0,0.9,0.9,0.08,-0.9,-0.9,shooting,ITA,DF,22,2000,16.2,4,0,0,14,38,0,42,17,15,0,3,0,124,24,20,54.5,misc
ITA-Serie A,2023,Hellas Verona,Fabien Centonze,FRA,DF,27,1996,10,7,676,7.5,0,1,1,0,0,0,2,0,0.0,0.0,1.0,1.1,16,14,21,0.0,0.13,0.13,0.0,0.13,0.0,0.14,0.14,0.0,0.14,standard,FRA,DF,27,1996,7.5,14,8,10,4,0,5,10,50.0,5,14,2,12,10,24,18,0,defense,FRA,DF,27,1996,7.5,213,317,67.2,3365,1617,110,138,79.7,87,119,73.1,13,40,32.5,1,1.0,0.8,0.0,6,14,8,7,14,passing,FRA,DF,27,1996,7.5,411,14,119,176,119,6,411,23,11,47.8,12,52.2,154,831,400,16,5,2,11,1,179,21,possession,FRA,DF,27,1996,7.5,0,1,0,0.0,0.13,0.0,0.0,,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,shooting,FRA,DF,27,1996,7.5,2,0,0,13,7,1,28,10,8,0,0,0,23,9,5,64.3,misc
ITA-Serie A,2023,Juventus,Fabio Miretti,ITA,MF,19,2003,25,16,1103,12.3,1,1,2,1,0,0,3,0,1.2,1.2,1.1,2.3,22,43,62,0.08,0.08,0.16,0.08,0.16,0.1,0.09,0.19,0.1,0.19,standard,ITA,MF,19,2003,12.3,18,14,6,8,4,10,26,38.5,16,10,1,9,7,25,6,0,defense,ITA,MF,19,2003,12.3,344,449,76.6,5815,1453,160,190,84.2,142,171,83.0,31,58,53.4,1,1.1,1.2,-0.1,24,31,12,2,43,passing,ITA,MF,19,2003,12.3,604,12,86,291,237,35,604,42,21,50.0,18,42.9,362,2026,1002,22,17,7,34,25,399,62,possession,ITA,MF,19,2003,12.3,1,20,3,15.0,1.63,0.24,0.05,0.33,20.4,0,0,0,1.2,1.2,0.06,-0.2,-0.2,shooting,ITA,MF,19,2003,12.3,3,0,0,22,29,1,32,7,14,0,0,0,73,3,12,20.0,misc
ITA-Serie A,2023,Frosinone,Farés Ghedjemis,FRA,"FW,MF",20,2002,6,1,182,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,7,2,19,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,standard,FRA,"FW,MF",20,2002,2.0,2,0,1,0,1,0,2,0.0,2,2,0,2,1,3,2,0,defense,FRA,"FW,MF",20,2002,2.0,48,61,78.7,638,71,29,32,90.6,15,19,78.9,1,4,25.0,0,0.1,0.1,-0.1,2,1,2,0,2,passing,FRA,"FW,MF",20,2002,2.0,84,2,14,29,44,11,84,7,2,28.6,5,71.4,47,360,119,7,2,5,5,2,59,19,possession,FRA,"FW,MF",20,2002,2.0,0,3,2,66.7,1.48,0.99,0.0,0.0,17.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting,FRA,"FW,MF",20,2002,2.0,1,0,0,2,0,1,6,1,0,0,0,0,10,1,2,33.3,misc
ITA-Serie A,2023,Lecce,Federico Baschirotto,ITA,DF,26,1996,37,37,3294,36.6,0,1,1,0,0,0,3,1,1.7,1.5,0.7,2.1,28,96,3,0.0,0.03,0.03,0.0,0.03,0.05,0.02,0.07,0.04,0.06,standard,ITA,DF,26,1996,36.6,21,12,16,5,0,8,15,53.3,7,42,26,16,23,44,144,1,defense,ITA,DF,26,1996,36.6,1516,1808,83.8,30369,9843,431,494,87.2,867,944,91.8,191,318,60.1,1,0.7,0.3,0.3,2,71,1,0,96,passing,ITA,DF,26,1996,36.6,2093,322,1172,876,53,24,2093,0,0,,0,,1138,6160,3312,28,9,0,12,4,1291,3,possession,ITA,DF,26,1996,36.6,0,17,6,35.3,0.46,0.16,0.0,0.0,10.8,0,0,0,1.7,1.5,0.09,-1.7,-1.5,shooting,ITA,DF,26,1996,36.6,3,1,0,30,4,0,3,23,12,0,2,0,153,93,70,57.1,misc
ITA-Serie A,2023,Hellas Verona,Federico Bonazzoli,ITA,"FW,MF",26,1997,24,10,1016,11.3,3,1,4,3,0,0,2,0,2.9,2.9,1.1,4.0,13,26,73,0.27,0.09,0.35,0.27,0.35,0.25,0.1,0.35,0.25,0.35,standard,ITA,"FW,MF",26,1997,11.3,4,1,1,3,0,1,8,12.5,7,9,1,8,3,7,3,0,defense,ITA,"FW,MF",26,1997,11.3,242,314,77.1,4025,534,132,161,82.0,71,87,81.6,30,34,88.2,1,1.1,0.5,-0.1,8,21,7,0,26,passing,ITA,"FW,MF",26,1997,11.3,410,2,20,216,178,41,410,12,6,50.0,5,41.7,262,1299,371,13,10,3,27,12,317,73,possession,ITA,"FW,MF",26,1997,11.3,3,27,13,48.1,2.39,1.15,0.11,0.23,18.6,0,0,0,2.9,2.9,0.11,0.1,0.1,shooting,ITA,"FW,MF",26,1997,11.3,2,0,0,10,20,9,7,3,1,0,0,0,31,6,11,35.3,misc
ITA-Serie A,2023,Juventus,Federico Chiesa,ITA,FW,25,1997,33,25,2197,24.4,9,2,11,8,1,1,1,0,6.4,5.6,6.2,11.9,111,70,216,0.37,0.08,0.45,0.33,0.41,0.26,0.25,0.52,0.23,0.49,standard,ITA,FW,25,1997,24.4,20,10,7,6,7,3,13,23.1,10,17,1,16,6,26,4,0,defense,ITA,FW,25,1997,24.4,498,712,69.9,7884,2466,270,329,82.1,161,224,71.9,48,93,51.6,2,6.2,5.6,-4.2,54,42,45,18,70,passing,ITA,FW,25,1997,24.4,1006,6,77,303,643,130,1005,95,35,36.8,48,50.5,643,4746,2697,111,56,58,54,40,740,216,possession,ITA,FW,25,1997,24.4,9,74,25,33.8,3.03,1.02,0.11,0.32,19.2,5,1,1,6.4,5.6,0.08,2.6,2.4,shooting,ITA,FW,25,1997,24.4,1,0,0,13,40,7,117,6,10,1,0,0,62,0,9,0.0,misc
ITA-Serie A,2023,Lecce,Federico Di Francesco,ITA,"FW,MF",29,1994,2,0,15,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,6.0,0.0,6.0,6.0,6.0,0.53,0.0,0.53,0.53,0.53,standard,ITA,"FW,MF",29,1994,0.2,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,defense,ITA,"FW,MF",29,1994,0.2,6,8,75.0,90,43,1,2,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,1,passing,ITA,"FW,MF",29,1994,0.2,15,0,2,8,5,3,15,1,0,0.0,1,100.0,9,65,18,1,0,0,0,0,9,3,possession,ITA,"FW,MF",29,1994,0.2,1,2,1,50.0,12.0,6.0,0.5,1.0,31.9,0,0,0,0.1,0.1,0.04,0.9,0.9,shooting,ITA,"FW,MF",29,1994,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,,misc
ITA-Serie A,2023,Inter,Federico Dimarco,ITA,DF,25,1997,30,29,2077,23.1,5,6,11,5,0,0,0,0,2.9,2.7,8.5,11.1,51,100,198,0.22,0.26,0.48,0.22,0.48,0.13,0.37,0.49,0.12,0.48,standard,ITA,DF,25,1997,23.1,42,25,19,14,9,17,35,48.6,18,18,3,15,9,51,34,1,defense,ITA,DF,25,1997,23.1,1027,1328,77.3,17596,5513,495,541,91.5,390,491,79.4,111,211,52.6,6,8.5,7.5,-2.5,61,60,57,30,100,passing,ITA,DF,25,1997,23.1,1538,35,340,572,641,74,1538,18,6,33.3,12,66.7,841,3487,1924,51,34,10,29,7,1057,198,possession,ITA,DF,25,1997,23.1,5,51,19,37.3,2.21,0.82,0.1,0.26,21.0,3,0,0,2.9,2.7,0.05,2.1,2.3,shooting,ITA,DF,25,1997,23.1,0,0,0,12,21,5,196,9,25,0,0,0,99,6,9,40.0,misc
ITA-Serie A,2023,Salernitana,Federico Fazio,ARG,DF,36,1987,17,15,1355,15.1,1,0,1,1,0,0,3,1,0.4,0.4,0.1,0.5,2,27,2,0.07,0.0,0.07,0.07,0.07,0.03,0.01,0.03,0.03,0.03,standard,ARG,DF,36,1987,15.1,18,11,14,4,0,8,14,57.1,6,22,19,3,17,35,99,1,defense,ARG,DF,36,1987,15.1,440,587,75.0,8392,3494,163,194,84.0,217,265,81.9,55,108,50.9,0,0.1,0.3,-0.1,3,26,1,0,27,passing,ARG,DF,36,1987,15.1,773,134,403,346,27,17,773,2,2,100.0,0,0.0,325,1521,825,2,0,0,8,3,370,2,possession,ARG,DF,36,1987,15.1,1,8,2,25.0,0.53,0.13,0.13,0.5,11.5,0,0,0,0.4,0.4,0.05,0.6,0.6,shooting,ARG,DF,36,1987,15.1,3,1,0,9,9,0,0,17,11,0,1,0,54,50,21,70.4,misc
ITA-Serie A,2023,Juventus,Federico Gatti,ITA,DF,25,1998,32,30,2637,29.3,4,0,4,4,0,0,7,0,5.5,5.5,1.5,7.0,52,122,43,0.14,0.0,0.14,0.14,0.14,0.19,0.05,0.24,0.19,0.24,standard,ITA,DF,25,1998,29.3,33,19,16,16,1,19,24,79.2,5,26,15,11,19,52,90,1,defense,ITA,DF,25,1998,29.3,1166,1370,85.1,21805,7166,432,475,90.9,613,669,91.6,112,177,63.3,0,1.5,1.3,-1.5,10,103,7,5,122,passing,ITA,DF,25,1998,29.3,1640,122,504,950,201,47,1640,22,9,40.9,10,45.5,963,5225,3233,52,31,1,24,12,1115,43,possession,ITA,DF,25,1998,29.3,4,35,7,20.0,1.19,0.24,0.11,0.57,14.3,0,0,0,5.5,5.5,0.16,-1.5,-1.5,shooting,ITA,DF,25,1998,29.3,7,0,0,39,15,0,19,19,19,1,0,2,116,50,31,61.7,misc
ITA-Serie A,2023,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,6,535,5.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,23,1999,5.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense,ITA,GK,23,1999,5.9,166,206,80.6,3557,2149,58,58,100.0,82,83,98.8,25,64,39.1,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,GK,23,1999,5.9,218,195,214,4,0,0,218,1,1,100.0,0,0.0,132,579,320,0,0,0,1,0,123,0,possession,ITA,GK,23,1999,5.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,GK,23,1999,5.9,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,misc
ITA-Serie A,2023,Lazio,Felipe Anderson,BRA,"FW,MF",30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,108,126,226,0.16,0.19,0.36,0.16,0.36,0.14,0.21,0.35,0.14,0.35,standard,BRA,"FW,MF",30,1993,30.8,78,45,32,33,13,34,90,37.8,56,45,3,42,27,105,23,0,defense,BRA,"FW,MF",30,1993,30.8,1012,1336,75.7,14375,3827,601,690,87.1,320,411,77.9,47,96,49.0,6,6.3,4.7,-0.3,42,66,50,4,126,passing,BRA,"FW,MF",30,1993,30.8,1756,43,252,792,742,93,1756,107,43,40.2,54,50.5,897,5493,2896,108,62,26,65,32,1304,226,possession,BRA,"FW,MF",30,1993,30.8,5,43,11,25.6,1.4,0.36,0.12,0.45,17.3,1,0,0,4.4,4.4,0.1,0.6,0.6,shooting,BRA,"FW,MF",30,1993,30.8,3,0,0,30,36,4,57,27,45,0,0,0,139,15,16,48.4,misc
ITA-Serie A,2023,Udinese,Festy Ebosele,IRL,DF,20,2002,31,20,1700,18.9,0,0,0,0,0,0,6,1,0.8,0.8,1.8,2.6,67,35,98,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,standard,IRL,DF,20,2002,18.9,33,20,23,9,1,21,35,60.0,14,33,2,31,10,43,27,0,defense,IRL,DF,20,2002,18.9,278,419,66.3,4631,1636,140,182,76.9,98,149,65.8,27,51,52.9,0,1.8,1.5,-1.8,15,22,11,5,35,passing,IRL,DF,20,2002,18.9,707,35,166,246,314,46,707,108,49,45.4,37,34.3,406,3692,1887,67,45,30,56,34,405,98,possession,IRL,DF,20,2002,18.9,0,16,5,31.3,0.85,0.26,0.0,0.0,21.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,shooting,IRL,DF,20,2002,18.9,6,1,1,29,45,1,45,10,20,1,3,0,74,16,18,47.1,misc
ITA-Serie A,2023,Milan,Fikayo Tomori,ENG,DF,25,1997,26,24,2121,23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,16,63,2,0.17,0.0,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16,standard,ENG,DF,25,1997,23.6,42,24,29,10,3,18,29,62.1,11,34,23,11,26,68,75,1,defense,ENG,DF,25,1997,23.6,1541,1691,91.1,27326,9784,613,655,93.6,816,862,94.7,101,147,68.7,0,0.2,0.2,-0.2,4,39,1,1,63,passing,ENG,DF,25,1997,23.6,1904,219,1015,845,49,17,1904,4,2,50.0,2,50.0,1168,5311,2898,16,13,1,5,0,1364,2,possession,ENG,DF,25,1997,23.6,4,17,7,41.2,0.72,0.3,0.24,0.57,9.9,0,0,0,3.7,3.7,0.22,0.3,0.3,shooting,ENG,DF,25,1997,23.6,8,1,1,26,9,1,3,26,24,0,1,0,105,29,26,52.7,misc
ITA-Serie A,2023,Genoa,Filip Jagiełło,POL,MF,25,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,POL,MF,25,1997,0.4,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,0,0,defense,POL,MF,25,1997,0.4,15,17,88.2,287,13,5,5,100.0,9,9,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,passing,POL,MF,25,1997,0.4,20,2,6,8,7,0,20,0,0,,0,,16,102,33,1,3,0,0,2,16,2,possession,POL,MF,25,1997,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,POL,MF,25,1997,0.4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,,misc
ITA-Serie A,2023,Juventus,Filip Kostić,SRB,DF,30,1992,29,26,1815,20.2,0,4,4,0,0,0,2,0,0.7,0.7,5.4,6.1,64,88,95,0.0,0.2,0.2,0.0,0.2,0.03,0.27,0.3,0.03,0.3,standard,SRB,DF,30,1992,20.2,37,23,20,13,4,17,33,51.5,16,29,8,21,9,46,43,0,defense,SRB,DF,30,1992,20.2,726,997,72.8,12641,4579,339,386,87.8,308,396,77.8,65,152,42.8,4,5.4,4.1,-1.4,40,53,30,19,88,passing,SRB,DF,30,1992,20.2,1221,57,257,520,454,32,1221,27,6,22.2,15,55.6,614,3619,2012,64,52,11,30,16,720,95,possession,SRB,DF,30,1992,20.2,0,21,2,9.5,1.04,0.1,0.0,0.0,22.1,0,0,0,0.7,0.7,0.03,-0.7,-0.7,shooting,SRB,DF,30,1992,20.2,2,0,0,19,18,7,168,9,23,0,0,0,73,11,17,39.3,misc
ITA-Serie A,2023,Sassuolo,Filippo Missori,ITA,DF,19,2004,8,2,266,3.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,5,8,7,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.11,0.1,0.11,standard,ITA,DF,19,2004,3.0,6,3,2,4,0,4,11,36.4,7,3,2,1,4,10,8,0,defense,ITA,DF,19,2004,3.0,89,113,78.8,1575,527,40,44,90.9,38,48,79.2,10,17,58.8,0,0.0,0.1,0.0,2,5,2,2,8,passing,ITA,DF,19,2004,3.0,146,10,50,68,30,3,146,2,1,50.0,1,50.0,65,330,198,5,2,2,1,2,73,7,possession,ITA,DF,19,2004,3.0,0,4,1,25.0,1.35,0.34,0.0,0.0,16.6,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting,ITA,DF,19,2004,3.0,0,0,0,1,2,0,5,4,3,0,0,0,8,6,1,85.7,misc
ITA-Serie A,2023,Empoli,Filippo Ranocchia,ITA,"MF,DF",22,2001,9,5,476,5.3,0,0,0,0,0,0,3,0,0.2,0.2,0.5,0.8,5,21,11,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.14,0.04,0.14,standard,ITA,"MF,DF",22,2001,5.3,16,11,7,9,0,7,16,43.8,9,9,1,8,3,19,14,0,defense,ITA,"MF,DF",22,2001,5.3,152,216,70.4,2895,1062,61,73,83.6,66,80,82.5,21,51,41.2,0,0.5,1.0,-0.5,4,17,4,0,21,passing,ITA,"MF,DF",22,2001,5.3,284,19,69,165,51,4,284,10,6,60.0,2,20.0,158,899,359,5,4,0,12,8,174,11,possession,ITA,"MF,DF",22,2001,5.3,0,6,2,33.3,1.13,0.38,0.0,0.0,26.6,2,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting,ITA,"MF,DF",22,2001,5.3,3,0,0,11,8,0,10,3,11,0,0,0,16,6,4,60.0,misc
ITA-Serie A,2023,Hellas Verona,Filippo Terracciano,ITA,DF,20,2003,18,14,1296,14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,26,51,28,0.0,0.07,0.07,0.0,0.07,0.02,0.07,0.09,0.02,0.09,standard,ITA,DF,20,2003,14.4,30,19,23,6,1,17,31,54.8,14,24,6,18,20,50,17,0,defense,ITA,DF,20,2003,14.4,507,713,71.1,9215,4188,230,270,85.2,217,294,73.8,54,117,46.2,1,1.0,1.3,0.0,18,49,14,10,51,passing,ITA,DF,20,2003,14.4,860,36,271,426,172,8,860,31,13,41.9,10,32.3,464,2728,1352,26,21,1,18,19,460,28,possession,ITA,DF,20,2003,14.4,0,8,3,37.5,0.56,0.21,0.0,0.0,21.3,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting,ITA,DF,20,2003,14.4,1,0,0,15,32,0,59,20,19,0,0,0,74,19,18,51.4,misc
ITA-Serie A,2023,Milan,Filippo Terracciano,ITA,"DF,FW",20,2003,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,"DF,FW",20,2003,0.8,2,2,1,1,0,1,3,33.3,2,3,0,3,0,2,1,0,defense,ITA,"DF,FW",20,2003,0.8,38,40,95.0,652,143,16,17,94.1,20,20,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,passing,ITA,"DF,FW",20,2003,0.8,48,2,13,27,8,0,48,0,0,,0,,33,205,58,0,2,0,1,1,36,1,possession,ITA,"DF,FW",20,2003,0.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting,ITA,"DF,FW",20,2003,0.8,1,0,0,3,1,0,0,0,2,0,1,0,6,0,0,,misc
ITA-Serie A,2023,Salernitana,Flavius Daniliuc,AUT,DF,22,2001,14,8,744,8.3,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.5,8,37,2,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,standard,AUT,DF,22,2001,8.3,19,11,12,5,2,9,19,47.4,10,13,4,9,8,27,15,0,defense,AUT,DF,22,2001,8.3,350,411,85.2,5932,2368,157,180,87.2,157,170,92.4,27,39,69.2,0,0.2,0.1,-0.2,5,31,2,0,37,passing,AUT,DF,22,2001,8.3,486,44,208,218,63,7,486,5,1,20.0,4,80.0,235,1145,561,8,7,0,7,4,282,2,possession,AUT,DF,22,2001,8.3,0,2,0,0.0,0.24,0.0,0.0,,15.4,0,0,0,0.2,0.2,0.12,-0.2,-0.2,shooting,AUT,DF,22,2001,8.3,2,0,0,14,4,0,1,8,11,0,0,0,52,20,15,57.1,misc
