league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Napoli,Cyril Ngonge,BEL,"FW,DF",24-320,2000,2.0,129,2,12,51,67,9,129,20,7,35.0,10,50.0,81,473,204,4,5,3,3,7,97,32,possession
ITA-Serie A,2024,Napoli,David Neres,BRA,FW,28-039,1997,12.6,648,8,63,254,351,49,648,65,30,46.2,32,49.2,393,3413,1717,65,32,25,32,23,455,124,possession
ITA-Serie A,2024,Napoli,Elia Caprile,ITA,GK,23-229,2001,3.6,105,79,105,0,0,0,105,0,0,,0,,44,234,161,0,0,0,0,0,62,0,possession
ITA-Serie A,2024,Napoli,Giacomo Raspadori,ITA,"FW,MF",25-052,2000,8.4,394,4,41,170,185,39,394,11,6,54.5,3,27.3,193,843,278,9,4,2,17,9,243,37,possession
ITA-Serie A,2024,Napoli,Giovanni Di Lorenzo,ITA,DF,31-250,1993,31.0,2113,101,583,999,539,56,2113,29,4,13.8,18,62.1,1019,4307,2329,44,29,6,24,13,1413,139,possession
ITA-Serie A,2024,Napoli,Giovanni Simeone,ARG,FW,29-280,1995,4.1,171,7,19,75,82,20,171,11,6,54.5,5,45.5,97,542,280,9,9,2,17,12,123,24,possession
ITA-Serie A,2024,Napoli,Juan Jesus,BRA,DF,33-305,1991,11.1,895,72,359,532,7,2,895,0,0,,0,,559,2330,1159,3,2,0,4,1,672,2,possession
ITA-Serie A,2024,Napoli,Khvicha Kvaratskhelia,GEO,"FW,MF",24-058,2001,13.1,659,2,55,275,342,74,658,72,19,26.4,42,58.3,405,3292,1912,74,51,37,25,21,471,89,possession
ITA-Serie A,2024,Napoli,Leonardo Spinazzola,ITA,"DF,FW",32-017,1993,10.8,682,30,167,293,229,28,682,41,16,39.0,20,48.8,397,2993,1742,58,45,18,11,12,438,56,possession
ITA-Serie A,2024,Napoli,Mathías Olivera,URU,DF,27-162,1997,19.7,1346,71,432,685,239,30,1346,14,5,35.7,7,50.0,647,2974,1629,31,17,5,22,13,804,50,possession
ITA-Serie A,2024,Napoli,Matteo Politano,ITA,"FW,MF",31-251,1993,24.8,1242,41,192,415,644,70,1242,64,27,42.2,30,46.9,733,4969,2549,100,45,28,36,17,898,228,possession
ITA-Serie A,2024,Napoli,Michael Folorunsho,ITA,"FW,MF",27-063,1998,0.4,26,0,3,17,7,1,26,3,0,0.0,3,100.0,6,57,10,0,0,0,2,0,13,2,possession
ITA-Serie A,2024,Napoli,Noah Okafor,SUI,"FW,MF",24-322,2000,0.4,29,0,7,10,13,6,29,7,2,28.6,4,57.1,15,178,117,7,2,3,2,2,18,6,possession
ITA-Serie A,2024,Napoli,Pasquale Mazzocchi,ITA,"DF,FW",29-258,1995,6.9,318,24,87,120,117,9,318,14,7,50.0,4,28.6,169,1003,511,15,11,2,13,11,183,38,possession
ITA-Serie A,2024,Napoli,Philip Billing,DEN,MF,28-304,1996,1.2,56,4,11,30,16,3,56,0,0,,0,,19,70,24,0,0,0,0,1,28,3,possession
ITA-Serie A,2024,Napoli,Rafa Marín,ESP,DF,22-327,2002,0.1,3,2,2,1,0,0,3,0,0,,0,,2,10,0,0,0,0,0,0,2,0,possession
ITA-Serie A,2024,Napoli,Romelu Lukaku,BEL,FW,31-333,1993,25.2,589,12,25,258,309,108,585,20,4,20.0,14,70.0,311,1272,501,23,10,18,44,44,482,179,possession
ITA-Serie A,2024,Napoli,Scott McTominay,SCO,MF,28-124,1996,25.6,1029,42,178,571,300,81,1029,73,30,41.1,34,46.6,573,3237,1549,43,33,10,52,39,746,106,possession
ITA-Serie A,2024,Napoli,Simone Scuffet,ITA,GK,28-315,1996,1.0,46,45,46,0,0,0,46,0,0,,0,,27,156,51,0,0,0,0,0,18,0,possession
ITA-Serie A,2024,Napoli,Stanislav Lobotka,SVK,MF,30-137,1994,25.6,1678,93,456,969,270,9,1678,11,8,72.7,3,27.3,970,4570,1808,28,23,2,10,10,1231,30,possession
