league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ESP-La Liga,2024,Barcelona,Alejandro Balde,ESP,DF,21-175,2003.0,22.7,2,0,0,14,35,0,65,5,10,0,0,0,107,14,8,63.6,misc
ESP-La Liga,2024,Barcelona,Andreas Christensen,DEN,DF,29-001,1996.0,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,misc
ESP-La Liga,2024,Barcelona,Ansu Fati,ESP,FW,22-162,2002.0,1.4,1,0,0,1,2,1,0,0,1,0,0,0,4,1,4,20.0,misc
ESP-La Liga,2024,Barcelona,Dani Olmo,ESP,"MF,FW",26-339,1998.0,10.1,0,0,0,13,17,1,12,2,9,1,0,0,37,7,7,50.0,misc
ESP-La Liga,2024,Barcelona,Eric García,ESP,"MF,DF",24-092,2001.0,11.7,3,0,0,16,5,0,1,10,12,0,0,0,40,25,20,55.6,misc
ESP-La Liga,2024,Barcelona,Fermin López,ESP,"MF,FW",21-335,2003.0,8.8,3,1,0,17,15,3,21,4,13,0,0,0,42,7,17,29.2,misc
ESP-La Liga,2024,Barcelona,Ferrán Torres,ESP,"FW,MF",25-041,2000.0,9.6,1,1,0,5,10,6,16,2,3,0,0,0,21,3,7,30.0,misc
ESP-La Liga,2024,Barcelona,Frenkie de Jong,NED,MF,27-334,1997.0,8.0,2,0,0,9,12,0,4,3,6,0,1,0,29,7,5,58.3,misc
ESP-La Liga,2024,Barcelona,Gavi,ESP,"MF,FW",20-249,2004.0,7.7,4,0,0,27,15,1,8,8,10,0,0,0,36,15,17,46.9,misc
ESP-La Liga,2024,Barcelona,Gerard Martín,ESP,DF,23-100,2002.0,7.1,2,0,0,9,4,0,18,8,7,0,0,0,26,10,3,76.9,misc
ESP-La Liga,2024,Barcelona,Héctor Fort,ESP,DF,18-252,2006.0,4.2,2,0,0,3,1,0,7,6,6,0,0,0,18,3,5,37.5,misc
ESP-La Liga,2024,Barcelona,Iñaki Peña,ESP,GK,26-040,1999.0,14.5,1,0,0,0,0,0,0,0,0,0,0,0,63,1,0,100.0,misc
ESP-La Liga,2024,Barcelona,Iñigo Martínez,ESP,DF,33-329,1991.0,22.7,3,0,0,12,24,0,3,18,12,1,0,0,97,50,28,64.1,misc
ESP-La Liga,2024,Barcelona,Jules Koundé,FRA,DF,26-150,1998.0,26.9,4,0,0,21,18,7,59,20,39,0,0,0,98,24,22,52.2,misc
ESP-La Liga,2024,Barcelona,Lamine Yamal,ESP,FW,17-272,2007.0,24.8,3,0,0,25,50,11,73,13,23,2,0,0,96,1,1,50.0,misc
ESP-La Liga,2024,Barcelona,Marc Bernal,ESP,MF,17-320,2007.0,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,misc
ESP-La Liga,2024,Barcelona,Marc Casado,ESP,MF,21-209,2003.0,17.9,4,1,1,26,36,0,9,22,25,0,0,0,90,8,23,25.8,misc
ESP-La Liga,2024,Barcelona,Marc-André ter Stegen,GER,GK,32-346,1992.0,5.5,0,0,0,0,2,0,0,0,0,0,0,0,5,1,0,100.0,misc
ESP-La Liga,2024,Barcelona,Pablo Torre,ESP,"MF,FW",22-008,2003.0,3.4,0,0,0,4,8,1,13,3,4,0,0,0,15,1,6,14.3,misc
ESP-La Liga,2024,Barcelona,Pau Cubarsí,ESP,DF,18-079,2007.0,24.9,3,0,0,16,8,0,2,12,17,0,1,0,85,57,34,62.6,misc
ESP-La Liga,2024,Barcelona,Pau Victor Delgado,ESP,FW,23-136,2001.0,2.5,2,0,0,5,3,0,2,2,1,0,0,0,14,2,1,66.7,misc
ESP-La Liga,2024,Barcelona,Pedri,ESP,MF,22-137,2002.0,25.1,2,0,0,9,39,2,50,23,26,0,0,0,186,5,5,50.0,misc
ESP-La Liga,2024,Barcelona,Raphinha,BRA,"FW,MF",28-118,1996.0,25.0,3,0,0,7,29,7,174,7,20,2,0,0,78,6,5,54.5,misc
ESP-La Liga,2024,Barcelona,Robert Lewandowski,POL,FW,36-233,1988.0,25.5,1,0,0,26,32,16,5,3,3,0,0,0,43,31,39,44.3,misc
ESP-La Liga,2024,Barcelona,Ronald Araújo,URU,DF,26-035,1999.0,4.6,1,0,0,6,2,0,0,3,6,0,0,0,16,18,12,60.0,misc
ESP-La Liga,2024,Barcelona,Sergi Dominguez,ESP,DF,20-010,2005.0,1.9,1,0,0,2,0,0,0,3,1,0,1,0,8,1,3,25.0,misc
ESP-La Liga,2024,Barcelona,Wojciech Szczęsny,POL,GK,34-358,1990.0,10.0,0,0,0,0,1,0,0,0,1,0,0,0,29,0,0,,misc
ESP-La Liga,2024,Betis,Abde Ezzalzouli,MAR,"FW,MF",23-115,2001.0,17.9,2,0,0,18,32,3,42,5,22,1,0,0,84,19,31,38.0,misc
ESP-La Liga,2024,Betis,Adrián,ESP,GK,38-098,1987.0,11.0,3,0,0,0,3,0,0,0,0,0,0,0,8,1,1,50.0,misc
ESP-La Liga,2024,Betis,Aitor Ruibal,ESP,"DF,FW",29-020,1996.0,9.1,3,0,0,6,14,2,18,9,13,0,0,0,46,4,12,25.0,misc
