nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ESP,"MF,FW",26-339,1998,10.1,0,0,0,13,17,1,12,2,9,1,0,0,37,7,7,50.0,ESP-La Liga,2024,misc
ESP,"MF,DF",24-092,2001,11.7,3,0,0,16,5,0,1,10,12,0,0,0,40,25,20,55.6,ESP-La Liga,2024,misc
ESP,"MF,FW",21-335,2003,8.8,3,1,0,17,15,3,21,4,13,0,0,0,42,7,17,29.2,ESP-La Liga,2024,misc
ESP,"FW,MF",25-041,2000,9.6,1,1,0,5,10,6,16,2,3,0,0,0,21,3,7,30.0,ESP-La Liga,2024,misc
NED,MF,27-334,1997,8.0,2,0,0,9,12,0,4,3,6,0,1,0,29,7,5,58.3,ESP-La Liga,2024,misc
ESP,"MF,FW",20-249,2004,7.7,4,0,0,27,15,1,8,8,10,0,0,0,36,15,17,46.9,ESP-La Liga,2024,misc
ESP,DF,23-100,2002,7.1,2,0,0,9,4,0,18,8,7,0,0,0,26,10,3,76.9,ESP-La Liga,2024,misc
ESP,DF,18-252,2006,4.2,2,0,0,3,1,0,7,6,6,0,0,0,18,3,5,37.5,ESP-La Liga,2024,misc
ESP,GK,26-040,1999,14.5,1,0,0,0,0,0,0,0,0,0,0,0,63,1,0,100.0,ESP-La Liga,2024,misc
ESP,DF,33-329,1991,22.7,3,0,0,12,24,0,3,18,12,1,0,0,97,50,28,64.1,ESP-La Liga,2024,misc
FRA,DF,26-150,1998,26.9,4,0,0,21,18,7,59,20,39,0,0,0,98,24,22,52.2,ESP-La Liga,2024,misc
ESP,FW,17-272,2007,24.8,3,0,0,25,50,11,73,13,23,2,0,0,96,1,1,50.0,ESP-La Liga,2024,misc
ESP,MF,17-320,2007,2.7,2,0,0,4,3,0,0,1,6,0,0,0,9,1,6,14.3,ESP-La Liga,2024,misc
