nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,league,season,stat_type
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,,,
ITA,"FW,DF",18,2001,0.4,0,0,0,3,1,1,1,0,0,0,0,0,2,0,3,0.0,ITA-Serie A,2020,misc
SUR,DF,27,1993,1.3,0,0,0,0,2,0,0,1,1,0,0,0,6,3,1,75.0,ITA-Serie A,2020,misc
JPN,DF,21,1998,30.2,4,0,0,31,13,2,23,54,31,0,0,1,155,91,64,58.7,ITA-Serie A,2020,misc
BUL,DF,19,2000,2.6,1,0,0,2,2,0,0,4,2,0,0,0,11,3,5,37.5,ITA-Serie A,2020,misc
ITA,DF,14,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,ITA-Serie A,2020,misc
POL,GK,29,1991,28.0,1,0,0,0,1,0,0,0,1,0,0,0,37,6,1,85.7,ITA-Serie A,2020,misc
ALG,"MF,FW",23,1996,3.4,0,0,0,3,9,1,10,3,2,0,0,0,17,3,4,42.9,ITA-Serie A,2020,misc
ITA,FW,24,1996,4.1,1,0,0,18,15,1,3,2,2,0,0,0,12,34,23,59.6,ITA-Serie A,2020,misc
ITA,MF,24,1995,6.8,2,0,0,12,3,0,7,11,5,0,0,0,44,7,3,70.0,ITA-Serie A,2020,misc
ITA,DF,21,1999,3.3,1,0,0,9,4,0,9,3,6,0,0,0,14,7,10,41.2,ITA-Serie A,2020,misc
ITA,GK,26,1994,34.0,1,0,0,2,5,0,0,1,0,0,2,0,36,8,0,100.0,ITA-Serie A,2020,misc
GHA,MF,27,1993,11.9,2,0,0,16,12,0,12,16,10,0,0,0,77,8,12,40.0,ITA-Serie A,2020,misc
ITA,DF,19,2001,12.1,2,0,0,11,6,0,22,14,23,0,0,0,46,16,20,44.4,ITA-Serie A,2020,misc
ITA,DF,24,1996,0.2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,100.0,ITA-Serie A,2020,misc
GRE,DF,26,1993,26.9,10,2,2,29,24,2,118,32,21,0,1,0,121,57,33,63.3,ITA-Serie A,2020,misc
URU,MF,24,1996,4.3,2,0,0,7,5,0,2,8,4,0,0,0,20,5,4,55.6,ITA-Serie A,2020,misc
ITA,DF,26,1994,11.1,2,0,0,15,4,0,5,15,11,0,0,0,49,33,16,67.3,ITA-Serie A,2020,misc
URU,DF,34,1986,27.9,3,0,0,31,28,2,2,56,32,0,0,0,154,68,42,61.8,ITA-Serie A,2020,misc
ITA,DF,34,1986,2.5,1,0,0,2,0,0,2,1,2,0,0,0,10,3,1,75.0,ITA-Serie A,2020,misc
ITA,"MF,FW",20,2000,2.0,2,0,0,10,2,0,6,3,4,0,1,0,9,2,0,100.0,ITA-Serie A,2020,misc
ITA,DF,20,1999,26.6,3,0,0,25,11,1,69,24,17,0,0,0,126,10,24,29.4,ITA-Serie A,2020,misc
URU,"MF,DF",25,1995,3.0,0,0,0,2,3,0,10,1,1,0,0,0,13,10,6,62.5,ITA-Serie A,2020,misc
ARG,FW,25,1995,19.3,1,0,0,24,25,18,8,10,11,0,0,0,55,29,66,30.5,ITA-Serie A,2020,misc
ITA,GK,23,1996,4.0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,,ITA-Serie A,2020,misc
ITA,"FW,MF",28,1992,36.1,4,0,0,46,98,11,25,13,6,3,0,0,97,65,87,42.8,ITA-Serie A,2020,misc
BUL,FW,23,1996,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0.0,ITA-Serie A,2020,misc
GHA,"DF,MF",31,1988,2.5,0,0,0,0,4,0,7,4,3,0,0,0,20,2,1,66.7,ITA-Serie A,2020,misc
ITA,FW,31,1988,17.6,8,0,0,44,29,9,1,4,3,1,0,0,38,113,67,62.8,ITA-Serie A,2020,misc
ITA,DF,30,1989,16.3,3,0,0,15,13,1,11,25,19,0,0,0,77,46,29,61.3,ITA-Serie A,2020,misc
CRO,MF,25,1995,12.9,2,0,0,34,23,0,6,19,24,0,0,0,95,5,13,27.8,ITA-Serie A,2020,misc
FRA,"MF,FW",20,2000,0.8,1,0,0,1,1,0,0,1,2,0,0,0,4,0,2,0.0,ITA-Serie A,2020,misc
URU,"MF,DF",24,1995,30.4,8,1,0,40,59,8,95,23,28,0,0,0,181,42,59,41.6,ITA-Serie A,2020,misc
ITA,DF,27,1993,4.1,2,0,0,7,1,0,11,6,9,0,0,0,19,5,1,83.3,ITA-Serie A,2020,misc
BEL,MF,32,1988,20.5,5,0,0,21,21,0,72,15,26,0,0,0,141,17,15,53.1,ITA-Serie A,2020,misc
EST,DF,34,1985,8.6,1,0,0,8,1,0,1,8,9,0,1,0,39,12,14,46.2,ITA-Serie A,2020,misc
ITA,"FW,MF",21,1999,13.2,3,0,0,17,35,1,43,5,3,0,0,0,82,3,12,20.0,ITA-Serie A,2020,misc
ROU,MF,24,1996,32.9,6,0,0,49,23,2,161,29,33,0,0,0,186,10,18,35.7,ITA-Serie A,2020,misc
POL,DF,20,2000,18.0,1,0,0,17,4,0,2,36,19,0,0,0,68,16,19,45.7,ITA-Serie A,2020,misc
ALG,"FW,MF",23,1996,13.3,1,0,0,11,31,9,41,3,4,0,0,0,62,9,14,39.1,ITA-Serie A,2020,misc
LBY,MF,28,1992,13.5,2,0,0,12,16,1,28,6,11,0,0,0,94,10,4,71.4,ITA-Serie A,2020,misc
ITA,GK,37,1983,36.0,1,0,0,0,7,0,0,1,0,0,0,0,49,4,0,100.0,ITA-Serie A,2020,misc
ITA,DF,31,1988,7.2,4,0,0,8,4,1,30,5,3,0,0,0,22,4,7,36.4,ITA-Serie A,2020,misc
ITA,DF,30,1989,0.6,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,,ITA-Serie A,2020,misc
POL,DF,25,1995,25.7,7,0,0,34,25,5,81,50,16,4,0,0,159,34,36,48.6,ITA-Serie A,2020,misc
SLE,FW,20,1999,0.4,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,,ITA-Serie A,2020,misc
ROU,"FW,MF",21,1999,2.0,1,0,0,4,4,2,2,1,1,0,0,0,10,1,4,20.0,ITA-Serie A,2020,misc
BRA,MF,25,1995,10.3,4,0,0,18,14,1,3,7,2,0,0,0,54,9,19,32.1,ITA-Serie A,2020,misc
FRA,FW,30,1990,7.1,2,0,0,10,18,1,1,1,1,0,0,0,18,14,21,40.0,ITA-Serie A,2020,misc
ITA,GK,19,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,ITA-Serie A,2020,misc
ITA,DF,22,1997,0.3,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,,ITA-Serie A,2020,misc
ITA,DF,22,1998,8.9,4,0,0,15,6,0,0,18,19,0,0,0,59,22,6,78.6,ITA-Serie A,2020,misc
ITA,MF,25,1995,10.6,5,1,0,18,17,0,14,8,8,0,0,0,65,2,8,20.0,ITA-Serie A,2020,misc
BRA,"MF,FW",29,1991,35.7,6,0,0,34,93,5,123,35,35,1,0,0,166,34,65,34.3,ITA-Serie A,2020,misc
CIV,DF,27,1992,16.9,4,0,0,22,2,1,5,28,28,0,0,0,85,27,22,55.1,ITA-Serie A,2020,misc
ARG,DF,26,1993,24.2,10,0,0,65,13,0,1,44,31,0,1,0,141,43,26,62.3,ITA-Serie A,2020,misc
ITA,MF,34,1986,10.3,5,1,1,27,18,0,24,12,14,1,0,0,65,9,9,50.0,ITA-Serie A,2020,misc
ITA,DF,30,1990,17.6,8,0,0,36,10,0,0,26,18,0,1,1,105,20,22,47.6,ITA-Serie A,2020,misc
ITA,"MF,FW",32,1988,0.5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0.0,ITA-Serie A,2020,misc
CHI,"MF,FW",18,2002,1.2,1,0,0,2,0,0,0,1,0,0,0,0,8,1,1,50.0,ITA-Serie A,2020,misc
ITA,GK,28,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,ITA-Serie A,2020,misc
SRB,MF,23,1996,14.5,2,0,0,12,32,1,27,8,8,0,0,0,73,15,13,53.6,ITA-Serie A,2020,misc
ITA,MF,22,1998,18.2,3,0,0,30,34,0,9,16,14,0,0,0,102,19,21,47.5,ITA-Serie A,2020,misc
POR,DF,22,1998,28.3,6,0,0,33,18,5,71,19,32,0,1,0,127,27,40,40.3,ITA-Serie A,2020,misc
ITA,"MF,DF",28,1992,25.7,1,0,0,23,39,2,71,17,22,0,0,1,161,21,18,53.8,ITA-Serie A,2020,misc
ITA,FW,31,1988,5.3,1,0,0,5,15,0,3,0,2,1,0,0,12,15,15,50.0,ITA-Serie A,2020,misc
ITA,DF,23,1996,20.9,5,1,1,28,19,0,1,27,20,0,0,0,113,26,22,54.2,ITA-Serie A,2020,misc
NGA,FW,28,1992,32.7,1,0,0,50,44,23,3,6,2,0,0,0,64,61,98,38.4,ITA-Serie A,2020,misc
CRO,MF,25,1995,0.2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,,ITA-Serie A,2020,misc
SVN,DF,29,1991,26.0,4,1,0,30,8,0,2,40,16,0,2,0,112,45,42,51.7,ITA-Serie A,2020,misc
RUS,"FW,MF",29,1991,1.0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0.0,ITA-Serie A,2020,misc
GHA,MF,27,1993,1.8,0,0,0,2,2,0,1,2,0,0,0,0,12,2,4,33.3,ITA-Serie A,2020,misc
ITA,DF,25,1995,0.9,0,0,0,1,0,1,11,0,0,0,1,0,3,3,2,60.0,ITA-Serie A,2020,misc
