league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
ESP-La Liga,2021,Villarreal,Alex Baena,ESP,MF,19,2001,1.5,43,56,76.8,615,112,22,24,91.7,20,25,80.0,0,2,0.0,0,0.1,0.1,-0.1,2,4,1,0,5,passing
ESP-La Liga,2021,Villarreal,Alfonso Pedraza,ESP,DF,24,1996,23.3,942,1226,76.8,13599,3751,544,620,87.7,331,404,81.9,34,84,40.5,2,4.0,4.4,-2.0,27,20,31,23,47,passing
ESP-La Liga,2021,Villarreal,Carlos Bacca,COL,FW,33,1986,8.7,105,168,62.5,1346,317,62,89,69.7,23,37,62.2,6,14,42.9,0,1.0,0.6,-1.0,5,9,5,0,14,passing
ESP-La Liga,2021,Villarreal,Dani Raba,ESP,"MF,FW",24,1995,1.7,63,84,75.0,997,252,33,38,86.8,18,23,78.3,6,16,37.5,0,0.0,0.3,0.0,2,3,4,1,10,passing
ESP-La Liga,2021,Villarreal,Daniel Parejo,ESP,MF,31,1989,34.6,2454,2794,87.8,43180,14807,1201,1282,93.7,892,967,92.2,304,426,71.4,5,5.2,5.6,-0.2,43,277,41,6,320,passing
ESP-La Liga,2021,Villarreal,Fernando Niño,ESP,FW,19,2000,6.6,94,129,72.9,1201,152,59,73,80.8,22,26,84.6,4,7,57.1,0,0.2,0.2,-0.2,3,4,4,0,9,passing
ESP-La Liga,2021,Villarreal,Francis Coquelin,FRA,MF,29,1991,8.2,447,506,88.3,6728,1479,252,276,91.3,150,161,93.2,26,31,83.9,0,0.6,0.5,-0.6,4,28,3,0,31,passing
ESP-La Liga,2021,Villarreal,Gerard Moreno,ESP,FW,28,1992,29.7,757,1112,68.1,12864,3271,380,486,78.2,250,337,74.2,93,151,61.6,7,7.4,4.9,-0.4,44,77,43,10,132,passing
ESP-La Liga,2021,Villarreal,Gerónimo Rulli,ARG,GK,28,1992,2.0,79,97,81.4,1888,1134,18,18,100.0,42,43,97.7,19,35,54.3,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2021,Villarreal,Jaume Costa,ESP,"DF,MF",32,1988,3.9,202,244,82.8,3067,1046,117,128,91.4,69,86,80.2,12,22,54.5,1,0.2,0.2,0.8,5,9,6,1,13,passing
ESP-La Liga,2021,Villarreal,Juan Foyth,ARG,"DF,MF",22,1998,13.0,642,734,87.5,10447,3641,314,346,90.8,264,284,93.0,45,60,75.0,0,0.1,0.8,-0.1,3,51,8,1,52,passing
ESP-La Liga,2021,Villarreal,Manu Trigueros,ESP,MF,28,1991,28.1,1380,1615,85.4,21607,6603,731,795,91.9,493,561,87.9,97,146,66.4,6,5.0,3.9,1.0,35,153,48,4,212,passing
ESP-La Liga,2021,Villarreal,Mario Gaspar,ESP,DF,29,1990,20.6,921,1125,81.9,14519,5365,500,543,92.1,353,415,85.1,52,102,51.0,2,2.1,1.6,-0.1,12,57,20,9,92,passing
ESP-La Liga,2021,Villarreal,Moi Gómez,ESP,"MF,FW",26,1994,28.5,1091,1329,82.1,16663,3557,617,676,91.3,355,436,81.4,76,119,63.9,0,2.6,4.0,-2.6,31,66,31,4,116,passing
ESP-La Liga,2021,Villarreal,Paco Alcácer,ESP,FW,26,1993,17.2,193,270,71.5,2269,375,106,135,78.5,40,58,69.0,10,14,71.4,4,2.8,2.5,1.2,15,3,7,0,13,passing
ESP-La Liga,2021,Villarreal,Pau Torres,ESP,DF,23,1997,33.0,1812,2069,87.6,35447,12293,643,695,92.5,913,978,93.4,230,342,67.3,2,0.8,0.7,1.2,6,122,4,0,133,passing
ESP-La Liga,2021,Villarreal,Pervis Estupiñán,ECU,DF,22,1998,13.0,516,662,77.9,8407,2702,270,303,89.1,184,227,81.1,47,75,62.7,0,1.5,1.4,-1.5,17,14,24,13,35,passing
ESP-La Liga,2021,Villarreal,Ramiro Funes Mori,ARG,DF,29,1991,8.1,423,491,86.2,7492,2727,186,206,90.3,197,216,91.2,33,52,63.5,0,0.0,0.2,0.0,0,19,1,0,25,passing
ESP-La Liga,2021,Villarreal,Raúl Albiol,ESP,DF,34,1985,34.6,1829,2065,88.6,37606,12938,519,557,93.2,1047,1126,93.0,242,333,72.7,0,1.0,1.0,-1.0,4,92,3,1,136,passing
ESP-La Liga,2021,Villarreal,Rubén Peña,ESP,DF,29,1991,12.4,443,595,74.5,6526,2314,243,291,83.5,153,196,78.1,23,56,41.1,1,0.6,1.0,0.4,6,24,10,5,34,passing
ESP-La Liga,2021,Villarreal,Samuel Chukwueze,NGA,"MF,FW",21,1999,15.2,395,531,74.4,5913,1372,200,254,78.7,156,193,80.8,16,36,44.4,2,3.0,3.8,-1.0,29,18,30,3,53,passing
ESP-La Liga,2021,Villarreal,Sergio Asenjo,ESP,GK,31,1989,36.0,1022,1308,78.1,26484,17800,229,229,100.0,509,520,97.9,276,548,50.4,0,0.0,0.0,0.0,0,11,0,0,0,passing
ESP-La Liga,2021,Villarreal,Sofian Chakla,MAR,DF,26,1993,0.1,4,9,44.4,102,47,1,2,50.0,2,4,50.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,0,passing
ESP-La Liga,2021,Villarreal,Takefusa Kubo,JPN,"MF,FW",19,2001,3.3,99,136,72.8,1422,404,50,62,80.6,30,40,75.0,9,18,50.0,0,1.1,0.7,-1.1,10,8,7,0,15,passing
ESP-La Liga,2021,Villarreal,Vicente Iborra,ESP,MF,32,1988,10.3,539,601,89.7,9399,2410,245,261,93.9,212,230,92.2,61,70,87.1,0,0.1,0.3,-0.1,2,33,4,0,34,passing
ESP-La Liga,2021,Villarreal,Yeremi Pino,ESP,"FW,MF",17,2002,8.9,242,307,78.8,3168,720,157,178,88.2,60,80,75.0,12,16,75.0,1,1.3,1.6,-0.3,9,11,13,0,30,passing
ESP-La Liga,2021,Villarreal,Álex Millán,ESP,FW,20,1999,0.0,0,1,0.0,0,0,0,0,,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
ESP-La Liga,2021,Villarreal,Étienne Capoue,FRA,MF,32,1988,13.2,686,764,89.8,11117,2894,335,353,94.9,280,306,91.5,47,68,69.1,0,0.1,0.5,-0.1,3,56,8,0,58,passing
