nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ESP,"DF,FW",28,1992,10.5,9,6,5,2,2,7,13,53.8,6,12,6,6,10,19,20,0,ESP-La Liga,2021,defense
ESP,MF,32,1988,28.0,63,35,21,29,13,27,76,35.5,49,27,4,23,53,116,18,2,ESP-La Liga,2021,defense
USA,"DF,FW",19,2000,21.2,31,16,23,6,2,18,32,56.3,14,25,4,21,10,41,24,1,ESP-La Liga,2021,defense
ESP,DF,21,1999,21.1,52,33,28,17,7,30,53,56.6,23,19,6,13,20,72,48,2,ESP-La Liga,2021,defense
ESP,"FW,MF",24,1996,17.7,32,18,14,14,4,10,35,28.6,25,26,0,26,11,43,8,0,ESP-La Liga,2021,defense
MEX,MF,33,1986,14.6,25,12,10,11,4,10,25,40.0,15,13,3,10,18,43,19,0,ESP-La Liga,2021,defense
PAR,FW,24,1996,10.4,5,5,0,4,1,0,2,0.0,2,8,1,7,3,8,9,0,ESP-La Liga,2021,defense
ALG,DF,28,1991,26.6,30,17,20,10,0,10,16,62.5,6,21,13,8,39,69,90,0,ESP-La Liga,2021,defense
ESP,FW,27,1993,15.7,1,1,0,0,1,1,8,12.5,7,7,2,5,3,4,9,0,ESP-La Liga,2021,defense
CHI,GK,37,1983,20.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,11,0,ESP-La Liga,2021,defense
ESP,"FW,MF",28,1991,14.3,16,10,5,9,2,4,22,18.2,18,14,0,14,11,27,8,0,ESP-La Liga,2021,defense
MEX,"FW,MF",20,2000,9.6,9,4,3,5,1,6,16,37.5,10,15,0,15,11,20,6,0,ESP-La Liga,2021,defense
BRA,DF,21,1999,33.2,91,52,62,25,4,43,78,55.1,35,33,6,27,61,152,102,2,ESP-La Liga,2021,defense
ARG,MF,26,1994,31.8,98,56,52,40,6,40,85,47.1,45,52,14,38,68,166,58,2,ESP-La Liga,2021,defense
ESP,"FW,MF",39,1981,14.3,9,3,1,5,3,4,12,33.3,8,8,0,8,17,26,11,0,ESP-La Liga,2021,defense
ESP,GK,30,1990,18.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,11,2,ESP-La Liga,2021,defense
ESP,DF,20,2000,18.4,27,11,16,9,2,16,32,50.0,16,18,2,16,29,56,58,1,ESP-La Liga,2021,defense
ESP,"FW,MF",27,1993,6.7,13,9,3,5,5,4,18,22.2,14,4,0,4,2,15,4,0,ESP-La Liga,2021,defense
ESP,FW,26,1993,11.0,11,7,2,6,3,1,16,6.3,15,11,0,11,3,14,14,0,ESP-La Liga,2021,defense
ESP,DF,29,1991,18.8,27,16,18,8,1,12,22,54.5,10,19,5,14,40,67,74,3,ESP-La Liga,2021,defense
ESP,DF,29,1991,2.7,6,3,2,2,2,1,3,33.3,2,1,1,0,2,8,6,0,ESP-La Liga,2021,defense
FRA,"MF,FW",27,1993,29.1,45,23,9,22,14,7,43,16.3,36,31,2,29,8,53,2,0,ESP-La Liga,2021,defense
CIV,MF,22,1997,4.2,11,8,2,8,1,5,8,62.5,3,3,1,2,6,17,7,0,ESP-La Liga,2021,defense
ESP,"FW,MF",20,2000,6.0,3,3,1,2,0,1,6,16.7,5,7,0,7,2,5,0,0,ESP-La Liga,2021,defense
ESP,"MF,FW",29,1991,27.8,16,9,9,6,1,3,21,14.3,18,18,0,18,13,29,5,0,ESP-La Liga,2021,defense
BRA,DF,30,1989,7.7,9,3,6,3,0,4,9,44.4,5,6,4,2,16,25,28,0,ESP-La Liga,2021,defense
