league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ESP-La Liga,2024,Atlético Madrid,Reinildo Mandava,MOZ,DF,31-080,1994,10.5,18,11,10,7,1,10,18,55.6,8,11,5,6,16,34,35,0,defense
ESP-La Liga,2024,Atlético Madrid,Robin Le Normand,ESP,DF,28-151,1996,17.6,21,13,18,3,0,9,16,56.3,7,14,7,7,8,29,84,1,defense
ESP-La Liga,2024,Atlético Madrid,Rodrigo De Paul,ARG,MF,30-322,1994,18.0,22,17,10,8,4,11,28,39.3,17,22,2,20,5,27,12,3,defense
ESP-La Liga,2024,Atlético Madrid,Rodrigo Riquelme,ESP,"DF,MF",25-009,2000,5.0,9,4,4,5,0,5,10,50.0,5,2,0,2,1,10,3,0,defense
ESP-La Liga,2024,Atlético Madrid,Samuel Lino,BRA,"MF,DF",25-109,1999,13.9,23,12,18,4,1,17,43,39.5,26,18,3,15,7,30,12,0,defense
ESP-La Liga,2024,Atlético Madrid,Thomas Lemar,FRA,MF,29-150,1995,0.5,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,defense
ESP-La Liga,2024,Atlético Madrid,Ángel Correa,ARG,"FW,MF",30-033,1995,7.7,7,1,3,1,3,3,13,23.1,10,8,0,8,4,11,7,0,defense
ESP-La Liga,2024,Barcelona,Alejandro Balde,ESP,DF,21-175,2003,22.7,16,10,9,4,3,9,14,64.3,5,23,4,19,5,21,24,0,defense
ESP-La Liga,2024,Barcelona,Andreas Christensen,DEN,DF,29-001,1996,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ESP-La Liga,2024,Barcelona,Ansu Fati,ESP,FW,22-162,2002,1.4,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,1,defense
ESP-La Liga,2024,Barcelona,Dani Olmo,ESP,"MF,FW",26-339,1998,10.1,14,9,8,4,2,3,11,27.3,8,5,3,2,2,16,10,1,defense
ESP-La Liga,2024,Barcelona,Eric García,ESP,"MF,DF",24-092,2001,11.7,22,12,5,15,2,11,15,73.3,4,17,7,10,10,32,30,0,defense
ESP-La Liga,2024,Barcelona,Fermin López,ESP,"MF,FW",21-335,2003,8.8,15,13,3,6,6,6,22,27.3,16,7,0,7,4,19,3,0,defense
ESP-La Liga,2024,Barcelona,Ferrán Torres,ESP,"FW,MF",25-041,2000,9.6,5,3,1,2,2,1,4,25.0,3,7,1,6,2,7,3,0,defense
ESP-La Liga,2024,Barcelona,Frenkie de Jong,NED,MF,27-334,1997,8.0,11,6,3,4,4,4,11,36.4,7,5,0,5,3,14,6,0,defense
ESP-La Liga,2024,Barcelona,Gavi,ESP,"MF,FW",20-249,2004,7.7,14,10,3,9,2,8,12,66.7,4,11,1,10,8,22,5,0,defense
ESP-La Liga,2024,Barcelona,Gerard Martín,ESP,DF,23-100,2002,7.1,16,7,7,6,3,9,14,64.3,5,13,2,11,8,24,17,0,defense
ESP-La Liga,2024,Barcelona,Héctor Fort,ESP,DF,18-252,2006,4.2,9,6,4,3,2,8,11,72.7,3,9,0,9,6,15,10,0,defense
ESP-La Liga,2024,Barcelona,Iñaki Peña,ESP,GK,26-040,1999,14.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,20,1,defense
ESP-La Liga,2024,Barcelona,Iñigo Martínez,ESP,DF,33-329,1991,22.7,21,12,17,4,0,14,17,82.4,3,15,6,9,18,39,86,1,defense
ESP-La Liga,2024,Barcelona,Jules Koundé,FRA,DF,26-150,1998,26.9,58,39,26,23,9,43,62,69.4,19,34,5,29,20,78,59,2,defense
ESP-La Liga,2024,Barcelona,Lamine Yamal,ESP,FW,17-272,2007,24.8,34,23,5,14,15,14,27,51.9,13,12,0,12,13,47,3,0,defense
ESP-La Liga,2024,Barcelona,Marc Bernal,ESP,MF,17-320,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,defense
ESP-La Liga,2024,Barcelona,Marc Casado,ESP,MF,21-209,2003,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1,defense
ESP-La Liga,2024,Barcelona,Marc-André ter Stegen,GER,GK,32-346,1992,5.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,2,defense
ESP-La Liga,2024,Barcelona,Pablo Torre,ESP,"MF,FW",22-008,2003,3.4,5,4,1,3,1,2,4,50.0,2,0,0,0,3,8,5,1,defense
ESP-La Liga,2024,Barcelona,Pau Cubarsí,ESP,DF,18-079,2007,24.9,25,17,18,4,3,14,22,63.6,8,10,8,2,12,37,73,0,defense
ESP-La Liga,2024,Barcelona,Pau Victor Delgado,ESP,FW,23-136,2001,2.5,1,1,0,1,0,0,3,0.0,3,6,1,5,2,3,4,0,defense
ESP-La Liga,2024,Barcelona,Pedri,ESP,MF,22-137,2002,25.1,47,26,12,28,7,18,55,32.7,37,38,2,36,23,70,17,1,defense
ESP-La Liga,2024,Barcelona,Raphinha,BRA,"FW,MF",28-118,1996,25.0,32,20,6,16,10,18,34,52.9,16,22,2,20,7,39,23,0,defense
ESP-La Liga,2024,Barcelona,Robert Lewandowski,POL,FW,36-233,1988,25.5,8,3,1,4,3,3,9,33.3,6,13,2,11,3,11,23,0,defense
ESP-La Liga,2024,Barcelona,Ronald Araújo,URU,DF,26-035,1999,4.6,7,6,3,3,1,2,2,100.0,0,2,2,0,3,10,11,0,defense
ESP-La Liga,2024,Barcelona,Sergi Dominguez,ESP,DF,20-010,2005,1.9,1,1,1,0,0,0,0,,0,0,0,0,3,4,7,0,defense
ESP-La Liga,2024,Barcelona,Wojciech Szczęsny,POL,GK,34-358,1990,10.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,7,0,defense
ESP-La Liga,2024,Betis,Abde Ezzalzouli,MAR,"FW,MF",23-115,2001,17.9,32,22,14,15,3,12,21,57.1,9,18,3,15,5,37,11,0,defense
ESP-La Liga,2024,Betis,Adrián,ESP,GK,38-098,1987,11.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,6,1,defense
ESP-La Liga,2024,Betis,Aitor Ruibal,ESP,"DF,FW",29-020,1996,9.1,18,13,12,3,3,14,23,60.9,9,11,3,8,9,27,22,0,defense
ESP-La Liga,2024,Betis,Antony,BRA,FW,25-046,2000,8.4,14,6,3,6,5,2,11,18.2,9,9,0,9,6,20,8,1,defense
ESP-La Liga,2024,Betis,Assane Diao,SEN,FW,19-216,2005,3.1,5,3,1,3,1,4,9,44.4,5,3,0,3,0,5,3,0,defense
ESP-La Liga,2024,Betis,Carlos Guirao,ESP,MF,21-349,2003,1.2,5,3,1,4,0,4,6,66.7,2,1,1,0,3,8,2,0,defense
ESP-La Liga,2024,Betis,Cucho,COL,FW,25-356,1999,6.1,7,4,0,3,4,5,8,62.5,3,8,1,7,5,12,2,0,defense
ESP-La Liga,2024,Betis,Cédric Bakambu,COD,FW,34-000,1991,6.4,5,3,0,5,0,2,6,33.3,4,8,1,7,0,5,4,0,defense
ESP-La Liga,2024,Betis,Diego Llorente,ESP,DF,31-238,1993,27.5,36,20,23,12,1,25,38,65.8,13,29,20,9,43,79,154,1,defense
ESP-La Liga,2024,Betis,Ezequiel Ávila,ARG,FW,31-064,1994,7.5,8,3,2,2,4,4,10,40.0,6,4,0,4,2,10,8,0,defense
ESP-La Liga,2024,Betis,Fran Vieites,ESP,GK,25-339,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ESP-La Liga,2024,Betis,Giovani Lo Celso,ARG,"MF,FW",29-002,1996,12.4,30,19,6,15,9,16,23,69.6,7,12,1,11,5,35,3,1,defense
ESP-La Liga,2024,Betis,Héctor Bellerín,ESP,DF,30-023,1995,5.8,12,7,6,4,2,9,16,56.3,7,4,3,1,6,18,18,0,defense
