league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
ITA-Serie A,2021,Bologna,Adama Soumaoro,FRA,DF,28,1992,19.5,24,14,17,7,0,6,12,50.0,6,28,23,5,20,44,72,0,defense
ITA-Serie A,2021,Bologna,Andrea Poli,ITA,MF,30,1989,4.3,9,7,4,2,3,6,12,50.0,6,7,1,6,7,16,7,0,defense
ITA-Serie A,2021,Bologna,Andreas Skov Olsen,DEN,"FW,DF",20,1999,13.1,19,10,11,4,4,11,21,52.4,10,15,0,15,3,22,25,0,defense
ITA-Serie A,2021,Bologna,Andri Fannar Baldursson,ISL,MF,18,2002,2.4,6,6,1,2,3,1,3,33.3,2,3,1,2,3,9,7,0,defense
ITA-Serie A,2021,Bologna,Angelo da Costa Júnior,BRA,GK,36,1983,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,3,defense
ITA-Serie A,2021,Bologna,Antonio Raimondo,ITA,FW,16,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Arturo Calabresi,ITA,"DF,FW",24,1996,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ITA-Serie A,2021,Bologna,Danilo Larangeira,BRA,DF,36,1984,34.8,33,24,23,10,0,8,29,27.6,21,58,36,22,51,84,127,2,defense
ITA-Serie A,2021,Bologna,Edoardo Vergani,ITA,FW,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Emanuel Vignato,ITA,"FW,MF",19,2000,13.4,18,9,9,6,3,3,15,20.0,12,6,1,5,10,28,7,0,defense
ITA-Serie A,2021,Bologna,Federico Ravaglia,ITA,GK,20,1999,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,defense
ITA-Serie A,2021,Bologna,Federico Santander,PAR,FW,29,1991,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Gary Medel,CHI,"DF,MF",32,1987,5.7,12,9,6,5,1,4,10,40.0,6,8,6,2,7,19,10,0,defense
ITA-Serie A,2021,Bologna,Ibrahima Mbaye,SEN,DF,25,1994,4.8,6,5,5,1,0,3,5,60.0,2,5,3,2,1,7,10,0,defense
ITA-Serie A,2021,Bologna,Jerdy Schouten,NED,MF,23,1997,27.9,50,25,23,25,2,16,37,43.2,21,36,13,23,79,129,37,6,defense
ITA-Serie A,2021,Bologna,Kacper Urbanski,POL,FW,15,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Lorenzo De Silvestri,ITA,DF,32,1988,23.8,34,24,18,13,3,16,37,43.2,21,37,10,27,30,64,62,3,defense
ITA-Serie A,2021,Bologna,Mattia Pagliuca,ITA,MF,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
ITA-Serie A,2021,Bologna,Mattias Svanberg,SWE,MF,21,1999,20.6,38,17,21,9,8,16,45,35.6,29,25,4,21,30,68,25,1,defense
ITA-Serie A,2021,Bologna,Mitchell Dijks,NED,DF,27,1993,16.5,21,14,15,5,1,12,21,57.1,9,17,2,15,17,38,35,0,defense
ITA-Serie A,2021,Bologna,Musa Barrow,GAM,"FW,MF",21,1998,32.5,26,10,8,10,8,10,25,40.0,15,37,2,35,11,37,15,0,defense
ITA-Serie A,2021,Bologna,Musa Juwara,GAM,"MF,DF",18,2001,0.5,2,2,2,0,0,1,3,33.3,2,1,0,1,0,2,0,0,defense
ITA-Serie A,2021,Bologna,Nehuén Paz,ARG,DF,27,1993,4.0,9,4,4,5,0,6,7,85.7,1,4,2,2,11,20,16,0,defense
ITA-Serie A,2021,Bologna,Nicola Sansone,ITA,"FW,MF",28,1991,13.0,22,11,7,12,3,10,31,32.3,21,15,0,15,9,31,7,0,defense
ITA-Serie A,2021,Bologna,Nicolás Domínguez,ARG,MF,22,1998,13.9,48,28,26,17,5,15,37,40.5,22,26,7,19,24,72,20,0,defense
ITA-Serie A,2021,Bologna,Omar Khailoti,ITA,DF,18,2001,0.3,0,0,0,0,0,0,0,,0,2,0,2,1,1,0,0,defense
ITA-Serie A,2021,Bologna,Paolo Faragò,ITA,DF,27,1993,0.3,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0,defense
ITA-Serie A,2021,Bologna,Riccardo Orsolini,ITA,"FW,MF",23,1997,19.5,37,18,13,12,12,16,39,41.0,23,22,3,19,10,47,22,0,defense
ITA-Serie A,2021,Bologna,Roberto Soriano,ITA,MF,29,1991,36.1,48,26,15,20,13,15,64,23.4,49,31,8,23,18,66,43,0,defense
ITA-Serie A,2021,Bologna,Rodrigo Palacio,ARG,FW,38,1982,27.8,13,6,2,3,8,1,15,6.7,14,18,0,18,7,20,29,0,defense
ITA-Serie A,2021,Bologna,Simone Rabbi,ITA,"FW,DF",18,2001,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Stefano Denswil,SUR,DF,27,1993,1.3,2,1,1,1,0,0,1,0.0,1,1,0,1,1,3,1,0,defense
ITA-Serie A,2021,Bologna,Takehiro Tomiyasu,JPN,DF,21,1998,30.2,47,31,27,14,6,21,34,61.8,13,37,19,18,54,101,106,0,defense
ITA-Serie A,2021,Bologna,Valentin Antov,BUL,DF,19,2000,2.6,4,2,3,1,0,3,10,30.0,7,6,5,1,4,8,13,0,defense
ITA-Serie A,2021,Bologna,Wisdom Amey,ITA,DF,14,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Bologna,Łukasz Skorupski,POL,GK,29,1991,28.0,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,23,5,defense
ITA-Serie A,2021,Cagliari,Adam Ounas,ALG,"MF,FW",23,1996,3.4,3,2,3,0,0,0,11,0.0,11,5,0,5,3,6,0,0,defense
ITA-Serie A,2021,Cagliari,Alberto Cerri,ITA,FW,24,1996,4.1,3,2,0,2,1,0,5,0.0,5,4,2,2,2,5,6,0,defense
ITA-Serie A,2021,Cagliari,Alessandro Deiola,ITA,MF,24,1995,6.8,13,5,5,4,4,8,23,34.8,15,7,2,5,11,24,11,0,defense
ITA-Serie A,2021,Cagliari,Alessandro Tripaldelli,ITA,DF,21,1999,3.3,13,6,5,6,2,5,6,83.3,1,6,1,5,3,16,15,0,defense
ITA-Serie A,2021,Cagliari,Alessio Cragno,ITA,GK,26,1994,34.0,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,10,0,defense
ITA-Serie A,2021,Cagliari,Alfred Duncan,GHA,MF,27,1993,11.9,18,10,8,9,1,4,21,19.0,17,8,0,8,16,34,8,1,defense
ITA-Serie A,2021,Cagliari,Andrea Carboni,ITA,DF,19,2001,12.1,34,23,23,11,0,15,28,53.6,13,15,4,11,14,48,52,0,defense
ITA-Serie A,2021,Cagliari,Arturo Calabresi,ITA,DF,24,1996,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Cagliari,Charalambos Lykogiannis,GRE,DF,26,1993,26.9,34,21,22,9,3,22,38,57.9,16,34,13,21,32,66,94,0,defense
ITA-Serie A,2021,Cagliari,Christian Oliva,URU,MF,24,1996,4.3,10,4,6,3,1,6,17,35.3,11,11,1,10,8,18,7,0,defense
ITA-Serie A,2021,Cagliari,Daniele Rugani,ITA,DF,26,1994,11.1,24,11,10,12,2,10,20,50.0,10,15,10,5,15,39,46,0,defense
ITA-Serie A,2021,Cagliari,Diego Godín,URU,DF,34,1986,27.9,60,32,51,9,0,24,39,61.5,15,41,24,17,56,116,117,0,defense
ITA-Serie A,2021,Cagliari,Fabio Pisacane,ITA,DF,34,1986,2.5,3,2,2,1,0,3,7,42.9,4,8,5,3,1,4,9,1,defense
ITA-Serie A,2021,Cagliari,Fabrizio Caligara,ITA,"MF,FW",20,2000,2.0,6,4,2,2,2,6,9,66.7,3,9,2,7,3,9,3,0,defense
ITA-Serie A,2021,Cagliari,Gabriele Zappa,ITA,DF,20,1999,26.6,34,17,16,15,3,22,49,44.9,27,36,4,32,24,58,50,0,defense
ITA-Serie A,2021,Cagliari,Gastón Pereiro,URU,"MF,DF",25,1995,3.0,3,1,2,1,0,1,2,50.0,1,2,0,2,1,4,2,1,defense
ITA-Serie A,2021,Cagliari,Giovanni Simeone,ARG,FW,25,1995,19.3,24,11,2,15,7,7,31,22.6,24,23,1,22,10,34,18,0,defense
ITA-Serie A,2021,Cagliari,Guglielmo Vicario,ITA,GK,23,1996,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
ITA-Serie A,2021,Cagliari,João Pedro,ITA,"FW,MF",28,1992,36.1,13,6,2,6,5,2,27,7.4,25,32,6,26,13,26,28,0,defense
ITA-Serie A,2021,Cagliari,Kiril Despodov,BUL,FW,23,1996,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,defense
ITA-Serie A,2021,Cagliari,Kwadwo Asamoah,GHA,"DF,MF",31,1988,2.5,4,3,2,2,0,2,3,66.7,1,5,1,4,4,8,2,1,defense
ITA-Serie A,2021,Cagliari,Leonardo Pavoletti,ITA,FW,31,1988,17.6,7,3,2,5,0,1,20,5.0,19,4,2,2,4,11,32,0,defense
ITA-Serie A,2021,Cagliari,Luca Ceppitelli,ITA,DF,30,1989,16.3,25,19,13,10,2,14,26,53.8,12,23,12,11,25,50,58,1,defense
ITA-Serie A,2021,Cagliari,Marko Rog,CRO,MF,25,1995,12.9,40,24,15,22,3,16,37,43.2,21,17,6,11,19,59,15,0,defense
ITA-Serie A,2021,Cagliari,Mattéo Tramoni,FRA,"MF,FW",20,2000,0.8,4,2,2,1,1,1,2,50.0,1,5,0,5,1,5,2,0,defense
ITA-Serie A,2021,Cagliari,Nahitan Nández,URU,"MF,DF",24,1995,30.4,56,28,23,23,10,25,68,36.8,43,26,4,22,23,79,49,0,defense
ITA-Serie A,2021,Cagliari,Paolo Faragò,ITA,DF,27,1993,4.1,13,9,10,3,0,9,20,45.0,11,3,2,1,6,19,15,0,defense
ITA-Serie A,2021,Cagliari,Radja Nainggolan,BEL,MF,32,1988,20.5,41,26,22,14,5,19,34,55.9,15,18,0,18,15,56,15,1,defense
ITA-Serie A,2021,Cagliari,Ragnar Klavan,EST,DF,34,1985,8.6,15,9,9,5,1,7,11,63.6,4,9,4,5,8,23,34,0,defense
ITA-Serie A,2021,Cagliari,Riccardo Sottil,ITA,"FW,MF",21,1999,13.2,7,3,2,3,2,0,7,0.0,7,4,0,4,5,12,3,0,defense
ITA-Serie A,2021,Cagliari,Răzvan Marin,ROU,MF,24,1996,32.9,54,33,26,22,6,27,53,50.9,26,29,10,19,29,83,15,0,defense
ITA-Serie A,2021,Cagliari,Sebastian Walukiewicz,POL,DF,20,2000,18.0,27,19,11,13,3,12,30,40.0,18,22,14,8,36,63,60,0,defense
ITA-Serie A,2021,Crotone,Adam Ounas,ALG,"FW,MF",23,1996,13.3,9,4,4,4,1,0,7,0.0,7,12,1,11,3,12,4,0,defense
ITA-Serie A,2021,Crotone,Ahmad Benali,LBY,MF,28,1992,13.5,19,11,10,9,0,11,38,28.9,27,15,2,13,6,25,15,0,defense
ITA-Serie A,2021,Crotone,Alex Cordaz,ITA,GK,37,1983,36.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,2,defense
ITA-Serie A,2021,Crotone,Andrea Rispoli,ITA,DF,31,1988,7.2,6,3,2,3,1,2,7,28.6,5,12,3,9,5,11,15,1,defense
ITA-Serie A,2021,Crotone,Antonio Mazzotta,ITA,DF,30,1989,0.6,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,defense
ITA-Serie A,2021,Crotone,Arkadiusz Reca,POL,DF,25,1995,25.7,34,16,15,11,8,10,45,22.2,35,30,3,27,50,84,64,0,defense
ITA-Serie A,2021,Crotone,Augustus Kargbo,SLE,FW,20,1999,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Crotone,Denis Drăguș,ROU,"FW,MF",21,1999,2.0,3,1,0,0,3,0,4,0.0,4,4,0,4,1,4,0,0,defense
ITA-Serie A,2021,Crotone,Eduardo Henrique,BRA,MF,25,1995,10.3,5,2,1,4,0,3,12,25.0,9,6,1,5,7,12,7,1,defense
ITA-Serie A,2021,Crotone,Emmanuel Rivière,FRA,FW,30,1990,7.1,2,1,2,0,0,0,3,0.0,3,5,1,4,1,3,0,0,defense
ITA-Serie A,2021,Crotone,Gian Crespi,ITA,GK,19,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Crotone,Giovanni Crociata,ITA,DF,22,1997,0.3,1,0,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,defense
ITA-Serie A,2021,Crotone,Giuseppe Cuomo,ITA,DF,22,1998,8.9,26,19,17,9,0,9,14,64.3,5,10,2,8,18,44,19,1,defense
ITA-Serie A,2021,Crotone,Jacopo Petriccione,ITA,MF,25,1995,10.6,14,8,6,7,1,9,24,37.5,15,11,2,9,8,22,11,0,defense
ITA-Serie A,2021,Crotone,Junior Messias,BRA,"MF,FW",29,1991,35.7,60,35,26,24,10,22,70,31.4,48,32,12,20,35,95,40,0,defense
ITA-Serie A,2021,Crotone,Koffi Djidji,CIV,DF,27,1992,16.9,39,28,30,8,1,10,20,50.0,10,35,20,15,28,67,73,0,defense
ITA-Serie A,2021,Crotone,Lisandro Magallán,ARG,DF,26,1993,24.2,54,31,28,24,2,17,42,40.5,25,29,15,14,44,98,78,1,defense
ITA-Serie A,2021,Crotone,Luca Cigarini,ITA,MF,34,1986,10.3,26,14,11,12,3,12,28,42.9,16,10,1,9,12,38,9,0,defense
ITA-Serie A,2021,Crotone,Luca Marrone,ITA,DF,30,1990,17.6,25,18,16,9,0,13,21,61.9,8,22,11,11,26,51,56,1,defense
ITA-Serie A,2021,Crotone,Luca Siligardi,ITA,"MF,FW",32,1988,0.5,4,2,0,3,1,1,5,20.0,4,0,0,0,0,4,0,0,defense
ITA-Serie A,2021,Crotone,Luis Rojas,CHI,"MF,FW",18,2002,1.2,1,0,0,1,0,1,2,50.0,1,2,0,2,1,2,0,0,defense
ITA-Serie A,2021,Crotone,Marco Festa,ITA,GK,28,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2021,Crotone,Miloš Vulić,SRB,MF,23,1996,14.5,15,8,9,1,5,8,21,38.1,13,10,1,9,8,23,8,0,defense
ITA-Serie A,2021,Crotone,Niccolò Zanellato,ITA,MF,22,1998,18.2,24,14,16,6,2,13,36,36.1,23,19,5,14,16,40,12,2,defense
ITA-Serie A,2021,Crotone,Pedro Pereira,POR,DF,22,1998,28.3,50,32,29,17,4,21,40,52.5,19,33,11,22,19,69,61,0,defense
