league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
FRA-Ligue 1,2020,Monaco,Florentino Luís,POR,MF,20,1999,9,2,241,2.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,3,16,1,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,standard
FRA-Ligue 1,2020,Monaco,Fodé Ballo-Touré,SEN,DF,23,1997,24,6,662,7.4,0,3,3,0,0,0,2,0,0.1,0.1,0.7,0.8,30,24,52,0.0,0.41,0.41,0.0,0.41,0.02,0.1,0.11,0.02,0.11,standard
FRA-Ligue 1,2020,Monaco,Gelson Martins,POR,"MF,FW",25,1995,23,20,1551,17.2,3,2,5,3,0,0,3,0,2.7,2.7,3.2,5.8,57,60,191,0.17,0.12,0.29,0.17,0.29,0.15,0.18,0.34,0.15,0.34,standard
FRA-Ligue 1,2020,Monaco,Giulian Biancone,FRA,"DF,MF",20,2000,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,4,6,15,0.0,0.0,0.0,0.0,0.0,0.04,0.12,0.17,0.04,0.17,standard
FRA-Ligue 1,2020,Monaco,Guillermo Maripán,CHI,DF,26,1994,28,22,2089,23.2,5,1,6,5,0,0,7,0,2.2,2.2,0.5,2.7,16,83,4,0.22,0.04,0.26,0.22,0.26,0.09,0.02,0.12,0.09,0.12,standard
FRA-Ligue 1,2020,Monaco,Henry Onyekuru,NGA,FW,23,1997,4,2,140,1.6,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.6,8,1,10,0.0,0.64,0.64,0.0,0.64,0.11,0.3,0.4,0.11,0.4,standard
FRA-Ligue 1,2020,Monaco,Jean-Eudes Aholou,CIV,MF,26,1994,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,standard
FRA-Ligue 1,2020,Monaco,Kevin Volland,GER,"FW,MF",28,1992,35,34,2769,30.8,16,7,23,16,0,0,4,0,11.6,11.6,5.2,16.8,43,84,237,0.52,0.23,0.75,0.52,0.75,0.38,0.17,0.55,0.38,0.55,standard
FRA-Ligue 1,2020,Monaco,Krépin Diatta,SEN,"MF,DF",21,1999,12,3,389,4.3,1,0,1,1,0,0,3,0,0.4,0.4,0.1,0.5,16,11,44,0.23,0.0,0.23,0.23,0.23,0.1,0.02,0.11,0.1,0.11,standard
FRA-Ligue 1,2020,Monaco,Pietro Pellegri,ITA,"FW,MF",19,2001,16,0,230,2.6,1,0,1,1,0,0,2,1,2.1,2.1,0.2,2.3,6,2,16,0.39,0.0,0.39,0.39,0.39,0.81,0.08,0.89,0.81,0.89,standard
