league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
GER-Bundesliga,2023,Bayern Munich,Leroy Sané,GER,FW,27,1996,23.7,15,8,6,6,3,4,19,21.1,15,12,0,12,7,22,3,0,defense
GER-Bundesliga,2023,Bayern Munich,Lovro Zvonarek,CRO,"FW,MF",18,2005,1.8,0,0,0,0,0,0,5,0.0,5,3,0,3,0,0,2,0,defense
GER-Bundesliga,2023,Bayern Munich,Manuel Neuer,GER,GK,37,1986,22.8,1,1,1,0,0,0,0,,0,0,0,0,0,1,14,3,defense
GER-Bundesliga,2023,Bayern Munich,Mathys Tel,FRA,"FW,MF",18,2005,11.7,12,2,3,4,5,4,6,66.7,2,11,0,11,6,18,6,0,defense
GER-Bundesliga,2023,Bayern Munich,Matteo Perez Vinlöf,SWE,FW,17,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,defense
GER-Bundesliga,2023,Bayern Munich,Matthijs de Ligt,NED,DF,23,1999,15.4,15,12,4,8,3,6,11,54.5,5,14,10,4,19,34,52,0,defense
GER-Bundesliga,2023,Bayern Munich,Noussair Mazraoui,MAR,DF,25,1997,13.3,32,21,14,11,7,13,21,61.9,8,14,1,13,20,52,27,1,defense
GER-Bundesliga,2023,Bayern Munich,Raphaël Guerreiro,POR,"DF,MF",29,1993,13.2,19,16,6,9,4,9,15,60.0,6,7,1,6,15,34,5,1,defense
GER-Bundesliga,2023,Bayern Munich,Ryan Gravenberch,NED,FW,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2023,Bayern Munich,Sacha Boey,FRA,DF,22,2000,1.2,2,0,2,0,0,1,2,50.0,1,1,0,1,1,3,2,0,defense
GER-Bundesliga,2023,Bayern Munich,Serge Gnabry,GER,"FW,MF",28,1995,4.8,8,5,0,5,3,2,13,15.4,11,5,0,5,3,11,2,0,defense
GER-Bundesliga,2023,Bayern Munich,Sven Ulreich,GER,GK,34,1988,11.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,2,defense
GER-Bundesliga,2023,Bayern Munich,Thomas Müller,GER,"MF,FW",33,1989,18.4,26,16,5,10,11,13,35,37.1,22,22,0,22,3,29,6,0,defense
GER-Bundesliga,2023,Bochum,Andreas Luthe,GER,GK,36,1987,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
GER-Bundesliga,2023,Bochum,Anthony Losilla,FRA,MF,37,1986,28.6,63,37,15,40,8,23,51,45.1,28,37,8,29,25,88,51,0,defense
GER-Bundesliga,2023,Bochum,Bernardo,BRA,DF,28,1995,32.5,99,58,56,35,8,45,69,65.2,24,66,30,36,55,154,120,1,defense
GER-Bundesliga,2023,Bochum,Christopher Antwi-Adjei,GHA,"FW,MF",29,1994,13.5,21,12,10,6,5,12,22,54.5,10,13,2,11,2,23,11,1,defense
GER-Bundesliga,2023,Bochum,Cristian Gamboa,CRC,DF,33,1989,13.2,24,18,12,11,1,14,33,42.4,19,20,7,13,15,39,34,1,defense
GER-Bundesliga,2023,Bochum,Danilo Soares,BRA,DF,31,1991,3.9,10,6,5,3,2,5,8,62.5,3,6,0,6,7,17,11,0,defense
GER-Bundesliga,2023,Bochum,Erhan Mašović,SRB,"DF,MF",24,1998,24.7,64,40,37,22,5,37,70,52.9,33,32,10,22,25,89,75,2,defense
