league,season,team,player,nation,pos,age,born,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance G+A,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxG+xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes G+A,Per 90 Minutes G-PK,Per 90 Minutes G+A-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xG+xAG,Per 90 Minutes npxG,Per 90 Minutes npxG+xAG,stat_type,nation_possession,pos_possession,age_possession,born_possession,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type_possession,nation_defense,pos_defense,age_defense,born_defense,90s_defense,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type_defense,nation_passing,pos_passing,age_passing,born_passing,90s_passing,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type_passing,nation_misc,pos_misc,age_misc,born_misc,90s_misc,Performance CrdY_misc,Performance CrdR_misc,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type_misc,nation_shooting,pos_shooting,age_shooting,born_shooting,90s_shooting,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG_shooting,Expected npxG_shooting,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type_shooting
ITA-Serie A,2021,Crotone,Lisandro Magallán,ARG,DF,26,1993,28,25,2181,24.2,1,2,3,1,0,0,10,0,1.2,1.2,0.4,1.6,12,70,3,0.04,0.08,0.12,0.04,0.12,0.05,0.01,0.06,0.05,0.06,standard,ARG,DF,26,1993,24.2,1359,135,701,596,69,12,1359,9,7,77.8,2,22.2,674,2967,1535,12,2,1,17,5,774,3,possession,ARG,DF,26,1993,24.2,54,31,28,24,2,17,42,40.5,25,29,15,14,44,98,78,1,defense,ARG,DF,26,1993,24.2,903,1109,81.4,16685,7382,350,411,85.2,456,522,87.4,86,137,62.8,2,0.4,0.3,1.6,9,70,5,0,70,passing,ARG,DF,26,1993,24.2,10,0,0,65,13,0,1,44,31,0,1,0,141,43,26,62.3,misc,ARG,DF,26,1993,24.2,1,8,2,25.0,0.33,0.08,0.13,0.5,8.5,0,0,0,1.2,1.2,0.15,-0.2,-0.2,shooting
ITA-Serie A,2021,Milan,Lorenzo Colombo,ITA,FW,18,2002,4,1,94,1.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,4,1,3,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.57,0.57,0.57,standard,ITA,FW,18,2002,1.0,26,2,4,12,11,5,26,2,1,50.0,1,50.0,13,138,100,4,1,1,2,1,15,3,possession,ITA,FW,18,2002,1.0,2,1,1,1,0,0,3,0.0,3,0,0,0,0,2,3,0,defense,ITA,FW,18,2002,1.0,7,13,53.8,73,25,4,6,66.7,2,3,66.7,0,0,,0,0.0,0.1,0.0,0,0,2,1,1,passing,ITA,FW,18,2002,1.0,0,0,0,1,0,3,1,0,1,0,0,0,7,2,4,33.3,misc,ITA,FW,18,2002,1.0,0,4,1,25.0,3.83,0.96,0.0,0.0,12.3,0,0,0,0.6,0.6,0.15,-0.6,-0.6,shooting
ITA-Serie A,2021,Bologna,Lorenzo De Silvestri,ITA,DF,32,1988,29,25,2143,23.8,2,0,2,2,0,0,4,0,2.1,2.1,0.7,2.8,28,104,52,0.08,0.0,0.08,0.08,0.08,0.09,0.03,0.12,0.09,0.12,standard,ITA,DF,32,1988,23.8,1506,90,507,725,285,25,1506,4,3,75.0,1,25.0,741,3529,1694,28,21,2,13,13,876,52,possession,ITA,DF,32,1988,23.8,34,24,18,13,3,16,37,43.2,21,37,10,27,30,64,62,3,defense,ITA,DF,32,1988,23.8,954,1283,74.4,16287,7523,441,507,87.0,406,534,76.0,87,180,48.3,0,0.7,1.0,-0.7,13,94,18,9,104,passing,ITA,DF,32,1988,23.8,4,0,0,42,18,1,43,30,24,0,0,0,97,49,35,58.3,misc,ITA,DF,32,1988,23.8,2,11,6,54.5,0.46,0.25,0.18,0.33,11.6,0,0,0,2.1,2.1,0.19,-0.1,-0.1,shooting
ITA-Serie A,2021,Benevento,Lorenzo Del Pinto,ITA,MF,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,MF,30,1990,0.1,8,0,3,5,0,0,8,0,0,,0,,3,16,0,0,0,0,0,1,8,0,possession,ITA,MF,30,1990,0.1,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,defense,ITA,MF,30,1990,0.1,5,8,62.5,65,29,2,3,66.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,passing,ITA,MF,30,1990,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc,ITA,MF,30,1990,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Napoli,Lorenzo Insigne,ITA,FW,29,1991,35,33,2865,31.8,19,8,27,12,7,8,2,1,15.6,9.3,8.5,17.7,138,192,270,0.6,0.25,0.85,0.38,0.63,0.49,0.27,0.76,0.29,0.56,standard,ITA,FW,29,1991,31.8,2280,22,250,1028,1040,143,2272,105,65,61.9,40,38.1,1469,9303,4826,138,95,54,63,34,1710,270,possession,ITA,FW,29,1991,31.8,26,18,8,12,6,13,72,18.1,59,30,1,29,37,63,6,1,defense,ITA,FW,29,1991,31.8,1486,1872,79.4,24219,6030,824,906,90.9,437,555,78.7,161,265,60.8,8,8.5,7.6,-0.5,63,115,84,11,192,passing,ITA,FW,29,1991,31.8,2,1,0,9,39,11,113,37,18,0,0,0,199,2,5,28.6,misc,ITA,FW,29,1991,31.8,19,136,40,29.4,4.27,1.26,0.09,0.3,21.7,13,7,8,15.6,9.3,0.07,3.4,2.7,shooting
ITA-Serie A,2021,Benevento,Lorenzo Montipò,ITA,GK,24,1996,37,37,3330,37.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,24,1996,37.0,1338,1090,1334,4,0,0,1338,0,0,,0,,607,3296,1790,0,0,0,1,0,523,0,possession,ITA,GK,24,1996,37.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,16,3,defense,ITA,GK,24,1996,37.0,803,1242,64.7,24351,17210,141,142,99.3,294,307,95.8,362,780,46.4,0,0.0,0.0,0.0,0,7,0,0,1,passing,ITA,GK,24,1996,37.0,3,0,0,3,6,0,0,0,0,0,2,1,31,9,2,81.8,misc,ITA,GK,24,1996,37.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Roma,Lorenzo Pellegrini,ITA,MF,24,1996,34,30,2598,28.9,7,6,13,6,1,1,10,0,5.6,4.8,8.0,12.9,87,147,149,0.24,0.21,0.45,0.21,0.42,0.2,0.29,0.49,0.17,0.46,standard,ITA,MF,24,1996,28.9,1772,33,211,930,654,61,1771,67,40,59.7,27,40.3,963,6507,3163,87,62,12,65,21,1177,149,possession,ITA,MF,24,1996,28.9,40,24,13,20,7,21,60,35.0,39,37,2,35,42,82,23,1,defense,ITA,MF,24,1996,28.9,1089,1429,76.2,19495,5567,520,595,87.4,403,492,81.9,144,265,54.3,6,8.0,6.0,-2.0,61,121,41,8,147,passing,ITA,MF,24,1996,28.9,10,0,0,43,51,6,171,42,24,0,1,0,139,21,27,43.8,misc,ITA,MF,24,1996,28.9,7,69,26,37.7,2.39,0.9,0.09,0.23,20.6,10,1,1,5.6,4.8,0.07,1.4,1.2,shooting
ITA-Serie A,2021,Sampdoria,Lorenzo Tonelli,ITA,DF,30,1990,23,21,1782,19.8,1,0,1,1,0,0,11,0,2.0,2.0,0.0,2.0,2,42,1,0.05,0.0,0.05,0.05,0.05,0.1,0.0,0.1,0.1,0.1,standard,ITA,DF,30,1990,19.8,1134,182,597,504,37,19,1134,4,4,100.0,0,0.0,555,2451,1237,2,1,0,5,5,639,1,possession,ITA,DF,30,1990,19.8,33,18,20,11,2,10,21,47.6,11,21,14,7,25,58,94,1,defense,ITA,DF,30,1990,19.8,742,913,81.3,15266,4824,226,256,88.3,395,447,88.4,110,183,60.1,0,0.0,0.1,0.0,0,22,0,0,42,passing,ITA,DF,30,1990,19.8,11,0,0,29,26,1,0,25,18,0,1,0,88,42,39,51.9,misc,ITA,DF,30,1990,19.8,1,13,2,15.4,0.66,0.1,0.08,0.5,10.1,0,0,0,2.0,2.0,0.16,-1.0,-1.0,shooting
ITA-Serie A,2021,Fiorentina,Lorenzo Venuti,ITA,DF,25,1995,28,21,1757,19.5,0,1,1,0,0,0,3,0,0.2,0.2,1.9,2.1,36,60,98,0.0,0.05,0.05,0.0,0.05,0.01,0.1,0.11,0.01,0.11,standard,ITA,DF,25,1995,19.5,944,42,223,400,327,20,944,25,7,28.0,18,72.0,495,2324,1227,36,22,3,20,12,570,98,possession,ITA,DF,25,1995,19.5,24,11,14,7,3,14,28,50.0,14,18,3,15,17,41,24,0,defense,ITA,DF,25,1995,19.5,567,780,72.7,8826,3860,318,367,86.6,195,268,72.8,39,95,41.1,1,1.9,1.5,-0.9,15,52,18,11,60,passing,ITA,DF,25,1995,19.5,3,0,0,10,26,1,56,17,11,0,0,1,77,8,12,40.0,misc,ITA,DF,25,1995,19.5,0,4,0,0.0,0.2,0.0,0.0,,19.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,shooting
ITA-Serie A,2021,Benevento,Luca Caldirola,ITA,DF,29,1991,25,17,1572,17.5,2,0,2,2,0,0,6,1,0.9,0.9,0.2,1.1,18,48,6,0.11,0.0,0.11,0.11,0.11,0.05,0.01,0.06,0.05,0.06,standard,ITA,DF,29,1991,17.5,956,120,496,424,39,14,956,0,0,,0,,508,3327,2305,18,7,0,3,3,592,6,possession,ITA,DF,29,1991,17.5,21,13,13,6,2,10,22,45.5,12,20,15,5,20,41,56,0,defense,ITA,DF,29,1991,17.5,681,806,84.5,13020,5025,250,274,91.2,347,387,89.7,72,127,56.7,0,0.2,0.2,-0.2,4,46,4,1,48,passing,ITA,DF,29,1991,17.5,6,1,1,20,25,1,3,20,13,0,0,0,60,26,25,51.0,misc,ITA,DF,29,1991,17.5,2,7,3,42.9,0.4,0.17,0.29,0.67,11.0,0,0,0,0.9,0.9,0.13,1.1,1.1,shooting
ITA-Serie A,2021,Cagliari,Luca Ceppitelli,ITA,DF,30,1989,19,16,1465,16.3,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,10,51,4,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,standard,ITA,DF,30,1989,16.3,989,119,462,472,61,14,989,2,2,100.0,0,0.0,512,2183,1297,10,3,0,9,2,641,4,possession,ITA,DF,30,1989,16.3,25,19,13,10,2,14,26,53.8,12,23,12,11,25,50,58,1,defense,ITA,DF,30,1989,16.3,703,846,83.1,13465,4685,259,297,87.2,355,386,92.0,78,135,57.8,0,0.1,0.2,-0.1,2,53,5,1,51,passing,ITA,DF,30,1989,16.3,3,0,0,15,13,1,11,25,19,0,0,0,77,46,29,61.3,misc,ITA,DF,30,1989,16.3,0,7,1,14.3,0.43,0.06,0.0,0.0,11.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,shooting
ITA-Serie A,2021,Crotone,Luca Cigarini,ITA,MF,34,1986,14,13,929,10.3,0,0,0,0,0,0,5,1,0.6,0.6,1.7,2.3,14,90,8,0.0,0.0,0.0,0.0,0.0,0.06,0.16,0.22,0.06,0.22,standard,ITA,MF,34,1986,10.3,858,31,194,529,141,4,858,12,8,66.7,4,33.3,443,1865,1016,14,7,2,10,10,618,8,possession,ITA,MF,34,1986,10.3,26,14,11,12,3,12,28,42.9,16,10,1,9,12,38,9,0,defense,ITA,MF,34,1986,10.3,628,757,83.0,11941,4614,269,289,93.1,253,295,85.8,93,135,68.9,0,1.7,1.0,-1.7,16,89,11,2,90,passing,ITA,MF,34,1986,10.3,5,1,1,27,18,0,24,12,14,1,0,0,65,9,9,50.0,misc,ITA,MF,34,1986,10.3,0,15,2,13.3,1.45,0.19,0.0,0.0,26.5,3,0,0,0.6,0.6,0.04,-0.6,-0.6,shooting
ITA-Serie A,2021,Crotone,Luca Marrone,ITA,DF,30,1990,21,18,1588,17.6,0,0,0,0,0,0,8,0,0.4,0.4,0.0,0.4,4,33,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,standard,ITA,DF,30,1990,17.6,1169,215,717,443,11,5,1169,2,1,50.0,1,50.0,707,3139,1509,4,2,0,5,1,780,0,possession,ITA,DF,30,1990,17.6,25,18,16,9,0,13,21,61.9,8,22,11,11,26,51,56,1,defense,ITA,DF,30,1990,17.6,891,1018,87.5,17532,6431,276,295,93.6,524,564,92.9,86,146,58.9,0,0.0,0.1,0.0,0,20,1,0,33,passing,ITA,DF,30,1990,17.6,8,0,0,36,10,0,0,26,18,0,1,1,105,20,22,47.6,misc,ITA,DF,30,1990,17.6,0,4,2,50.0,0.23,0.11,0.0,0.0,7.2,0,0,0,0.4,0.4,0.11,-0.4,-0.4,shooting
ITA-Serie A,2021,Spezia,Luca Mora,ITA,MF,32,1988,4,1,113,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,4,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,standard,ITA,MF,32,1988,1.3,76,4,15,41,20,2,76,1,1,100.0,0,0.0,40,166,79,0,3,0,4,3,56,4,possession,ITA,MF,32,1988,1.3,3,1,1,2,0,2,4,50.0,2,2,1,1,0,3,2,0,defense,ITA,MF,32,1988,1.3,38,59,64.4,584,149,21,26,80.8,16,23,69.6,1,7,14.3,0,0.0,0.0,0.0,0,4,0,0,2,passing,ITA,MF,32,1988,1.3,0,0,0,2,2,0,1,0,1,0,0,0,5,5,1,83.3,misc,ITA,MF,32,1988,1.3,0,1,1,100.0,0.8,0.8,0.0,0.0,10.7,0,0,0,0.1,0.1,0.08,-0.1,-0.1,shooting
ITA-Serie A,2021,Genoa,Luca Pellegrini,ITA,"DF,MF",21,1999,11,7,639,7.1,0,1,1,0,0,0,2,0,0.1,0.1,1.6,1.7,23,13,47,0.0,0.14,0.14,0.0,0.14,0.02,0.23,0.25,0.02,0.25,standard,ITA,"DF,MF",21,1999,7.1,411,19,126,167,122,11,411,30,18,60.0,12,40.0,250,1506,688,23,16,6,22,16,267,47,possession,ITA,"DF,MF",21,1999,7.1,9,6,6,2,1,4,10,40.0,6,11,2,9,8,17,13,1,defense,ITA,"DF,MF",21,1999,7.1,218,313,69.6,3437,1207,112,126,88.9,83,114,72.8,13,44,29.5,1,1.6,1.1,-0.6,8,5,7,4,13,passing,ITA,"DF,MF",21,1999,7.1,2,0,0,10,16,0,29,8,6,0,0,1,50,4,13,23.5,misc,ITA,"DF,MF",21,1999,7.1,0,5,0,0.0,0.7,0.0,0.0,,25.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2021,Crotone,Luca Siligardi,ITA,"MF,FW",32,1988,4,0,49,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0,4,6,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.26,0.16,0.26,standard,ITA,"MF,FW",32,1988,0.5,30,0,0,13,19,2,30,2,2,100.0,0,0.0,17,68,29,0,2,0,2,2,22,6,possession,ITA,"MF,FW",32,1988,0.5,4,2,0,3,1,1,5,20.0,4,0,0,0,0,4,0,0,defense,ITA,"MF,FW",32,1988,0.5,15,20,75.0,261,68,6,8,75.0,7,8,87.5,1,2,50.0,0,0.1,0.0,-0.1,2,3,1,0,4,passing,ITA,"MF,FW",32,1988,0.5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0.0,misc,ITA,"MF,FW",32,1988,0.5,0,2,1,50.0,3.67,1.84,0.0,0.0,16.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ITA-Serie A,2021,Parma,Luca Siligardi,ITA,"FW,MF",32,1988,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.0,0.46,standard,ITA,"FW,MF",32,1988,0.4,22,0,0,5,17,3,22,0,0,,0,,11,59,8,0,0,0,2,3,14,3,possession,ITA,"FW,MF",32,1988,0.4,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,defense,ITA,"FW,MF",32,1988,0.4,11,19,57.9,153,38,8,9,88.9,3,3,100.0,0,2,0.0,0,0.2,0.2,-0.2,2,0,1,1,1,passing,ITA,"FW,MF",32,1988,0.4,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,,misc,ITA,"FW,MF",32,1988,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Spezia,Luca Vignali,ITA,DF,24,1996,21,19,1590,17.7,0,0,0,0,0,0,4,1,0.1,0.1,0.7,0.8,30,69,57,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.04,0.01,0.04,standard,ITA,DF,24,1996,17.7,1318,53,470,569,289,13,1318,15,6,40.0,9,60.0,729,3399,1655,30,19,2,29,4,808,57,possession,ITA,DF,24,1996,17.7,19,9,10,6,3,7,25,28.0,18,13,5,8,22,41,25,0,defense,ITA,DF,24,1996,17.7,922,1167,79.0,16707,4628,384,441,87.1,404,476,84.9,115,193,59.6,0,0.7,0.8,-0.7,10,48,16,7,69,passing,ITA,DF,24,1996,17.7,4,1,0,17,21,1,34,22,9,0,0,0,115,30,15,66.7,misc,ITA,DF,24,1996,17.7,0,4,1,25.0,0.23,0.06,0.0,0.0,21.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
ITA-Serie A,2021,Lazio,Lucas Leiva,BRA,MF,33,1987,32,30,2131,23.7,0,0,0,0,0,0,10,0,0.4,0.4,0.4,0.8,23,163,18,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,standard,BRA,MF,33,1987,23.7,1710,62,461,1076,186,7,1710,14,9,64.3,5,35.7,890,4436,2293,23,25,2,14,12,1079,18,possession,BRA,MF,33,1987,23.7,68,32,38,28,2,30,86,34.9,56,21,0,21,57,125,21,0,defense,BRA,MF,33,1987,23.7,1274,1484,85.8,21944,7774,597,665,89.8,532,601,88.5,125,153,81.7,0,0.4,0.9,-0.4,7,183,12,3,163,passing,BRA,MF,33,1987,23.7,10,0,0,47,24,1,16,57,32,0,0,0,175,47,42,52.8,misc,BRA,MF,33,1987,23.7,0,12,3,25.0,0.51,0.13,0.0,0.0,24.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4,shooting
ITA-Serie A,2021,Fiorentina,Lucas Martínez Quarta,ARG,DF,24,1996,21,15,1483,16.5,1,0,1,1,0,0,4,1,1.5,1.5,0.3,1.8,31,70,9,0.06,0.0,0.06,0.06,0.06,0.09,0.02,0.11,0.09,0.11,standard,ARG,DF,24,1996,16.5,1025,96,474,455,108,25,1025,24,14,58.3,10,41.7,607,3901,2128,31,31,2,14,6,628,9,possession,ARG,DF,24,1996,16.5,32,20,17,11,4,18,41,43.9,23,27,9,18,39,71,48,0,defense,ARG,DF,24,1996,16.5,667,830,80.4,13041,5425,243,277,87.7,328,380,86.3,92,157,58.6,0,0.3,0.4,-0.3,7,61,6,3,70,passing,ARG,DF,24,1996,16.5,4,1,0,23,10,0,5,39,20,0,1,0,107,28,22,56.0,misc,ARG,DF,24,1996,16.5,1,16,4,25.0,0.97,0.24,0.06,0.25,16.7,0,0,0,1.5,1.5,0.09,-0.5,-0.5,shooting
ITA-Serie A,2021,Spezia,Lucien Agoume,FRA,MF,18,2002,12,9,800,8.9,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,6,46,7,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,standard,FRA,MF,18,2002,8.9,563,26,165,338,68,1,563,8,6,75.0,2,25.0,308,1391,569,6,6,1,9,8,368,7,possession,FRA,MF,18,2002,8.9,18,10,11,7,0,6,19,31.6,13,10,5,5,15,33,10,0,defense,FRA,MF,18,2002,8.9,434,487,89.1,7835,1942,191,205,93.2,187,205,91.2,47,59,79.7,0,0.1,0.3,-0.1,2,39,3,1,46,passing,FRA,MF,18,2002,8.9,2,0,0,17,8,0,1,15,10,0,0,0,75,12,2,85.7,misc,FRA,MF,18,2002,8.9,0,2,0,0.0,0.23,0.0,0.0,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ITA-Serie A,2021,Parma,Luigi Sepe,ITA,GK,29,1991,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard,ITA,GK,29,1991,36.0,1508,1291,1497,12,0,0,1508,2,2,100.0,0,0.0,845,3959,2900,0,0,0,1,0,718,0,possession,ITA,GK,29,1991,36.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,13,2,defense,ITA,GK,29,1991,36.0,1147,1445,79.4,34233,26869,214,218,98.2,468,474,98.7,457,739,61.8,0,0.0,0.1,0.0,0,33,0,0,1,passing,ITA,GK,29,1991,36.0,0,0,0,0,2,0,0,2,0,0,0,0,34,3,2,60.0,misc,ITA,GK,29,1991,36.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ITA-Serie A,2021,Lazio,Luis Alberto,ESP,MF,27,1992,34,33,2618,29.1,9,2,11,9,0,0,5,0,5.1,5.0,7.9,12.9,143,301,132,0.31,0.07,0.38,0.31,0.38,0.18,0.27,0.45,0.17,0.44,standard,ESP,MF,27,1992,29.1,2254,14,240,1244,817,63,2254,95,51,53.7,44,46.3,1344,8588,5655,143,124,19,46,39,1577,132,possession,ESP,MF,27,1992,29.1,43,24,15,19,9,15,73,20.5,58,41,2,39,13,56,11,1,defense,ESP,MF,27,1992,29.1,1493,1946,76.7,25097,9846,712,808,88.1,575,702,81.9,157,308,51.0,2,7.9,7.0,-5.9,80,282,83,6,301,passing,ESP,MF,27,1992,29.1,5,0,0,19,36,2,150,13,24,0,0,0,209,10,12,45.5,misc,ESP,MF,27,1992,29.1,9,69,29,42.0,2.37,1.0,0.13,0.31,21.3,3,0,0,5.1,5.0,0.07,3.9,4.0,shooting
ITA-Serie A,2021,Atalanta,Luis Muriel,COL,FW,29,1991,36,16,1436,16.0,22,7,29,20,2,3,0,0,15.5,13.1,4.5,17.7,70,83,218,1.38,0.44,1.82,1.25,1.69,0.97,0.28,1.25,0.82,1.11,standard,COL,FW,29,1991,16.0,999,4,43,326,643,125,996,90,53,58.9,37,41.1,602,3845,1771,70,35,39,59,50,754,218,possession,COL,FW,29,1991,16.0,20,9,4,8,8,9,26,34.6,17,17,0,17,7,27,4,0,defense,COL,FW,29,1991,16.0,496,717,69.2,7546,2047,275,337,81.6,155,212,73.1,42,98,42.9,7,4.5,4.1,2.5,47,35,39,3,83,passing,COL,FW,29,1991,16.0,0,0,0,18,20,3,82,7,9,1,0,0,51,25,47,34.7,misc,COL,FW,29,1991,16.0,22,84,36,42.9,5.26,2.26,0.24,0.56,18.0,8,2,3,15.5,13.1,0.16,6.5,6.9,shooting
ITA-Serie A,2021,Crotone,Luis Rojas,CHI,"MF,FW",18,2002,7,0,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,standard,CHI,"MF,FW",18,2002,1.2,68,1,6,45,19,1,68,8,6,75.0,2,25.0,34,217,45,1,3,0,9,6,46,4,possession,CHI,"MF,FW",18,2002,1.2,1,0,0,1,0,1,2,50.0,1,2,0,2,1,2,0,0,defense,CHI,"MF,FW",18,2002,1.2,36,46,78.3,501,108,22,25,88.0,11,14,78.6,1,4,25.0,0,0.0,0.0,0.0,1,3,0,0,3,passing,CHI,"MF,FW",18,2002,1.2,1,0,0,2,0,0,0,1,0,0,0,0,8,1,1,50.0,misc,CHI,"MF,FW",18,2002,1.2,0,1,0,0.0,0.87,0.0,0.0,,23.0,0,0,0,0.0,0.0,0.03,0.0,0.0,shooting
ITA-Serie A,2021,Lazio,Luiz Felipe,ITA,DF,23,1997,14,10,909,10.1,0,0,0,0,0,0,5,0,0.3,0.3,0.3,0.5,9,29,2,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.05,0.03,0.05,standard,ITA,DF,23,1997,10.1,669,62,305,333,35,4,669,5,2,40.0,3,60.0,400,2810,1410,9,6,0,7,2,445,2,possession,ITA,DF,23,1997,10.1,32,20,19,11,2,16,24,66.7,8,20,9,11,21,53,29,1,defense,ITA,DF,23,1997,10.1,500,548,91.2,9562,2810,173,188,92.0,271,288,94.1,51,62,82.3,0,0.3,0.2,-0.3,3,36,2,1,29,passing,ITA,DF,23,1997,10.1,5,0,0,14,8,1,2,21,20,0,0,0,58,14,16,46.7,misc,ITA,DF,23,1997,10.1,0,4,0,0.0,0.4,0.0,0.0,,14.0,0,0,0,0.3,0.3,0.07,-0.3,-0.3,shooting
ITA-Serie A,2021,Genoa,Lukas Lerager,DEN,MF,27,1993,16,13,1159,12.9,0,1,1,0,0,0,0,0,0.6,0.6,0.5,1.1,9,46,32,0.0,0.08,0.08,0.0,0.08,0.05,0.04,0.09,0.05,0.09,standard,DEN,MF,27,1993,12.9,622,30,144,343,145,12,622,12,5,41.7,7,58.3,292,1428,496,9,12,1,22,8,368,32,possession,DEN,MF,27,1993,12.9,24,13,14,9,1,11,30,36.7,19,13,3,10,14,38,25,1,defense,DEN,MF,27,1993,12.9,411,501,82.0,6029,1609,232,272,85.3,126,146,86.3,28,38,73.7,1,0.5,0.3,0.5,8,51,3,0,46,passing,DEN,MF,27,1993,12.9,0,0,0,16,16,3,7,14,13,0,0,0,85,9,14,39.1,misc,DEN,MF,27,1993,12.9,0,4,2,50.0,0.31,0.16,0.0,0.0,17.0,0,0,0,0.6,0.6,0.16,-0.6,-0.6,shooting
