nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
ENG,"DF,MF",22,1997,35.5,49,26,21,24,4,24,57,42.1,33,46,22,24,62,111,56,0,ENG-Premier League,2021,defense
BRA,"DF,MF",25,1995,2.3,10,8,8,1,1,4,6,66.7,2,2,0,2,1,11,1,0,ENG-Premier League,2021,defense
ENG,DF,28,1992,22.9,50,26,33,14,3,27,53,50.9,26,30,7,23,31,81,75,0,ENG-Premier League,2021,defense
ENG,FW,29,1990,17.2,12,6,2,6,4,7,19,36.8,12,17,0,17,7,19,13,0,ENG-Premier League,2021,defense
NED,MF,28,1991,2.4,6,5,0,6,0,2,5,40.0,3,3,0,3,1,7,0,0,ENG-Premier League,2021,defense
POL,"DF,MF",21,1999,7.2,15,7,5,7,3,7,20,35.0,13,12,1,11,3,18,9,0,ENG-Premier League,2021,defense
IRL,MF,20,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
COL,DF,28,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
NED,DF,28,1992,25.3,67,33,34,25,8,29,57,50.9,28,24,5,19,33,100,64,0,ENG-Premier League,2021,defense
BEL,"MF,FW",25,1994,29.0,33,14,11,16,6,10,36,27.8,26,34,2,32,26,59,7,1,ENG-Premier League,2021,defense
ENG,DF,28,1991,32.6,30,15,20,8,2,16,23,69.6,7,29,20,9,32,62,106,0,ENG-Premier League,2021,defense
AUS,GK,28,1992,11.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,4,0,ENG-Premier League,2021,defense
FRA,"FW,MF",23,1996,27.9,20,8,9,7,4,4,24,16.7,20,20,0,20,13,33,6,0,ENG-Premier League,2021,defense
GER,"MF,DF",29,1991,27.6,45,24,24,15,6,24,53,45.3,29,25,4,21,23,68,18,1,ENG-Premier League,2021,defense
RSA,FW,26,1994,1.1,1,1,1,0,0,0,2,0.0,2,1,0,1,0,1,1,0,ENG-Premier League,2021,defense
GER,MF,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ESP,GK,22,1997,27.0,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,11,2,ENG-Premier League,2021,defense
ENG,"DF,MF",26,1994,18.6,49,23,24,15,10,18,34,52.9,16,30,5,25,22,71,30,0,ENG-Premier League,2021,defense
COL,MF,21,1998,10.0,17,8,10,4,3,6,15,40.0,9,8,1,7,8,25,10,0,ENG-Premier League,2021,defense
GHA,"DF,MF",19,2000,9.8,17,9,7,6,4,6,13,46.2,7,8,1,7,19,36,12,1,ENG-Premier League,2021,defense
MLI,MF,23,1996,34.6,104,68,50,48,6,33,67,49.3,34,42,6,36,64,168,67,0,ENG-Premier League,2021,defense
ENG,FW,30,1989,14.8,12,6,2,6,4,3,13,23.1,10,14,2,12,5,17,11,0,ENG-Premier League,2021,defense
ENG,MF,30,1990,37.9,23,15,6,12,5,10,42,23.8,32,26,9,17,44,67,33,0,ENG-Premier League,2021,defense
NIR,GK,23,1996,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,DF,30,1989,29.9,32,15,16,14,2,14,29,48.3,15,54,45,9,43,75,148,2,ENG-Premier League,2021,defense
ENG,DF,26,1993,27.0,48,28,30,15,3,25,46,54.3,21,36,19,17,29,77,87,2,ENG-Premier League,2021,defense
NZL,FW,28,1991,30.5,12,7,2,4,6,5,18,27.8,13,14,3,11,1,13,21,0,ENG-Premier League,2021,defense
ENG,MF,31,1989,2.9,11,6,2,7,2,3,6,50.0,3,3,0,3,8,19,2,0,ENG-Premier League,2021,defense
ENG,MF,20,1999,34.1,47,24,24,18,5,18,56,32.1,38,44,6,38,32,79,32,1,ENG-Premier League,2021,defense
NED,"DF,MF",31,1988,14.1,30,21,18,9,3,19,39,48.7,20,30,9,21,12,42,34,0,ENG-Premier League,2021,defense
ENG,MF,31,1989,15.0,26,10,5,17,4,11,31,35.5,20,15,4,11,16,42,20,0,ENG-Premier League,2021,defense
ENG,DF,27,1992,36.0,66,39,52,11,3,25,49,51.0,24,54,42,12,44,110,163,1,ENG-Premier League,2021,defense
ENG,FW,31,1989,14.1,25,16,5,15,5,13,28,46.4,15,25,4,21,2,27,7,0,ENG-Premier League,2021,defense
IRL,DF,22,1997,3.0,3,3,2,1,0,1,2,50.0,1,3,2,1,6,9,16,1,ENG-Premier League,2021,defense
SWE,FW,21,1999,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,ENG-Premier League,2021,defense
ENG,MF,20,1999,2.9,5,1,3,0,2,1,6,16.7,5,3,0,3,3,8,2,0,ENG-Premier League,2021,defense
ENG,MF,24,1995,31.3,45,27,9,29,7,15,44,34.1,29,33,11,22,69,114,39,0,ENG-Premier League,2021,defense
ISL,MF,29,1990,15.1,19,11,6,9,4,11,23,47.8,12,11,2,9,17,36,19,0,ENG-Premier League,2021,defense
IRL,DF,29,1990,7.1,11,6,9,2,0,7,9,77.8,2,11,7,4,6,17,24,0,ENG-Premier League,2021,defense
ENG,"FW,MF",17,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
ENG,DF,31,1989,34.0,54,32,31,22,1,32,73,43.8,41,36,13,23,56,110,91,1,ENG-Premier League,2021,defense
CZE,FW,28,1992,15.2,9,5,2,4,3,1,8,12.5,7,8,1,7,6,15,5,0,ENG-Premier League,2021,defense
ENG,GK,28,1992,32.0,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,29,2,ENG-Premier League,2021,defense
SCO,DF,35,1985,3.0,6,5,4,2,0,3,6,50.0,3,3,1,2,6,12,12,0,ENG-Premier League,2021,defense
IRL,MF,28,1992,11.7,22,15,12,6,4,12,35,34.3,23,16,0,16,9,31,29,1,ENG-Premier League,2021,defense
ENG,GK,26,1993,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ENG-Premier League,2021,defense
DEN,DF,24,1996,15.2,11,6,8,3,0,0,8,0.0,8,19,14,5,20,31,51,1,ENG-Premier League,2021,defense
GER,DF,27,1993,19.0,31,23,16,14,1,12,15,80.0,3,17,10,7,18,49,51,0,ENG-Premier League,2021,defense
ENG,DF,23,1996,25.4,42,22,16,22,4,15,33,45.5,18,28,3,25,24,66,58,0,ENG-Premier League,2021,defense
SCO,MF,19,2001,2.9,4,2,1,2,1,2,7,28.6,5,3,2,1,3,7,1,0,ENG-Premier League,2021,defense
ENG,"FW,DF",19,2000,11.8,23,15,11,7,5,8,21,38.1,13,15,1,14,6,29,6,0,ENG-Premier League,2021,defense
USA,"FW,MF",21,1998,19.3,19,11,8,10,1,8,21,38.1,13,25,2,23,12,31,9,0,ENG-Premier League,2021,defense
ESP,DF,30,1989,24.3,53,28,22,24,7,19,37,51.4,18,30,5,25,28,81,62,2,ENG-Premier League,2021,defense
SEN,GK,28,1992,30.5,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,9,3,ENG-Premier League,2021,defense
ITA,DF,25,1994,1.0,3,3,2,0,1,1,3,33.3,2,0,0,0,1,4,6,0,ENG-Premier League,2021,defense
ENG,DF,22,1997,0.5,2,1,2,0,0,0,0,,0,1,1,0,2,4,8,0,ENG-Premier League,2021,defense
MAR,"MF,FW",27,1993,13.0,14,10,5,7,2,5,19,26.3,14,9,1,8,10,24,2,0,ENG-Premier League,2021,defense
