nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
NED,DF,30-052,1995,7.5,0,3,0,0.0,0.4,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2,ENG-Premier League,2024,shooting
ENG,"DF,MF",20-021,2005,2.1,0,2,0,0.0,0.97,0.0,0.0,,23.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,ENG-Premier League,2024,shooting
ESP,MF,23-098,2002,5.3,0,6,0,0.0,1.13,0.0,0.0,,22.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,ENG-Premier League,2024,shooting
EGY,"FW,MF",26-063,1999,7.3,5,27,12,44.4,3.71,1.65,0.19,0.42,20.2,5,0,0,2.8,2.8,0.1,2.2,2.2,ENG-Premier League,2024,shooting
NOR,FW,21-273,2003,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
ENG,"MF,FW",24-318,2000,18.7,7,52,16,30.8,2.78,0.85,0.13,0.44,18.5,2,0,0,5.1,5.1,0.1,1.9,1.9,ENG-Premier League,2024,shooting
ENG,"DF,MF",20-141,2004,19.1,1,10,2,20.0,0.52,0.1,0.1,0.5,15.8,0,0,0,1.4,1.4,0.14,-0.4,-0.4,ENG-Premier League,2024,shooting
ESP,MF,28-293,1996,0.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
POR,DF,27-332,1997,18.2,0,15,4,26.7,0.82,0.22,0.0,0.0,19.5,0,0,0,1.3,1.3,0.08,-1.3,-1.3,ENG-Premier League,2024,shooting
GER,GK,32-156,1992,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
BRA,"FW,MF",21-001,2004,18.3,1,53,20,37.7,2.89,1.09,0.02,0.05,17.7,1,0,0,4.8,4.8,0.09,-3.8,-3.8,ENG-Premier League,2024,shooting
BRA,DF,19-089,2006,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
GER,MF,34-169,1990,18.9,0,20,4,20.0,1.06,0.21,0.0,0.0,19.2,2,0,0,1.8,1.8,0.09,-1.8,-1.8,ENG-Premier League,2024,shooting
ARG,"MF,FW",20-284,2004,20.2,4,70,25,35.7,3.46,1.23,0.06,0.16,17.0,0,0,0,6.0,6.0,0.09,-2.0,-2.0,ENG-Premier League,2024,shooting
CIV,"FW,MF",22-274,2002,17.7,6,40,13,32.5,2.26,0.73,0.15,0.46,17.7,0,0,0,4.1,4.1,0.1,1.9,1.9,ENG-Premier League,2024,shooting
CMR,GK,29-009,1996,31.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ENG-Premier League,2024,shooting
