nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
PER,FW,33,1990,13.4,1,1,0,0,1,1,10,10.0,9,2,1,1,2,3,5,0,ITA-Serie A,2023,defense
GHA,MF,20,2003,14.9,36,14,15,15,6,17,27,63.0,10,24,5,19,7,43,23,0,ITA-Serie A,2023,defense
CZE,"MF,FW",27,1996,9.7,12,9,9,1,2,8,20,40.0,12,5,1,4,5,17,20,0,ITA-Serie A,2023,defense
ZAM,"FW,MF",20,2003,0.4,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,0,ITA-Serie A,2023,defense
ITA,FW,34,1988,7.0,1,1,0,0,1,0,1,0.0,1,2,1,1,0,1,7,0,ITA-Serie A,2023,defense
ITA,"MF,FW",34,1988,1.7,3,0,0,2,1,1,2,50.0,1,0,0,0,0,3,0,0,ITA-Serie A,2023,defense
POL,DF,26,1997,10.7,14,11,9,3,2,3,10,30.0,7,10,5,5,14,28,48,0,ITA-Serie A,2023,defense
ITA,MF,19,2003,21.9,45,25,15,27,3,26,42,61.9,16,29,6,23,15,60,26,1,ITA-Serie A,2023,defense
URU,"MF,DF",27,1995,26.0,59,40,27,23,9,27,64,42.2,37,25,2,23,19,78,32,0,ITA-Serie A,2023,defense
ITA,"MF,FW",33,1989,13.4,13,9,2,8,3,7,17,41.2,10,9,0,9,2,15,6,0,ITA-Serie A,2023,defense
GRE,DF,26,1997,9.5,22,10,12,10,0,10,17,58.8,7,14,5,9,13,35,30,1,ITA-Serie A,2023,defense
BRA,"DF,MF",29,1994,10.6,19,11,10,6,3,9,18,50.0,9,11,2,9,16,35,23,0,ITA-Serie A,2023,defense
ITA,GK,37,1986,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ITA,GK,27,1996,31.0,1,0,1,0,0,1,2,50.0,1,1,0,1,1,2,9,0,ITA-Serie A,2023,defense
ITA,DF,28,1994,26.9,26,19,18,6,2,16,25,64.0,9,21,10,11,17,43,89,0,ITA-Serie A,2023,defense
COL,DF,28,1994,13.5,20,13,14,6,0,13,19,68.4,6,23,14,9,4,24,77,0,ITA-Serie A,2023,defense
ANG,"FW,MF",21,2002,21.6,9,6,5,2,2,4,15,26.7,11,19,0,19,1,10,2,0,ITA-Serie A,2023,defense
ITA,FW,27,1996,6.1,3,3,1,1,1,2,5,40.0,3,3,1,2,3,6,7,0,ITA-Serie A,2023,defense
ITA,MF,28,1995,20.1,30,18,13,13,4,10,26,38.5,16,26,11,15,41,71,37,0,ITA-Serie A,2023,defense
ITA,MF,18,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ALB,DF,26,1996,22.7,26,16,18,6,2,18,23,78.3,5,28,17,11,23,49,126,1,ITA-Serie A,2023,defense
POL,DF,31,1992,19.6,41,25,25,13,3,24,40,60.0,16,22,10,12,21,62,52,0,ITA-Serie A,2023,defense
ITA,"FW,MF",21,2001,2.9,4,2,0,2,2,2,2,100.0,0,5,0,5,2,6,2,0,ITA-Serie A,2023,defense
ITA,GK,21,2001,23.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,16,2,ITA-Serie A,2023,defense
SWE,FW,21,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
GHA,"DF,FW",29,1994,20.9,34,17,18,13,3,15,32,46.9,17,30,12,18,5,39,27,1,ITA-Serie A,2023,defense
ALB,GK,34,1989,14.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,1,ITA-Serie A,2023,defense
ITA,"MF,DF",22,2001,5.3,16,11,7,9,0,7,16,43.8,9,9,1,8,3,19,14,0,ITA-Serie A,2023,defense
ITA,FW,35,1987,14.1,2,0,0,0,2,0,1,0.0,1,4,0,4,1,3,3,0,ITA-Serie A,2023,defense
ITA,FW,19,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ITA,DF,25,1997,12.1,25,14,19,5,1,20,28,71.4,8,17,6,11,2,27,35,0,ITA-Serie A,2023,defense
ITA,MF,20,2003,13.7,49,25,27,13,9,30,53,56.6,23,21,3,18,12,61,18,0,ITA-Serie A,2023,defense
SCO,MF,27,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
NZL,DF,22,2000,21.2,40,24,24,13,3,24,38,63.2,14,23,6,17,19,59,56,0,ITA-Serie A,2023,defense
SEN,FW,28,1994,7.9,3,1,0,1,2,0,6,0.0,6,7,1,6,3,6,10,0,ITA-Serie A,2023,defense
ITA,"FW,MF",21,2002,19.9,35,22,12,16,7,13,36,36.1,23,19,0,19,6,41,18,0,ITA-Serie A,2023,defense
ITA,"FW,MF",32,1991,4.1,2,1,0,2,0,1,1,100.0,0,4,0,4,2,4,3,0,ITA-Serie A,2023,defense
SUI,MF,27,1996,1.0,5,3,1,2,2,3,3,100.0,0,1,0,1,1,6,1,0,ITA-Serie A,2023,defense
ITA,"FW,MF",22,2000,28.4,51,39,15,20,16,16,35,45.7,19,26,1,25,14,65,8,0,ITA-Serie A,2023,defense
ITA,FW,22,2001,0.4,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,ITA-Serie A,2023,defense
ROU,MF,27,1996,20.2,40,22,13,23,4,19,29,65.5,10,16,4,12,6,46,30,2,ITA-Serie A,2023,defense
ITA,GK,25,1997,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
POL,DF,23,2000,22.8,39,28,33,6,0,28,41,68.3,13,50,31,19,15,54,121,0,ITA-Serie A,2023,defense
ITA,DF,26,1996,37.8,37,26,25,10,2,15,24,62.5,9,46,35,11,32,69,157,1,ITA-Serie A,2023,defense
ITA,"MF,DF",26,1996,8.3,22,13,12,7,3,11,22,50.0,11,8,0,8,11,33,18,0,ITA-Serie A,2023,defense
ALB,"FW,MF",20,2003,4.6,0,0,0,0,0,0,4,0.0,4,2,1,1,1,1,0,0,ITA-Serie A,2023,defense
POL,MF,25,1997,9.6,15,6,5,8,2,5,15,33.3,10,5,1,4,6,21,11,0,ITA-Serie A,2023,defense
ITA,"MF,FW",20,2003,8.3,4,2,1,1,2,3,10,30.0,7,7,0,7,2,6,0,0,ITA-Serie A,2023,defense
NGA,DF,27,1995,12.2,14,9,9,5,0,7,11,63.6,4,9,4,5,6,20,27,1,ITA-Serie A,2023,defense
UKR,MF,27,1996,6.8,5,2,2,2,1,2,8,25.0,6,12,2,10,1,6,7,0,ITA-Serie A,2023,defense
MAR,MF,24,1998,28.9,74,48,30,36,8,23,52,44.2,29,62,7,55,25,99,29,0,ITA-Serie A,2023,defense
GHA,MF,30,1993,21.0,35,22,13,15,7,15,35,42.9,20,27,5,22,11,46,13,0,ITA-Serie A,2023,defense
ITA,FW,29,1993,10.5,8,3,1,5,2,5,12,41.7,7,8,1,7,2,10,3,0,ITA-Serie A,2023,defense
CZE,"MF,FW",28,1994,9.0,6,2,1,3,2,3,7,42.9,4,5,0,5,2,8,4,0,ITA-Serie A,2023,defense
BRA,MF,26,1996,22.1,45,30,17,24,4,26,42,61.9,16,27,3,24,18,63,8,0,ITA-Serie A,2023,defense
CIV,FW,25,1997,12.1,13,4,7,6,0,6,10,60.0,4,16,0,16,2,15,10,0,ITA-Serie A,2023,defense
ITA,DF,30,1992,26.2,47,28,20,24,3,28,52,53.8,24,30,5,25,14,61,43,0,ITA-Serie A,2023,defense
ITA,DF,31,1991,4.4,9,4,5,2,2,5,11,45.5,6,3,1,2,5,14,14,0,ITA-Serie A,2023,defense
BRA,DF,24,1998,5.8,5,3,1,4,0,2,5,40.0,3,2,0,2,5,10,11,0,ITA-Serie A,2023,defense
ITA,DF,22,2000,16.2,30,15,11,12,7,15,26,57.7,11,21,5,16,17,47,26,0,ITA-Serie A,2023,defense
ITA,"FW,MF",26,1997,4.1,3,2,1,2,0,1,8,12.5,7,4,0,4,2,5,3,0,ITA-Serie A,2023,defense
ITA,MF,33,1989,25.3,26,13,6,10,10,9,21,42.9,12,16,1,15,14,40,10,0,ITA-Serie A,2023,defense
ARG,MF,20,2003,1.1,1,1,0,1,0,0,1,0.0,1,4,0,4,3,4,1,0,ITA-Serie A,2023,defense
FRA,FW,25,1998,18.7,22,11,7,9,6,10,17,58.8,7,12,0,12,3,25,8,0,ITA-Serie A,2023,defense
CRO,FW,25,1998,7.2,8,6,6,2,0,2,11,18.2,9,7,0,7,1,9,0,0,ITA-Serie A,2023,defense
ITA,MF,19,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
ITA,DF,24,1999,22.9,14,10,11,1,2,8,13,61.5,5,25,11,14,29,43,64,0,ITA-Serie A,2023,defense
ARG,"FW,MF",22,2001,18.8,27,14,4,18,5,11,20,55.0,9,29,3,26,2,29,11,0,ITA-Serie A,2023,defense
ARG,DF,27,1996,25.5,75,47,43,28,4,36,54,66.7,18,38,14,24,30,105,69,4,ITA-Serie A,2023,defense
ANG,FW,26,1996,17.2,11,8,1,4,6,6,7,85.7,1,10,1,9,0,11,22,0,ITA-Serie A,2023,defense
FRA,MF,25,1997,8.9,18,9,5,10,3,6,12,50.0,6,3,1,2,7,25,6,0,ITA-Serie A,2023,defense
ITA,DF,19,2004,22.9,53,30,27,15,11,35,48,72.9,13,25,12,13,18,71,46,2,ITA-Serie A,2023,defense
ARG,FW,25,1998,21.3,28,18,15,8,5,8,28,28.6,20,26,1,25,12,40,9,0,ITA-Serie A,2023,defense
SRB,DF,25,1997,27.9,41,21,24,14,3,22,36,61.1,14,22,14,8,27,68,95,1,ITA-Serie A,2023,defense
DEN,GK,24,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,ITA-Serie A,2023,defense
ITA,"DF,FW",18,2005,0.5,1,1,1,0,0,1,1,100.0,0,1,0,1,1,2,2,0,ITA-Serie A,2023,defense
ITA,GK,33,1990,33.0,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,8,0,ITA-Serie A,2023,defense
ITA,FW,24,1999,12.3,10,5,5,1,4,3,8,37.5,5,12,0,12,2,12,2,0,ITA-Serie A,2023,defense
ITA,MF,26,1997,17.6,26,11,8,13,5,10,22,45.5,12,14,3,11,9,35,18,1,ITA-Serie A,2023,defense
ITA,GK,17,2006,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,ITA-Serie A,2023,defense
COL,"DF,MF",28,1994,0.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,ITA-Serie A,2023,defense
NED,"MF,FW",25,1998,11.3,23,11,11,11,1,8,16,50.0,8,19,3,16,5,28,8,0,ITA-Serie A,2023,defense
GAB,DF,22,2001,13.3,37,26,21,14,2,23,34,67.6,11,17,3,14,9,46,32,0,ITA-Serie A,2023,defense
GER,"FW,DF",17,2005,5.3,7,6,4,2,1,1,9,11.1,8,4,0,4,1,8,3,0,ITA-Serie A,2023,defense
ITA,DF,22,2001,32.4,56,34,33,22,1,29,44,65.9,15,48,32,16,29,85,156,4,ITA-Serie A,2023,defense
SEN,"FW,MF",22,2001,3.3,7,4,2,3,2,4,5,80.0,1,3,0,3,1,8,1,0,ITA-Serie A,2023,defense
ITA,DF,24,1998,13.1,19,16,10,5,4,10,21,47.6,11,14,3,11,9,28,22,0,ITA-Serie A,2023,defense
