league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
FRA-Ligue 1,2024,Auxerre,Rayan Raveloson,MAD,"MF,DF",28-085,1997,8.0,271,313,86.6,5021,1334,117,124,94.4,104,115,90.4,44,56,78.6,0,0.2,0.3,-0.2,3,19,6,0,31,passing
FRA-Ligue 1,2024,Auxerre,Rudy Matondo,FRA,MF,17-029,2008,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Auxerre,Sinaly Diomande,CIV,DF,24-002,2001,15.6,533,646,82.5,9896,4282,206,236,87.3,271,295,91.9,50,90,55.6,2,0.5,0.1,1.5,2,35,0,0,51,passing
FRA-Ligue 1,2024,Auxerre,Theo Bair,CAN,FW,25-227,1999,9.2,116,191,60.7,1363,324,73,107,68.2,25,45,55.6,3,7,42.9,1,1.2,0.9,-0.2,10,9,0,0,15,passing
FRA-Ligue 1,2024,Auxerre,Théo De Percin,MTQ,GK,24-068,2001,2.0,31,58,53.4,1059,852,3,3,100.0,9,10,90.0,19,44,43.2,0,0.0,0.0,0.0,0,1,0,0,0,passing
FRA-Ligue 1,2024,Auxerre,Théo Pellenard,FRA,DF,31-038,1994,0.5,15,20,75.0,239,37,8,9,88.9,6,8,75.0,1,2,50.0,0,0.0,0.1,0.0,0,1,1,1,1,passing
FRA-Ligue 1,2024,Auxerre,Yoann Cissé,FRA,MF,20-119,2004,0.0,1,2,50.0,6,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Brest,Abdallah Sima,SEN,"FW,MF",23-298,2001,10.8,195,276,70.7,2629,555,122,153,79.7,58,85,68.2,7,8,87.5,2,0.9,0.7,1.1,10,9,5,1,22,passing
FRA-Ligue 1,2024,Brest,Abdoulaye Niakhate Ndiaye,SEN,DF,23-001,2002,14.5,588,696,84.5,11644,4404,194,224,86.6,305,339,90.0,84,118,71.2,0,0.0,0.2,0.0,1,31,2,0,34,passing
FRA-Ligue 1,2024,Brest,Axel Camblan,FRA,"MF,FW",21-224,2003,0.3,3,7,42.9,44,23,2,5,40.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,passing
FRA-Ligue 1,2024,Brest,Brendan Chardonnet,FRA,DF,30-110,1994,22.8,823,1010,81.5,17323,6477,242,264,91.7,453,489,92.6,122,236,51.7,0,0.6,0.6,-0.6,6,59,2,1,47,passing
FRA-Ligue 1,2024,Brest,Edimilson Fernandes,SUI,MF,28-361,1996,9.3,369,428,86.2,6418,1391,164,179,91.6,163,183,89.1,34,47,72.3,1,0.5,0.3,0.5,6,32,2,0,30,passing
FRA-Ligue 1,2024,Brest,Grégoire Coudert,FRA,GK,26-008,1999,1.0,29,38,76.3,781,504,5,5,100.0,17,17,100.0,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Brest,Hamidou Makalou,MLI,FW,18-270,2006,0.2,11,11,100.0,112,23,8,8,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,passing
FRA-Ligue 1,2024,Brest,Hianga Mananga Mbock,FRA,MF,25-104,1999,0.2,14,17,82.4,232,77,8,9,88.9,6,7,85.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Brest,Hugo Magnetti,FRA,MF,26-316,1998,21.2,746,885,84.3,12128,2983,368,409,90.0,322,365,88.2,42,73,57.5,0,0.4,0.6,-0.4,6,60,5,1,71,passing
FRA-Ligue 1,2024,Brest,Ibrahim Salah,MAR,FW,23-224,2001,4.0,88,129,68.2,1255,239,48,56,85.7,23,38,60.5,8,15,53.3,1,0.6,0.4,0.4,6,2,2,2,7,passing
FRA-Ligue 1,2024,Brest,Jonas Martin,FRA,MF,35-002,1990,5.1,241,275,87.6,3819,941,129,140,92.1,90,99,90.9,15,21,71.4,0,0.3,0.4,-0.3,3,17,3,2,19,passing
FRA-Ligue 1,2024,Brest,Jordan Amavi,FRA,DF,31-033,1994,8.8,386,526,73.4,6269,2275,182,214,85.0,175,237,73.8,21,50,42.0,0,0.2,0.4,-0.2,6,28,6,1,36,passing
FRA-Ligue 1,2024,Brest,Julien Le Cardinal,FRA,DF,27-251,1997,13.8,640,743,86.1,13277,5017,204,224,91.1,335,352,95.2,93,151,61.6,1,0.3,0.3,0.7,4,42,0,0,38,passing
FRA-Ligue 1,2024,Brest,Justin Bourgault,FRA,DF,19-209,2005,1.4,54,74,73.0,961,297,25,28,89.3,25,30,83.3,4,11,36.4,0,0.1,0.1,-0.1,1,5,1,1,4,passing
FRA-Ligue 1,2024,Brest,Jérémy Le Douaron,FRA,FW,26-355,1998,1.1,11,14,78.6,181,36,6,8,75.0,4,5,80.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,passing
FRA-Ligue 1,2024,Brest,Kamory Doumbia,MLI,MF,22-052,2003,11.6,433,547,79.2,7254,1703,200,219,91.3,174,214,81.3,38,78,48.7,2,1.0,1.3,1.0,22,42,5,1,50,passing
FRA-Ligue 1,2024,Brest,Kenny Lala,MAD,DF,33-190,1991,24.8,1121,1479,75.8,22330,8522,429,497,86.3,496,620,80.0,185,307,60.3,1,3.1,4.1,-2.1,32,105,35,11,118,passing
FRA-Ligue 1,2024,Brest,Luc Zogbé,CIV,DF,20-018,2005,7.1,253,328,77.1,4265,1357,115,128,89.8,110,142,77.5,20,40,50.0,0,0.1,0.1,-0.1,4,12,2,2,19,passing
FRA-Ligue 1,2024,Brest,Ludovic Ajorque,FRA,FW,31-045,1994,22.5,367,537,68.3,5440,788,207,287,72.1,113,155,72.9,27,36,75.0,1,2.4,1.5,-1.4,27,28,10,0,37,passing
FRA-Ligue 1,2024,Brest,Mahdi Camara,FRA,"MF,FW",26-285,1998,23.9,787,928,84.8,12076,2613,385,433,88.9,347,386,89.9,25,46,54.3,2,1.8,2.0,0.2,21,63,14,7,88,passing
FRA-Ligue 1,2024,Brest,Mama Samba Baldé,GNB,FW,29-156,1995,11.8,174,239,72.8,2689,558,82,108,75.9,58,74,78.4,18,23,78.3,3,2.1,1.3,0.9,15,13,4,2,20,passing
FRA-Ligue 1,2024,Brest,Marco Bizot,NED,GK,34-032,1991,27.0,634,926,68.5,20295,15747,68,69,98.6,304,306,99.3,261,548,47.6,0,0.0,0.0,0.0,0,7,0,0,1,passing
FRA-Ligue 1,2024,Brest,Massadio Haïdara,MLI,DF,32-130,1992,13.7,494,633,78.0,7514,3076,261,283,92.2,201,256,78.5,21,61,34.4,0,0.3,0.5,-0.3,5,37,8,3,60,passing
FRA-Ligue 1,2024,Brest,Mathias Pereira Lage,POR,"FW,MF",28-132,1996,12.2,212,342,62.0,3274,1204,112,149,75.2,78,116,67.2,15,46,32.6,4,2.2,2.4,1.8,15,17,10,6,25,passing
FRA-Ligue 1,2024,Brest,Pierre Lees-Melou,FRA,MF,31-321,1993,12.1,620,738,84.0,12087,3730,246,277,88.8,263,291,90.4,100,136,73.5,2,2.0,1.3,0.0,13,76,11,2,83,passing
FRA-Ligue 1,2024,Brest,Romain Del Castillo,FRA,FW,29-013,1996,11.8,402,576,69.8,6694,2419,202,252,80.2,133,177,75.1,48,99,48.5,3,2.7,3.5,0.3,30,38,24,9,51,passing
FRA-Ligue 1,2024,Brest,Romain Faivre,FRA,"MF,FW",26-271,1998,9.9,311,379,82.1,4587,1209,184,208,88.5,98,118,83.1,17,29,58.6,2,1.9,1.8,0.1,10,34,8,1,44,passing
FRA-Ligue 1,2024,Brest,Soumaïla Coulibaly,FRA,DF,21-179,2003,4.9,281,317,88.6,5923,1657,83,89,93.3,159,168,94.6,36,56,64.3,0,0.1,0.2,-0.1,1,12,1,0,16,passing
FRA-Ligue 1,2024,Brest,Sérigné Diop,SEN,FW,19-334,2005,0.0,2,2,100.0,20,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,Abdoulaye Touré,GUI,MF,31-039,1994,19.8,648,793,81.7,11843,3338,269,319,84.3,284,335,84.8,77,100,77.0,1,0.1,0.4,0.9,4,68,6,2,81,passing
FRA-Ligue 1,2024,Le Havre,Alois Confais,FRA,MF,28-216,1996,0.0,1,2,50.0,10,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,André Ayew,GHA,FW,35-115,1989,12.7,147,197,74.6,1735,199,96,116,82.8,38,48,79.2,0,4,0.0,1,0.1,0.1,0.9,4,3,2,0,16,passing
FRA-Ligue 1,2024,Le Havre,Antoine Joujou,FRA,"MF,FW",22-030,2003,10.3,161,247,65.2,2313,656,91,123,74.0,49,80,61.3,10,19,52.6,2,2.9,2.8,-0.9,14,8,13,8,18,passing
FRA-Ligue 1,2024,Le Havre,Arouna Sangante,SEN,DF,22-364,2002,10.4,504,587,85.9,9557,3380,157,173,90.8,308,328,93.9,33,73,45.2,0,0.1,0.1,-0.1,3,38,3,1,37,passing
FRA-Ligue 1,2024,Le Havre,Arthur Desmas,FRA,GK,31-004,1994,18.0,411,522,78.7,10272,6469,83,83,100.0,228,231,98.7,99,205,48.3,0,0.0,0.0,0.0,1,7,0,0,0,passing
FRA-Ligue 1,2024,Le Havre,Christopher Operi,CIV,"DF,FW",27-347,1997,13.0,533,747,71.4,9424,3412,236,259,91.1,228,295,77.3,58,155,37.4,2,2.2,3.2,-0.2,24,36,20,13,52,passing
