league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
ESP-La Liga,2020,Atlético Madrid,Diego Costa,ESP,FW,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.5,13.4,0,1,1,1.4,0.6,0.15,0.6,0.4,shooting
ESP-La Liga,2020,Atlético Madrid,Felipe,BRA,DF,31,1989,22.9,0,12,2,16.7,0.53,0.09,0.0,0.0,9.8,0,0,0,1.5,1.5,0.12,-1.5,-1.5,shooting
ESP-La Liga,2020,Atlético Madrid,Geoffrey Kondogbia,CTA,MF,27,1993,6.8,0,5,2,40.0,0.74,0.29,0.0,0.0,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,shooting
ESP-La Liga,2020,Atlético Madrid,Héctor Herrera,MEX,MF,30,1990,7.6,0,7,1,14.3,0.92,0.13,0.0,0.0,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,shooting
ESP-La Liga,2020,Atlético Madrid,Jan Oblak,SVN,GK,27,1993,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Atlético Madrid,José María Giménez,URU,DF,25,1995,19.6,0,14,5,35.7,0.71,0.25,0.0,0.0,13.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,shooting
ESP-La Liga,2020,Atlético Madrid,João Félix,POR,"FW,MF",20,1999,17.5,7,37,15,40.5,2.12,0.86,0.16,0.4,19.4,2,1,2,5.5,3.9,0.1,1.5,2.1,shooting
ESP-La Liga,2020,Atlético Madrid,Kieran Trippier,ENG,DF,29,1990,27.5,0,3,1,33.3,0.11,0.04,0.0,0.0,18.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1,shooting
ESP-La Liga,2020,Atlético Madrid,Koke,ESP,MF,28,1992,33.6,1,17,7,41.2,0.51,0.21,0.06,0.14,20.7,0,0,0,2.0,2.0,0.12,-1.0,-1.0,shooting
ESP-La Liga,2020,Atlético Madrid,Lucas Torreira,URU,MF,24,1996,5.8,1,3,1,33.3,0.52,0.17,0.33,1.0,33.1,0,0,0,0.1,0.1,0.04,0.9,0.9,shooting
ESP-La Liga,2020,Atlético Madrid,Luis Suárez,URU,FW,33,1987,27.9,21,101,40,39.6,3.62,1.44,0.18,0.45,16.0,7,3,3,16.2,13.9,0.14,4.8,4.1,shooting
ESP-La Liga,2020,Atlético Madrid,Manu Sánchez,ESP,DF,19,2000,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Atlético Madrid,Marcos Llorente,ESP,"MF,FW",25,1995,32.8,12,49,22,44.9,1.49,0.67,0.24,0.55,18.6,0,0,0,3.4,3.4,0.07,8.6,8.6,shooting
ESP-La Liga,2020,Atlético Madrid,Mario Hermoso,ESP,DF,25,1995,28.6,1,18,4,22.2,0.63,0.14,0.06,0.25,20.6,0,0,0,1.1,1.1,0.06,-0.1,-0.1,shooting
ESP-La Liga,2020,Atlético Madrid,Moussa Dembélé,FRA,FW,24,1996,1.1,0,6,2,33.3,5.4,1.8,0.0,0.0,10.5,0,0,0,1.0,1.0,0.17,-1.0,-1.0,shooting
ESP-La Liga,2020,Atlético Madrid,Renan Lodi,BRA,"DF,FW",22,1998,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,18.6,0,0,0,0.8,0.8,0.07,0.2,0.2,shooting
ESP-La Liga,2020,Atlético Madrid,Ricard Sánchez,ESP,DF,20,2000,0.3,0,1,0,0.0,3.0,0.0,0.0,,17.3,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
ESP-La Liga,2020,Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",25,1994,22.6,2,32,12,37.5,1.42,0.53,0.06,0.17,17.0,0,0,1,2.8,1.9,0.06,-0.8,0.1,shooting
ESP-La Liga,2020,Atlético Madrid,Stefan Savić,MNE,DF,29,1991,32.8,1,7,2,28.6,0.21,0.06,0.14,0.5,5.7,0,0,0,0.8,0.8,0.12,0.2,0.2,shooting
ESP-La Liga,2020,Atlético Madrid,Thomas Lemar,FRA,MF,24,1995,15.2,1,23,10,43.5,1.52,0.66,0.04,0.1,21.9,2,0,0,1.6,1.6,0.07,-0.6,-0.6,shooting
ESP-La Liga,2020,Atlético Madrid,Thomas Partey,GHA,MF,27,1993,2.2,0,5,0,0.0,2.25,0.0,0.0,,33.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,shooting
ESP-La Liga,2020,Atlético Madrid,Vitolo,ESP,"MF,FW",30,1989,3.3,0,2,0,0.0,0.6,0.0,0.0,,11.4,0,0,0,0.4,0.4,0.22,-0.4,-0.4,shooting
ESP-La Liga,2020,Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",26,1993,24.2,6,43,24,55.8,1.78,0.99,0.14,0.25,17.2,1,0,0,5.2,5.2,0.12,0.8,0.8,shooting
ESP-La Liga,2020,Atlético Madrid,Ángel Correa,ARG,"FW,MF",25,1995,26.6,9,52,23,44.2,1.96,0.87,0.17,0.39,17.4,0,0,0,7.8,7.7,0.15,1.2,1.3,shooting
ESP-La Liga,2020,Atlético Madrid,Šime Vrsaljko,CRO,"FW,DF",28,1992,5.8,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Barcelona,Ansu Fati,ESP,FW,17,2002,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.5,0,0,0,1.8,1.8,0.13,2.2,2.2,shooting
ESP-La Liga,2020,Barcelona,Antoine Griezmann,FRA,"FW,MF",29,1991,28.9,13,69,32,46.4,2.38,1.11,0.17,0.38,14.7,0,1,2,12.1,10.5,0.15,0.9,1.5,shooting
ESP-La Liga,2020,Barcelona,Carles Aleñá,ESP,MF,22,1998,0.5,0,1,0,0.0,1.87,0.0,0.0,,17.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,shooting
ESP-La Liga,2020,Barcelona,Clément Lenglet,FRA,DF,25,1995,27.5,1,11,5,45.5,0.4,0.18,0.09,0.2,12.0,0,0,0,1.8,1.8,0.17,-0.8,-0.8,shooting
ESP-La Liga,2020,Barcelona,Francisco Trincão,POR,"FW,MF",20,1999,7.8,3,23,12,52.2,2.93,1.53,0.13,0.25,17.3,0,0,0,2.6,2.6,0.11,0.4,0.4,shooting
ESP-La Liga,2020,Barcelona,Frenkie de Jong,NED,"MF,DF",23,1997,35.0,3,17,6,35.3,0.49,0.17,0.18,0.5,11.4,0,0,0,4.8,4.8,0.3,-1.8,-1.8,shooting
ESP-La Liga,2020,Barcelona,Gerard Piqué,ESP,DF,33,1987,16.5,0,9,2,22.2,0.55,0.12,0.0,0.0,10.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8,shooting
ESP-La Liga,2020,Barcelona,Ilaix Moriba,GUI,MF,17,2003,6.0,1,13,3,23.1,2.16,0.5,0.08,0.33,14.7,0,0,0,0.8,0.8,0.06,0.2,0.2,shooting
ESP-La Liga,2020,Barcelona,Jordi Alba,ESP,"DF,FW",31,1989,33.6,3,27,10,37.0,0.8,0.3,0.11,0.3,20.2,1,0,0,1.9,1.9,0.07,1.1,1.1,shooting
ESP-La Liga,2020,Barcelona,Junior Firpo,DOM,"DF,MF",23,1996,3.2,1,1,1,100.0,0.31,0.31,1.0,1.0,3.6,0,0,0,0.7,0.7,0.68,0.3,0.3,shooting
ESP-La Liga,2020,Barcelona,Lionel Messi,ARG,"FW,MF",33,1987,33.6,30,191,85,44.5,5.69,2.53,0.14,0.32,19.7,40,3,5,22.1,17.8,0.1,7.9,9.2,shooting
ESP-La Liga,2020,Barcelona,Marc-André ter Stegen,GER,GK,28,1992,31.0,0,1,0,0.0,0.03,0.0,0.0,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,shooting
ESP-La Liga,2020,Barcelona,Martin Braithwaite,DEN,FW,29,1991,13.1,2,22,7,31.8,1.69,0.54,0.09,0.29,12.5,0,0,1,5.4,4.6,0.24,-3.4,-2.6,shooting
ESP-La Liga,2020,Barcelona,Miralem Pjanić,BIH,MF,30,1990,7.0,0,16,3,18.8,2.3,0.43,0.0,0.0,22.5,2,0,0,1.0,1.0,0.06,-1.0,-1.0,shooting
ESP-La Liga,2020,Barcelona,Neto,BRA,GK,31,1989,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
ESP-La Liga,2020,Barcelona,Ousmane Dembélé,FRA,FW,23,1997,19.7,6,55,21,38.2,2.79,1.07,0.11,0.29,17.1,0,0,0,5.6,5.6,0.1,0.4,0.4,shooting
ESP-La Liga,2020,Barcelona,Pedri,ESP,MF,17,2002,26.8,3,25,8,32.0,0.93,0.3,0.12,0.38,15.9,0,0,0,4.6,4.4,0.18,-1.6,-1.4,shooting
ESP-La Liga,2020,Barcelona,Philippe Coutinho,BRA,"MF,FW",28,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.3,0,0,0,4.0,4.0,0.14,-2.0,-2.0,shooting
ESP-La Liga,2020,Barcelona,Riqui Puig,ESP,"MF,FW",20,1999,3.2,1,4,2,50.0,1.23,0.62,0.25,0.5,18.9,0,0,0,0.6,0.6,0.16,0.4,0.4,shooting
ESP-La Liga,2020,Barcelona,Ronald Araújo,URU,DF,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.5,11.7,0,0,0,1.8,1.8,0.15,0.2,0.2,shooting
ESP-La Liga,2020,Barcelona,Samuel Umtiti,FRA,DF,26,1993,7.2,0,2,1,50.0,0.28,0.14,0.0,0.0,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,shooting
ESP-La Liga,2020,Barcelona,Sergi Roberto,ESP,"DF,FW",28,1992,10.5,1,5,1,20.0,0.48,0.1,0.2,1.0,17.7,0,0,0,0.3,0.3,0.06,0.7,0.7,shooting
ESP-La Liga,2020,Barcelona,Sergio Busquets,ESP,MF,32,1988,28.0,0,3,1,33.3,0.11,0.04,0.0,0.0,16.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,shooting
ESP-La Liga,2020,Barcelona,Sergiño Dest,USA,"DF,FW",19,2000,21.2,2,14,5,35.7,0.66,0.24,0.14,0.4,15.3,0,0,0,1.7,1.7,0.12,0.3,0.3,shooting
ESP-La Liga,2020,Barcelona,Óscar Mingueza,ESP,DF,21,1999,21.1,2,12,6,50.0,0.57,0.28,0.17,0.33,17.1,0,0,0,1.0,1.0,0.08,1.0,1.0,shooting
ESP-La Liga,2020,Betis,Aitor Ruibal,ESP,"FW,MF",24,1996,17.7,2,33,14,42.4,1.86,0.79,0.06,0.14,17.9,0,0,0,2.9,2.9,0.09,-0.9,-0.9,shooting
ESP-La Liga,2020,Betis,Andrés Guardado,MEX,MF,33,1986,14.6,1,11,5,45.5,0.75,0.34,0.09,0.2,24.3,0,0,0,0.3,0.3,0.03,0.7,0.7,shooting
ESP-La Liga,2020,Betis,Antonio Sanabria,PAR,FW,24,1996,10.4,3,25,12,48.0,2.41,1.16,0.12,0.25,11.7,0,0,0,5.0,5.0,0.2,-2.0,-2.0,shooting
ESP-La Liga,2020,Betis,Aïssa Mandi,ALG,DF,28,1991,26.6,3,8,7,87.5,0.3,0.26,0.38,0.43,6.3,0,0,0,2.1,2.1,0.26,0.9,0.9,shooting
ESP-La Liga,2020,Betis,Borja Iglesias,ESP,FW,27,1993,15.7,11,33,10,30.3,2.1,0.64,0.18,0.6,17.2,0,5,5,8.4,4.4,0.14,2.6,1.6,shooting
ESP-La Liga,2020,Betis,Claudio Bravo,CHI,GK,37,1983,20.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
