nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
FRA,DF,19,2003,17.7,1617,49,351,772,513,26,1617,50,20,40.0,20,40.0,1195,6746,3120,66,73,10,17,12,1074,147,FRA-Ligue 1,2022,possession
FRA,MF,16,2005,0.1,9,0,6,3,0,0,9,0,0,,0,,8,39,6,0,0,0,0,0,8,0,FRA-Ligue 1,2022,possession
FRA,MF,22,2000,30.7,2162,60,333,1196,654,73,2162,87,41,47.1,38,43.7,1650,8467,3482,46,81,11,70,48,1514,114,FRA-Ligue 1,2022,possession
FRA,MF,18,2004,0.0,4,0,3,1,1,0,4,1,0,0.0,1,100.0,2,34,33,1,0,0,0,0,0,0,FRA-Ligue 1,2022,possession
FRA,"FW,MF",26,1996,9.7,299,9,24,135,143,50,299,12,4,33.3,8,66.7,200,1043,240,10,4,5,32,16,215,66,FRA-Ligue 1,2022,possession
ARG,DF,29,1992,33.2,2237,86,527,1118,610,48,2237,38,10,26.3,19,50.0,1539,7465,3182,38,44,5,46,16,1405,171,FRA-Ligue 1,2022,possession
FRA,"MF,FW",18,2003,20.8,1364,3,83,552,758,141,1364,157,79,50.3,65,41.4,1145,8325,4182,133,91,61,63,49,1107,260,FRA-Ligue 1,2022,possession
FRA,MF,24,1998,3.3,216,1,15,112,95,6,216,20,3,15.0,16,80.0,160,1198,543,14,12,1,4,3,153,16,FRA-Ligue 1,2022,possession
FRA,GK,34,1987,6.7,241,204,240,1,0,0,241,0,0,,0,,163,662,403,0,0,0,0,0,115,0,FRA-Ligue 1,2022,possession
FRA,DF,17,2005,14.7,991,36,271,463,262,22,991,42,16,38.1,24,57.1,644,3390,1567,16,31,3,16,14,570,84,FRA-Ligue 1,2022,possession
