nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
CIV,DF,20-018,2005,7.1,32,18,17,11,4,18,26,69.2,8,11,2,9,14,46,22,1,FRA-Ligue 1,2024,defense
FRA,FW,31-045,1994,22.5,21,16,3,8,10,6,25,24.0,19,18,5,13,4,25,19,0,FRA-Ligue 1,2024,defense
FRA,"MF,FW",26-285,1998,23.9,66,37,13,36,17,22,39,56.4,17,35,4,31,25,91,27,0,FRA-Ligue 1,2024,defense
GNB,FW,29-156,1995,11.8,10,6,3,3,4,2,11,18.2,9,6,0,6,5,15,14,0,FRA-Ligue 1,2024,defense
NED,GK,34-032,1991,27.0,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,23,0,FRA-Ligue 1,2024,defense
MLI,DF,32-130,1992,13.7,16,11,10,6,0,7,17,41.2,10,9,1,8,17,33,60,0,FRA-Ligue 1,2024,defense
POR,"FW,MF",28-132,1996,12.2,28,18,13,9,6,13,28,46.4,15,13,1,12,15,43,16,2,FRA-Ligue 1,2024,defense
FRA,MF,31-321,1993,12.1,34,23,14,13,7,19,33,57.6,14,8,2,6,8,42,18,0,FRA-Ligue 1,2024,defense
FRA,FW,29-013,1996,11.8,27,19,9,10,8,17,29,58.6,12,15,0,15,6,33,3,0,FRA-Ligue 1,2024,defense
FRA,"MF,FW",26-271,1998,9.9,13,10,4,5,4,5,10,50.0,5,8,0,8,4,17,3,1,FRA-Ligue 1,2024,defense
FRA,DF,21-179,2003,4.9,4,2,2,2,0,1,1,100.0,0,7,2,5,5,9,26,0,FRA-Ligue 1,2024,defense
SEN,FW,19-334,2005,0.0,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,FRA-Ligue 1,2024,defense
GUI,MF,31-039,1994,19.8,54,29,30,17,7,30,48,62.5,18,26,15,11,26,80,33,3,FRA-Ligue 1,2024,defense
FRA,MF,28-216,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
GHA,FW,35-115,1989,12.7,15,9,3,6,6,7,11,63.6,4,8,2,6,2,17,19,1,FRA-Ligue 1,2024,defense
