league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ITA-Serie A,2023,Milan,Matteo Gabbia,ITA,DF,23,1999,14.2,1035,116,518,482,40,21,1035,2,2,100.0,0,0.0,611,3097,1627,11,4,0,5,2,719,2,possession
ITA-Serie A,2023,Milan,Mattia Caldara,ITA,DF,29,1994,0.4,29,4,10,18,1,1,29,0,0,,0,,14,63,43,0,0,0,0,0,17,0,possession
ITA-Serie A,2023,Milan,Mike Maignan,FRA,GK,28,1995,29.0,1285,960,1281,5,0,0,1285,1,1,100.0,0,0.0,873,4782,3225,0,0,0,1,0,732,0,possession
ITA-Serie A,2023,Milan,Noah Okafor,SUI,"FW,MF",23,2000,9.9,298,7,34,117,154,45,298,32,14,43.8,17,53.1,191,1405,761,29,11,14,24,14,218,66,possession
ITA-Serie A,2023,Milan,Olivier Giroud,FRA,FW,36,1986,26.3,732,30,69,346,319,129,727,11,3,27.3,6,54.5,323,946,340,9,7,4,59,14,506,95,possession
ITA-Serie A,2023,Milan,Pierre Kalulu,FRA,DF,23,2000,4.2,293,18,104,154,35,5,293,2,0,0.0,2,100.0,213,1128,527,6,5,0,3,2,225,11,possession
ITA-Serie A,2023,Milan,Rade Krunić,BIH,MF,29,1993,7.6,497,28,125,318,58,5,497,2,2,100.0,0,0.0,284,1278,556,5,7,0,8,3,334,3,possession
ITA-Serie A,2023,Milan,Rafael Leão,POR,FW,24,1999,27.9,1351,20,75,575,725,179,1351,154,77,50.0,61,39.6,937,7403,4060,160,99,82,66,41,1127,293,possession
ITA-Serie A,2023,Milan,Ruben Loftus-Cheek,ENG,MF,27,1996,23.0,953,27,122,494,356,64,953,56,30,53.6,20,35.7,581,4166,2373,73,63,9,35,22,717,113,possession
ITA-Serie A,2023,Milan,Samuel Chukwueze,NGA,FW,24,1999,11.3,577,5,67,237,278,59,577,62,21,33.9,34,54.8,408,2604,1337,52,27,24,29,15,437,135,possession
ITA-Serie A,2023,Milan,Simon Kjær,DEN,DF,34,1989,13.0,963,96,498,449,20,8,963,0,0,,0,,620,2470,1380,4,4,0,4,1,683,0,possession
ITA-Serie A,2023,Milan,Theo Hernández,FRA,DF,25,1997,31.0,2269,90,581,1191,530,71,2267,81,37,45.7,32,39.5,1467,9362,6104,116,93,13,30,22,1602,124,possession
ITA-Serie A,2023,Milan,Tijjani Reijnders,NED,MF,25,1998,31.3,2022,54,323,1181,533,62,2022,55,35,63.6,17,30.9,1367,9122,4195,88,81,18,40,38,1571,90,possession
ITA-Serie A,2023,Milan,Tommaso Pobega,ITA,MF,24,1999,3.5,186,17,57,102,30,5,186,6,3,50.0,3,50.0,109,507,258,6,4,1,4,3,114,10,possession
ITA-Serie A,2023,Milan,Yacine Adli,FRA,MF,23,2000,15.6,1439,38,262,913,281,8,1439,32,22,68.8,8,25.0,873,4728,2144,30,27,3,18,10,1053,26,possession
ITA-Serie A,2023,Milan,Yunus Musah,USA,"MF,FW",20,2002,16.4,831,27,173,383,291,20,831,47,22,46.8,20,42.6,520,3554,2034,48,39,6,32,15,580,77,possession
ITA-Serie A,2023,Monza,Alessandro Sorrentino,ITA,GK,21,2002,6.1,205,174,203,2,0,0,205,1,1,100.0,0,0.0,99,484,301,0,0,0,0,0,102,0,possession
ITA-Serie A,2023,Monza,Alessio Zerbin,ITA,"DF,FW",24,1999,7.6,376,13,88,150,143,18,376,31,13,41.9,16,51.6,206,1423,675,17,19,5,15,7,224,46,possession
ITA-Serie A,2023,Monza,Andrea Carboni,ITA,DF,22,2001,16.5,1148,130,504,516,132,26,1148,6,3,50.0,3,50.0,698,3200,1856,13,13,2,14,2,811,22,possession
ITA-Serie A,2023,Monza,Andrea Colpani,ITA,"MF,FW",24,1999,29.5,1255,23,133,501,641,83,1255,80,28,35.0,40,50.0,826,5437,2472,90,69,27,52,38,938,193,possession
ITA-Serie A,2023,Monza,Andrea Ferraris,ITA,MF,20,2003,0.1,5,0,1,2,2,0,5,0,0,,0,,3,11,9,0,0,0,0,0,3,0,possession
ITA-Serie A,2023,Monza,Armando Izzo,ITA,DF,31,1992,18.3,1389,161,684,641,73,17,1389,1,0,0.0,1,100.0,870,4500,2292,15,7,0,10,2,1035,7,possession
ITA-Serie A,2023,Monza,Daniel Maldini,ITA,"MF,FW",21,2001,3.7,160,2,21,74,71,13,160,19,9,47.4,7,36.8,101,770,419,15,7,7,12,5,123,22,possession
ITA-Serie A,2023,Monza,Danilo D'Ambrosio,ITA,DF,34,1988,17.1,1268,126,564,600,114,23,1268,13,7,53.8,5,38.5,787,3641,1763,12,8,1,12,5,904,25,possession
ITA-Serie A,2023,Monza,Dany Mota,POR,"FW,MF",25,1998,22.8,1028,22,101,434,504,93,1028,49,16,32.7,28,57.1,696,5390,2771,112,82,32,43,30,785,152,possession
ITA-Serie A,2023,Monza,Davide Bettella,ITA,MF,23,2000,0.0,5,0,2,2,1,0,5,0,0,,0,,3,7,0,0,0,0,0,1,4,0,possession
ITA-Serie A,2023,Monza,Gianluca Caprari,ITA,"MF,FW",30,1993,3.2,154,1,18,65,73,11,154,8,3,37.5,5,62.5,112,686,370,11,9,5,9,9,122,16,possession
ITA-Serie A,2023,Monza,Giorgio Cittadini,ITA,DF,21,2002,0.2,8,2,3,4,1,0,8,0,0,,0,,5,41,18,1,0,0,1,0,5,1,possession
ITA-Serie A,2023,Monza,Giorgos Kyriakopoulos,GRE,DF,27,1996,19.0,1241,44,343,523,383,36,1241,32,18,56.3,11,34.4,765,4410,2611,64,37,13,16,10,845,94,possession
ITA-Serie A,2023,Monza,Giulio Donati,ITA,DF,33,1990,0.4,51,0,11,25,15,1,51,0,0,,0,,30,120,58,0,2,0,3,0,39,5,possession
ITA-Serie A,2023,Monza,Jean-Daniel Akpa-Akpro,CIV,MF,30,1992,7.8,348,22,111,187,58,5,348,10,3,30.0,3,30.0,189,1226,591,11,9,1,13,7,215,12,possession
ITA-Serie A,2023,Monza,Lorenzo Colombo,ITA,FW,21,2002,15.1,451,18,32,239,186,65,451,23,12,52.2,11,47.8,287,1275,464,16,9,13,64,29,348,75,possession
ITA-Serie A,2023,Monza,Luca Caldirola,ITA,DF,32,1991,23.8,1546,203,809,678,61,16,1546,2,1,50.0,0,0.0,966,4882,2482,10,5,0,6,1,1146,9,possession
ITA-Serie A,2023,Monza,Matteo Pessina,ITA,MF,26,1997,35.8,2459,89,502,1550,421,31,2454,34,14,41.2,15,44.1,1582,9264,4472,69,66,2,54,18,1773,53,possession
ITA-Serie A,2023,Monza,Michele Di Gregorio,ITA,GK,26,1997,31.9,1439,1210,1426,14,0,0,1439,3,3,100.0,0,0.0,879,4769,2714,0,0,0,2,1,775,0,possession
ITA-Serie A,2023,Monza,Milan Đurić,BIH,FW,33,1990,14.0,381,32,51,227,104,37,381,4,2,50.0,2,50.0,157,458,108,2,2,1,24,14,323,31,possession
