league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ESP-La Liga,2022,Rayo Vallecano,Raúl de Tomás,ESP,FW,27,1994,8.9,275,12,21,106,152,43,273,29,17,58.6,8,27.6,205,917,332,13,7,5,29,19,231,51,possession
ESP-La Liga,2022,Rayo Vallecano,Salvi,ESP,"FW,MF",31,1991,5.4,254,4,31,81,145,18,254,9,3,33.3,6,66.7,139,920,459,27,14,3,9,6,162,51,possession
ESP-La Liga,2022,Rayo Vallecano,Santi Comesaña,ESP,MF,25,1996,27.2,1544,34,229,927,405,58,1544,58,35,60.3,18,31.0,830,4235,2292,40,43,8,38,34,1010,58,possession
ESP-La Liga,2022,Rayo Vallecano,Sergio Camello,ESP,FW,21,2001,26.7,782,29,51,337,406,101,782,46,18,39.1,24,52.2,483,2631,1053,40,36,17,71,35,561,122,possession
ESP-La Liga,2022,Rayo Vallecano,Stole Dimitrievski,MKD,GK,28,1993,36.9,1194,993,1185,9,0,0,1194,0,0,,0,,619,3767,2427,0,0,0,0,0,426,1,possession
ESP-La Liga,2022,Rayo Vallecano,Unai López,ESP,MF,26,1995,13.9,1076,9,142,633,311,22,1076,27,12,44.4,14,51.9,635,2797,1067,17,18,5,27,19,757,43,possession
ESP-La Liga,2022,Rayo Vallecano,Álvaro García,ESP,"FW,MF",29,1992,31.9,1347,30,208,346,809,118,1347,52,21,40.4,25,48.1,785,4400,2237,116,28,45,52,17,834,293,possession
ESP-La Liga,2022,Rayo Vallecano,Óscar Trejo,ARG,"MF,FW",34,1988,23.8,1338,17,120,694,550,72,1336,118,57,48.3,43,36.4,836,4598,2004,56,59,13,66,92,995,110,possession
ESP-La Liga,2022,Rayo Vallecano,Óscar Valentín,ESP,MF,27,1994,28.4,1501,67,337,977,200,17,1501,20,7,35.0,11,55.0,762,4184,2021,21,24,1,22,13,829,17,possession
ESP-La Liga,2022,Real Madrid,Andriy Lunin,UKR,GK,23,1999,7.0,234,186,232,2,0,0,234,0,0,,0,,144,645,257,0,0,0,0,0,142,0,possession
ESP-La Liga,2022,Real Madrid,Antonio Rüdiger,GER,DF,29,1993,26.8,1814,194,907,840,79,25,1814,4,3,75.0,1,25.0,1216,5991,3731,21,11,0,8,2,1339,10,possession
ESP-La Liga,2022,Real Madrid,Aurélien Tchouaméni,FRA,MF,22,2000,23.5,1990,94,470,1234,298,29,1990,39,28,71.8,8,20.5,1291,6841,3344,41,43,4,24,12,1533,23,possession
ESP-La Liga,2022,Real Madrid,Casemiro,BRA,MF,30,1992,0.1,11,1,3,8,0,0,11,0,0,,0,,7,20,6,0,0,0,1,0,7,0,possession
ESP-La Liga,2022,Real Madrid,Dani Carvajal,ESP,DF,30,1992,19.8,1512,85,412,580,526,39,1512,17,9,52.9,5,29.4,864,3105,1547,22,30,3,23,7,1049,147,possession
ESP-La Liga,2022,Real Madrid,Dani Ceballos,ESP,MF,25,1996,17.4,1690,29,258,986,465,34,1690,66,40,60.6,22,33.3,1243,6885,3318,60,52,7,19,26,1366,60,possession
ESP-La Liga,2022,Real Madrid,David Alaba,AUT,DF,30,1992,20.4,1293,137,531,530,240,22,1293,4,3,75.0,1,25.0,779,3566,2070,16,24,2,7,5,938,60,possession
ESP-La Liga,2022,Real Madrid,Eden Hazard,BEL,FW,31,1991,2.2,128,0,5,44,82,13,127,6,2,33.3,2,33.3,95,516,268,6,8,1,9,2,112,25,possession
ESP-La Liga,2022,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",19,2002,22.3,1770,51,372,942,485,39,1770,71,38,53.5,25,35.2,1162,6589,3684,69,77,12,39,28,1326,99,possession
ESP-La Liga,2022,Real Madrid,Federico Valverde,URU,"MF,FW",24,1998,27.8,1870,35,229,857,800,54,1870,44,31,70.5,10,22.7,1190,6633,3349,70,68,8,21,7,1485,135,possession
ESP-La Liga,2022,Real Madrid,Ferland Mendy,FRA,DF,27,1995,15.0,971,42,265,426,287,8,971,29,19,65.5,8,27.6,591,3059,1427,23,25,2,20,17,697,73,possession
ESP-La Liga,2022,Real Madrid,Jesús Vallejo,ESP,DF,25,1997,0.2,14,4,9,3,2,2,14,0,0,,0,,10,27,13,0,0,0,0,0,11,0,possession
ESP-La Liga,2022,Real Madrid,Karim Benzema,FRA,FW,34,1987,22.6,1284,7,56,457,776,175,1276,44,20,45.5,22,50.0,797,3737,1900,72,43,31,32,28,1092,157,possession
ESP-La Liga,2022,Real Madrid,Lucas Vázquez,ESP,DF,31,1991,12.7,1059,25,263,422,377,46,1059,25,14,56.0,5,20.0,672,3060,1598,31,13,16,20,7,771,145,possession
ESP-La Liga,2022,Real Madrid,Luka Modrić,CRO,MF,36,1985,19.4,1681,19,213,885,592,47,1680,47,19,40.4,21,44.7,1132,5681,2532,50,49,14,31,19,1361,87,possession
