league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
FRA-Ligue 1,2021,Bordeaux,Sekou Mara,FRA,"FW,MF",18,2002,2.5,5,3,1,3,1,2,10,20.0,8,0,0,0,1,6,1,0,defense
FRA-Ligue 1,2021,Bordeaux,Tom Lacoux,FRA,MF,18,2002,5.8,22,14,10,11,1,9,21,42.9,12,12,3,9,12,34,7,0,defense
FRA-Ligue 1,2021,Bordeaux,Toma Bašić,CRO,MF,23,1996,28.9,33,22,15,16,2,16,58,27.6,42,21,5,16,32,65,42,1,defense
FRA-Ligue 1,2021,Bordeaux,Yacine Adli,FRA,MF,20,2000,26.9,74,37,30,33,11,35,92,38.0,57,27,2,25,39,113,17,2,defense
FRA-Ligue 1,2021,Bordeaux,Youssouf Sabaly,SEN,DF,27,1993,32.3,47,33,24,17,6,27,45,60.0,18,31,8,23,49,96,57,2,defense
FRA-Ligue 1,2021,Brest,Bandiougou Fadiga,FRA,"MF,FW",19,2001,0.5,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2021,Brest,Brendan Chardonnet,FRA,DF,25,1994,30.2,51,29,31,19,1,27,41,65.9,14,54,41,13,64,115,151,0,defense
FRA-Ligue 1,2021,Brest,Christophe Hérelle,MTQ,DF,27,1992,15.3,19,13,12,6,1,10,12,83.3,2,13,9,4,31,50,41,2,defense
FRA-Ligue 1,2021,Brest,Cristian Battocchio,ITA,MF,28,1992,3.9,5,2,1,4,0,2,9,22.2,7,0,0,0,4,9,5,0,defense
FRA-Ligue 1,2021,Brest,Franck Honorat,FRA,"MF,FW",23,1996,27.3,28,13,12,10,6,14,37,37.8,23,15,3,12,11,39,24,0,defense
FRA-Ligue 1,2021,Brest,Gautier Larsonneur,FRA,GK,23,1997,35.0,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,16,3,defense
FRA-Ligue 1,2021,Brest,Gaëtan Charbonnier,FRA,"MF,FW",31,1988,17.4,24,15,6,11,7,12,32,37.5,20,15,1,14,9,33,19,0,defense
FRA-Ligue 1,2021,Brest,Haris Belkebla,ALG,MF,26,1994,30.3,69,39,32,28,9,31,66,47.0,35,26,5,21,57,126,34,0,defense
FRA-Ligue 1,2021,Brest,Heriberto Tavares,POR,"FW,MF",23,1997,0.5,2,0,0,0,2,1,3,33.3,2,0,0,0,1,3,1,0,defense
FRA-Ligue 1,2021,Brest,Hianga Mananga Mbock,FRA,"MF,FW",20,1999,5.1,4,3,2,2,0,2,9,22.2,7,2,0,2,3,7,6,0,defense
FRA-Ligue 1,2021,Brest,Hugo Magnetti,FRA,MF,22,1998,6.7,24,12,10,13,1,20,40,50.0,20,6,1,5,14,38,8,0,defense
FRA-Ligue 1,2021,Brest,Ibrahima Diallo,FRA,MF,21,1999,4.9,14,9,2,9,3,4,8,50.0,4,4,0,4,3,17,3,0,defense
FRA-Ligue 1,2021,Brest,Irvin Cardona,FRA,FW,22,1997,22.5,10,5,3,6,1,4,22,18.2,18,17,3,14,9,19,23,2,defense
FRA-Ligue 1,2021,Brest,Jean Lucas,BRA,"MF,FW",22,1998,11.2,19,13,10,9,0,8,29,27.6,21,7,0,7,8,27,10,1,defense
FRA-Ligue 1,2021,Brest,Jean-Kevin Duverne,HAI,DF,23,1997,22.5,38,21,24,14,0,15,32,46.9,17,24,16,8,30,68,70,0,defense
FRA-Ligue 1,2021,Brest,Julien Faussurier,FRA,DF,33,1987,10.6,16,11,6,8,2,11,25,44.0,14,12,4,8,9,25,10,0,defense
FRA-Ligue 1,2021,Brest,Jérémy Le Douaron,FRA,"FW,MF",22,1998,9.1,15,10,9,4,2,7,21,33.3,14,14,1,13,8,23,11,0,defense
FRA-Ligue 1,2021,Brest,Lilian Brassier,FRA,DF,20,1999,10.7,19,10,12,4,3,7,11,63.6,4,13,6,7,23,42,38,1,defense
FRA-Ligue 1,2021,Brest,Ludovic Baal,GUF,"DF,MF",34,1986,3.3,6,5,4,1,1,2,5,40.0,3,4,1,3,5,11,5,0,defense
FRA-Ligue 1,2021,Brest,Paul Lasne,FRA,MF,31,1989,18.7,46,26,25,19,2,17,40,42.5,23,25,5,20,47,93,17,2,defense
FRA-Ligue 1,2021,Brest,Romain Faivre,FRA,"MF,FW",22,1998,32.1,54,27,26,23,5,21,54,38.9,33,30,0,30,30,84,18,0,defense
FRA-Ligue 1,2021,Brest,Romain Perraud,FRA,DF,22,1997,34.9,60,34,42,16,2,24,45,53.3,21,36,3,33,45,105,76,0,defense
FRA-Ligue 1,2021,Brest,Romain Philippoteaux,FRA,"MF,FW",32,1988,6.5,11,6,6,3,2,6,9,66.7,3,4,0,4,10,21,2,0,defense
FRA-Ligue 1,2021,Brest,Ronaël Pierre-Gabriel,FRA,DF,22,1998,25.6,60,40,42,16,2,35,52,67.3,17,17,7,10,30,90,57,0,defense
FRA-Ligue 1,2021,Brest,Steve Mounié,BEN,FW,25,1994,29.8,15,11,3,11,1,3,28,10.7,25,18,3,15,12,27,40,0,defense
FRA-Ligue 1,2021,Brest,Sébastien Cibois,FRA,GK,22,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,defense
FRA-Ligue 1,2021,Dijon,Aboubakar Kamara,MTN,"FW,MF",25,1995,6.2,3,1,0,2,1,1,7,14.3,6,1,0,1,0,3,2,0,defense
FRA-Ligue 1,2021,Dijon,Ahmad Ngouyamsa,CHA,DF,19,2000,1.7,6,4,5,1,0,4,8,50.0,4,2,1,1,2,8,8,0,defense
FRA-Ligue 1,2021,Dijon,Alfred Gomis,SEN,GK,26,1993,5.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,7,0,defense
FRA-Ligue 1,2021,Dijon,Anthony Racioppi,SUI,GK,21,1998,21.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,12,4,defense
FRA-Ligue 1,2021,Dijon,Aníbal Chalá,ECU,DF,24,1996,8.3,10,7,6,3,1,6,12,50.0,6,5,3,2,14,24,15,1,defense
FRA-Ligue 1,2021,Dijon,Arthur Zagre,FRA,"DF,MF",18,2001,1.4,3,1,2,1,0,2,2,100.0,0,1,1,0,3,6,1,0,defense
FRA-Ligue 1,2021,Dijon,Aurélien Scheidler,FRA,FW,22,1998,3.8,2,0,0,2,0,0,2,0.0,2,0,0,0,1,3,5,0,defense
FRA-Ligue 1,2021,Dijon,Bersant Celina,KVX,"MF,FW",23,1996,25.5,20,12,8,8,4,7,38,18.4,31,20,2,18,8,28,10,0,defense
FRA-Ligue 1,2021,Dijon,Bruno Ecuele Manga,GAB,DF,32,1988,38.0,52,38,46,6,0,29,40,72.5,11,50,33,17,57,109,165,3,defense
FRA-Ligue 1,2021,Dijon,Charles Costes,FRA,MF,17,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
FRA-Ligue 1,2021,Dijon,Didier Ibrahim Ndong,GAB,MF,26,1994,29.0,53,32,22,30,1,25,70,35.7,45,35,7,28,37,90,40,0,defense
FRA-Ligue 1,2021,Dijon,Erwan Belhadji,FRA,MF,19,2001,0.3,3,0,3,0,0,3,5,60.0,2,1,0,1,0,3,0,0,defense
FRA-Ligue 1,2021,Dijon,Fouad Chafik,MAR,DF,33,1986,18.0,39,24,29,8,2,16,35,45.7,19,19,10,9,21,60,41,0,defense
FRA-Ligue 1,2021,Dijon,Frédéric Sammaritano,FRA,"FW,MF",34,1986,12.6,15,10,9,5,1,9,26,34.6,17,6,0,6,9,24,3,0,defense
FRA-Ligue 1,2021,Dijon,Jacques Siwe,FRA,FW,19,2001,1.9,4,1,1,1,2,0,1,0.0,1,1,0,1,1,5,1,0,defense
FRA-Ligue 1,2021,Dijon,Jonathan Panzo,ENG,DF,19,2000,20.0,17,12,13,4,0,8,11,72.7,3,27,13,14,59,76,91,2,defense
FRA-Ligue 1,2021,Dijon,Jordan Marié,FRA,MF,28,1991,15.9,34,17,9,23,2,23,56,41.1,33,14,5,9,23,57,12,2,defense
FRA-Ligue 1,2021,Dijon,Junior Dina Ebimbe,FRA,"FW,MF",19,2000,23.8,38,25,14,19,5,15,45,33.3,30,17,1,16,14,52,9,0,defense
FRA-Ligue 1,2021,Dijon,Mama Samba Baldé,GNB,FW,24,1995,24.0,23,9,4,13,6,9,22,40.9,13,16,1,15,4,27,26,0,defense
FRA-Ligue 1,2021,Dijon,Mihai Dobre,ROU,FW,21,1998,5.9,12,5,6,2,4,7,14,50.0,7,5,0,5,10,22,3,0,defense
FRA-Ligue 1,2021,Dijon,Mounir Chouiar,FRA,"FW,MF",21,1999,14.3,22,12,10,9,3,6,18,33.3,12,10,0,10,11,33,8,0,defense
FRA-Ligue 1,2021,Dijon,Moussa Konaté,SEN,FW,27,1993,13.3,5,3,1,2,2,2,11,18.2,9,4,1,3,5,10,8,0,defense
