league,season,team,player,nation,pos,age,born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,stat_type
FRA-Ligue 1,2021,Bordeaux,Josh Maja,NGA,FW,21,1998,8.9,161,192,83.9,1922,208,104,117,88.9,37,43,86.0,4,7,57.1,0,0.4,0.4,-0.4,8,9,2,0,8,passing
FRA-Ligue 1,2021,Bordeaux,Laurent Koscielny,FRA,DF,34,1985,24.6,1198,1333,89.9,24851,10021,329,362,90.9,699,745,93.8,163,205,79.5,2,1.1,1.4,0.9,7,50,3,0,53,passing
FRA-Ligue 1,2021,Bordeaux,Loris Benito,SUI,DF,28,1992,29.5,1515,1799,84.2,24582,9332,756,812,93.1,631,725,87.0,96,190,50.5,0,1.3,1.0,-1.3,15,102,11,8,120,passing
FRA-Ligue 1,2021,Bordeaux,Loïc Bessile,TOG,DF,21,1999,1.0,38,44,86.4,788,195,7,7,100.0,29,29,100.0,2,8,25.0,0,0.0,0.0,0.0,0,2,0,0,2,passing
FRA-Ligue 1,2021,Bordeaux,Maxime Poundjé,FRA,DF,27,1992,5.5,189,261,72.4,2782,937,107,128,83.6,74,95,77.9,5,16,31.3,0,0.1,0.1,-0.1,1,8,2,1,16,passing
FRA-Ligue 1,2021,Bordeaux,Mehdi Zerkane,ALG,"MF,FW",21,1999,13.2,485,579,83.8,6598,1720,284,320,88.8,164,189,86.8,15,22,68.2,1,1.3,0.9,-0.3,14,48,9,2,56,passing
FRA-Ligue 1,2021,Bordeaux,Mexer,MOZ,DF,31,1988,7.9,406,480,84.6,7928,2538,138,151,91.4,216,246,87.8,46,70,65.7,0,0.2,0.2,-0.2,2,17,0,0,22,passing
FRA-Ligue 1,2021,Bordeaux,Nicolas de Préville,FRA,"FW,MF",29,1991,17.9,451,654,69.0,7481,2185,244,306,79.7,132,187,70.6,55,97,56.7,2,3.4,3.2,-1.4,32,44,16,4,74,passing
FRA-Ligue 1,2021,Bordeaux,Otávio,BRA,MF,26,1994,17.3,841,938,89.7,14830,3791,342,368,92.9,395,430,91.9,77,94,81.9,0,0.1,0.2,-0.1,2,44,0,0,53,passing
FRA-Ligue 1,2021,Bordeaux,Pablo,BRA,DF,29,1991,12.0,625,705,88.7,12518,4113,191,206,92.7,365,391,93.4,65,92,70.7,0,0.2,0.0,-0.2,1,17,0,0,12,passing
FRA-Ligue 1,2021,Bordeaux,Paul Baysse,FRA,DF,32,1988,29.0,1502,1715,87.6,29524,10632,504,546,92.3,813,877,92.7,171,255,67.1,2,0.6,0.4,1.4,8,76,4,1,88,passing
FRA-Ligue 1,2021,Bordeaux,Remi Oudin,FRA,"FW,MF",23,1996,26.9,711,1082,65.7,10951,2874,408,526,77.6,215,316,68.0,61,143,42.7,4,5.0,4.2,-1.0,39,38,27,13,77,passing
FRA-Ligue 1,2021,Bordeaux,Rubén Pardo,ESP,MF,27,1992,0.3,9,12,75.0,116,31,5,6,83.3,3,4,75.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,passing
FRA-Ligue 1,2021,Bordeaux,Samuel Kalu,NGA,"FW,MF",22,1997,10.7,216,301,71.8,3261,659,130,156,83.3,63,84,75.0,18,35,51.4,1,0.6,0.5,0.4,10,17,6,1,26,passing
FRA-Ligue 1,2021,Bordeaux,Sekou Mara,FRA,"FW,MF",18,2002,2.5,37,66,56.1,465,136,21,33,63.6,12,18,66.7,1,2,50.0,2,0.4,0.0,1.6,2,1,1,0,3,passing
FRA-Ligue 1,2021,Bordeaux,Tom Lacoux,FRA,MF,18,2002,5.8,191,222,86.0,3061,467,87,99,87.9,81,87,93.1,12,18,66.7,0,0.1,0.2,-0.1,1,1,1,0,7,passing
FRA-Ligue 1,2021,Bordeaux,Toma Bašić,CRO,MF,23,1996,28.9,1048,1289,81.3,18608,4548,450,506,88.9,452,521,86.8,111,193,57.5,1,2.5,2.2,-1.5,26,78,18,3,111,passing
FRA-Ligue 1,2021,Bordeaux,Yacine Adli,FRA,MF,20,2000,26.9,1327,1631,81.4,24310,6907,569,643,88.5,548,642,85.4,167,251,66.5,5,4.4,3.0,0.6,53,158,20,2,188,passing
FRA-Ligue 1,2021,Bordeaux,Youssouf Sabaly,SEN,DF,27,1993,32.3,1636,1957,83.6,23576,8988,974,1065,91.5,536,637,84.1,74,129,57.4,2,1.5,1.5,0.5,25,105,24,7,162,passing
FRA-Ligue 1,2021,Brest,Bandiougou Fadiga,FRA,"MF,FW",19,2001,0.5,24,29,82.8,361,74,14,14,100.0,7,8,87.5,2,4,50.0,0,0.1,0.0,-0.1,1,1,1,0,1,passing
FRA-Ligue 1,2021,Brest,Brendan Chardonnet,FRA,DF,25,1994,30.2,1383,1688,81.9,30098,12317,391,435,89.9,747,818,91.3,237,400,59.3,1,0.8,1.0,0.2,6,114,16,1,106,passing
FRA-Ligue 1,2021,Brest,Christophe Hérelle,MTQ,DF,27,1992,15.3,789,904,87.3,17389,6217,186,207,89.9,459,498,92.2,140,187,74.9,0,0.1,0.2,-0.1,3,44,1,0,59,passing
FRA-Ligue 1,2021,Brest,Cristian Battocchio,ITA,MF,28,1992,3.9,171,209,81.8,2823,838,94,102,92.2,62,73,84.9,14,31,45.2,0,0.3,0.4,-0.3,5,16,0,0,20,passing
FRA-Ligue 1,2021,Brest,Franck Honorat,FRA,"MF,FW",23,1996,27.3,686,1057,64.9,11481,3567,355,455,78.0,217,323,67.2,84,174,48.3,4,7.9,7.6,-3.9,64,41,53,31,83,passing
FRA-Ligue 1,2021,Brest,Gautier Larsonneur,FRA,GK,23,1997,35.0,998,1253,79.6,28260,19669,154,156,98.7,499,503,99.2,343,588,58.3,0,0.0,0.0,0.0,0,18,0,0,0,passing
FRA-Ligue 1,2021,Brest,Gaëtan Charbonnier,FRA,"MF,FW",31,1988,17.4,541,705,76.7,8200,1650,295,354,83.3,196,248,79.0,28,49,57.1,1,3.1,2.7,-2.1,23,38,19,6,65,passing
FRA-Ligue 1,2021,Brest,Haris Belkebla,ALG,MF,26,1994,30.3,1237,1421,87.1,22256,6504,519,568,91.4,570,631,90.3,126,163,77.3,0,0.9,1.1,-0.9,11,114,9,0,127,passing
FRA-Ligue 1,2021,Brest,Heriberto Tavares,POR,"FW,MF",23,1997,0.5,11,14,78.6,196,66,6,8,75.0,4,4,100.0,1,1,100.0,0,0.1,0.1,-0.1,1,0,1,1,0,passing
FRA-Ligue 1,2021,Brest,Hianga Mananga Mbock,FRA,"MF,FW",20,1999,5.1,197,215,91.6,4137,938,56,62,90.3,108,111,97.3,30,35,85.7,0,0.0,0.1,0.0,1,20,1,0,16,passing
FRA-Ligue 1,2021,Brest,Hugo Magnetti,FRA,MF,22,1998,6.7,290,346,83.8,5652,1644,97,109,89.0,141,153,92.2,40,61,65.6,0,0.4,0.3,-0.4,3,32,1,0,35,passing
FRA-Ligue 1,2021,Brest,Ibrahima Diallo,FRA,MF,21,1999,4.9,247,288,85.8,4810,1238,88,100,88.0,121,128,94.5,35,49,71.4,0,0.3,0.2,-0.3,2,19,1,0,23,passing
FRA-Ligue 1,2021,Brest,Irvin Cardona,FRA,FW,22,1997,22.5,320,487,65.7,4886,942,192,258,74.4,90,138,65.2,25,49,51.0,1,1.1,1.4,-0.1,20,21,15,5,34,passing
FRA-Ligue 1,2021,Brest,Jean Lucas,BRA,"MF,FW",22,1998,11.2,575,651,88.3,10043,2455,264,287,92.0,230,254,90.6,58,77,75.3,2,1.1,1.3,0.9,9,39,8,3,62,passing
FRA-Ligue 1,2021,Brest,Jean-Kevin Duverne,HAI,DF,23,1997,22.5,1135,1361,83.4,24366,9866,320,352,90.9,610,676,90.2,200,308,64.9,0,0.6,0.4,-0.6,4,104,4,1,106,passing
FRA-Ligue 1,2021,Brest,Julien Faussurier,FRA,DF,33,1987,10.6,455,608,74.8,9117,3906,178,201,88.6,189,235,80.4,80,134,59.7,3,2.2,2.6,0.8,22,35,33,22,56,passing
FRA-Ligue 1,2021,Brest,Jérémy Le Douaron,FRA,"FW,MF",22,1998,9.1,125,188,66.5,1660,311,73,97,75.3,37,61,60.7,4,8,50.0,2,0.5,0.5,1.5,8,4,4,1,10,passing
FRA-Ligue 1,2021,Brest,Lilian Brassier,FRA,DF,20,1999,10.7,569,692,82.2,11460,4282,195,212,92.0,283,307,92.2,82,155,52.9,1,1.0,0.9,0.0,5,57,6,1,51,passing
FRA-Ligue 1,2021,Brest,Ludovic Baal,GUF,"DF,MF",34,1986,3.3,212,253,83.8,3890,1562,85,95,89.5,94,106,88.7,28,43,65.1,0,0.4,0.1,-0.4,2,29,1,1,24,passing
FRA-Ligue 1,2021,Brest,Paul Lasne,FRA,MF,31,1989,18.7,926,1084,85.4,16622,4572,371,412,90.0,433,475,91.2,90,140,64.3,0,0.3,0.5,-0.3,7,67,5,1,69,passing
FRA-Ligue 1,2021,Brest,Romain Faivre,FRA,"MF,FW",22,1998,32.1,1172,1476,79.4,19225,5413,617,704,87.6,407,491,82.9,113,197,57.4,5,7.2,6.5,-2.2,63,100,40,5,171,passing
FRA-Ligue 1,2021,Brest,Romain Perraud,FRA,DF,22,1997,34.9,1588,2040,77.8,26270,9434,823,906,90.8,596,726,82.1,137,284,48.2,7,3.6,3.9,3.4,37,108,44,32,132,passing
FRA-Ligue 1,2021,Brest,Romain Philippoteaux,FRA,"MF,FW",32,1988,6.5,135,180,75.0,2124,517,81,95,85.3,34,44,77.3,14,22,63.6,0,0.3,0.3,-0.3,5,9,3,1,14,passing
FRA-Ligue 1,2021,Brest,Ronaël Pierre-Gabriel,FRA,DF,22,1998,25.6,1158,1416,81.8,19227,7571,557,629,88.6,496,577,86.0,79,144,54.9,0,1.0,1.4,-1.0,16,115,23,9,124,passing
FRA-Ligue 1,2021,Brest,Steve Mounié,BEN,FW,25,1994,29.8,428,751,57.0,6012,1306,250,404,61.9,133,231,57.6,21,34,61.8,4,2.9,2.9,1.1,19,32,12,2,49,passing
FRA-Ligue 1,2021,Brest,Sébastien Cibois,FRA,GK,22,1998,3.0,65,91,71.4,1909,1343,6,6,100.0,35,37,94.6,23,47,48.9,0,0.0,0.0,0.0,0,1,0,0,1,passing
FRA-Ligue 1,2021,Dijon,Aboubakar Kamara,MTN,"FW,MF",25,1995,6.2,104,146,71.2,1507,255,67,77,87.0,24,33,72.7,9,15,60.0,0,0.8,0.7,-0.8,7,6,3,3,7,passing
FRA-Ligue 1,2021,Dijon,Ahmad Ngouyamsa,CHA,DF,19,2000,1.7,67,96,69.8,1248,371,27,29,93.1,31,42,73.8,8,20,40.0,0,0.0,0.0,0.0,0,3,0,0,2,passing
FRA-Ligue 1,2021,Dijon,Alfred Gomis,SEN,GK,26,1993,5.0,124,188,66.0,3822,2896,17,17,100.0,54,55,98.2,52,114,45.6,0,0.0,0.0,0.0,0,1,0,0,0,passing
FRA-Ligue 1,2021,Dijon,Anthony Racioppi,SUI,GK,21,1998,21.0,431,650,66.3,12101,9728,84,85,98.8,211,213,99.1,134,349,38.4,0,0.2,0.0,-0.2,1,10,0,0,0,passing
FRA-Ligue 1,2021,Dijon,Aníbal Chalá,ECU,DF,24,1996,8.3,298,392,76.0,4642,2224,165,186,88.7,108,149,72.5,17,35,48.6,0,0.1,0.1,-0.1,3,22,3,0,28,passing
FRA-Ligue 1,2021,Dijon,Arthur Zagre,FRA,"DF,MF",18,2001,1.4,35,49,71.4,536,211,20,26,76.9,13,17,76.5,2,6,33.3,0,0.0,0.0,0.0,0,0,0,0,3,passing
FRA-Ligue 1,2021,Dijon,Aurélien Scheidler,FRA,FW,22,1998,3.8,48,71,67.6,759,79,29,39,74.4,13,22,59.1,4,5,80.0,0,0.8,0.1,-0.8,5,4,2,0,6,passing
FRA-Ligue 1,2021,Dijon,Bersant Celina,KVX,"MF,FW",23,1996,25.5,825,1092,75.5,13178,3929,454,522,87.0,263,326,80.7,82,178,46.1,5,4.6,3.9,0.4,48,85,35,7,113,passing
FRA-Ligue 1,2021,Dijon,Bruno Ecuele Manga,GAB,DF,32,1988,38.0,1666,1972,84.5,35168,14441,445,493,90.3,981,1074,91.3,229,363,63.1,0,0.1,0.3,-0.1,1,57,1,0,76,passing
FRA-Ligue 1,2021,Dijon,Charles Costes,FRA,MF,17,2002,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,passing
FRA-Ligue 1,2021,Dijon,Didier Ibrahim Ndong,GAB,MF,26,1994,29.0,1304,1508,86.5,24586,6748,524,583,89.9,594,650,91.4,161,220,73.2,1,1.2,1.4,-0.2,10,142,7,2,155,passing
FRA-Ligue 1,2021,Dijon,Erwan Belhadji,FRA,MF,19,2001,0.3,7,8,87.5,104,30,5,5,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,1,1,0,0,1,passing
FRA-Ligue 1,2021,Dijon,Fouad Chafik,MAR,DF,33,1986,18.0,769,1018,75.5,12433,5098,395,431,91.6,297,388,76.5,63,156,40.4,0,0.8,1.4,-0.8,8,57,12,7,65,passing
FRA-Ligue 1,2021,Dijon,Frédéric Sammaritano,FRA,"FW,MF",34,1986,12.6,375,496,75.6,5866,1742,201,225,89.3,106,137,77.4,43,81,53.1,2,2.6,2.1,-0.6,26,26,9,6,54,passing
FRA-Ligue 1,2021,Dijon,Jacques Siwe,FRA,FW,19,2001,1.9,21,38,55.3,271,41,13,24,54.2,7,10,70.0,0,0,,0,0.1,0.0,-0.1,2,2,0,0,3,passing
FRA-Ligue 1,2021,Dijon,Jonathan Panzo,ENG,DF,19,2000,20.0,950,1096,86.7,18977,6535,284,313,90.7,540,584,92.5,116,172,67.4,0,0.0,0.3,0.0,0,39,3,0,56,passing
FRA-Ligue 1,2021,Dijon,Jordan Marié,FRA,MF,28,1991,15.9,635,773,82.1,11264,2954,303,347,87.3,243,287,84.7,78,106,73.6,0,0.8,0.6,-0.8,7,63,6,0,70,passing
