league,season,team,player,nation,pos,age,born,90s,Performance CrdY,Performance CrdR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%,stat_type
ENG-Premier League,2021,Aston Villa,Trézéguet,EGY,FW,25,1994,13.0,0,0,0,39,19,4,26,19,18,1,0,0,65,28,45,38.4,misc
ENG-Premier League,2021,Aston Villa,Tyrone Mings,ENG,DF,27,1993,35.5,6,1,1,21,18,3,5,41,16,0,0,1,209,90,35,72.0,misc
ENG-Premier League,2021,Aston Villa,Wesley Moraes,BRA,FW,23,1996,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0.0,misc
ENG-Premier League,2021,Brighton,Aaron Connolly,IRL,FW,20,2000,8.8,0,0,0,6,16,8,2,0,3,1,0,0,12,7,31,18.4,misc
ENG-Premier League,2021,Brighton,Adam Lallana,ENG,"MF,FW",32,1988,17.7,0,0,0,18,20,3,12,15,13,0,1,0,117,10,26,27.8,misc
ENG-Premier League,2021,Brighton,Adam Webster,ENG,DF,25,1995,28.8,4,0,0,24,15,1,1,47,16,0,0,0,146,77,52,59.7,misc
ENG-Premier League,2021,Brighton,Alexis Mac Allister,ARG,"MF,FW",21,1998,12.4,1,0,0,19,15,0,11,9,12,0,0,0,67,7,19,26.9,misc
ENG-Premier League,2021,Brighton,Alireza Jahanbakhsh,IRN,"FW,MF",26,1993,5.9,3,0,0,7,4,0,30,8,7,0,0,0,25,5,11,31.3,misc
ENG-Premier League,2021,Brighton,Andi Zeqiri,SUI,"FW,DF",21,1999,1.9,0,0,0,2,2,0,6,0,2,0,0,0,7,2,4,33.3,misc
ENG-Premier League,2021,Brighton,Ben White,ENG,"DF,MF",22,1997,35.5,5,1,1,30,9,1,22,62,26,0,0,0,186,49,49,50.0,misc
ENG-Premier League,2021,Brighton,Bernardo,BRA,"DF,MF",25,1995,2.3,0,0,0,1,1,0,5,1,8,0,0,0,7,7,7,50.0,misc
ENG-Premier League,2021,Brighton,Dan Burn,ENG,DF,28,1992,22.9,5,0,0,35,6,4,37,31,26,0,1,1,109,95,41,69.9,misc
ENG-Premier League,2021,Brighton,Danny Welbeck,ENG,FW,29,1990,17.2,0,0,0,19,17,5,3,7,6,2,0,0,31,21,43,32.8,misc
ENG-Premier League,2021,Brighton,Davy Pröpper,NED,MF,28,1991,2.4,0,0,0,1,0,0,3,1,5,0,0,0,15,3,4,42.9,misc
ENG-Premier League,2021,Brighton,Jakub Moder,POL,"DF,MF",21,1999,7.2,0,0,0,12,3,2,11,3,7,0,0,0,35,7,12,36.8,misc
ENG-Premier League,2021,Brighton,Jayson Molumby,IRL,MF,20,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ENG-Premier League,2021,Brighton,José Izquierdo,COL,DF,28,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,misc
ENG-Premier League,2021,Brighton,Joël Veltman,NED,DF,28,1992,25.3,3,0,0,34,39,0,63,33,33,0,0,0,140,42,38,52.5,misc
